"State","Condition","Measure Name","Category","Number of Hospitals"
"AR      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",1
"AR      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",70
"AR      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",5
"AR      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",5
"AS      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",0
"AS      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",0
"AS      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",1
"AS      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",0
"AS      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"AS      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",0
"AS      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",1
"AS      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",1
"AS      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",1
"AS      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",1
"AS      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",1
"AS      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",0
"AZ      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",1
"AZ      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",43
"AZ      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",27
"AZ      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",2
"AZ      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"AZ      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",44
"AZ      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",24
"AZ      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"AZ      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",0
"AZ      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",59
"AZ      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",15
"AZ      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",2
"AZ      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",1
"AZ      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",61
"AZ      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",14
"AZ      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",0
"AZ      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",1
"AZ      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",70
"AZ      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",5
"AZ      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",1
"AZ      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",0
"AZ      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",73
"AZ      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",4
"AZ      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",0
"CA      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",6
"CA      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",235
"CA      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",92
"CA      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",2
"CA      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",1
"CA      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",208
"CA      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",120
"CA      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"CA      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",17
"CA      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",258
"CA      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",54
"CA      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",18
"CA      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",9
"CA      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",285
"CA      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",47
"CA      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",5
"CA      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",18
"CA      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",250
"CA      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",48
"CA      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",36
"CA      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",8
"CA      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",295
"CA      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",48
"CA      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",2
"CO      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",0
"CO      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",35
"CO      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",28
"CO      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",0
"CO      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"CO      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",28
"CO      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",35
"CO      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"CO      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",0
"CO      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",57
"CO      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",15
"CO      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",0
"CO      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",2
"CO      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",57
"CO      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",13
"CO      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",0
"CO      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",2
"CO      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",61
"CO      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",10
"CO      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",0
"CO      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",0
"CO      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",63
"CO      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",10
"CO      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",0
"CT      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",9
"CT      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",21
"CT      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",2
"CT      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",0
"CT      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"CT      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",27
"CT      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",2
"CT      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",2
"CT      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",4
"CT      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",28
"CT      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",0
"CT      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",0
"CT      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",1
"CT      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",30
"CT      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",0
"CT      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",1
"CT      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",5
"CT      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",27
"CT      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",0
"CT      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",0
"CT      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",0
"CT      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",27
"CT      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",0
"CT      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",5
"DC      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",0
"DC      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",5
"DC      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",2
"DC      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",0
"DC      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"DC      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",5
"DC      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",2
"DC      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"DC      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",2
"DC      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",5
"DC      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",0
"DC      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",0
"DC      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",0
"DC      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",5
"DC      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",0
"DC      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",2
"DC      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",0
"DC      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",7
"DC      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",0
"DC      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",0
"DC      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",0
"DC      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",5
"DC      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",0
"DC      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",2
"DE      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",1
"DE      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",4
"DE      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",0
"DE      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",0
"DE      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"DE      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",5
"DE      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",0
"DE      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"DE      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",1
"DE      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",4
"DE      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",0
"DE      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",0
"DE      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",1
"DE      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",4
"DE      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",0
"DE      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",0
"DE      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",1
"DE      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",4
"DE      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",0
"DE      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",0
"DE      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",0
"DE      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",5
"DE      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",0
"DE      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",0
"FL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",7
"FL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",148
"FL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",26
"FL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",5
"FL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",4
"FL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",140
"FL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",38
"FL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",3
"FL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",13
"FL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",161
"FL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",8
"FL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",3
"FL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",14
"FL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",162
"FL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",8
"FL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",2
"FL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",20
"FL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",158
"FL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",6
"FL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",4
"FL      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",3
