"State","HCAHPS Measures","HCAHPS Measure Code","HCAHPS Response Categories","HCAHPS Response Category Percent"
"IL","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",9
"IL","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",24
"IL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",53
"IL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",15
"IL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",32
"IL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",68
"IL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",11
"IL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",21
"IL","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",20
"IL","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",80
"IL","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"IL","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",65
"IL","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",28
"IN","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",8
"IN","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",23
"IN","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",69
"IN","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",81
"IN","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",4
"IN","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",15
"IN","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",77
"IN","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",4
"IN","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",19
"IN","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",66
"IN","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",8
"IN","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",26
"IN","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",59
"IN","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",22
"IN","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"IN","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",70
"IN","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",6
"IN","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",24
"IN","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",55
"AK","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",11
"AK","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",27
"AK","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",62
"AK","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",78
"AK","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",5
"AK","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",17
"AK","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",75
"AK","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",5
"AK","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",20
"AK","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",65
"AK","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",10
"AK","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",25
"AK","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",63
"AK","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",18
"AK","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"AK","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",68
"AK","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",8
"AK","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",24
"AK","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",60
"AK","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",9
"AK","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",31
"AK","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",68
"AK","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",11
"AK","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",21
"AK","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",17
"AK","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",83
"AK","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"AK","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",67
"AK","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",28
"AL","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",8
"AL","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",25
"AL","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",67
"AL","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",87
"AL","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",3
"AL","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",10
"AL","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",80
"AL","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",5
"AL","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",15
"AL","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",69
"AL","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",10
"AL","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",21
"AL","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",66
"AL","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",18
"AL","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",16
"AL","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",75
"AL","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",7
"AL","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",18
"AL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",71
"AL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",7
"AL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",22
"AL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",72
"AL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",10
"AL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",18
"AL","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",19
"AL","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",81
"AL","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"AL","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",73
"AL","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",22
"AR","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",11
"AR","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",25
"AR","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",64
"AR","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",82
"AR","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",4
"AR","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",14
"AR","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",75
"AR","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",6
"AR","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",19
"AR","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",64
"AR","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",11
"AR","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",25
"AR","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",60
"AR","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",23
"AR","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",17
"AR","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",70
"AR","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",8
"AR","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",22
"AR","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",63
"AR","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",9
"AR","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",28
"AR","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",68
"AR","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",11
"AR","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",21
"AR","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",23
"AR","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",77
"AR","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"AR","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",67
"AR","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",27
"AS","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",
"AS","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",
"AS","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",
"AS","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",
"AS","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",
"AS","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",
"AS","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",
"AS","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",
"AS","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",
"AS","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",
"AS","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",
"AS","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",
"AS","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",
"AS","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",
"AS","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",
"AS","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",
"AS","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",
"AS","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",
"AS","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",
"AS","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",
"AS","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",
"AS","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",
"AS","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",
"AS","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",
"AS","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",
"AS","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",
"AS","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",
"AS","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",
"AS","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",
"AZ","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",12
"AZ","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",25
"AZ","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",63
"AZ","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",74
"AZ","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",7
"AZ","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",19
"AZ","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",71
"AZ","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",7
"AZ","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",22
"AZ","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",60
"AZ","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",13
"AZ","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",27
"AZ","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",57
"AZ","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",24
"AZ","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"AZ","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",66
"AZ","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",8
"AZ","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",26
"AZ","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",51
"AZ","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",16
"AZ","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",33
"AZ","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",65
"AZ","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",12
"AZ","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",23
"AZ","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",21
"AZ","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",79
"AZ","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"AZ","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",66
"AZ","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",27
"CA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",12
"CA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",27
"CA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",61
"CA","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",75
"CA","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",7
"CA","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",18
"CA","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",68
"CA","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",8
"CA","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",24
"CA","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",55
"CA","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",16
"CA","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",29
"CA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",54
"CA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",27
"CA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"CA","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",64
"CA","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",9
"CA","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",27
"CA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",45
"CA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",21
"CA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",34
"CA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",65
"CA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",12
"CA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",23
"CA","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",23
"CA","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",77
"CA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",8
"CA","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",65
"CA","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",27
"CO","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",9
"CO","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",24
"CO","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",67
"CO","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",78
"CO","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",5
"CO","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",17
"CO","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",73
"CO","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",5
"CO","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",22
"CO","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",63
"CO","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",10
"CO","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",27
"CO","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",60
"CO","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",21
"CO","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"CO","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",69
"CO","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",7
"CO","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",24
"CO","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",58
"CO","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",10
"CO","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",32
"CO","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",71
"CO","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",9
"CO","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",20
"CO","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",17
"CO","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",83
"CO","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"CO","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",71
"CO","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",24
"CT","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",10
"CT","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",26
"CT","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",64
"CT","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",78
"CT","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",5
"CT","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",17
"CT","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",74
