"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Average Payment Range","Number Of Cases"
"IL","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","31126 - 37912","652"
"IL","226","Cardiac defibrillator implant w/o cardiac cath w MCC","40831 - 53060","401"
"IL","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29503 - 37454","1267"
"IL","039","Extracranial procedures w/o CC/MCC","5828 - 6694","1543"
"IL","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","47082 - 58972","146"
"IL","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","36228 - 43239","169"
"IL","038","Extracranial procedures w CC","8587 - 9864","590"
"IL","236","Coronary bypass w/o cardiac cath w/o MCC","20955 - 25635","846"
"IL","235","Coronary bypass w/o cardiac cath w MCC","31362 - 42655","524"
"IL","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","47328 - 64362","707"
"IL","313","Chest Pain","3141 - 3964","8689"
"IL","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","26037 - 32320","166"
"IL","637","Diabetes w MCC","7727 - 9708","1321"
"IL","191","Chronic obstructive pulmonary disease w CC","5583 - 6444","6643"
"IL","193","Simple pneumonia and pleurisy w MCC","8291 - 9603","7012"
"IN","193","Simple pneumonia and pleurisy w MCC","7928 - 8888","4349"
"IN","191","Chronic obstructive pulmonary disease w CC","5392 - 5925","4149"
"IN","637","Diabetes w MCC","7438 - 8603","766"
"IN","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24197 - 28407","86"
"IN","313","Chest Pain","3042 - 3434","3666"
"IN","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","43673 - 61907","361"
"IN","235","Coronary bypass w/o cardiac cath w MCC","29693 - 37960","292"
"IN","236","Coronary bypass w/o cardiac cath w/o MCC","19901 - 23524","720"
"IN","038","Extracranial procedures w CC","8298 - 9394","340"
"IN","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32178 - 38657","104"
"IN","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","41577 - 48810","90"
"IN","039","Extracranial procedures w/o CC/MCC","5536 - 6371","1275"
"IN","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27853 - 32894","617"
"IN","226","Cardiac defibrillator implant w/o cardiac cath w MCC","36798 - 45038","193"
"IN","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","28516 - 39682","429"
"IN","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","28308 - 39587","640"
"KS","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","27680 - 33086","216"
"KS","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","27360 - 35093","154"
"KS","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","30231 - 36655","222"
"KS","039","Extracranial procedures w/o CC/MCC","5303 - 6231","623"
"KS","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","45012 - 54764","35"
"KS","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32410 - 42316","50"
"KS","226","Cardiac defibrillator implant w/o cardiac cath w MCC","36129 - 47494","92"
"KS","038","Extracranial procedures w CC","8123 - 9729","196"
"KS","236","Coronary bypass w/o cardiac cath w/o MCC","19094 - 23777","226"
"KS","235","Coronary bypass w/o cardiac cath w MCC","30023 - 35359","101"
"KS","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","41862 - 52989","144"
"KS","313","Chest Pain","2978 - 3299","1046"
"KS","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","23216 - 28781","26"
"KS","637","Diabetes w MCC","7328 - 8755","223"
"KS","191","Chronic obstructive pulmonary disease w CC","5296 - 5874","1044"
"KS","193","Simple pneumonia and pleurisy w MCC","7811 - 8908","1425"
"KY","193","Simple pneumonia and pleurisy w MCC","7844 - 9184","4040"
"KY","191","Chronic obstructive pulmonary disease w CC","5324 - 6146","3976"
"KY","637","Diabetes w MCC","7284 - 8736","509"
"KY","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","25676 - 27359","69"
"KY","313","Chest Pain","3026 - 3467","3647"
"KY","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","43216 - 53020","273"
"KY","235","Coronary bypass w/o cardiac cath w MCC","30604 - 36584","278"
"KY","236","Coronary bypass w/o cardiac cath w/o MCC","19680 - 23076","494"
"KY","038","Extracranial procedures w CC","8156 - 9708","296"
"KY","226","Cardiac defibrillator implant w/o cardiac cath w MCC","38604 - 45805","158"
"KY","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34798 - 41721","86"
"AK","282","Acute myocardial infarction, discharged alive w/o CC/MCC","6702 - 9229","33"
"AL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4158 - 4706","592"
"AR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4278 - 4757","391"
"AZ","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4806 - 5652","400"
"CA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5652 - 7140","2137"
"CO","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4780 - 5342","263"
"CT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5341 - 6679","427"
"DC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","6422 - 6596","69"
"DE","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4750 - 5756","118"
"FL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4391 - 5031","2331"
"GA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4433 - 5171","980"
"GU","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4040 - 7030","15"
"HI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","6033 - 7420","137"
"IA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4417 - 4945","362"
"ID","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4885 - 5051","97"
"IL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4733 - 5524","1193"
"IN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4501 - 4970","721"
"KS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4486 - 5082","239"
"KY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4308 - 5097","702"
"LA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4467 - 5109","492"
"MA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5264 - 6581","926"
"MD","282","Acute myocardial infarction, discharged alive w/o CC/MCC","3343 - 7823","935"
"ME","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4655 - 5579","373"
"MI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4760 - 5713","1312"
"MN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4921 - 5442","434"
"MO","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4486 - 5179","615"
"MP","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1438 - 2549","*"
"MS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4418 - 5056","505"
"MT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4602 - 4838","77"
"NC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4638 - 5465","1314"
"ND","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4504 - 4885","74"
"NE","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4486 - 5653","218"
"NH","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4890 - 5264","171"
"NJ","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5053 - 6138","1534"
"NM","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4743 - 5362","193"
"NV","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5227 - 6005","189"
"NY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4917 - 7805","2127"
"OH","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4334 - 5123","1176"
"OK","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4282 - 4812","484"
"OR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5061 - 5539","294"
"PA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4418 - 5330","1488"
"PR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","2790 - 3144","483"
"RI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5125 - 6616","113"
"SC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4358 - 5072","612"
"SD","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4344 - 5020","92"
"TN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4385 - 5026","963"
"TX","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4497 - 5388","1993"
"UT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4714 - 5122","87"
"VA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4330 - 5136","919"
"VI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","2593 - 6165","*"
"VT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5810 - 7172","75"
"WA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5225 - 5727","600"
"WI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4632 - 5451","414"
"WV","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4212 - 4901","405"
"WY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","5880 - 6947","35"
"AK","280","Acute myocardial infarction, discharged alive w MCC","15010 - 22578","53"
"AL","280","Acute myocardial infarction, discharged alive w MCC","9637 - 10620","1307"
"AR","280","Acute myocardial infarction, discharged alive w MCC","9934 - 10707","795"
"AZ","280","Acute myocardial infarction, discharged alive w MCC","10729 - 12542","938"
"CA","280","Acute myocardial infarction, discharged alive w MCC","12486 - 16362","5321"
"CO","280","Acute myocardial infarction, discharged alive w MCC","10706 - 11963","480"
"CT","280","Acute myocardial infarction, discharged alive w MCC","11964 - 14559","1307"
"DC","280","Acute myocardial infarction, discharged alive w MCC","14382 - 14810","190"
"DE","280","Acute myocardial infarction, discharged alive w MCC","10637 - 12562","262"
"FL","280","Acute myocardial infarction, discharged alive w MCC","9838 - 11307","5898"
"GA","280","Acute myocardial infarction, discharged alive w MCC","10088 - 12123","2203"
"GU","280","Acute myocardial infarction, discharged alive w MCC","5050 - 16160","37"
"HI","280","Acute myocardial infarction, discharged alive w MCC","13369 - 15508","345"
"IA","280","Acute myocardial infarction, discharged alive w MCC","9735 - 10927","808"
"ID","280","Acute myocardial infarction, discharged alive w MCC","10492 - 11324","126"
"IL","280","Acute myocardial infarction, discharged alive w MCC","10386 - 12427","3714"
"IN","280","Acute myocardial infarction, discharged alive w MCC","10035 - 11448","1809"
"KS","280","Acute myocardial infarction, discharged alive w MCC","9949 - 11366","578"
"KY","280","Acute myocardial infarction, discharged alive w MCC","9976 - 11697","1681"
"LA","280","Acute myocardial infarction, discharged alive w MCC","10103 - 11945","987"
"MA","280","Acute myocardial infarction, discharged alive w MCC","11546 - 14429","2483"
"MD","280","Acute myocardial infarction, discharged alive w MCC","7039 - 17895","1486"
"ME","280","Acute myocardial infarction, discharged alive w MCC","10482 - 12341","655"
"MI","280","Acute myocardial infarction, discharged alive w MCC","10801 - 12867","4012"
"MN","280","Acute myocardial infarction, discharged alive w MCC","11006 - 12320","918"
"MO","280","Acute myocardial infarction, discharged alive w MCC","9760 - 11561","1775"
"MP","280","Acute myocardial infarction, discharged alive w MCC","1195 - 2708","*"
"MS","280","Acute myocardial infarction, discharged alive w MCC","10314 - 11433","873"
"MT","280","Acute myocardial infarction, discharged alive w MCC","9779 - 10835","114"
"NC","280","Acute myocardial infarction, discharged alive w MCC","10436 - 12304","3351"
"ND","280","Acute myocardial infarction, discharged alive w MCC","9766 - 10241","209"
"NE","280","Acute myocardial infarction, discharged alive w MCC","10042 - 13358","351"
"NH","280","Acute myocardial infarction, discharged alive w MCC","10725 - 11790","376"
"NJ","280","Acute myocardial infarction, discharged alive w MCC","11317 - 13776","3489"
"NM","280","Acute myocardial infarction, discharged alive w MCC","10138 - 13218","270"
"NV","280","Acute myocardial infarction, discharged alive w MCC","11707 - 13448","324"
"NY","280","Acute myocardial infarction, discharged alive w MCC","10863 - 18064","5397"
"OH","280","Acute myocardial infarction, discharged alive w MCC","9772 - 11530","3275"
"OK","280","Acute myocardial infarction, discharged alive w MCC","9635 - 11226","1017"
"OR","280","Acute myocardial infarction, discharged alive w MCC","11129 - 12246","526"
"PA","280","Acute myocardial infarction, discharged alive w MCC","9826 - 12017","4207"
"PR","280","Acute myocardial infarction, discharged alive w MCC","6242 - 6974","350"
"RI","280","Acute myocardial infarction, discharged alive w MCC","11475 - 15570","343"
"SC","280","Acute myocardial infarction, discharged alive w MCC","10181 - 11469","1394"
"SD","280","Acute myocardial infarction, discharged alive w MCC","9714 - 11308","217"
"TN","280","Acute myocardial infarction, discharged alive w MCC","9615 - 11169","2573"
"TX","280","Acute myocardial infarction, discharged alive w MCC","10101 - 12132","5272"
"UT","280","Acute myocardial infarction, discharged alive w MCC","10676 - 11407","146"
"VA","280","Acute myocardial infarction, discharged alive w MCC","9915 - 11538","2201"
"VI","280","Acute myocardial infarction, discharged alive w MCC","8631","*"
"VT","280","Acute myocardial infarction, discharged alive w MCC","11898 - 16063","143"
"WA","280","Acute myocardial infarction, discharged alive w MCC","11719 - 12870","1167"
"WI","280","Acute myocardial infarction, discharged alive w MCC","10252 - 12207","1198"
"WV","280","Acute myocardial infarction, discharged alive w MCC","9703 - 11334","771"
"WY","280","Acute myocardial infarction, discharged alive w MCC","13138 - 15534","48"
"AK","281","Acute myocardial infarction, discharged alive w CC","9524 - 14346","51"
"AK","293","Heart failure and shock w/o CC/MCC","5726 - 8348","91"
"AL","293","Heart failure and shock w/o CC/MCC","3639 - 3997","2321"
"AL","281","Acute myocardial infarction, discharged alive w CC","6088 - 6765","784"
"AR","293","Heart failure and shock w/o CC/MCC","3803 - 4088","1612"
"AR","281","Acute myocardial infarction, discharged alive w CC","6307 - 6825","407"
"AS","293","Heart failure and shock w/o CC/MCC","792 - 1306","11"
"AZ","293","Heart failure and shock w/o CC/MCC","4132 - 4770","1054"
"AZ","281","Acute myocardial infarction, discharged alive w CC","6808 - 7958","503"
"CA","293","Heart failure and shock w/o CC/MCC","5032 - 6365","6114"
"CA","281","Acute myocardial infarction, discharged alive w CC","8031 - 10297","2349"
"CO","281","Acute myocardial infarction, discharged alive w CC","6804 - 7574","291"
"CO","293","Heart failure and shock w/o CC/MCC","4081 - 4580","701"
"CT","293","Heart failure and shock w/o CC/MCC","4761 - 5487","1319"
"CT","281","Acute myocardial infarction, discharged alive w CC","7924 - 9491","560"
"DC","281","Acute myocardial infarction, discharged alive w CC","9126 - 9389","89"
"DC","293","Heart failure and shock w/o CC/MCC","5450 - 5670","404"
"DE","293","Heart failure and shock w/o CC/MCC","4512 - 4898","331"
"DE","281","Acute myocardial infarction, discharged alive w CC","6909 - 8180","103"
"FL","281","Acute myocardial infarction, discharged alive w CC","6309 - 7200","2917"
"FL","293","Heart failure and shock w/o CC/MCC","3817 - 4354","7578"
"GA","293","Heart failure and shock w/o CC/MCC","3937 - 4616","3002"
"GA","281","Acute myocardial infarction, discharged alive w CC","6396 - 7533","1036"
"GU","281","Acute myocardial infarction, discharged alive w CC","3283 - 7070","18"
"GU","293","Heart failure and shock w/o CC/MCC","2020 - 4040","21"
"HI","293","Heart failure and shock w/o CC/MCC","5269 - 6699","208"
"HI","281","Acute myocardial infarction, discharged alive w CC","8975 - 11242","183"
"IA","281","Acute myocardial infarction, discharged alive w CC","6341 - 7162","379"
"IA","293","Heart failure and shock w/o CC/MCC","3824 - 4242","915"
"ID","293","Heart failure and shock w/o CC/MCC","4164 - 4298","226"
"ID","281","Acute myocardial infarction, discharged alive w CC","6971 - 7193","98"
"IL","281","Acute myocardial infarction, discharged alive w CC","6739 - 7842","1594"
"IL","293","Heart failure and shock w/o CC/MCC","4031 - 5075","5401"
"IN","293","Heart failure and shock w/o CC/MCC","3900 - 4290","2813"
"IN","281","Acute myocardial infarction, discharged alive w CC","6397 - 7062","984"
"KS","281","Acute myocardial infarction, discharged alive w CC","6375 - 7221","300"
"KS","293","Heart failure and shock w/o CC/MCC","3808 - 4234","934"
"KY","293","Heart failure and shock w/o CC/MCC","3801 - 4327","2535"
"KY","281","Acute myocardial infarction, discharged alive w CC","6330 - 7467","769"
"LA","281","Acute myocardial infarction, discharged alive w CC","6450 - 7321","528"
"LA","293","Heart failure and shock w/o CC/MCC","3871 - 4375","2582"
"MA","293","Heart failure and shock w/o CC/MCC","4547 - 5579","3065"
"MA","281","Acute myocardial infarction, discharged alive w CC","7594 - 9356","1144"
"MD","281","Acute myocardial infarction, discharged alive w CC","4869 - 11226","1066"
"MD","293","Heart failure and shock w/o CC/MCC","3808 - 7135","2701"
"ME","293","Heart failure and shock w/o CC/MCC","4139 - 4861","454"
"ME","281","Acute myocardial infarction, discharged alive w CC","6790 - 7922","412"
"MI","281","Acute myocardial infarction, discharged alive w CC","6921 - 8141","1644"
"MI","293","Heart failure and shock w/o CC/MCC","4161 - 4880","4005"
"MN","293","Heart failure and shock w/o CC/MCC","4341 - 4667","1142"
"MN","281","Acute myocardial infarction, discharged alive w CC","7004 - 7814","549"
"MO","281","Acute myocardial infarction, discharged alive w CC","6375 - 7642","846"
"MO","293","Heart failure and shock w/o CC/MCC","3835 - 4555","2441"
"MP","281","Acute myocardial infarction, discharged alive w CC","2166 - 2918","*"
"MP","293","Heart failure and shock w/o CC/MCC","962 - 2302","*"
"MS","293","Heart failure and shock w/o CC/MCC","3764 - 4274","1976"
"MS","281","Acute myocardial infarction, discharged alive w CC","6347 - 7234","516"
"MT","281","Acute myocardial infarction, discharged alive w CC","6205 - 6875","81"
"MT","293","Heart failure and shock w/o CC/MCC","3905 - 4106","222"
"NC","293","Heart failure and shock w/o CC/MCC","4062 - 4525","3499"
"NC","281","Acute myocardial infarction, discharged alive w CC","6672 - 8009","1671"
"ND","281","Acute myocardial infarction, discharged alive w CC","6269 - 6941","95"
"ND","293","Heart failure and shock w/o CC/MCC","3823 - 4146","158"
"NE","281","Acute myocardial infarction, discharged alive w CC","6372 - 7913","228"
"NE","293","Heart failure and shock w/o CC/MCC","3933 - 4780","516"
"NH","281","Acute myocardial infarction, discharged alive w CC","6998 - 8256","227"
"NH","293","Heart failure and shock w/o CC/MCC","4164 - 4404","366"
"NJ","293","Heart failure and shock w/o CC/MCC","4443 - 5359","4462"
"NJ","281","Acute myocardial infarction, discharged alive w CC","7182 - 8731","1475"
"NM","281","Acute myocardial infarction, discharged alive w CC","6385 - 7567","181"
"NM","293","Heart failure and shock w/o CC/MCC","4069 - 5093","427"
"NV","281","Acute myocardial infarction, discharged alive w CC","7693 - 8528","202"
"NV","293","Heart failure and shock w/o CC/MCC","4598 - 5366","536"
"NY","281","Acute myocardial infarction, discharged alive w CC","7048 - 11362","2519"
"NY","293","Heart failure and shock w/o CC/MCC","4370 - 7278","6783"
"OH","293","Heart failure and shock w/o CC/MCC","3808 - 4358","4070"
"OH","281","Acute myocardial infarction, discharged alive w CC","6275 - 7437","1455"
"OK","281","Acute myocardial infarction, discharged alive w CC","6114 - 6839","588"
"OK","293","Heart failure and shock w/o CC/MCC","3759 - 4093","1456"
"OR","293","Heart failure and shock w/o CC/MCC","4387 - 4882","627"
"OR","281","Acute myocardial infarction, discharged alive w CC","7129 - 7795","341"
"PA","281","Acute myocardial infarction, discharged alive w CC","6418 - 7634","1917"
"PA","293","Heart failure and shock w/o CC/MCC","3844 - 4590","5711"
"PR","293","Heart failure and shock w/o CC/MCC","2368 - 2642","561"
"PR","281","Acute myocardial infarction, discharged alive w CC","3961 - 4427","229"
"RI","281","Acute myocardial infarction, discharged alive w CC","7212 - 8261","146"
"RI","293","Heart failure and shock w/o CC/MCC","4357 - 5930","364"
"SC","293","Heart failure and shock w/o CC/MCC","3863 - 4330","1833"
"SC","281","Acute myocardial infarction, discharged alive w CC","6453 - 7254","641"
"SD","281","Acute myocardial infarction, discharged alive w CC","6174 - 6954","119"
"SD","293","Heart failure and shock w/o CC/MCC","4053 - 4763","266"
"TN","293","Heart failure and shock w/o CC/MCC","3782 - 4283","2951"
"TN","281","Acute myocardial infarction, discharged alive w CC","6338 - 7098","1218"
"TX","281","Acute myocardial infarction, discharged alive w CC","6410 - 7698","2437"
"TX","293","Heart failure and shock w/o CC/MCC","3849 - 4533","7332"
"UT","293","Heart failure and shock w/o CC/MCC","4018 - 4272","280"
"UT","281","Acute myocardial infarction, discharged alive w CC","6935 - 7636","63"
"VA","281","Acute myocardial infarction, discharged alive w CC","6350 - 7321","1104"
"VA","293","Heart failure and shock w/o CC/MCC","3840 - 4357","2478"
"VI","293","Heart failure and shock w/o CC/MCC","2649 - 7436","30"
"VI","281","Acute myocardial infarction, discharged alive w CC","1487","*"
"VT","281","Acute myocardial infarction, discharged alive w CC","7326 - 10192","101"
"VT","293","Heart failure and shock w/o CC/MCC","4373 - 6087","148"
"WA","293","Heart failure and shock w/o CC/MCC","4588 - 4869","1374"
"WA","281","Acute myocardial infarction, discharged alive w CC","7648 - 8179","609"
"WI","281","Acute myocardial infarction, discharged alive w CC","6591 - 7752","652"
"WI","293","Heart failure and shock w/o CC/MCC","3965 - 4626","1376"
"WV","293","Heart failure and shock w/o CC/MCC","3683 - 4196","891"
"WV","281","Acute myocardial infarction, discharged alive w CC","6130 - 7190","420"
"WY","281","Acute myocardial infarction, discharged alive w CC","8338 - 9873","29"
"WY","293","Heart failure and shock w/o CC/MCC","4975 - 5950","138"
"AK","291","Heart failure and shock w MCC","11974 - 18018","158"
"AK","292","Heart failure and shock w CC","7983 - 11996","180"
"AK","192","Chronic obstructive pulmonary disease w/o CC/MCC","5881 - 8610","129"
"AK","190","Chronic obstructive pulmonary disease w MCC","9898 - 14923","170"
"AL","291","Heart failure and shock w MCC","7700 - 8670","4659"
"AL","292","Heart failure and shock w CC","5116 - 5649","3964"
"AL","192","Chronic obstructive pulmonary disease w/o CC/MCC","3776 - 4157","3354"
"AL","190","Chronic obstructive pulmonary disease w MCC","6355 - 7004","3804"
"AR","190","Chronic obstructive pulmonary disease w MCC","6618 - 7111","1807"
"AR","192","Chronic obstructive pulmonary disease w/o CC/MCC","3938 - 4283","1835"
"AR","292","Heart failure and shock w CC","5329 - 5726","2167"
"AR","291","Heart failure and shock w MCC","8006 - 8603","2441"
"AS","291","Heart failure and shock w MCC","905 - 1068","*"
"AS","292","Heart failure and shock w CC","1294 - 1781","*"
"AS","192","Chronic obstructive pulmonary disease w/o CC/MCC","517 - 1357","*"
"AZ","190","Chronic obstructive pulmonary disease w MCC","7330 - 8301","2100"
"AZ","292","Heart failure and shock w CC","5798 - 6685","1858"
"AZ","192","Chronic obstructive pulmonary disease w/o CC/MCC","4355 - 5015","1351"
"AZ","291","Heart failure and shock w MCC","8683 - 10005","2936"
"CA","292","Heart failure and shock w CC","6965 - 8871","11243"
"CA","291","Heart failure and shock w MCC","10326 - 13305","17552"
"CA","192","Chronic obstructive pulmonary disease w/o CC/MCC","5259 - 6580","6486"
"CA","190","Chronic obstructive pulmonary disease w MCC","8699 - 10966","10055"
"CO","190","Chronic obstructive pulmonary disease w MCC","7093 - 7889","1126"
"CO","192","Chronic obstructive pulmonary disease w/o CC/MCC","4217 - 4687","767"
"CO","291","Heart failure and shock w MCC","8580 - 9543","1550"
"CO","292","Heart failure and shock w CC","5721 - 6363","1263"
