"Measure Name","Condition","Measure Code","Percentile","Score"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia Process of Care Measures","PN_7","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital (a lower number of minutes is better)","Heart Attack or Chest Pain Process of Care Measures","OP_3b","National Average of Hospitals submitting data:","60"
"Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital (a lower number of minutes is better)","Heart Attack or Chest Pain Process of Care Measures","OP_3b","Top 10% of Hospitals submitting data scored equal to or higher than:","39"
"Average number of minutes before outpatients with chest pain or possible heart attack got an ECG (a lower number of minutes is better)","Heart Attack or Chest Pain Process of Care Measures","OP_5","National Average of Hospitals submitting data:","8"
"Average number of minutes before outpatients with chest pain or possible heart attack got an ECG (a lower number of minutes is better)","Heart Attack or Chest Pain Process of Care Measures","OP_5","Top 10% of Hospitals submitting data scored equal to or higher than:","3"
"Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival (higher numbers are better)","Heart Attack or Chest Pain Process of Care Measures","OP_2","National Average of Hospitals submitting data:","56"
"Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival (higher numbers are better)","Heart Attack or Chest Pain Process of Care Measures","OP_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival (higher numbers are better)","Heart Attack or Chest Pain Process of Care Measures","OP_4","National Average of Hospitals submitting data:","96"
"Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival (higher numbers are better)","Heart Attack or Chest Pain Process of Care Measures","OP_4","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack or Chest Pain Process of Care Measures","AMI_1","National Average of Hospitals submitting data:","99"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack or Chest Pain Process of Care Measures","AMI_1","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack or Chest Pain Process of Care Measures","AMI_2","National Average of Hospitals submitting data:","99"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack or Chest Pain Process of Care Measures","AMI_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack or Chest Pain Process of Care Measures","AMI_3","National Average of Hospitals submitting data:","96"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack or Chest Pain Process of Care Measures","AMI_3","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack or Chest Pain Process of Care Measures","AMI_4","National Average of Hospitals submitting data:","100"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack or Chest Pain Process of Care Measures","AMI_4","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack or Chest Pain Process of Care Measures","AMI_5","National Average of Hospitals submitting data:","98"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack or Chest Pain Process of Care Measures","AMI_5","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Heart Attack or Chest Pain Process of Care Measures","AMI_7a","National Average of Hospitals submitting data:","58"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Heart Attack or Chest Pain Process of Care Measures","AMI_7a","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Heart Attack or Chest Pain Process of Care Measures","AMI_8a","National Average of Hospitals submitting data:","91"
"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Heart Attack or Chest Pain Process of Care Measures","AMI_8a","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Surgical Care Improvement Project Process of Care Measures","OP_6","National Average of Hospitals submitting data:","94"
"Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Surgical Care Improvement Project Process of Care Measures","OP_6","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Surgical Care Improvement Project Process of Care Measures","OP_7","National Average of Hospitals submitting data:","95"
"Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Surgical Care Improvement Project Process of Care Measures","OP_7","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on the beta blockers during the period just before and after their surgery      ","Surgical Care Improvement Project Process of Care Measures","SCIP_CARD_2","National Average of Hospitals submitting data:","94"
"Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on the beta blockers during the period just before and after their surgery      ","Surgical Care Improvement Project Process of Care Measures","SCIP_CARD_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection  ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_1","National Average of Hospitals submitting data:","97"
"Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection  ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_1","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients who were given the right kind of antibiotic to help prevent infection     ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_2","National Average of Hospitals submitting data:","98"
"Surgery patients who were given the right kind of antibiotic to help prevent infection     ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)     ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_3","National Average of Hospitals submitting data:","96"
"Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)     ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_3","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery  ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_4","National Average of Hospitals submitting data:","94"
"Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery  ","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_4","Top 10% of Hospitals submitting data scored equal to or higher than:","99"
"Surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method (electric clippers or hair removal cream – not a razor)","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_6","National Average of Hospitals submitting data:","100"
"Surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method (electric clippers or hair removal cream – not a razor)","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_6","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries ","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_1","National Average of Hospitals submitting data:","95"
"Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries ","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_1","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery     ","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_2","National Average of Hospitals submitting data:","93"
"Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery     ","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients whose urinary catheters were removed on the first or second day after surgery.","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_9","National Average of Hospitals submitting data:","91"
"Surgery patients whose urinary catheters were removed on the first or second day after surgery.","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_9","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
