"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Death from serious treatable complications after surgery","Footnote - Death from serious treatable complications after surgery","Collapsed lung due to medical treatment","Footnote - Collapsed lung due to medical treatment","Serious blood clots after surgery","Footnote - Serious blood clots after surgery","A wound that splits open after surgery","Footnote - A wound that splits open after surgery","Accidental cuts and tears from medical treatment","Footnote - Accidental cuts and tears from medical treatment","Serious Complications","Footnote - Serious Complications","Number of Patients - Death from serious treatable complications after surgery","Rate - Death from serious treatable complications after surgery","Lower Estimate - Death from serious treatable complications after surgery","Higher Estimate - Death from serious treatable complications after surgery","Number of Patients - Collapsed lung due to medical treatment","Rate - Collapsed lung due to medical treatment","Lower Estimate - Collapsed lung due to medical treatment","Higher Estimate - Collapsed lung due to medical treatment","Number of Patients - Serious blood clots after surgery","Rate - Serious blood clots after surgery","Lower Estimate - Serious blood clots after surgery","Higher Estimate - Serious blood clots after surgery","Number of Patients - A wound that splits open after surgery","Rate - A wound that splits open after surgery","Lower Estimate - A wound that splits open after surgery","Higher Estimate - A wound that splits open after surgery","Number of Patients - Accidental cuts and tears from medical treatment","Rate - Accidental cuts and tears from medical treatment","Lower Estimate - Accidental cuts and tears from medical treatment","Higher Estimate - Accidental cuts and tears from medical treatment","Number of Patients - Serious Complications","Rate - Serious Complications","Lower Estimate - Serious Complications","Higher Estimate - Serious Complications"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","4","Not Available","Not Available","Not Available","1460","0.26","0.00","0.66","156","3.37","0.00","8.04","14","Not Available","Not Available","Not Available","1495","1.45","0.00","3.59","Not Available","0.50","0.07","0.92"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","947","0.30","0.00","0.73","43","3.96","0.00","9.03","11","Not Available","Not Available","Not Available","972","1.63","0.00","3.89","Not Available","0.56","0.10","1.02"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","135","135.34","100.51","170.17","10052","0.20","0.00","0.47","3907","2.64","0.70","4.57","328","0.42","0.00","1.98","10365","2.23","1.32","3.14","Not Available","0.54","0.35","0.73"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Better than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","93","130.97","90.93","171.02","9861","0.33","0.07","0.59","2900","1.66","0.00","3.95","245","0.47","0.00","2.11","10215","1.89","0.90","2.87","Not Available","0.48","0.28","0.69"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","11","Not Available","Not Available","Not Available","2431","0.24","0.00","0.62","314","1.76","0.00","5.14","69","2.75","0.69","4.81","2560","1.26","0.00","3.01","Not Available","0.43","0.10","0.77"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","121","139.68","102.49","176.87","10915","0.23","0.00","0.49","3960","2.52","0.79","4.24","362","0.93","0.00","2.44","11366","2.47","1.57","3.37","Not Available","0.62","0.44","0.80"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","690","0.29","0.00","0.71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","757","1.70","0.00","4.01","Not Available","0.58","0.11","1.04"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","Worse than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","538","142.08","120.67","163.48","22430","0.60","0.39","0.81","10269","4.92","3.85","5.99","1506","0.17","0.00","1.15","24595","2.18","1.69","2.67","Not Available","0.74","0.63","0.85"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","10","Not Available","Not Available","Not Available","1341","0.28","0.00","0.69","86","3.67","0.00","8.55","18","Not Available","Not Available","Not Available","1491","1.44","0.00","3.57","Not Available","0.51","0.08","0.94"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","36","176.53","129.44","223.62","6137","0.24","0.00","0.56","1457","3.01","0.17","5.85","147","1.44","0.00","3.31","6245","1.73","0.46","2.99","Not Available","0.52","0.27","0.78"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","23","Not Available","Not Available","Not Available","2941","0.26","0.00","0.65","559","3.11","0.00","6.98","80","0.71","0.00","2.74","3030","2.31","0.61","4.02","Not Available","0.61","0.26","0.96"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","41","105.45","60.54","150.37","4336","0.20","0.00","0.55","871","3.76","0.35","7.16","134","0.63","0.00","2.53","4551","1.55","0.23","2.87","Not Available","0.51","0.23","0.80"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","386","130.10","106.77","153.43","28145","0.18","0.01","0.35","10436","3.44","2.36","4.52","965","0.21","0.00","1.31","29176","2.08","1.52","2.65","Not Available","0.59","0.48","0.70"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","171","112.28","76.62","147.95","8922","0.27","0.00","0.55","2687","5.16","2.71","7.61","253","1.71","0.09","3.33","9147","1.36","0.33","2.40","Not Available","0.59","0.38","0.80"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","946","0.41","0.00","0.83","38","3.98","0.00","9.06","17","Not Available","Not Available","Not Available","1013","1.51","0.00","3.68","Not Available","0.56","0.11","1.01"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","8","Not Available","Not Available","Not Available","1532","0.28","0.00","0.69","66","3.62","0.00","8.47","32","1.93","0.00","4.10","1560","2.78","0.79","4.77","Not Available","0.73","0.32","1.14"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","102","125.25","85.21","165.29","7360","0.29","0.00","0.60","1608","5.62","2.52","8.73","103","0.64","0.00","2.56","7848","0.82","0.00","2.10","Not Available","0.51","0.25","0.77"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","1166","0.30","0.00","0.73","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1213","1.67","0.00","3.97","Not Available","0.58","0.11","1.05"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","12","Not Available","Not Available","Not Available","3236","0.35","0.00","0.75","628","4.27","0.65","7.88","90","1.79","0.00","3.88","3301","2.38","0.65","4.11","Not Available","0.73","0.38","1.07"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","1004","0.29","0.00","0.71","58","5.25","0.22","10.27","10","Not Available","Not Available","Not Available","1037","1.55","0.00","3.75","Not Available","0.60","0.15","1.05"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","511","0.31","0.00","0.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","517","1.78","0.00","4.14","Not Available","0.60","0.11","1.08"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","996","0.30","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1018","1.67","0.00","3.96","Not Available","0.58","0.10","1.05"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","17","Not Available","Not Available","Not Available","2996","0.24","0.00","0.62","406","3.54","0.00","7.66","86","0.73","0.00","2.80","3096","1.72","0.03","3.40","Not Available","0.53","0.18","0.88"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","99","139.26","98.69","179.82","9866","0.21","0.00","0.48","3720","2.21","0.06","4.35","340","1.00","0.00","2.56","10243","2.26","1.37","3.14","Not Available","0.53","0.34","0.72"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","166","133.10","98.31","167.90","13544","0.26","0.01","0.51","6080","3.59","1.85","5.32","522","0.35","0.00","1.76","13696","1.59","0.83","2.34","Not Available","0.51","0.35","0.67"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","252","0.31","0.00","0.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","270","1.80","0.00","4.17","Not Available","0.65","0.17","1.13"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","1574","0.28","0.00","0.70","12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1614","1.59","0.00","3.82","Not Available","0.55","0.11","1.00"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","12","Not Available","Not Available","Not Available","3421","0.25","0.00","0.65","257","5.29","0.80","9.79","40","0.82","0.00","3.00","3528","2.38","0.53","4.23","Not Available","0.74","0.36","1.12"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","5","Not Available","Not Available","Not Available","1455","0.29","0.00","0.71","90","3.69","0.00","8.58","37","0.81","0.00","2.97","1534","1.69","0.00","3.71","Not Available","0.55","0.13","0.96"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","36","94.08","46.14","142.02","3046","0.65","0.28","1.02","658","2.58","0.00","6.09","86","1.67","0.00","3.69","3116","2.94","1.36","4.53","Not Available","0.75","0.43","1.07"
"010066","FLORALA MEMORIAL HOSPITAL","24273 FIFTH AVENUE","","","FLORALA","AL","36442","COVINGTON","3348583287","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","360","0.30","0.00","0.73","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","365","1.77","0.00","4.13","Not Available","0.59","0.11","1.07"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","","","EUFAULA","AL","36027","BARBOUR","3346887271","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","5","Not Available","Not Available","Not Available","1446","0.29","0.00","0.70","72","3.81","0.00","8.78","33","0.84","0.00","3.04","1467","1.35","0.00","3.41","Not Available","0.50","0.08","0.93"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","","","ASHLAND","AL","36251","CLAY","2563542131","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","1237","0.29","0.00","0.71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1263","1.67","0.00","3.95","Not Available","0.57","0.11","1.04"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","145","155.63","120.49","190.77","10074","0.33","0.07","0.60","3114","3.85","1.68","6.03","275","1.02","0.00","2.59","10793","2.50","1.60","3.40","Not Available","0.69","0.50","0.88"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","","","ATHENS","AL","35611","LIMESTONE","2562339292","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","17","Not Available","Not Available","Not Available","3248","0.23","0.00","0.60","406","4.96","1.01","8.91","70","0.73","0.00","2.78","3365","1.19","0.00","2.88","Not Available","0.51","0.17","0.85"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","","","FOLEY","AL","36535","BALDWIN","2519493400","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","33","103.37","53.02","153.72","4520","0.35","0.00","0.70","887","3.98","0.73","7.22","185","2.05","0.28","3.83","4701","3.15","1.77","4.53","Not Available","0.81","0.52","1.10"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","","","DECATUR","AL","35601","MORGAN","2563412000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","91","116.03","75.87","156.19","6856","0.29","0.00","0.61","1454","4.19","1.68","6.70","248","0.48","0.00","2.14","7135","2.37","1.21","3.53","Not Available","0.64","0.41","0.88"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","","","WINFIELD","AL","35594","MARION","2054877736","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","9","Not Available","Not Available","Not Available","2285","0.37","0.00","0.77","312","4.92","0.59","9.26","56","0.73","0.00","2.80","2496","1.01","0.00","2.79","Not Available","0.51","0.14","0.88"
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","","","MOBILE","AL","36617","MOBILE","2514717110","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","33","160.23","111.18","209.29","1914","0.54","0.15","0.93","783","4.82","1.66","7.98","122","1.44","0.00","3.31","2041","1.99","0.50","3.49","Not Available","0.71","0.41","1.02"
