"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia","Rate of readmission after hip or knee surgery","Footnote - Rate of readmission after hip or knee surgery ","Number of Patients - Rate of readmission after hip or knee surgery","RSRR - Rate of readmission after hip or knee surgery","Lower Readmission Estimate - Rate of readmission after hip or knee surgery","Upper Readmission Estimate - Rate of readmission after hip or knee surgery","All cause hospital-wide readmission","Footnote - All cause hospital-wide readmission","Number of Patients - All cause hospital-wide readmission","RSRR - All cause hospital-wide readmission","Lower Readmission Estimate - All cause hospital-wide readmission","Upper Readmission Estimate - All cause hospital-wide readmission","Complications and Deaths following hip/knee surgery","Footnote - Complications and Deaths following hip/knee surgery","Number of Patients - Complications and Deaths following hip/knee surgery","RSCR - Complications and Deaths following hip/knee surgery","Lower Readmission Estimate - Complications and Deaths following hip/knee surgery","Upper Readmission Estimate - Complications and Deaths following hip/knee surgery"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","15.9","No Different than U.S. National Rate","12.8","19.7","116","","13.4","No Different than U.S. National Rate","10.9","16.2","399","","11.6","No Different than U.S. National Rate","9.3","14.2","419","","16.9","No Different than U.S. National Rate","13.9","20.4","106","","23.8","No Different than U.S. National Rate","20.9","27.1","490","","17.4","No Different than U.S. National Rate","14.9","20.2","456","","No Different than U.S. National Rate","","344","6.5","4.9","8.6","No Different than U.S. National Rate","","2240","16.0","14.8","17.3","No Different than U.S. National Rate","","323","","2.3","5.2"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","Not Available","Number of Cases Too Small","Not Available","Not Available","16","The number of cases/patients is too few to report","11.7","No Different than U.S. National Rate","8.8","15.6","150","","11.4","No Different than U.S. National Rate","8.6","15.0","238","","Not Available","Number of Cases Too Small","Not Available","Not Available","6","The number of cases/patients is too few to report","21.9","No Different than U.S. National Rate","18.3","26.0","187","","18.9","No Different than U.S. National Rate","15.6","22.5","270","","No Different than U.S. National Rate","","114","5.4","3.8","7.7","No Different than U.S. National Rate","","939","16.4","14.7","18.1","No Different than U.S. National Rate","","105","","2.2","5.9"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","16.5","No Different than U.S. National Rate","12.2","22.1","67","","12.0","No Different than U.S. National Rate","9.0","15.9","194","","11.8","No Different than U.S. National Rate","8.9","15.6","215","","18.5","No Different than U.S. National Rate","14.8","22.9","48","","23.2","No Different than U.S. National Rate","19.5","27.4","229","","18.1","No Different than U.S. National Rate","14.9","21.7","231","","No Different than U.S. National Rate","","73","6.9","4.7","9.9","No Different than U.S. National Rate","","1174","16.9","15.3","18.6","No Different than U.S. National Rate","","64","","2.1","6.3"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","15.4","No Different than U.S. National Rate","13.4","17.6","1044","","12.2","No Different than U.S. National Rate","10.7","13.9","1414","","12.9","No Different than U.S. National Rate","11.1","15.0","910","","16.6","No Different than U.S. National Rate","14.8","18.8","1150","","22.0","No Different than U.S. National Rate","20.3","23.8","1723","","15.9","No Different than U.S. National Rate","14.1","17.8","944","","No Different than U.S. National Rate","","1584","5.5","4.5","6.6","No Different than U.S. National Rate","","9720","15.2","14.4","16.1","No Different than U.S. National Rate","","1443","","2.5","4.2"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","16.7","No Different than U.S. National Rate","13.2","21.2","218","","11.2","No Different than U.S. National Rate","8.7","14.2","365","","15.5","Worse than U.S. National Rate","12.5","18.8","408","","20.9","No Different than U.S. National Rate","17.5","25.0","210","","23.6","No Different than U.S. National Rate","20.7","26.9","459","","17.6","No Different than U.S. National Rate","14.9","20.5","437","","No Different than U.S. National Rate","","311","6.4","4.9","8.5","No Different than U.S. National Rate","","2958","17.1","15.8","18.4","Worse than U.S. National Rate","","296","","4.1","8.0"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","Not Available","Number of Cases Too Small","Not Available","Not Available","8","The number of cases/patients is too few to report","11.6","No Different than U.S. National Rate","8.2","15.9","57","","8.4","No Different than U.S. National Rate","5.9","11.9","163","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","The number of cases/patients is too few to report","23.1","No Different than U.S. National Rate","18.8","27.9","69","","16.6","No Different than U.S. National Rate","13.3","20.4","182","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","311","15.1","13.2","17.1","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","16.7","No Different than U.S. National Rate","13.0","20.8","28","","12.5","No Different than U.S. National Rate","9.2","16.7","101","","12.9","No Different than U.S. National Rate","9.8","16.7","163","","Not Available","Number of Cases Too Small","Not Available","Not Available","14","The number of cases/patients is too few to report","21.5","No Different than U.S. National Rate","17.4","26.0","113","","18.6","No Different than U.S. National Rate","15.1","22.4","161","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","543","16.3","14.5","18.3","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","16.6","No Different than U.S. National Rate","13.0","20.8","129","","11.5","No Different than U.S. National Rate","9.2","14.4","372","","13.7","No Different than U.S. National Rate","10.8","16.9","345","","18.0","No Different than U.S. National Rate","14.7","21.9","121","","28.1","Worse than U.S. National Rate","24.7","31.6","445","","19.3","No Different than U.S. National Rate","16.4","22.5","361","","No Different than U.S. National Rate","","214","6.2","4.5","8.5","No Different than U.S. National Rate","","2274","17.6","16.0","19.0","No Different than U.S. National Rate","","196","","2.2","5.3"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","15.2","No Different than U.S. National Rate","11.6","19.7","31","","12.4","No Different than U.S. National Rate","8.9","17.0","64","","11.8","No Different than U.S. National Rate","8.6","16.2","98","","Not Available","Number of Cases Too Small","Not Available","Not Available","19","The number of cases/patients is too few to report","24.6","No Different than U.S. National Rate","20.3","29.9","85","","16.8","No Different than U.S. National Rate","13.6","20.8","118","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","329","16.3","14.2","18.6","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","16.6","No Different than U.S. National Rate","12.6","21.4","36","","14.1","No Different than U.S. National Rate","10.8","18.4","141","","12.8","No Different than U.S. National Rate","9.6","16.9","180","","Not Available","Number of Cases Too Small","Not Available","Not Available","23","The number of cases/patients is too few to report","23.5","No Different than U.S. National Rate","19.5","27.9","173","","18.5","No Different than U.S. National Rate","15.3","22.6","187","","No Different than U.S. National Rate","","143","5.3","3.6","7.5","No Different than U.S. National Rate","","1007","16.5","15.0","18.2","No Different than U.S. National Rate","","130","","1.5","4.4"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","Not Available","Number of Cases Too Small","Not Available","Not Available","19","The number of cases/patients is too few to report","12.4","No Different than U.S. National Rate","8.8","17.1","58","","16.6","Worse than U.S. National Rate","12.5","22.1","135","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","The number of cases/patients is too few to report","25.2","No Different than U.S. National Rate","20.7","30.6","64","","16.4","No Different than U.S. National Rate","13.4","20.1","150","","Number of Cases Too Small","The number of cases/patients is too few to report","18","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","334","15.0","13.3","16.9","Number of Cases Too Small","The number of cases/patients is too few to report","16","","Not Available","Not Available"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Not Available","Number of Cases Too Small","Not Available","Not Available","1","The number of cases/patients is too few to report","11.2","No Different than U.S. National Rate","7.7","16.6","34","","11.6","No Different than U.S. National Rate","7.8","16.5","34","","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","26.0","No Different than U.S. National Rate","21.0","31.8","43","","18.3","No Different than U.S. National Rate","14.2","23.0","37","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","137","15.3","13.3","17.6","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
