Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Total Performance Score
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","AL","36265","CALHOUN","24.285714285714","17.000000000000","60.000000000000","18.000000000000","35.000000000000"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL","36117","MONTGOMERY","65.555555555556","45.888888888889","55.000000000000","16.500000000000","62.388888888889"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL","36037","BUTLER","92.222222222222","64.555555555556","62.000000000000","18.600000000000","83.155555555556"
"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","AL","36693","MOBILE","62.222222222222","43.555555555556","34.000000000000","10.200000000000","53.755555555556"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","COLBERT","62.222222222222","43.555555555556","27.000000000000","8.100000000000","51.655555555556"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","AL","35653","FRANKLIN","82.222222222222","57.555555555556","50.000000000000","15.000000000000","72.555555555556"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL","35150","TALLADEGA","65.555555555556","45.888888888889","62.000000000000","18.600000000000","64.488888888889"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL","36867","RUSSELL","83.750000000000","58.625000000000","80.000000000000","24.000000000000","82.625000000000"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","AK","99519","ANCHORAGE","38.181818181818","26.727272727273","35.000000000000","10.500000000000","37.227272727273"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK","99645","MATANUSKA-SUSITNA","85.555555555556","59.888888888889","51.000000000000","15.300000000000","75.188888888889"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK","99801","JUNEAU","58.888888888889","41.222222222222","58.000000000000","17.400000000000","58.622222222222"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","AK","99701","FAIRBANKS","55.000000000000","38.500000000000","49.000000000000","14.700000000000","53.200000000000"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","AK","99508","ANCHORAGE","69.090909090909","48.363636363636","35.000000000000","10.500000000000","58.863636363636"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","AK","99669","KENAI-COOK INLET","83.333333333333","58.333333333333","59.000000000000","17.700000000000","76.033333333333"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","AK","99508","ANCHORAGE","22.222222222222","15.555555555556","39.000000000000","11.700000000000","27.255555555556"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","AZ","85031","MARICOPA","81.250000000000","56.875000000000","40.000000000000","12.000000000000","68.875000000000"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","67.272727272727","47.090909090909","39.000000000000","11.700000000000","58.790909090909"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","71.818181818182","50.272727272727","40.000000000000","12.000000000000","62.272727272727"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","AZ","86326","YAVAPAI","54.000000000000","37.800000000000","59.000000000000","17.700000000000","55.500000000000"
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","AZ","85745","PIMA","76.000000000000","53.200000000000","36.000000000000","10.800000000000","64.000000000000"
"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","AZ","85711","PIMA","74.000000000000","51.800000000000","42.000000000000","12.600000000000","64.400000000000"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","AZ","86301","YAVAPAI","53.636363636364","37.545454545455","20.000000000000","6.000000000000","43.545454545455"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","AZ","85364","YUMA","41.818181818182","29.272727272727","18.000000000000","5.400000000000","34.672727272727"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","AZ","85020","MARICOPA","63.636363636364","44.545454545455","24.000000000000","7.200000000000","51.745454545455"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","AZ","85222","PINAL","47.000000000000","32.900000000000","37.000000000000","11.100000000000","44.000000000000"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","AZ","85008","MARICOPA","68.000000000000","47.600000000000","36.000000000000","10.800000000000","58.400000000000"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","AZ","86001","COCONINO","56.363636363636","39.454545454545","30.000000000000","9.000000000000","48.454545454545"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","AZ","85013","MARICOPA","62.727272727273","43.909090909091","30.000000000000","9.000000000000","52.909090909091"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","AZ","85015","MARICOPA","61.818181818182","43.272727272727","44.000000000000","13.200000000000","56.472727272727"
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","AZ","85541","GILA","75.555555555556","52.888888888889","52.000000000000","15.600000000000","68.488888888889"
"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","AZ","85224","MARICOPA","54.545454545455","38.181818181818","34.000000000000","10.200000000000","48.381818181818"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","AZ","85006","MARICOPA","62.727272727273","43.909090909091","58.000000000000","17.400000000000","61.309090909091"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","AZ","85251","MARICOPA","57.272727272727","40.090909090909","34.000000000000","10.200000000000","50.290909090909"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","AZ","85635","COCHISE","42.222222222222","29.555555555556","31.000000000000","9.300000000000","38.855555555556"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","AZ","86409","MOHAVE","60.909090909091","42.636363636364","55.000000000000","16.500000000000","59.136363636364"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","53.636363636364","37.545454545455","47.000000000000","14.100000000000","51.645454545455"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","47.777777777778","33.444444444444","37.000000000000","11.100000000000","44.544444444444"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","AZ","85724","PIMA","45.454545454545","31.818181818182","35.000000000000","10.500000000000","42.318181818182"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","60.000000000000","42.000000000000","35.000000000000","10.500000000000","52.500000000000"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","AZ","85344","LAPAZ","37.500000000000","26.250000000000","41.000000000000","12.300000000000","38.550000000000"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","AZ","85546","GRAHAM","67.777777777778","47.444444444444","41.000000000000","12.300000000000","59.744444444444"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","44.545454545455","31.181818181818","24.000000000000","7.200000000000","38.381818181818"
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","28.333333333333","19.833333333333","15.000000000000","4.500000000000","24.333333333333"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","26.666666666667","18.666666666667","45.000000000000","13.500000000000","32.166666666667"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","11.428571428571","8.000000000000","27.000000000000","8.100000000000","16.100000000000"
"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","66.000000000000","46.200000000000","42.000000000000","12.600000000000","58.800000000000"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","63.636363636364","44.545454545455","43.000000000000","12.900000000000","57.445454545455"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","61.818181818182","43.272727272727","23.000000000000","6.900000000000","50.172727272727"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","55.555555555556","38.888888888889","41.000000000000","12.300000000000","51.188888888889"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","67.272727272727","47.090909090909","38.000000000000","11.400000000000","58.490909090909"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","67.272727272727","47.090909090909","21.000000000000","6.300000000000","53.390909090909"
"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","49.000000000000","34.300000000000","34.000000000000","10.200000000000","44.500000000000"
"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","75.454545454545","52.818181818182","38.000000000000","11.400000000000","64.218181818182"
"030100","CARONDELET HEART AND VASCULAR INSTITUTE","4888 NORTH STONE AVENUE","TUCSON","AZ","85704","PIMA","86.666666666667","60.666666666667","45.000000000000","13.500000000000","74.166666666667"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","BULLHEAD CITY","AZ","86442","MOHAVE","80.000000000000","56.000000000000","30.000000000000","9.000000000000","65.000000000000"
"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","PHOENIX","AZ","85054","MARICOPA","79.090909090909","55.363636363636","68.000000000000","20.400000000000","75.763636363636"
"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","41.250000000000","28.875000000000","49.000000000000","14.700000000000","43.575000000000"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","MESA","AZ","85206","MARICOPA","80.000000000000","56.000000000000","86.000000000000","25.800000000000","81.800000000000"
"030108","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","6501 NORTH 19TH AVENUE","PHOENIX","AZ","85015","MARICOPA","61.666666666667","43.166666666667","79.000000000000","23.700000000000","66.866666666667"
"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","GOODYEAR","AZ","85395","MARICOPA","78.181818181818","54.727272727273","35.000000000000","10.500000000000","65.227272727273"
"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","2800 EAST AJO WAY","TUCSON","AZ","85713","PIMA","37.000000000000","25.900000000000","32.000000000000","9.600000000000","35.500000000000"
"030112","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","2905 WEST WARNER ROAD","CHANDLER","AZ","85225","MARICOPA","56.666666666667","39.666666666667","93.000000000000","27.900000000000","67.566666666667"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","AZ","85755","PIMA","70.000000000000","49.000000000000","53.000000000000","15.900000000000","64.900000000000"
"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","PHOENIX","AZ","85037","MARICOPA","69.090909090909","48.363636363636","43.000000000000","12.900000000000","61.263636363636"
"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","FORT MOHAVE","AZ","86426","MOHAVE","42.222222222222","29.555555555556","16.000000000000","4.800000000000","34.355555555556"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","PRESCOTT VALLEY","AZ","86314","YAVAPAI","48.888888888889","34.222222222222","41.000000000000","12.300000000000","46.522222222222"
"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","GILBERT","AZ","85296","MARICOPA","72.000000000000","50.400000000000","49.000000000000","14.700000000000","65.100000000000"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","AZ","85209","MARICOPA","43.636363636364","30.545454545455","30.000000000000","9.000000000000","39.545454545455"
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","GILBERT","AZ","85234","MARICOPA","54.444444444444","38.111111111111","37.000000000000","11.100000000000","49.211111111111"
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","SCOTTSDALE","AZ","85255","MARICOPA","55.555555555556","38.888888888889","33.000000000000","9.900000000000","48.788888888889"
"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","MESA","AZ","85201","MARICOPA","72.727272727273","50.909090909091","6.000000000000","1.800000000000","52.709090909091"
"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","SAN TAN VALLEY","AZ","85140","PINAL","60.000000000000","42.000000000000","82.000000000000","24.600000000000","66.600000000000"
"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","PHOENIX","AZ","85008","MARICOPA","16.666666666667","11.666666666667","76.000000000000","22.800000000000","34.466666666667"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","SILOAM SPRINGS","AR","72761","BENTON","88.888888888889","62.222222222222","24.000000000000","7.200000000000","69.422222222222"
"040002","JOHNSON REGIONAL MEDICAL CENTER","1100 EAST POPLAR STREET","CLARKSVILLE","AR","72830","JOHNSON","38.888888888889","27.222222222222","28.000000000000","8.400000000000","35.622222222222"
"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD","FAYETTEVILLE","AR","72703","WASHINGTON","64.545454545455","45.181818181818","56.000000000000","16.800000000000","61.981818181818"
"040007","ST VINCENT INFIRMARY MEDICAL CENTER","TWO ST VINCENT CIRCLE","LITTLE ROCK","AR","72205","PULASKI","49.090909090909","34.363636363636","29.000000000000","8.700000000000","43.063636363636"
"040010","MERCY MEDICAL CENTER","2710 RIFE MEDICAL LANE","ROGERS","AR","72758","BENTON","46.363636363636","32.454545454545","33.000000000000","9.900000000000","42.354545454545"
"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","SEARCY","AR","72143","WHITE","70.000000000000","49.000000000000","53.000000000000","15.900000000000","64.900000000000"
"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","LITTLE ROCK","AR","72205","PULASKI","63.636363636364","44.545454545455","39.000000000000","11.700000000000","56.245454545455"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","HARRISON","AR","72601","BOONE","47.777777777778","33.444444444444","44.000000000000","13.200000000000","46.644444444444"
"040018","SUMMIT MEDICAL CENTER","EAST MAIN AND SOUTH 20TH STREET","VAN BUREN","AR","72956","CRAWFORD","47.500000000000","33.250000000000","41.000000000000","12.300000000000","45.550000000000"
"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","FORREST CITY","AR","72335","ST. FRANCIS","53.750000000000","37.625000000000","43.000000000000","12.900000000000","50.525000000000"
"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","JONESBORO","AR","72401","CRAIGHEAD","50.000000000000","35.000000000000","45.000000000000","13.500000000000","48.500000000000"
"040022","NW ARKANSAS HOSPITALS, LLC","609 WEST MAPLE AVENUE","SPRINGDALE","AR","72764","WASHINGTON","57.272727272727","40.090909090909","36.000000000000","10.800000000000","50.890909090909"
"040026","ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","HOT SPRINGS","AR","71903","GARLAND","70.000000000000","49.000000000000","35.000000000000","10.500000000000","59.500000000000"
"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","MOUNTAIN HOME","AR","72653","BAXTER","49.090909090909","34.363636363636","21.000000000000","6.300000000000","40.663636363636"
"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","CONWAY","AR","72034","FAULKNER","53.636363636364","37.545454545455","44.000000000000","13.200000000000","50.745454545455"
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","NORTH LITTLE ROCK","AR","72117","PULASKI","72.727272727273","50.909090909091","42.000000000000","12.600000000000","63.509090909091"
"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","PARAGOULD","AR","72450","GREENE","81.000000000000","56.700000000000","48.000000000000","14.400000000000","71.100000000000"
"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","AR","72801","POPE","78.888888888889","55.222222222222","33.000000000000","9.900000000000","65.122222222222"
"040042","CRITTENDEN MEMORIAL HOSPITAL","200 TYLER","WEST MEMPHIS","AR","72301","CRITTENDEN","56.666666666667","39.666666666667","31.000000000000","9.300000000000","48.966666666667"
"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","AR","71701","OUACHITA","21.250000000000","14.875000000000","74.000000000000","22.200000000000","37.075000000000"
"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","AR","71655","DREW","37.777777777778","26.444444444444","34.000000000000","10.200000000000","36.644444444444"
"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","AR","72901","SEBASTIAN","90.909090909091","63.636363636364","19.000000000000","5.700000000000","69.336363636364"
"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH","AR","72917","SEBASTIAN","30.000000000000","21.000000000000","32.000000000000","9.600000000000","30.600000000000"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","MAGNOLIA","AR","71754","COLUMBIA","42.000000000000","29.400000000000","91.000000000000","27.300000000000","56.700000000000"
"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","BLYTHEVILLE","AR","72315","MISSISSIPPI","18.750000000000","13.125000000000","26.000000000000","7.800000000000","20.925000000000"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","AR","71603","JEFFERSON","86.363636363636","60.454545454545","40.000000000000","12.000000000000","72.454545454545"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","AR","72160","ARKANSAS","95.000000000000","66.500000000000","61.000000000000","18.300000000000","84.800000000000"
"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","JACKSONVILLE","AR","72076","PULASKI","35.000000000000","24.500000000000","43.000000000000","12.900000000000","37.400000000000"
"040076","HOT SPRING COUNTY MEDICAL CENTER","1001 SCHNEIDER DRIVE","MALVERN","AR","72104","HOT SPRING","42.000000000000","29.400000000000","34.000000000000","10.200000000000","39.600000000000"
"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS","AR","71901","GARLAND","48.000000000000","33.600000000000","49.000000000000","14.700000000000","48.300000000000"
"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","NEWPORT","AR","72112","JACKSON","67.500000000000","47.250000000000","32.000000000000","9.600000000000","56.850000000000"
"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","AR","72015","SALINE","78.000000000000","54.600000000000","37.000000000000","11.100000000000","65.700000000000"
"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING DRIVE","HELENA","AR","72342","PHILLIPS","100.000000000000","70.000000000000","59.000000000000","17.700000000000","87.700000000000"
"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO","AR","71731","UNION","83.636363636364","58.545454545455","34.000000000000","10.200000000000","68.745454545455"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","AR","72205","PULASKI","61.818181818182","43.272727272727","55.000000000000","16.500000000000","59.772727272727"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","JONESBORO","AR","72401","CRAIGHEAD","54.545454545455","38.181818181818","62.000000000000","18.600000000000","56.781818181818"
"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","AR","72503","INDEPENDENCE","59.000000000000","41.300000000000","19.000000000000","5.700000000000","47.000000000000"
"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK","AR","72211","PULASKI","92.000000000000","64.400000000000","86.000000000000","25.800000000000","90.200000000000"
"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","SHERWOOD","AR","72120","PULASKI","48.888888888889","34.222222222222","36.000000000000","10.800000000000","45.022222222222"
"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","NO LITTLE ROCK","AR","72118","PULASKI","83.333333333333","58.333333333333","98.000000000000","29.400000000000","87.733333333333"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","FAYETTEVILLE","AR","72703","WASHINGTON","88.333333333333","61.833333333333","100.000000000000","30.000000000000","91.833333333333"
"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","HAYWARD","CA","94545","ALAMEDA","57.000000000000","39.900000000000","24.000000000000","7.200000000000","47.100000000000"
"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","EUREKA","CA","95501","HUMBOLDT","77.000000000000","53.900000000000","18.000000000000","5.400000000000","59.300000000000"
"050007","PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","BURLINGAME","CA","94010","SAN MATEO","65.454545454545","45.818181818182","48.000000000000","14.400000000000","60.218181818182"
