"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Number of Patients 1","Footnote 1","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Number of Patients 2","Footnote 2","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Number of Patients 3","Footnote 3"
"140276","LOYOLA UNIVERSITY MEDICAL CENTER","2160 S 1ST AVENUE","","","MAYWOOD","IL","60153","COOK","7082169000","100","178","","99","170","","88","177",""
"150161","INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","11700 N MERIDIAN ST","","","CARMEL","IN","46032","HAMILTON","3176882000","100","47","Data submitted were based on a sample of cases/patients","100","47","Data submitted were based on a sample of cases/patients","85","47","Data submitted were based on a sample of cases/patients"
"170123","WESLEY MEDICAL CENTER","550 N HILLSIDE STREET","","","WICHITA","KS","67214","SEDGWICK","3169622000","100","192","","100","192","","98","192",""
"180018","ST CLAIRE REGIONAL MEDICAL CENTER","222 MEDICAL CIRCLE","","","MOREHEAD","KY","40351","ROWAN","6067836500","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"180067","UNIVERSITY OF KENTUCKY HOSPITAL","800 ROSE STREET","","","LEXINGTON","KY","40536","FAYETTE","8593235220","100","125","","98","124","","98","125",""
"180088","NORTON HOSPITALS, INC","200 EAST CHESTNUT STREET","","","LOUISVILLE","KY","40202","JEFFERSON","5026296560","100","711","","100","712","","91","707",""
"190002","LAFAYETTE GENERAL MEDICAL CENTER","1214 COOLIDGE AVENUE","","","LAFAYETTE","LA","70503","LAFAYETTE","3372897991","100","22","","100","22","","59","22",""
"190125","ST FRANCIS MEDICAL CENTER","309 JACKSON STREET","","","MONROE","LA","71201","OUACHITA","3189664000","100","53","","100","53","","91","53",""
"210003","PRINCE GEORGES HOSPITAL CENTER","3001 HOSPITAL DRIVE","","","CHEVERLY","MD","20785","PRINCE GEORGES","3016182000","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"210033","CARROLL HOSPITAL CENTER","200 MEMORIAL AVE","","","WESTMINSTER","MD","21157","CARROLL","4108483000","100","16","","100","16","","100","14",""
"210043","UNIVERITY OF MD BALTO WASHINGTON  MEDICAL CENTER","301 HOSPITAL DRIVE","","","GLEN BURNIE","MD","21061","ANNE ARUNDEL","4105951967","100","43","","100","43","","83","40",""
"220077","BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET","","","SPRINGFIELD","MA","01199","HAMPDEN","4137940000","100","133","","100","132","","91","133",""
"223302","BOSTON CHILDREN'S HOSPITAL","300 LONGWOOD AVENUE","","","BOSTON","MA","02115","SUFFOLK","6177356000","100","343","Data submitted were based on a sample of cases/patients","100","343","Data submitted were based on a sample of cases/patients","77","343","Data submitted were based on a sample of cases/patients"
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET","","","KALAMAZOO","MI","49007","KALAMAZOO","2693416000","100","98","","100","98","","91","98",""
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","","","GRAND RAPIDS","MI","49503","KENT","6163911774","100","144","","100","143","","97","144",""
"233300","CHILDREN'S HOSPITAL OF MICHIGAN","3901 BEAUBIEN","","","DETROIT","MI","48201","WAYNE","3137455437","100","320","Data submitted were based on a sample of cases/patients","100","320","Data submitted were based on a sample of cases/patients","93","320","Data submitted were based on a sample of cases/patients"
"240004","HENNEPIN COUNTY MEDICAL CENTER","701 PARK AVENUE","","","MINNEAPOLIS","MN","55415","HENNEPIN","6128733000","100","57","Data submitted were based on a sample of cases/patients","100","56","Data submitted were based on a sample of cases/patients","93","56","Data submitted were based on a sample of cases/patients"
"240075","ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","523 NORTH 3RD STREET","","","BRAINERD","MN","56401","CROW WING","2188292861","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","","","MINNEAPOLIS","MN","55454","HENNEPIN","6122733000","100","32","","100","32","","75","32",""
"243302","CHILDREN'S HOSPITALS & CLINICS OF MN","2525 CHICAGO AVENUE SOUTH","","","MINNEAPOLIS","MN","55404","HENNEPIN","6128136112","100","309","Data submitted were based on a sample of cases/patients","100","309","Data submitted were based on a sample of cases/patients","87","304","Data submitted were based on a sample of cases/patients"
"250001","UNIVERSITY OF MISSISSIPPI MED CENTER","2500 N STATE ST","","","JACKSON","MS","39216","HINDS","6019844100","100","247","Data submitted were based on a sample of cases/patients","100","247","Data submitted were based on a sample of cases/patients","77","247","Data submitted were based on a sample of cases/patients"
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","","","SAINT LOUIS","MO","63141","SAINT LOUIS","3145696000","99","198","","99","198","","88","198",""
"260091","SSM ST MARYS HEALTH CENTER","6420 CLAYTON RD","","","RICHMOND HEIGHTS","MO","63117","SAINT LOUIS","3147688000","100","319","Data submitted were based on a sample of cases/patients","99","319","Data submitted were based on a sample of cases/patients","98","320","Data submitted were based on a sample of cases/patients"
"263302","CHILDRENS MERCY HOSPITAL","2401 GILLHAM ROAD","","","KANSAS CITY","MO","64108","JACKSON","8162343000","100","365","Data submitted were based on a sample of cases/patients","100","348","Data submitted were based on a sample of cases/patients","85","366","Data submitted were based on a sample of cases/patients"
"283301","CHILDREN'S HOSPITAL & MEDICAL CENTER","8200 DODGE ST","","","OMAHA","NE","68114","DOUGLAS","4029555400","100","138","Data submitted were based on a sample of cases/patients","100","138","Data submitted were based on a sample of cases/patients","95","138","Data submitted were based on a sample of cases/patients"
"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","","","RENO","NV","89502","WASHOE","7759824100","100","63","","100","63","","97","63",""
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","","","NEW BRUNSWICK","NJ","08901","MIDDLESEX","7327458600","100","197","","99","197","","95","196",""
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","","","ALBUQUERQUE","NM","87106","BERNALILLO","5052722111","100","163","Data submitted were based on a sample of cases/patients","100","162","Data submitted were based on a sample of cases/patients","91","159","Data submitted were based on a sample of cases/patients"
"320018","MEMORIAL MEDICAL CENTER INC","2450 SOUTH TELSHOR BLVD","","","LAS CRUCES","NM","88011","DONA ANA","5755228641","100","27","","93","27","","93","27",""
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","","","NEW YORK","NY","10021","NEW YORK","2127464189","100","375","","100","374","","94","372",""
"330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","","","NEW YORK","NY","10016","NEW YORK","2122637300","100","19","","100","19","","100","19",""
"330393","UNIVERSITY HOSPITAL ( STONY BROOK )","HEALTH SCIENCES CENTER SUNY","","","STONY BROOK","NY","11794","SUFFOLK","6314444000","100","204","Data submitted were based on a sample of cases/patients","97","203","Data submitted were based on a sample of cases/patients","64","200","Data submitted were based on a sample of cases/patients"
"340001","CAROLINAS MEDICAL CENTER-NORTHEAST","920 CHURCH ST N","","","CONCORD","NC","28025","CABARRUS","7047833000","100","86","","100","86","","95","86",""
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","","","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","100","60","","98","59","","80","60",""
"340015","ROWAN REGIONAL MEDICAL CENTER","612 MOCKSVILLE AVE","","","SALISBURY","NC","28144","ROWAN","7042105000","100","12","","100","12","","91","11",""
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","","","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","100","162","","99","161","","74","159","Data submitted were based on a sample of cases/patients"
"340053","NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER","200 HAWTHORNE LANE BOX 33549","","","CHARLOTTE","NC","28233","MECKLENBURG","7043844000","100","153","","100","151","","97","153",""
"340085","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","","","THOMASVILLE","NC","27360","DAVIDSON","3364722000","100","14","","100","14","","100","14",""
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","","","CHARLOTTE","NC","28203","MECKLENBURG","7043552000","100","463","","100","459","","93","463",""
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","","","PINEHURST","NC","28374","MOORE","9107151000","100","50","","98","49","","84","50",""
"340126","WILSON MEDICAL CENTER","1705 S TARBORO ST","","","WILSON","NC","27893","WILSON","2523998040","100","25","","100","25","","100","24",""
"340158","NOVANT HEALTH BRUNSWICK MEDICAL CENTER","1 MEDICAL CENTER DR  PO BOX 139","","","SUPPLY","NC","28462","BRUNSWICK","9107558121","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"360068","TOLEDO HOSPITAL THE","2142 NORTH COVE BOULEVARD","","","TOLEDO","OH","43606","LUCAS","4192917463","99","161","","99","162","","96","160",""
"360084","AULTMAN HOSPITAL","2600 SIXTH STREET SW","","","CANTON","OH","44710","STARK","3304529911","100","19","","95","19","","89","18",""
"360123","ST JOHN MEDICAL CENTER","29000 CENTER RIDGE ROAD","","","WESTLAKE","OH","44145","CUYAHOGA","4408358000","100","35","","100","35","","50","32",""
"360137","UNIVERSITY HOSPITALS CASE MEDICAL CENTER","11100 EUCLID AVENUE","","","CLEVELAND","OH","44106","CUYAHOGA","2168441000","100","328","","100","327","","97","326",""
"360180","CLEVELAND CLINIC","9500 EUCLID AVENUE","","","CLEVELAND","OH","44195","CUYAHOGA","2164442200","100","86","","100","85","","99","85",""
"370093","O U MEDICAL CENTER","1200 EVERETT DRIVE","","","OKLAHOMA CITY","OK","73117","OKLAHOMA","4052715151","100","514","","100","514","","90","514",""
"380007","LEGACY EMANUEL MEDICAL CENTER","2801 N GANTENBEIN AVENUE","","","PORTLAND","OR","97227","MULTNOMAH","5034132200","100","172","","100","172","","82","172",""
"393302","CHILDREN'S HOSPITAL OF PITTSBURGH OF UPMC","4401 PENN AVENUE","","","PITTSBURGH","PA","15224","ALLEGHENY","4126925325","100","329","Data submitted were based on a sample of cases/patients","99","329","Data submitted were based on a sample of cases/patients","44","325","Data submitted were based on a sample of cases/patients"
"393303","CHILDREN'S HOSPITAL OF PHILADELPHIA","34TH ST & CIVIC CENTER BLVD","","","PHILADELPHIA","PA","19104","PHILADELPHIA","2155903745","100","617","Data submitted were based on a sample of cases/patients","100","616","Data submitted were based on a sample of cases/patients","82","617","Data submitted were based on a sample of cases/patients"
"420004","MUSC MEDICAL CENTER","169 ASHLEY AVE","","","CHARLESTON","SC","29425","CHARLESTON","8437922300","100","202","","100","202","","98","202",""
"420039","WALLACE THOMSON HOSPITAL","322 W SOUTH ST PO BOX 789","","","UNION","SC","29379","UNION","8644270351","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"420043","UPSTATE CAROLINA MEDICAL CENTER","1530 N LIMESTONE ST","","","GAFFNEY","SC","29340","CHEROKEE","8644874271","100","20","","100","19","","85","20",""
"430027","SANFORD USD MEDICAL CENTER","1305 W 18TH ST  POST OFFICE BOX 5039","","","SIOUX FALLS","SD","57117","MINNEHAHA","6053331000","100","61","","100","61","","97","61",""
"440049","METHODIST HEALTHCARE MEMPHIS HOSPITALS","1265 UNION AVE SUITE 700","","","MEMPHIS","TN","38104","SHELBY","9015168274","100","364","Data submitted were based on a sample of cases/patients","100","362","Data submitted were based on a sample of cases/patients","91","364","Data submitted were based on a sample of cases/patients"
"440063","JOHNSON CITY MEDICAL CENTER","400 N STATE OF FRANKLIN RD","","","JOHNSON CITY","TN","37604","WASHINGTON","4234316111","100","65","Data submitted were based on a sample of cases/patients","100","64","Data submitted were based on a sample of cases/patients","77","65","Data submitted were based on a sample of cases/patients"
"440104","ERLANGER MEDICAL CENTER","975 E 3RD ST","","","CHATTANOOGA","TN","37403","HAMILTON","4237787000","100","50","","100","50","","96","50",""
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","","","LONGVIEW","TX","75601","GREGG","9033152000","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"450058","BAPTIST MEDICAL CENTER","111 DALLAS STREET","","","SAN ANTONIO","TX","78205","BEXAR","2102971020","100","291","","100","291","","91","291",""
"450213","UNIVERSITY HEALTH SYSTEM","4502 MEDICAL DR","","","SAN ANTONIO","TX","78229","BEXAR","2103584000","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"450388","METHODIST HOSPITAL","7700 FLOYD CURL DR","","","SAN ANTONIO","TX","78229","BEXAR","2105754000","100","519","","100","519","","98","518",""
"453300","COOK CHILDRENS MEDICAL CENTER","801 SEVENTH AVENUE","","","FORT WORTH","TX","76104","TARRANT","6828854000","100","298","Data submitted were based on a sample of cases/patients","100","298","Data submitted were based on a sample of cases/patients","91","298","Data submitted were based on a sample of cases/patients"
"453301","DRISCOLL CHILDRENS HOSPITAL","3533 S ALAMEDA BOX 6530","","","CORPUS CHRISTI","TX","78411","NUECES","5128505000","100","162","","99","162","","65","162",""
"463301","PRIMARY CHILDRENS MEDICAL CENTER","100 NORTH MARIO CAPECCHI DRIVE","","","SALT LAKE CITY","UT","84113","SALT LAKE","8016626200","100","447","","99","447","","97","447",""
"490009","UNIVERSITY OF VIRGINIA MEDICAL CENTER","JEFFERSON PARK AVE","","","CHARLOTTESVILLE","VA","22908","CHARLOTTESVILLE CITY","8002513627","100","32","Data submitted were based on a sample of cases/patients","100","32","Data submitted were based on a sample of cases/patients","100","32","Data submitted were based on a sample of cases/patients"
"490021","CENTRA  HEALTH, INC","1920 ATHERHOLT ROAD","","","LYNCHBURG","VA","24501","LYNCHBURG CITY","4342004789","100","108","","100","108","","91","106",""
"490022","MARY WASHINGTON HOSPITAL, INC","1001 SAM PERRY BOULEVARD","","","FREDERICKSBURG","VA","22401","FREDERICKSBURG CITY","5407411100","100","82","","100","82","","61","74",""
"490045","PRINCE WILLIAM HOSPITAL","8700 SUDLEY RD","","","MANASSAS","VA","20110","MANASSAS CITY","7033698000","100","32","","100","32","","41","32",""
"490063","INOVA FAIRFAX HOSPITAL","8110 GATEHOUSE ROAD, 400 WEST","","","FALLS CHURCH","VA","22042","FAIRFAX","7037763332","100","240","Data submitted were based on a sample of cases/patients","100","239","Data submitted were based on a sample of cases/patients","93","239","Data submitted were based on a sample of cases/patients"
"500024","PROVIDENCE ST PETER HOSPITAL","413 LILLY ROAD NE","","","OLYMPIA","WA","98506","THURSTON","3604919480","100","34","","97","34","","81","32",""
"500054","PROVIDENCE SACRED HEART MEDICAL CENTER","101 WEST 8TH AVENUE","","","SPOKANE","WA","99204","SPOKANE","5094743040","100","65","","100","65","","45","65",""
"500079","MULTICARE GOOD SAMARITAN HOSPITAL","401 15TH AVENUE SE","","","PUYALLUP","WA","98372","PIERCE","2536972102","100","22","","100","22","","95","21",""
"503300","SEATTLE CHILDREN'S HOSPITAL","4800 SAND POINT WAY NE/BOX C-5371","","","SEATTLE","WA","98105","KING","2065262000","100","446","Data submitted were based on a sample of cases/patients","100","446","Data submitted were based on a sample of cases/patients","47","446","Data submitted were based on a sample of cases/patients"
"510070","RALEIGH GENERAL HOSPITAL","1710 HARPER ROAD","","","BECKLEY","WV","25801","RALEIGH","3042564100","100","18","","100","18","","69","16",""
"520045","THEDA CLARK MED CTR","130 2ND ST","","","NEENAH","WI","54956","WINNEBAGO","9207293100","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
