"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Outpatients with low back pain who had an MRI without trying recommended treatments first such as physical therapy","Number of Patients 1","Footnote 1","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram","Number of Patients 2","Footnote 2","Outpatient CT scans of the abdomen that were “combination” (double) scans","Number of Patients 3","Footnote 3","Outpatient CT scans of the chest that were “combination” (double) scans","Number of Patients 4","Footnote 4","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Number of Patients 5","Footnote 5","Outpatients with brain CT scans who got a sinus CT scan at the same time","Number of Patients 6","Footnote 6"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","26.6","79","","6.4","502","","8.6","245","","2.0","102","","7.4","94","","Not Available","Not Available","The number of cases/patients is too few to report"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Not Available","Not Available","The number of cases/patients is too few to report","3.5","254","","2.9","171","","4.8","62","","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","36.5","189","","7.3","4043","","52.6","610","","0.4","244","","Not Available","Not Available","The number of cases/patients is too few to report","4.1","838",""
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","42.2","206","","3.6","1491","","8.2","645","","2.3","343","","Not Available","Not Available","The number of cases/patients is too few to report","2.9","916",""
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","52.3","44","","11.7","922","","51.3","265","","17.3","179","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","40.8","377","","8.0","1828","","56.6","1045","","0.5","634","","5.1","1400","","2.0","1009",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Not Available","Not Available","No cases met the criteria for this measure","19.5","133","","43.5","85","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","36.5","96","","Not Available","Not Available","No cases met the criteria for this measure","3.8","715","","0.4","277","","4.1","123","","3.0","1002",""
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Not Available","Not Available","No cases met the criteria for this measure","6.8","265","","18.7","107","","4.9","82","","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","38.5","52","","4.2","865","","8.4","723","","13.0","386","","Not Available","Not Available","The number of cases/patients is too few to report","4.1","1078",""
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","29.9","127","","7.5","559","","18.0","356","","13.8","218","","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","31.8","85","","10.2","88","","15.3","222","","13.0","131","","6.7","165","","Not Available","Not Available","The number of cases/patients is too few to report"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","33.5","809","","7.3","5416","","17.0","2430","","0.2","1733","","7.4","2991","","5.1","2556",""
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","38.1","202","","9.0","555","","13.8","766","","6.0","298","","7.1","112","","1.5","787",""
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","5.3","227","","1.4","74","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","48.6","72","","19.8","410","","1.7","294","","0.0","206","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","Not Available","Not Available","The number of cases/patients is too few to report","4.0","322","","12.6","294","","11.1","153","","Not Available","Not Available","The number of cases/patients is too few to report","6.0","448",""
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","3.1","64","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","38.8","85","","6.7","1077","","3.7","623","","0.0","329","","7.7","261","","5.1","648",""
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","Not Available","Not Available","The number of cases/patients is too few to report","7.8","230","","4.1","171","","5.7","70","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","0.0","65","","Not Available","Not Available","The number of cases/patients is too few to report","6.1","98","","Not Available","Not Available","The number of cases/patients is too few to report"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","37.8","74","","15.7","549","","1.6","256","","0.0","195","","4.0","101","","4.5","334",""
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","27.1","177","","5.9","3722","","5.6","1576","","0.5","1166","","6.1","544","","4.5","937",""
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","39.8","490","","6.0","3235","","7.8","1204","","0.6","688","","5.6","322","","3.7","1075",""
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Not Available","Not Available","No cases met the criteria for this measure","8.5","82","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","Not Available","Not Available","The number of cases/patients is too few to report","12.6","206","","0.5","204","","1.0","97","","Not Available","Not Available","No cases met the criteria for this measure","5.3","226",""
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","7.6","577","","0.0","213","","4.3","186","","4.0","626",""
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","Not Available","Not Available","No cases met the criteria for this measure","7.8","281","","47.7","132","","0.0","58","","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","32.8","61","","9.7","1194","","10.9","1064","","8.4","571","","Not Available","Not Available","The number of cases/patients is too few to report","1.5","727",""
"010066","FLORALA MEMORIAL HOSPITAL","24273 FIFTH AVENUE","","","FLORALA","AL","36442","COVINGTON","3348583287","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","","","EUFAULA","AL","36027","BARBOUR","3346887271","Not Available","Not Available","No cases met the criteria for this measure","7.0","485","","10.6","254","","9.0","133","","10.5","114","","Not Available","Not Available","The number of cases/patients is too few to report"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","","","ASHLAND","AL","36251","CLAY","2563542131","Not Available","Not Available","No cases met the criteria for this measure","7.3","314","","3.2","250","","3.3","91","","1.4","70","","Not Available","Not Available","The number of cases/patients is too few to report"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","32.6","215","","7.4","1002","","10.8","1021","","0.5","827","","9.1","308","","4.5","770",""
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","","","ATHENS","AL","35611","LIMESTONE","2562339292","33.8","74","","11.9","1000","","20.5","516","","0.6","352","","6.3","315","","4.7","723",""
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","","","FOLEY","AL","36535","BALDWIN","2519493400","35.4","189","","9.1","1165","","43.4","768","","9.1","386","","5.4","112","","2.4","618",""
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","","","DECATUR","AL","35601","MORGAN","2563412000","38.7","124","","7.0","2097","","14.8","959","","10.5","751","","5.2","537","","0.5","728",""
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","","","WINFIELD","AL","35594","MARION","2054877736","40.2","82","","19.7","701","","7.3","426","","1.7","234","","5.9","273","","Not Available","Not Available","The number of cases/patients is too few to report"
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","","","MOBILE","AL","36617","MOBILE","2514717110","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","15.5","193","","13.3","83","","4.3","94","","8.1","209",""
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","","","JASPER","AL","35502","WALKER","2053874000","36.4","77","","4.8","728","","11.0","620","","15.1","271","","Not Available","Not Available","The number of cases/patients is too few to report","4.4","585",""
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","","","MOBILE","AL","36608","MOBILE","2516331000","38.7","191","","11.4","1596","","24.6","789","","7.2","932","","Not Available","Not Available","The number of cases/patients is too few to report","2.1","892",""
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","","","GROVE HILL","AL","36451","CLARKE","2512753191","Not Available","Not Available","The number of cases/patients is too few to report","8.7","150","","57.8","90","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","","","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","46.6","438","","16.7","1416","","2.7","1443","","0.2","1240","","4.6","474","","2.7","1608",""
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","","","GREENSBORO","AL","36744","HALE","3346243024","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","","","WETUMPKA","AL","36092","ELMORE","3345674311","Not Available","Not Available","The number of cases/patients is too few to report","4.4","204","","15.8","139","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","5.8","173",""
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","","","BREWTON","AL","36426","ESCAMBIA","2518678061","30.3","99","","12.8","508","","35.6","247","","1.3","231","","4.7","64","","6.4","202",""
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","","","FAIRHOPE","AL","36532","BALDWIN","2519282375","36.4","220","","7.6","1869","","7.3","662","","3.0","338","","Not Available","Not Available","The number of cases/patients is too few to report","2.4","659",""
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","","","TALLADEGA","AL","35161","TALLADEGA","2567614542","45.1","71","","6.6","573","","15.5","296","","1.6","126","","5.0","219","","Not Available","Not Available","The number of cases/patients is too few to report"
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","","","CAMDEN","AL","36726","WILCOX","3346824131","Not Available","Not Available","No cases met the criteria for this measure","4.8","62","","50.0","54","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","0.0","90",""
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","","","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","48.5","136","","7.7","1019","","13.9","785","","8.0","425","","Not Available","Not Available","The number of cases/patients is too few to report","4.2","733",""
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","","","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","37.7","191","","6.0","1291","","5.3","694","","0.4","511","","Not Available","Not Available","The number of cases/patients is too few to report","4.0","471",""
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","","","PRATTVILLE","AL","36067","AUTAUGA","3343614267","33.8","142","","9.9","928","","54.5","431","","1.7","236","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","","","CARROLLTON","AL","35447","PICKENS","2053678111","39.0","41","","9.2","314","","1.4","216","","1.6","123","","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","","","UNION SPRINGS","AL","36089","BULLOCK","3347382140","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","0.0","49",""
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","","","DEMOPOLIS","AL","36732","MARENGO","3342894000","43.5","62","","14.7","129","","24.5","196","","22.6","124","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","","","MOBILE","AL","36652","MOBILE","2514354700","44.1","145","","10.9","2786","","69.4","1127","","0.4","701","","Not Available","Not Available","The number of cases/patients is too few to report","2.5","791",""
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","","","BESSEMER","AL","35021","JEFFERSON","2054817000","38.2","110","","9.8","824","","5.7","669","","0.0","260","","10.4","202","","Not Available","Not Available","The number of cases/patients is too few to report"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","","","SELMA","AL","36701","DALLAS","3344184100","45.9","122","","6.6","1473","","20.6","607","","11.2","564","","Not Available","Not Available","The number of cases/patients is too few to report","5.2","660",""
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","","","MONROEVILLE","AL","36460","MONROE","2515753111","50.0","48","","16.0","538","","11.7","265","","2.1","142","","5.2","153","","Not Available","Not Available","The number of cases/patients is too few to report"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","","","HALEYVILLE","AL","35565","WINSTON","2054857117","Not Available","Not Available","The number of cases/patients is too few to report","12.5","128","","11.9","176","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","","","TROY","AL","36081","PIKE","3346705000","Not Available","Not Available","The number of cases/patients is too few to report","4.8","439","","26.2","298","","0.7","143","","3.4","59","","Not Available","Not Available","The number of cases/patients is too few to report"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","","","JACKSON","AL","36545","CLARKE","2512469021","Not Available","Not Available","The number of cases/patients is too few to report","12.4","185","","27.9","129","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","","","BAY MINETTE","AL","36507","BALDWIN","2519375521","Not Available","Not Available","The number of cases/patients is too few to report","14.6","294","","31.6","155","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","","","PELL CITY","AL","35125","SAINT CLAIR","2053383301","45.3","53","","4.1","197","","14.3","252","","13.9","122","","3.6","55","","Not Available","Not Available","The number of cases/patients is too few to report"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","","","HUNTSVILLE","AL","35801","MADISON","2568823100","35.6","180","","11.1","1271","","4.2","668","","0.0","215","","7.2","69","","6.5","941",""
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","","","YORK","AL","36925","SUMTER","2053925263","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","","","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","47.0","83","","Not Available","Not Available","No cases met the criteria for this measure","18.0","953","","1.0","487","","7.8","306","","Not Available","Not Available","The number of cases/patients is too few to report"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","","MOBILE","AL","36608","MOBILE","2513449630","Not Available","Not Available","The number of cases/patients is too few to report","7.0","1462","","40.5","566","","0.7","413","","9.6","94","","1.7","540",""
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","","","JACKSONVILLE","AL","36265","CALHOUN","2567824538","Not Available","Not Available","The number of cases/patients is too few to report","14.8","325","","39.6","225","","0.0","60","","2.3","87","","6.6","244",""
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","","","EVERGREEN","AL","36401","CONECUH","2515782480","Not Available","Not Available","The number of cases/patients is too few to report","8.5","282","","72.7","150","","39.4","71","","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","","","MONTGOMERY","AL","36117","MONTGOMERY","3342448330","39.1","115","","Not Available","Not Available","No cases met the criteria for this measure","55.0","602","","3.6","280","","Not Available","Not Available","The number of cases/patients is too few to report","6.5","614",""
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","","","GREENVILLE","AL","36037","BUTLER","3343822200","Not Available","Not Available","The number of cases/patients is too few to report","6.9","392","","29.1","148","","3.7","81","","2.8","72","","4.8","229",""
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","","","MUSCLE SHOALS","AL","35661","COLBERT","2563861601","37.3","51","","12.3","326","","13.0","307","","18.4","163","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","","","RUSSELLVILLE","AL","35653","FRANKLIN","2563321611","Not Available","Not Available","The number of cases/patients is too few to report","13.4","314","","17.9","229","","23.5","119","","Not Available","Not Available","The number of cases/patients is too few to report","5.0","220",""
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","","","SYLACAUGA","AL","35150","TALLADEGA","2562495000","47.1","174","","8.6","688","","10.1","547","","13.7","342","","5.7","281","","1.8","501",""
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","","","PHENIX CITY","AL","36867","RUSSELL","3347323000","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","9.1","99","","6.5","62","","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","","","ATMORE","AL","36502","ESCAMBIA","2513682500","43.9","41","","7.9","254","","18.2","242","","Not Available","Not Available","The number of cases/patients is too few to report","6.3","160","","Not Available","Not Available","The number of cases/patients is too few to report"
"011300","WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE","","","CHATOM","AL","36518","WASHINGTON","2518472223","Not Available","Not Available","No cases met the criteria for this measure","6.9","159","","13.4","67","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","6.3","111",""
"011302","RED BAY HOSPITAL","211 HOSPITAL ROAD","","","RED BAY","AL","35582","FRANKLIN","2563569532","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","1.1","90","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"011304","CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE, PO BOX 618","","","BUTLER","AL","36904","CHOCTAW","2054599100","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","","","ANCHORAGE","AK","99519","ANCHORAGE","9072613675","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","6.9","591","","0.7","417","","5.6","90","","1.8","512",""
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","","","PALMER","AK","99645","MATANUSKA SUSITNA","9077468600","42.9","49","","16.3","368","","17.1","363","","0.6","176","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
