"State","Diagnosis Related Group","Number Of Cases","Footnote"
"OH","Acute myocardial infarction, discharged alive w/o CC/MCC","1159",""
"OK","Acute myocardial infarction, discharged alive w/o CC/MCC","444",""
"OR","Acute myocardial infarction, discharged alive w/o CC/MCC","298",""
"PA","Acute myocardial infarction, discharged alive w/o CC/MCC","1368",""
"PR","Acute myocardial infarction, discharged alive w/o CC/MCC","392",""
"RI","Acute myocardial infarction, discharged alive w/o CC/MCC","116",""
"SC","Acute myocardial infarction, discharged alive w/o CC/MCC","575",""
"SD","Acute myocardial infarction, discharged alive w/o CC/MCC","91",""
"TN","Acute myocardial infarction, discharged alive w/o CC/MCC","813",""
"TX","Acute myocardial infarction, discharged alive w/o CC/MCC","1769",""
"UT","Acute myocardial infarction, discharged alive w/o CC/MCC","74",""
"VA","Acute myocardial infarction, discharged alive w/o CC/MCC","831",""
"VI","Acute myocardial infarction, discharged alive w/o CC/MCC","*","The number of cases/patients is too few to report"
"VT","Acute myocardial infarction, discharged alive w/o CC/MCC","62",""
"WA","Acute myocardial infarction, discharged alive w/o CC/MCC","498",""
"WI","Acute myocardial infarction, discharged alive w/o CC/MCC","418",""
"WV","Acute myocardial infarction, discharged alive w/o CC/MCC","367",""
"WY","Acute myocardial infarction, discharged alive w/o CC/MCC","45",""
"AK","Acute myocardial infarction, discharged alive w MCC","43",""
"AL","Acute myocardial infarction, discharged alive w MCC","1181",""
"AR","Acute myocardial infarction, discharged alive w MCC","662",""
"AZ","Acute myocardial infarction, discharged alive w MCC","833",""
"CA","Acute myocardial infarction, discharged alive w MCC","4830",""
"CO","Acute myocardial infarction, discharged alive w MCC","350",""
"CT","Acute myocardial infarction, discharged alive w MCC","1003",""
"DC","Acute myocardial infarction, discharged alive w MCC","179",""
"DE","Acute myocardial infarction, discharged alive w MCC","205",""
"FL","Acute myocardial infarction, discharged alive w MCC","4649",""
"GA","Acute myocardial infarction, discharged alive w MCC","1647",""
"GU","Acute myocardial infarction, discharged alive w MCC","32",""
"HI","Acute myocardial infarction, discharged alive w MCC","234",""
"IA","Acute myocardial infarction, discharged alive w MCC","775",""
"ID","Acute myocardial infarction, discharged alive w MCC","134",""
"IL","Acute myocardial infarction, discharged alive w MCC","3104",""
"IN","Acute myocardial infarction, discharged alive w MCC","1598",""
"KS","Acute myocardial infarction, discharged alive w MCC","533",""
"KY","Acute myocardial infarction, discharged alive w MCC","1506",""
"LA","Acute myocardial infarction, discharged alive w MCC","834",""
"MA","Acute myocardial infarction, discharged alive w MCC","1919",""
"MD","Acute myocardial infarction, discharged alive w MCC","1106",""
"ME","Acute myocardial infarction, discharged alive w MCC","584",""
"MI","Acute myocardial infarction, discharged alive w MCC","3285",""
"MN","Acute myocardial infarction, discharged alive w MCC","819",""
"MO","Acute myocardial infarction, discharged alive w MCC","1395",""
"MP","Acute myocardial infarction, discharged alive w MCC","*","The number of cases/patients is too few to report"
"MS","Acute myocardial infarction, discharged alive w MCC","842",""
"MT","Acute myocardial infarction, discharged alive w MCC","81",""
"NC","Acute myocardial infarction, discharged alive w MCC","2701",""
"ND","Acute myocardial infarction, discharged alive w MCC","172",""
"NE","Acute myocardial infarction, discharged alive w MCC","268",""
"NH","Acute myocardial infarction, discharged alive w MCC","398",""
"NJ","Acute myocardial infarction, discharged alive w MCC","2961",""
"NM","Acute myocardial infarction, discharged alive w MCC","257",""
"NV","Acute myocardial infarction, discharged alive w MCC","363",""
"NY","Acute myocardial infarction, discharged alive w MCC","4573",""
"OH","Acute myocardial infarction, discharged alive w MCC","2799",""
"OK","Acute myocardial infarction, discharged alive w MCC","810",""
"OR","Acute myocardial infarction, discharged alive w MCC","528",""
"PA","Acute myocardial infarction, discharged alive w MCC","3402",""
"PR","Acute myocardial infarction, discharged alive w MCC","278",""
"RI","Acute myocardial infarction, discharged alive w MCC","339",""
"SC","Acute myocardial infarction, discharged alive w MCC","1135",""
"SD","Acute myocardial infarction, discharged alive w MCC","154",""
"TN","Acute myocardial infarction, discharged alive w MCC","2105",""
"TX","Acute myocardial infarction, discharged alive w MCC","4626",""
"UT","Acute myocardial infarction, discharged alive w MCC","124",""
"VA","Acute myocardial infarction, discharged alive w MCC","1913",""
"VT","Acute myocardial infarction, discharged alive w MCC","131",""
"WA","Acute myocardial infarction, discharged alive w MCC","1085",""
"WI","Acute myocardial infarction, discharged alive w MCC","958",""
"WV","Acute myocardial infarction, discharged alive w MCC","702",""
"WY","Acute myocardial infarction, discharged alive w MCC","32",""
"AK","Acute myocardial infarction, discharged alive w CC","46",""
"AL","Acute myocardial infarction, discharged alive w CC","854",""
"AR","Acute myocardial infarction, discharged alive w CC","471",""
"AZ","Acute myocardial infarction, discharged alive w CC","656",""
"CA","Acute myocardial infarction, discharged alive w CC","3141",""
"CO","Acute myocardial infarction, discharged alive w CC","359",""
"CT","Acute myocardial infarction, discharged alive w CC","623",""
"DC","Acute myocardial infarction, discharged alive w CC","157",""
"DE","Acute myocardial infarction, discharged alive w CC","154",""
"FL","Acute myocardial infarction, discharged alive w CC","3490",""
"GA","Acute myocardial infarction, discharged alive w CC","1203",""
"GU","Acute myocardial infarction, discharged alive w CC","22",""
"HI","Acute myocardial infarction, discharged alive w CC","199",""
"IA","Acute myocardial infarction, discharged alive w CC","506",""
"ID","Acute myocardial infarction, discharged alive w CC","134",""
"IL","Acute myocardial infarction, discharged alive w CC","1842",""
"IN","Acute myocardial infarction, discharged alive w CC","1129",""
"KS","Acute myocardial infarction, discharged alive w CC","349",""
"KY","Acute myocardial infarction, discharged alive w CC","1063",""
"LA","Acute myocardial infarction, discharged alive w CC","632",""
"MA","Acute myocardial infarction, discharged alive w CC","1257",""
"MD","Acute myocardial infarction, discharged alive w CC","1412",""
"ME","Acute myocardial infarction, discharged alive w CC","526",""
"MI","Acute myocardial infarction, discharged alive w CC","2122",""
"MN","Acute myocardial infarction, discharged alive w CC","676",""
"MO","Acute myocardial infarction, discharged alive w CC","920",""
"MP","Acute myocardial infarction, discharged alive w CC","*","The number of cases/patients is too few to report"
"MS","Acute myocardial infarction, discharged alive w CC","556",""
"MT","Acute myocardial infarction, discharged alive w CC","89",""
"NC","Acute myocardial infarction, discharged alive w CC","1937",""
"ND","Acute myocardial infarction, discharged alive w CC","125",""
"NE","Acute myocardial infarction, discharged alive w CC","234",""
"NH","Acute myocardial infarction, discharged alive w CC","325",""
"NJ","Acute myocardial infarction, discharged alive w CC","1814",""
"NM","Acute myocardial infarction, discharged alive w CC","189",""
"NV","Acute myocardial infarction, discharged alive w CC","263",""
"NY","Acute myocardial infarction, discharged alive w CC","2930",""
"OH","Acute myocardial infarction, discharged alive w CC","1896",""
"OK","Acute myocardial infarction, discharged alive w CC","668",""
"OR","Acute myocardial infarction, discharged alive w CC","434",""
"PA","Acute myocardial infarction, discharged alive w CC","2323",""
"PR","Acute myocardial infarction, discharged alive w CC","223",""
"RI","Acute myocardial infarction, discharged alive w CC","207",""
"SC","Acute myocardial infarction, discharged alive w CC","767",""
"SD","Acute myocardial infarction, discharged alive w CC","142",""
"TN","Acute myocardial infarction, discharged alive w CC","1493",""
"TX","Acute myocardial infarction, discharged alive w CC","3067",""
"UT","Acute myocardial infarction, discharged alive w CC","114",""
"VA","Acute myocardial infarction, discharged alive w CC","1425",""
"VI","Acute myocardial infarction, discharged alive w CC","*","The number of cases/patients is too few to report"
"VT","Acute myocardial infarction, discharged alive w CC","115",""
"WA","Acute myocardial infarction, discharged alive w CC","776",""
"WI","Acute myocardial infarction, discharged alive w CC","766",""
"WV","Acute myocardial infarction, discharged alive w CC","571",""
"WY","Acute myocardial infarction, discharged alive w CC","60",""
"AK","Heart failure and shock w/o CC/MCC","72",""
"AL","Heart failure and shock w/o CC/MCC","1817",""
"AR","Heart failure and shock w/o CC/MCC","1355",""
"AZ","Heart failure and shock w/o CC/MCC","814",""
"CA","Heart failure and shock w/o CC/MCC","4840",""
"CO","Heart failure and shock w/o CC/MCC","518",""
"CT","Heart failure and shock w/o CC/MCC","994",""
"DC","Heart failure and shock w/o CC/MCC","326",""
"DE","Heart failure and shock w/o CC/MCC","314",""
"FL","Heart failure and shock w/o CC/MCC","5702",""
"GA","Heart failure and shock w/o CC/MCC","2202",""
"GU","Heart failure and shock w/o CC/MCC","44",""
"HI","Heart failure and shock w/o CC/MCC","163",""
"IA","Heart failure and shock w/o CC/MCC","747",""
"ID","Heart failure and shock w/o CC/MCC","146",""
"IL","Heart failure and shock w/o CC/MCC","4275",""
"IN","Heart failure and shock w/o CC/MCC","2311",""
"KS","Heart failure and shock w/o CC/MCC","729",""
"KY","Heart failure and shock w/o CC/MCC","1939",""
"LA","Heart failure and shock w/o CC/MCC","1918",""
"MA","Heart failure and shock w/o CC/MCC","2005",""
"MD","Heart failure and shock w/o CC/MCC","1825",""
"ME","Heart failure and shock w/o CC/MCC","298",""
"MI","Heart failure and shock w/o CC/MCC","2852",""
"MN","Heart failure and shock w/o CC/MCC","1105",""
"MO","Heart failure and shock w/o CC/MCC","1845",""
"MP","Heart failure and shock w/o CC/MCC","*","The number of cases/patients is too few to report"
"MS","Heart failure and shock w/o CC/MCC","1538",""
"MT","Heart failure and shock w/o CC/MCC","152",""
"NC","Heart failure and shock w/o CC/MCC","2593",""
"ND","Heart failure and shock w/o CC/MCC","174",""
"NE","Heart failure and shock w/o CC/MCC","425",""
"NH","Heart failure and shock w/o CC/MCC","268",""
"NJ","Heart failure and shock w/o CC/MCC","3167",""
"NM","Heart failure and shock w/o CC/MCC","363",""
"NV","Heart failure and shock w/o CC/MCC","437",""
"NY","Heart failure and shock w/o CC/MCC","5247",""
"OH","Heart failure and shock w/o CC/MCC","3376",""
"OK","Heart failure and shock w/o CC/MCC","1264",""
"OR","Heart failure and shock w/o CC/MCC","496",""
"PA","Heart failure and shock w/o CC/MCC","4279",""
"PR","Heart failure and shock w/o CC/MCC","510",""
"RI","Heart failure and shock w/o CC/MCC","176",""
"SC","Heart failure and shock w/o CC/MCC","1443",""
"SD","Heart failure and shock w/o CC/MCC","193",""
"TN","Heart failure and shock w/o CC/MCC","2137",""
"TX","Heart failure and shock w/o CC/MCC","5359",""
"UT","Heart failure and shock w/o CC/MCC","253",""
"VA","Heart failure and shock w/o CC/MCC","2063",""
"VI","Heart failure and shock w/o CC/MCC","46",""
"VT","Heart failure and shock w/o CC/MCC","93",""
"WA","Heart failure and shock w/o CC/MCC","1007",""
"WI","Heart failure and shock w/o CC/MCC","1170",""
"WV","Heart failure and shock w/o CC/MCC","821",""
"WY","Heart failure and shock w/o CC/MCC","102",""
"AK","Heart failure and shock w MCC","140",""
"AL","Heart failure and shock w MCC","3742",""
"AR","Heart failure and shock w MCC","1888",""
"AZ","Heart failure and shock w MCC","2210",""
"CA","Heart failure and shock w MCC","14769",""
"CO","Heart failure and shock w MCC","1063",""
"CT","Heart failure and shock w MCC","2530",""
"DC","Heart failure and shock w MCC","548",""
"DE","Heart failure and shock w MCC","836",""
"FL","Heart failure and shock w MCC","13968",""
"GA","Heart failure and shock w MCC","5799",""
"GU","Heart failure and shock w MCC","62",""
"HI","Heart failure and shock w MCC","383",""
"IA","Heart failure and shock w MCC","1624",""
"ID","Heart failure and shock w MCC","374",""
"IL","Heart failure and shock w MCC","9432",""
"IN","Heart failure and shock w MCC","4751",""
"KS","Heart failure and shock w MCC","1439",""
"KY","Heart failure and shock w MCC","3934",""
"LA","Heart failure and shock w MCC","3517",""
"MA","Heart failure and shock w MCC","4734",""
"MD","Heart failure and shock w MCC","3788",""
"ME","Heart failure and shock w MCC","668",""
"MI","Heart failure and shock w MCC","8779",""
"MN","Heart failure and shock w MCC","1951",""
"MO","Heart failure and shock w MCC","4978",""
"MP","Heart failure and shock w MCC","*","The number of cases/patients is too few to report"
"MS","Heart failure and shock w MCC","2709",""
"MT","Heart failure and shock w MCC","346",""
"NC","Heart failure and shock w MCC","7740",""
"ND","Heart failure and shock w MCC","468",""
"NE","Heart failure and shock w MCC","714",""
"NH","Heart failure and shock w MCC","693",""
"NJ","Heart failure and shock w MCC","7027",""
"NM","Heart failure and shock w MCC","558",""
"NV","Heart failure and shock w MCC","989",""
"NY","Heart failure and shock w MCC","10026",""
"OH","Heart failure and shock w MCC","8091",""
"OK","Heart failure and shock w MCC","1919",""
"OR","Heart failure and shock w MCC","1018",""
"PA","Heart failure and shock w MCC","8649",""
"PR","Heart failure and shock w MCC","574",""
"RI","Heart failure and shock w MCC","544",""
"SC","Heart failure and shock w MCC","3180",""
"SD","Heart failure and shock w MCC","393",""
"TN","Heart failure and shock w MCC","4755",""
"TX","Heart failure and shock w MCC","13290",""
"UT","Heart failure and shock w MCC","416",""
"VA","Heart failure and shock w MCC","5835",""
"VI","Heart failure and shock w MCC","22",""
"VT","Heart failure and shock w MCC","253",""
"WA","Heart failure and shock w MCC","2848",""
"WI","Heart failure and shock w MCC","2551",""
"WV","Heart failure and shock w MCC","1537",""
"WY","Heart failure and shock w MCC","151",""
"AK","Heart failure and shock w CC","210",""
"AL","Heart failure and shock w CC","4322",""
"AR","Heart failure and shock w CC","2513",""
"AS","Heart failure and shock w CC","*","The number of cases/patients is too few to report"
"AZ","Heart failure and shock w CC","2397",""
"CA","Heart failure and shock w CC","13190",""
"CO","Heart failure and shock w CC","1505",""
"CT","Heart failure and shock w CC","2719",""
"DC","Heart failure and shock w CC","827",""
"DE","Heart failure and shock w CC","837",""
"FL","Heart failure and shock w CC","14817",""
"GA","Heart failure and shock w CC","6186",""
"GU","Heart failure and shock w CC","29",""
"HI","Heart failure and shock w CC","436",""
"IA","Heart failure and shock w CC","1827",""
"ID","Heart failure and shock w CC","356",""
"IL","Heart failure and shock w CC","10691",""
"IN","Heart failure and shock w CC","5625",""
"KS","Heart failure and shock w CC","1779",""
"KY","Heart failure and shock w CC","4534",""
"LA","Heart failure and shock w CC","4180",""
"MA","Heart failure and shock w CC","5729",""
"MD","Heart failure and shock w CC","4903",""
"ME","Heart failure and shock w CC","966",""
"MI","Heart failure and shock w CC","8418",""
"MN","Heart failure and shock w CC","2901",""
"MO","Heart failure and shock w CC","4768",""
"MP","Heart failure and shock w CC","*","The number of cases/patients is too few to report"
"MS","Heart failure and shock w CC","3183",""
"MT","Heart failure and shock w CC","393",""
"NC","Heart failure and shock w CC","7435",""
"ND","Heart failure and shock w CC","446",""
"NE","Heart failure and shock w CC","1022",""
"NH","Heart failure and shock w CC","855",""
"NJ","Heart failure and shock w CC","7832",""
"NM","Heart failure and shock w CC","747",""
"NV","Heart failure and shock w CC","1029",""
"NY","Heart failure and shock w CC","12063",""
"OH","Heart failure and shock w CC","8928",""
"OK","Heart failure and shock w CC","2989",""
"OR","Heart failure and shock w CC","1327",""
"PA","Heart failure and shock w CC","10355",""
"PR","Heart failure and shock w CC","533",""
"RI","Heart failure and shock w CC","738",""
"SC","Heart failure and shock w CC","3640",""
"SD","Heart failure and shock w CC","552",""
"TN","Heart failure and shock w CC","5508",""
"TX","Heart failure and shock w CC","13958",""
"UT","Heart failure and shock w CC","585",""
"VA","Heart failure and shock w CC","5905",""
"VI","Heart failure and shock w CC","40",""
"VT","Heart failure and shock w CC","327",""
"WA","Heart failure and shock w CC","3021",""
"WI","Heart failure and shock w CC","3365",""
"WV","Heart failure and shock w CC","1938",""
"WY","Heart failure and shock w CC","202",""
"AK","Chronic obstructive pulmonary disease w/o CC/MCC","134",""
"AL","Chronic obstructive pulmonary disease w/o CC/MCC","2802",""
"AR","Chronic obstructive pulmonary disease w/o CC/MCC","1497",""
"AS","Chronic obstructive pulmonary disease w/o CC/MCC","*","The number of cases/patients is too few to report"
"AZ","Chronic obstructive pulmonary disease w/o CC/MCC","1096",""
"CA","Chronic obstructive pulmonary disease w/o CC/MCC","5211",""
"CO","Chronic obstructive pulmonary disease w/o CC/MCC","603",""
"CT","Chronic obstructive pulmonary disease w/o CC/MCC","933",""
"DC","Chronic obstructive pulmonary disease w/o CC/MCC","227",""
"DE","Chronic obstructive pulmonary disease w/o CC/MCC","330",""
"FL","Chronic obstructive pulmonary disease w/o CC/MCC","8650",""
"GA","Chronic obstructive pulmonary disease w/o CC/MCC","2802",""
"GU","Chronic obstructive pulmonary disease w/o CC/MCC","30",""
"HI","Chronic obstructive pulmonary disease w/o CC/MCC","146",""
"IA","Chronic obstructive pulmonary disease w/o CC/MCC","712",""
"ID","Chronic obstructive pulmonary disease w/o CC/MCC","116",""
"IL","Chronic obstructive pulmonary disease w/o CC/MCC","4818",""
"IN","Chronic obstructive pulmonary disease w/o CC/MCC","3191",""
"KS","Chronic obstructive pulmonary disease w/o CC/MCC","706",""
"KY","Chronic obstructive pulmonary disease w/o CC/MCC","3876",""
"LA","Chronic obstructive pulmonary disease w/o CC/MCC","2013",""
"MA","Chronic obstructive pulmonary disease w/o CC/MCC","2650",""
"MD","Chronic obstructive pulmonary disease w/o CC/MCC","2184",""
"ME","Chronic obstructive pulmonary disease w/o CC/MCC","376",""
"MI","Chronic obstructive pulmonary disease w/o CC/MCC","3856",""
"MN","Chronic obstructive pulmonary disease w/o CC/MCC","811",""
"MO","Chronic obstructive pulmonary disease w/o CC/MCC","2378",""
"MP","Chronic obstructive pulmonary disease w/o CC/MCC","*","The number of cases/patients is too few to report"
"MS","Chronic obstructive pulmonary disease w/o CC/MCC","1987",""
"MT","Chronic obstructive pulmonary disease w/o CC/MCC","163",""
"NC","Chronic obstructive pulmonary disease w/o CC/MCC","2801",""
"ND","Chronic obstructive pulmonary disease w/o CC/MCC","95",""
"NE","Chronic obstructive pulmonary disease w/o CC/MCC","449",""
"NH","Chronic obstructive pulmonary disease w/o CC/MCC","451",""
"NJ","Chronic obstructive pulmonary disease w/o CC/MCC","3322",""
"NM","Chronic obstructive pulmonary disease w/o CC/MCC","433",""
"NV","Chronic obstructive pulmonary disease w/o CC/MCC","805",""
"NY","Chronic obstructive pulmonary disease w/o CC/MCC","5391",""
"OH","Chronic obstructive pulmonary disease w/o CC/MCC","4832",""
"OK","Chronic obstructive pulmonary disease w/o CC/MCC","2083",""
"OR","Chronic obstructive pulmonary disease w/o CC/MCC","424",""
"PA","Chronic obstructive pulmonary disease w/o CC/MCC","4294",""
"PR","Chronic obstructive pulmonary disease w/o CC/MCC","677",""
"RI","Chronic obstructive pulmonary disease w/o CC/MCC","378",""
"SC","Chronic obstructive pulmonary disease w/o CC/MCC","1753",""
"SD","Chronic obstructive pulmonary disease w/o CC/MCC","162",""
"TN","Chronic obstructive pulmonary disease w/o CC/MCC","3335",""
"TX","Chronic obstructive pulmonary disease w/o CC/MCC","7023",""
"UT","Chronic obstructive pulmonary disease w/o CC/MCC","188",""
"VA","Chronic obstructive pulmonary disease w/o CC/MCC","2687",""
"VI","Chronic obstructive pulmonary disease w/o CC/MCC","*","The number of cases/patients is too few to report"
"VT","Chronic obstructive pulmonary disease w/o CC/MCC","121",""
"WA","Chronic obstructive pulmonary disease w/o CC/MCC","819",""
"WI","Chronic obstructive pulmonary disease w/o CC/MCC","1012",""
"WV","Chronic obstructive pulmonary disease w/o CC/MCC","2006",""
"WY","Chronic obstructive pulmonary disease w/o CC/MCC","162",""
"AK","Chronic obstructive pulmonary disease w MCC","123",""
"AL","Chronic obstructive pulmonary disease w MCC","3610",""
"AR","Chronic obstructive pulmonary disease w MCC","1799",""
"AZ","Chronic obstructive pulmonary disease w MCC","1994",""
"CA","Chronic obstructive pulmonary disease w MCC","9506",""
"CO","Chronic obstructive pulmonary disease w MCC","983",""
"CT","Chronic obstructive pulmonary disease w MCC","1744",""
"DC","Chronic obstructive pulmonary disease w MCC","263",""
"DE","Chronic obstructive pulmonary disease w MCC","592",""
"FL","Chronic obstructive pulmonary disease w MCC","10864",""
"GA","Chronic obstructive pulmonary disease w MCC","4033",""
"GU","Chronic obstructive pulmonary disease w MCC","11",""
"HI","Chronic obstructive pulmonary disease w MCC","204",""
"IA","Chronic obstructive pulmonary disease w MCC","1216",""
"ID","Chronic obstructive pulmonary disease w MCC","274",""
"IL","Chronic obstructive pulmonary disease w MCC","7205",""
"IN","Chronic obstructive pulmonary disease w MCC","4649",""
"KS","Chronic obstructive pulmonary disease w MCC","970",""
"KY","Chronic obstructive pulmonary disease w MCC","4373",""
"LA","Chronic obstructive pulmonary disease w MCC","2351",""
"MA","Chronic obstructive pulmonary disease w MCC","3944",""
"MD","Chronic obstructive pulmonary disease w MCC","2775",""
"ME","Chronic obstructive pulmonary disease w MCC","662",""
"MI","Chronic obstructive pulmonary disease w MCC","6592",""
"MN","Chronic obstructive pulmonary disease w MCC","1253",""
"MO","Chronic obstructive pulmonary disease w MCC","3356",""
"MP","Chronic obstructive pulmonary disease w MCC","*","The number of cases/patients is too few to report"
"MS","Chronic obstructive pulmonary disease w MCC","1968",""
"MT","Chronic obstructive pulmonary disease w MCC","304",""
"NC","Chronic obstructive pulmonary disease w MCC","5116",""
"ND","Chronic obstructive pulmonary disease w MCC","254",""
"NE","Chronic obstructive pulmonary disease w MCC","722",""
"NH","Chronic obstructive pulmonary disease w MCC","735",""
"NJ","Chronic obstructive pulmonary disease w MCC","4864",""
"NM","Chronic obstructive pulmonary disease w MCC","486",""
"NV","Chronic obstructive pulmonary disease w MCC","910",""
"NY","Chronic obstructive pulmonary disease w MCC","7672",""
"OH","Chronic obstructive pulmonary disease w MCC","7348",""
"OK","Chronic obstructive pulmonary disease w MCC","2319",""
"OR","Chronic obstructive pulmonary disease w MCC","656",""
"PA","Chronic obstructive pulmonary disease w MCC","5695",""
"PR","Chronic obstructive pulmonary disease w MCC","247",""
"RI","Chronic obstructive pulmonary disease w MCC","555",""
"SC","Chronic obstructive pulmonary disease w MCC","2456",""
"SD","Chronic obstructive pulmonary disease w MCC","363",""
"TN","Chronic obstructive pulmonary disease w MCC","4871",""
"TX","Chronic obstructive pulmonary disease w MCC","10152",""
"UT","Chronic obstructive pulmonary disease w MCC","295",""
"VA","Chronic obstructive pulmonary disease w MCC","3640",""
"VI","Chronic obstructive pulmonary disease w MCC","*","The number of cases/patients is too few to report"
"VT","Chronic obstructive pulmonary disease w MCC","296",""
"WA","Chronic obstructive pulmonary disease w MCC","1591",""
"WI","Chronic obstructive pulmonary disease w MCC","1705",""
"WV","Chronic obstructive pulmonary disease w MCC","1867",""
"WY","Chronic obstructive pulmonary disease w MCC","253",""
"AK","Chronic obstructive pulmonary disease w CC","133",""
"AL","Chronic obstructive pulmonary disease w CC","3415",""
"AR","Chronic obstructive pulmonary disease w CC","1656",""
"AZ","Chronic obstructive pulmonary disease w CC","1720",""
"CA","Chronic obstructive pulmonary disease w CC","8195",""
"CO","Chronic obstructive pulmonary disease w CC","955",""
"CT","Chronic obstructive pulmonary disease w CC","1557",""
"DC","Chronic obstructive pulmonary disease w CC","305",""
"DE","Chronic obstructive pulmonary disease w CC","498",""
"FL","Chronic obstructive pulmonary disease w CC","11530",""
"GA","Chronic obstructive pulmonary disease w CC","3754",""
"GU","Chronic obstructive pulmonary disease w CC","16",""
"HI","Chronic obstructive pulmonary disease w CC","168",""
"IA","Chronic obstructive pulmonary disease w CC","1092",""
"ID","Chronic obstructive pulmonary disease w CC","204",""
"IL","Chronic obstructive pulmonary disease w CC","7147",""
"IN","Chronic obstructive pulmonary disease w CC","4443",""
"KS","Chronic obstructive pulmonary disease w CC","1040",""
"KY","Chronic obstructive pulmonary disease w CC","4026",""
"LA","Chronic obstructive pulmonary disease w CC","2191",""
"MA","Chronic obstructive pulmonary disease w CC","4268",""
"MD","Chronic obstructive pulmonary disease w CC","3424",""
"ME","Chronic obstructive pulmonary disease w CC","689",""
"MI","Chronic obstructive pulmonary disease w CC","6513",""
"MN","Chronic obstructive pulmonary disease w CC","1267",""
"MO","Chronic obstructive pulmonary disease w CC","3009",""
"MP","Chronic obstructive pulmonary disease w CC","*","The number of cases/patients is too few to report"
"MS","Chronic obstructive pulmonary disease w CC","2025",""
"MT","Chronic obstructive pulmonary disease w CC","201",""
"NC","Chronic obstructive pulmonary disease w CC","4548",""
"ND","Chronic obstructive pulmonary disease w CC","199",""
"NE","Chronic obstructive pulmonary disease w CC","689",""
"NH","Chronic obstructive pulmonary disease w CC","666",""
"NJ","Chronic obstructive pulmonary disease w CC","5136",""
"NM","Chronic obstructive pulmonary disease w CC","433",""
"NV","Chronic obstructive pulmonary disease w CC","803",""
"NY","Chronic obstructive pulmonary disease w CC","7644",""
"OH","Chronic obstructive pulmonary disease w CC","6978",""
"OK","Chronic obstructive pulmonary disease w CC","2308",""
"OR","Chronic obstructive pulmonary disease w CC","659",""
"PA","Chronic obstructive pulmonary disease w CC","6314",""
"PR","Chronic obstructive pulmonary disease w CC","420",""
"RI","Chronic obstructive pulmonary disease w CC","518",""
"SC","Chronic obstructive pulmonary disease w CC","2172",""
"SD","Chronic obstructive pulmonary disease w CC","327",""
"TN","Chronic obstructive pulmonary disease w CC","4210",""
"TX","Chronic obstructive pulmonary disease w CC","9016",""
"UT","Chronic obstructive pulmonary disease w CC","214",""
"VA","Chronic obstructive pulmonary disease w CC","3846",""
"VI","Chronic obstructive pulmonary disease w CC","*","The number of cases/patients is too few to report"
