Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","AL","36535","BALDWIN","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","2 out of 10","4 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","17","19"
"010085","DECATUR GENERAL HOSPITAL","1201 7TH STREET SE","DECATUR","AL","35609","MORGAN","5 out of 10","0 out of 9","5 out of 10","5 out of 10","1 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","0 out of 9","6 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","7 out of 9","7 out of 10","3 out of 10","3 out of 9","3 out of 10","37","20"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","AL","35594","MARION","6 out of 10","6 out of 9","6 out of 10","9 out of 10","0 out of 9","9 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","8 out of 10","4 out of 9","8 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","3 out of 9","7 out of 10","51","20"
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","MOBILE","AL","36617","MOBILE","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","8 out of 10","7 out of 9","8 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","3 out of 9","3 out of 10","5 out of 10","2 out of 9","5 out of 10","30","20"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL","35502","WALKER","5 out of 10","4 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","2 out of 9","4 out of 10","2 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","29","20"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","AL","36608","MOBILE","1 out of 10","1 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","5 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","14","19"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL","35401","TUSCALOOSA","6 out of 10","5 out of 9","6 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","2 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","26","19"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL","36426","ESCAMBIA","6 out of 10","2 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","7 out of 10","6 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","4 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","49","19"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL","36532","BALDWIN","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","7 out of 10","0 out of 9","7 out of 10","36","20"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL","35161","TALLADEGA","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","20","18"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL","35211","JEFFERSON","5 out of 10","0 out of 9","5 out of 10","7 out of 10","0 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","8 out of 10","6 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","38","20"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","BIRMINGHAM","AL","35213","JEFFERSON","5 out of 10","4 out of 9","5 out of 10","5 out of 10","1 out of 9","5 out of 10","3 out of 10","4 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","5 out of 10","0 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","4 out of 10","5 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","42","20"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL","36067","AUTAUGA","9 out of 10","0 out of 9","9 out of 10","9 out of 10","0 out of 9","9 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","0 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","8 out of 10","0 out of 9","8 out of 10","7 out of 10","5 out of 9","7 out of 10","7 out of 10","0 out of 9","7 out of 10","57","20"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","CARROLLTON","AL","35447","PICKENS","6 out of 10","0 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","0 out of 9","4 out of 10","9 out of 10","8 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","0 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","0 out of 9","6 out of 10","61","20"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","DEMOPOLIS","AL","36732","MARENGO","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","11","15"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36652","MOBILE","5 out of 10","4 out of 9","5 out of 10","6 out of 10","4 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","3 out of 9","3 out of 10","8 out of 10","7 out of 9","8 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","4 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","32","19"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35021","JEFFERSON","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","9","17"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL","36701","DALLAS","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","15"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","AL","36461","MONROE","7 out of 10","0 out of 9","7 out of 10","10 out of 10","0 out of 9","10 out of 10","9 out of 10","0 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","4 out of 9","7 out of 10","0 out of 10","1 out of 9","1 out of 10","6 out of 10","4 out of 9","6 out of 10","50","19"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","AL","35565","WINSTON","5 out of 10","1 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","7 out of 10","7 out of 9","7 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","25","16"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL","36081","PIKE","2 out of 10","1 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","18","15"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","BALDWIN","4 out of 10","0 out of 9","4 out of 10","8 out of 10","0 out of 9","8 out of 10","7 out of 10","1 out of 9","7 out of 10","7 out of 10","0 out of 9","7 out of 10","9 out of 10","4 out of 9","9 out of 10","7 out of 10","0 out of 9","7 out of 10","0 out of 10","3 out of 9","3 out of 10","7 out of 10","6 out of 9","7 out of 10","52","18"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","MADISON","2 out of 10","1 out of 9","2 out of 10","5 out of 10","2 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","1 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","4 out of 10","1 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","6 out of 10","1 out of 9","6 out of 10","28","20"
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","AL","35233","JEFFERSON","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","9","16"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL","35209","JEFFERSON","4 out of 10","0 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","7 out of 10","1 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","3 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","31","19"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","AL","36608","MOBILE","2 out of 10","2 out of 9","2 out of 10","5 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","2 out of 10","4 out of 9","4 out of 10","6 out of 10","7 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","6 out of 10","5 out of 9","6 out of 10","4 out of 10","3 out of 9","4 out of 10","34","20"
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","AL","36265","CALHOUN","6 out of 10","6 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","5 out of 10","2 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","2 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","5 out of 9","6 out of 10","41","19"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL","36117","MONTGOMERY","5 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","3 out of 9","3 out of 10","8 out of 10","7 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","35","20"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL","36037","BUTLER","6 out of 10","3 out of 9","6 out of 10","6 out of 10","2 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","7 out of 9","8 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","42","20"
"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","AL","36693","MOBILE","0 out of 10","1 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","19","15"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","COLBERT","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","10","17"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","AL","35653","FRANKLIN","3 out of 10","1 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","31","19"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL","35150","TALLADEGA","6 out of 10","2 out of 9","6 out of 10","7 out of 10","0 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","8 out of 10","0 out of 9","8 out of 10","7 out of 10","1 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","42","20"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL","36867","RUSSELL","7 out of 10","2 out of 9","7 out of 10","7 out of 10","3 out of 9","7 out of 10","6 out of 10","2 out of 9","6 out of 10","6 out of 10","3 out of 9","6 out of 10","7 out of 10","2 out of 9","7 out of 10","10 out of 10","9 out of 9","10 out of 10","9 out of 10","7 out of 9","9 out of 10","8 out of 10","6 out of 9","8 out of 10","60","20"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","AK","99519","ANCHORAGE","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","19","16"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK","99645","MATANUSKA-SUSITNA","2 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","3 out of 10","3 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","2 out of 9","3 out of 10","31","20"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK","99801","JUNEAU","5 out of 10","4 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","9 out of 10","6 out of 9","9 out of 10","3 out of 10","0 out of 9","3 out of 10","8 out of 10","6 out of 9","8 out of 10","2 out of 10","3 out of 9","3 out of 10","39","19"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","AK","99701","FAIRBANKS","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0 out of 9","7 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","7 out of 10","5 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","31","18"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","AK","99508","ANCHORAGE","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","1 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","16","19"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","AK","99669","KENAI-COOK INLET","6 out of 10","4 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","0 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","4 out of 10","0 out of 9","4 out of 10","39","20"
