"Provider ID","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Measure","Spending per Hospital Patient with Medicare","Footnote"
"450033","VHS HARLINGEN HOSPITAL COMPANY LLC","2101 PEASE ST","","","HARLINGEN","TX","78550","CAMERON","9563891100","Spending per Hospital Patient with Medicare","1.01",""
"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","","","SUN CITY WEST","AZ","85375","MARICOPA","6232144000","Spending per Hospital Patient with Medicare","0.98",""
"450042","PROVIDENCE HEALTH CENTER","6901 MEDICAL PARKWAY","","","WACO","TX","76712","MCLENNAN","2547514000","Spending per Hospital Patient with Medicare","0.97",""
"100023","CITRUS MEMORIAL HOSPITAL","502 W HIGHLAND BLVD","","","INVERNESS","FL","34452","CITRUS","3527261551","Spending per Hospital Patient with Medicare","1.05",""
"500129","TACOMA GENERAL ALLENMORE HOSPITAL","315 S MLK JR WAY","","","TACOMA","WA","98415","PIERCE","2534031000","Spending per Hospital Patient with Medicare","0.93",""
"150035","PORTER REGIONAL HOSPITAL","85 EAST US HWY 6","","","VALPARAISO","IN","46383","PORTER","2199838300","Spending per Hospital Patient with Medicare","1.03",""
"060024","UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE","","","AURORA","CO","80045","ADAMS","7208487800","Spending per Hospital Patient with Medicare","0.95",""
"110007","PHOEBE PUTNEY MEMORIAL HOSPITAL","417 THIRD AVENUE","","","ALBANY","GA","31703","DOUGHERTY","2293124068","Spending per Hospital Patient with Medicare","0.94",""
"140180","PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER","2233 W DIVISION ST","","","CHICAGO","IL","60622","COOK","3127702000","Spending per Hospital Patient with Medicare","1.02",""
"040026","ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","","","HOT SPRINGS","AR","71903","GARLAND","5016221000","Spending per Hospital Patient with Medicare","0.96",""
"050239","GLENDALE ADVENTIST MEDICAL CENTER","1509 E WILSON TERRACE","","","GLENDALE","CA","91206","LOS ANGELES","8184098202","Spending per Hospital Patient with Medicare","1.06",""
"350011","SANFORD MEDICAL CENTER FARGO","801 BROADWAY NORTH","","","FARGO","ND","58122","CASS","7012342000","Spending per Hospital Patient with Medicare","0.97",""
"300003","MARY HITCHCOCK MEMORIAL HOSPITAL","1 MEDICAL CENTER DRIVE","","","LEBANON","NH","03756","GRAFTON","6036505000","Spending per Hospital Patient with Medicare","0.99",""
"230151","BOTSFORD HOSPITAL","28050 GRAND RIVER AVENUE","","","FARMINGTON HILLS","MI","48336","OAKLAND","2484718000","Spending per Hospital Patient with Medicare","1.05",""
"440059","COOKEVILLE REGIONAL MEDICAL CENTER","1 MEDICAL CENTER BOULEVARD","","","COOKEVILLE","TN","38501","PUTNAM","9316462000","Spending per Hospital Patient with Medicare","0.97",""
"100017","HALIFAX HEALTH MEDICAL CENTER","303 N CLYDE MORRIS BLVD","","","DAYTONA BEACH","FL","32114","VOLUSIA","3862544000","Spending per Hospital Patient with Medicare","1.05",""
"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","","","EDISON","NJ","08818","MIDDLESEX","7323217000","Spending per Hospital Patient with Medicare","1.17",""
"050557","MEMORIAL  MEDICAL CENTER","1700 COFFEE RD","","","MODESTO","CA","95355","STANISLAUS","2095264500","Spending per Hospital Patient with Medicare","0.97",""
"390139","MAIN LINE HOSPITAL BRYN MAWR CAMPUS","130 SOUTH BRYN MAWR AVE","","","BRYN MAWR","PA","19010","DELAWARE","6105263000","Spending per Hospital Patient with Medicare","1.05",""
"050567","MISSION HOSPITAL REGIONAL MED CENTER","27700 MEDICAL CENTER RD","","","MISSION VIEJO","CA","92691","ORANGE","9493641400","Spending per Hospital Patient with Medicare","0.99",""
"170104","SHAWNEE MISSION MEDICAL CENTER","9100 W 74TH STREET","","","SHAWNEE MISSION","KS","66204","JOHNSON","9136762151","Spending per Hospital Patient with Medicare","1.03",""
"440161","TRISTAR CENTENNIAL MEDICAL CENTER","2300 PATTERSON STREET","","","NASHVILLE","TN","37203","DAVIDSON","6153421000","Spending per Hospital Patient with Medicare","1.01",""
"150048","REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","","","RICHMOND","IN","47374","WAYNE","7659833000","Spending per Hospital Patient with Medicare","1.01",""
"440173","PARKWEST MEDICAL CENTER","9352 PARK WEST BLVD","","","KNOXVILLE","TN","37923","KNOX","8659709800","Spending per Hospital Patient with Medicare","0.97",""
"100034","MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","","","MIAMI BEACH","FL","33140","MIAMI-DADE","3056742121","Spending per Hospital Patient with Medicare","1.08",""
"220070","HALLMARK HEALTH SYSTEM","585 LEBANON STREET","","","MELROSE","MA","02176","MIDDLESEX","7819793000","Spending per Hospital Patient with Medicare","1.10",""
"500079","MULTICARE GOOD SAMARITAN HOSPITAL","401 15TH AVENUE SE","","","PUYALLUP","WA","98372","PIERCE","2536972102","Spending per Hospital Patient with Medicare","0.92",""
"080004","BAYHEALTH - KENT GENERAL HOSPITAL","640 S STATE STREET","","","DOVER","DE","19901","KENT","3027447001","Spending per Hospital Patient with Medicare","1.03",""
"180012","HARDIN MEMORIAL HOSPITAL","913 NORTH DIXIE AVENUE","","","ELIZABETHTOWN","KY","42701","HARDIN","2707371212","Spending per Hospital Patient with Medicare","0.97",""
"140030","SHERMAN HOSPITAL","1425 NORTH RANDALL ROAD","","","ELGIN","IL","60123","KANE","8477429800","Spending per Hospital Patient with Medicare","1.05",""
"450029","LAREDO MEDICAL CENTER","1700 EAST SAUNDERS","","","LAREDO","TX","78044","WEBB","9567965000","Spending per Hospital Patient with Medicare","0.99",""
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","","","NORTH LITTLE ROCK","AR","72117","PULASKI","5012023000","Spending per Hospital Patient with Medicare","0.98",""
"260104","SSM DEPAUL HEALTH CENTER","12303 DEPAUL DRIVE","","","BRIDGETON","MO","63044","SAINT LOUIS","3143446000","Spending per Hospital Patient with Medicare","1.00",""
"050180","JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","1601 YGNACIO VALLEY RD","","","WALNUT CREEK","CA","94598","CONTRA COSTA","9259393000","Spending per Hospital Patient with Medicare","1.05",""
"100265","MEASE COUNTRYSIDE HOSPITAL","3231 MCMULLEN BOOTH RD","","","SAFETY HARBOR","FL","34695","PINELLAS","7277346950","Spending per Hospital Patient with Medicare","1.07",""
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","Spending per Hospital Patient with Medicare","0.99",""
"450713","ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","901 WEST BEN WHITE BLVD","","","AUSTIN","TX","78704","TRAVIS","5124487107","Spending per Hospital Patient with Medicare","1.03",""
"140228","SWEDISH AMERICAN HOSPITAL","1401 EAST STATE STREET","","","ROCKFORD","IL","61104","WINNEBAGO","8159684400","Spending per Hospital Patient with Medicare","0.99",""
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","","","MISHAWAKA","IN","46545","ST JOSEPH","5743355000","Spending per Hospital Patient with Medicare","1.01",""
"100173","FLORIDA HOSPITAL TAMPA","3100 E FLETCHER AVE","","","TAMPA","FL","33613","HILLSBOROUGH","8136157200","Spending per Hospital Patient with Medicare","1.09",""
"100029","NORTH SHORE MEDICAL CENTER","1100 NW 95TH ST","","","MIAMI","FL","33150","MIAMI-DADE","3058356000","Spending per Hospital Patient with Medicare","1.14",""
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAAS DRIVE","","","BELLEVILLE","NJ","07109","ESSEX","9734502002","Spending per Hospital Patient with Medicare","1.13",""
"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","","","SEARCY","AR","72143","WHITE","5012783100","Spending per Hospital Patient with Medicare","0.99",""
"190125","ST FRANCIS MEDICAL CENTER","309 JACKSON STREET","","","MONROE","LA","71201","OUACHITA","3189664000","Spending per Hospital Patient with Medicare","1.04",""
"490067","SOUTHSIDE REGIONAL MEDICAL CENTER","200 MEDICAL PARK BOULEVARD","","","PETERSBURG","VA","23805","PETERSBURG CITY","8047655000","Spending per Hospital Patient with Medicare","1.06",""
"360077","FAIRVIEW HOSPITAL","18101 LORAIN AVENUE","","","CLEVELAND","OH","44111","CUYAHOGA","2164767000","Spending per Hospital Patient with Medicare","1.03",""
"050133","RIDEOUT MEMORIAL HOSPITAL","726 4TH ST","","","MARYSVILLE","CA","95901","YUBA","5307494300","Spending per Hospital Patient with Medicare","0.93",""
"070007","LAWRENCE & MEMORIAL HOSPITAL","365 MONTAUK AVE","","","NEW LONDON","CT","06320","NEW LONDON","8604420711","Spending per Hospital Patient with Medicare","1.02",""
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","","","YUMA","AZ","85364","YUMA","9283367275","Spending per Hospital Patient with Medicare","1.00",""
"100135","TALLAHASSEE MEMORIAL HOSPITAL","1300 MICCOSUKEE RD","","","TALLAHASSEE","FL","32308","LEON","8504311155","Spending per Hospital Patient with Medicare","1.05",""
"450229","HENDRICK MEDICAL CENTER","1900 PINE","","","ABILENE","TX","79601","TAYLOR","3256702000","Spending per Hospital Patient with Medicare","0.99",""
"520136","WHEATON FRANCISCAN, INC- ST JOSEPH","5000 W CHAMBERS ST","","","MILWAUKEE","WI","53210","MILWAUKEE","4144472000","Spending per Hospital Patient with Medicare","0.94",""
"110122","SOUTH GEORGIA MEDICAL CENTER","2501 NORTH PATTERSON STREET, PO BOX 1727","","","VALDOSTA","GA","31603","LOWNDES","2293331020","Spending per Hospital Patient with Medicare","0.96",""
"100231","WEST FLORIDA HOSPITAL","8383 N DAVIS HWY","","","PENSACOLA","FL","32514","ESCAMBIA","8504944000","Spending per Hospital Patient with Medicare","1.00",""
"050549","LOS ROBLES HOSPITAL & MEDICAL CENTER","215 W JANSS RD","","","THOUSAND OAKS","CA","91360","VENTURA","8054972727","Spending per Hospital Patient with Medicare","0.99",""
"490077","MARTHA JEFFERSON HOSPITAL","500 MARTHA JEFFERSON DRIVE","","","CHARLOTTESVILLE","VA","22911","ALBEMARLE","4346547000","Spending per Hospital Patient with Medicare","0.94",""
"360079","KETTERING MEDICAL CENTER","3535 SOUTHERN BOULEVARD","","","KETTERING","OH","45429","MONTGOMERY","9372984331","Spending per Hospital Patient with Medicare","1.02",""
"100109","FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER","4200 SUN N' LAKE BLVD","","","SEBRING","FL","33871","HIGHLANDS","8633144466","Spending per Hospital Patient with Medicare","1.04",""
"330285","STRONG MEMORIAL HOSPITAL","601 ELMWOOD AVE","","","ROCHESTER","NY","14642","MONROE","5852752121","Spending per Hospital Patient with Medicare","0.94",""
"490032","MEDICAL COLLEGE OF VIRGINIA HOSPITALS","1250 EAST MARSHALL STREET - BOX 980510","","","RICHMOND","VA","23298","RICHMOND CITY","8048280938","Spending per Hospital Patient with Medicare","0.98",""
"490120","CHESAPEAKE GENERAL HOSPITAL","736 BATTLEFIELD BLVD, NORTH","","","CHESAPEAKE","VA","23320","CHESAPEAKE CITY","7573128121","Spending per Hospital Patient with Medicare","1.00",""
"190065","BATON ROUGE GENERAL MEDICAL CENTER","3600 FLORIDA STREET","","","BATON ROUGE","LA","70806","EAST BATON ROUGE","2253877000","Spending per Hospital Patient with Medicare","0.98",""
"360155","SOUTHWEST GENERAL HEALTH CENTER","18697 BAGLEY ROAD","","","MIDDLEBURG HEIGHTS","OH","44130","CUYAHOGA","4408168000","Spending per Hospital Patient with Medicare","1.04",""
"100256","REGIONAL MEDICAL CENTER BAYONET POINT","14000 FIVAY ROAD","","","HUDSON","FL","34667","PASCO","7278192929","Spending per Hospital Patient with Medicare","1.03",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","Spending per Hospital Patient with Medicare","1.00",""
"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","","","JEFFERSONVILLE","IN","47130","CLARK","8122832142","Spending per Hospital Patient with Medicare","1.01",""
"150021","PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","","","FORT WAYNE","IN","46805","ALLEN","2603734000","Spending per Hospital Patient with Medicare","1.00",""
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","","","SANTA BARBARA","CA","93102","SANTA BARBARA","8056827111","Spending per Hospital Patient with Medicare","0.94",""
"050280","MERCY MEDICAL CENTER REDDING","2175 ROSALINE AVE, CLAIRMONT HGTS","","","REDDING","CA","96001","SHASTA","5302256102","Spending per Hospital Patient with Medicare","0.98",""
"110168","REDMOND REGIONAL MEDICAL CENTER","501 REDMOND ROAD","","","ROME","GA","30165","FLOYD","7068023012","Spending per Hospital Patient with Medicare","0.93",""
"200033","EASTERN MAINE MEDICAL CENTER","489 STATE ST, PO BOX 404","","","BANGOR","ME","04401","PENOBSCOT","2079737000","Spending per Hospital Patient with Medicare","0.99",""
"310014","COOPER UNIVERSITY HOSPITAL","1 COOPER PLAZA","","","CAMDEN","NJ","08103","CAMDEN","8563422000","Spending per Hospital Patient with Medicare","1.03",""
"380102","SACRED HEART MEDICAL CENTER - RIVERBEND","3333 RIVERBEND DRIVE","","","SPRINGFIELD","OR","97477","LANE","5412227300","Spending per Hospital Patient with Medicare","0.87",""
"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","","","FREEHOLD","NJ","07728","MONMOUTH","7324312000","Spending per Hospital Patient with Medicare","1.07",""
"050290","SAINT JOHN'S HEALTH CENTER","2121 SANTA MONICA BLVD","","","SANTA MONICA","CA","90404","LOS ANGELES","3108295511","Spending per Hospital Patient with Medicare","0.97",""
"050308","EL CAMINO HOSPITAL","2500 GRANT ROAD","","","MOUNTAIN VIEW","CA","94040","SANTA CLARA","6509407000","Spending per Hospital Patient with Medicare","1.00",""
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","Spending per Hospital Patient with Medicare","0.98",""
"050238","METHODIST HOSPITAL OF SOUTHERN CA","300 W HUNTINGTON DR","","","ARCADIA","CA","91006","LOS ANGELES","6264454441","Spending per Hospital Patient with Medicare","1.04",""
"110078","EMORY UNIVERSITY HOSPITAL MIDTOWN","550 PEACHTREE ST NE","","","ATLANTA","GA","30308","FULTON","4046864411","Spending per Hospital Patient with Medicare","0.94",""
"100035","MANATEE MEMORIAL HOSPITAL","206 2ND ST E","","","BRADENTON","FL","34208","MANATEE","9417465111","Spending per Hospital Patient with Medicare","1.07",""
"220111","GOOD SAMARITAN MEDICAL CENTER","235 NORTH PEARL STREET","","","BROCKTON","MA","02301","PLYMOUTH","5084273000","Spending per Hospital Patient with Medicare","1.06",""
"450610","MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","921 GESSNER","","","HOUSTON","TX","77024","HARRIS","7132423000","Spending per Hospital Patient with Medicare","1.10",""
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","Spending per Hospital Patient with Medicare","0.90",""
"310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","ONE-FIVE PLAINSBORO ROAD","","","PLAINSBORO","NJ","08536","MIDDLESEX","8664604776","Spending per Hospital Patient with Medicare","1.07",""
"500014","PROVIDENCE REGIONAL MEDICAL CENTER EVERETT","1321 COLBY AVENUE","","","EVERETT","WA","98201","SNOHOMISH","4252612000","Spending per Hospital Patient with Medicare","0.93",""
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","","","SCOTTSDALE","AZ","85260","MARICOPA","4803233000","Spending per Hospital Patient with Medicare","1.03",""
"460021","DIXIE REGIONAL MEDICAL CENTER","1380 EAST MEDICAL CENTER DRIVE","","","ST GEORGE","UT","84790","WASHINGTON","4352511000","Spending per Hospital Patient with Medicare","0.93",""
"450647","MEDICAL CITY DALLAS HOSPITAL","7777 FOREST LANE","","","DALLAS","TX","75230","DALLAS","9725666222","Spending per Hospital Patient with Medicare","1.05",""
"490018","AUGUSTA HEALTH","78 MEDICAL CENTER DRIVE","","","FISHERSVILLE","VA","22939","AUGUSTA","5409324000","Spending per Hospital Patient with Medicare","0.91",""
"230059","SAINT MARY'S HEALTH CARE","200 JEFFERSON AVENUE SE","","","GRAND RAPIDS","MI","49503","KENT","6166855000","Spending per Hospital Patient with Medicare","0.94",""
"300001","CONCORD HOSPITAL","250 PLEASANT ST","","","CONCORD","NH","03301","MERRIMACK","6032252711","Spending per Hospital Patient with Medicare","1.01",""
"050382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  SAN BERNARDINO ROAD","","","COVINA","CA","91723","LOS ANGELES","6268142468","Spending per Hospital Patient with Medicare","1.11",""
"140186","RIVERSIDE MEDICAL CENTER","350 N WALL ST","","","KANKAKEE","IL","60901","KANKAKEE","8159331671","Spending per Hospital Patient with Medicare","1.00",""
"330350","UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE )","445 LENOX ROAD","","","BROOKLYN","NY","11203","KINGS","7182701000","Spending per Hospital Patient with Medicare","0.96",""
"520096","WHEATON FRANCISCAN HEALTHCARE- ALL SAINTS","3801 SPRING ST","","","RACINE","WI","53405","RACINE","2626874011","Spending per Hospital Patient with Medicare","0.96",""
"050351","TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD","","","TORRANCE","CA","90509","LOS ANGELES","3103259110","Spending per Hospital Patient with Medicare","0.98",""
"230222","MIDMICHIGAN MEDICAL CENTER-MIDLAND","4000 WELLNESS DRIVE","","","MIDLAND","MI","48670","MIDLAND","9898393000","Spending per Hospital Patient with Medicare","0.90",""
"330306","LUTHERAN MEDICAL CENTER","150 55TH STREET","","","BROOKLYN","NY","11220","KINGS","7186308000","Spending per Hospital Patient with Medicare","1.03",""
"260183","SAINT FRANCIS MEDICAL CENTER","211 ST FRANCIS DR","","","CAPE GIRARDEAU","MO","63703","CAPE GIRARDEAU","5733313000","Spending per Hospital Patient with Medicare","1.02",""
"050084","ST JOSEPHS MEDICAL CENTER OF STOCKTON","1800 N CALIFORNIA ST","","","STOCKTON","CA","95204","SAN JOAQUIN","2099432000","Spending per Hospital Patient with Medicare","1.01",""
"100243","BRANDON REGIONAL HOSPITAL","119 OAKFIELD DR","","","BRANDON","FL","33511","HILLSBOROUGH","8136815551","Spending per Hospital Patient with Medicare","1.03",""
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","","","SAN FRANCISCO","CA","94115","SAN FRANCISCO","4156006000","Spending per Hospital Patient with Medicare","0.90",""
"420026","SISTERS OF CHARITY PROVIDENCE HOSPITALS","2435 FOREST DR","","","COLUMBIA","SC","29204","RICHLAND","8032565300","Spending per Hospital Patient with Medicare","0.99",""
"360041","PARMA COMMUNITY GENERAL HOSPITAL","7007 POWERS BOULEVARD","","","PARMA","OH","44129","CUYAHOGA","4407433000","Spending per Hospital Patient with Medicare","1.11",""
"450672","PLAZA MEDICAL CENTER OF FORT WORTH","900 EIGHTH AVENUE","","","FORT WORTH","TX","76104","TARRANT","8173362100","Spending per Hospital Patient with Medicare","1.07",""
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","","","EVERGREEN PARK","IL","60805","COOK","7084226200","Spending per Hospital Patient with Medicare","1.01",""
"390180","CROZER CHESTER MEDICAL CENTER","ONE MEDICAL CENTER BOULEVARD","","","UPLAND","PA","19013","DELAWARE","6104472000","Spending per Hospital Patient with Medicare","1.07",""
"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","","","MOUNTAIN HOME","AR","72653","BAXTER","8705081000","Spending per Hospital Patient with Medicare","0.97",""
"340155","DURHAM REGIONAL HOSPITAL","3643 N ROXBORO ROAD","","","DURHAM","NC","27704","DURHAM","9196201078","Spending per Hospital Patient with Medicare","0.97",""
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","","","TUCSON","AZ","85741","PIMA","5207429000","Spending per Hospital Patient with Medicare","1.01",""
"440104","ERLANGER MEDICAL CENTER","975 E 3RD ST","","","CHATTANOOGA","TN","37403","HAMILTON","4237787000","Spending per Hospital Patient with Medicare","1.03",""
"510001","WEST VIRGINIA UNIVERSITY HOSPITALS","MEDICAL CENTER DRIVE","","","MORGANTOWN","WV","26506","MONONGALIA","3045984000","Spending per Hospital Patient with Medicare","1.00",""
"440053","MIDDLE TENNESSEE MEDICAL CENTER INC","1700 MEDICAL CENTER PARKWAY","","","MURFREESBORO","TN","37129","RUTHERFORD","6153964100","Spending per Hospital Patient with Medicare","0.98",""
"360052","GOOD SAMARITAN HOSPITAL","2222 PHILADELPHIA DRIVE","","","DAYTON","OH","45406","MONTGOMERY","9372782612","Spending per Hospital Patient with Medicare","1.04",""
"180102","LOURDES HOSPITAL","1530 LONE OAK ROAD","","","PADUCAH","KY","42001","MCCRACKEN","2704442444","Spending per Hospital Patient with Medicare","0.94",""
"050195","WASHINGTON HOSPITAL","2000 MOWRY AVE","","","FREMONT","CA","94538","ALAMEDA","5107971111","Spending per Hospital Patient with Medicare","0.96",""
"250001","UNIVERSITY OF MISSISSIPPI MED CENTER","2500 N STATE ST","","","JACKSON","MS","39216","HINDS","6019844100","Spending per Hospital Patient with Medicare","1.02",""
"280040","THE NEBRASKA METHODIST HOSPITAL","8303 DODGE ST","","","OMAHA","NE","68114","DOUGLAS","4023544000","Spending per Hospital Patient with Medicare","1.02",""
"060022","UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","","","COLORADO SPRINGS","CO","80909","EL PASO","7193655000","Spending per Hospital Patient with Medicare","1.02",""
"080007","BEEBE MEDICAL CENTER","424 SAVANNAH RD","","","LEWES","DE","19958","SUSSEX","3026453300","Spending per Hospital Patient with Medicare","0.99",""
"380004","PROVIDENCE ST VINCENT MEDICAL CENTER","9205 SW BARNES ROAD","","","PORTLAND","OR","97225","WASHINGTON","5032161234","Spending per Hospital Patient with Medicare","0.89",""
"330125","ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVENUE","","","ROCHESTER","NY","14621","MONROE","5859224000","Spending per Hospital Patient with Medicare","0.91",""
"360145","EMH REGIONAL MEDICAL CENTER","630 EAST RIVER STREET","","","ELYRIA","OH","44035","LORAIN","4403297500","Spending per Hospital Patient with Medicare","1.03",""
"420002","PIEDMONT MEDICAL CENTER","222 S HERLONG AVE","","","ROCK HILL","SC","29730","YORK","8033291234","Spending per Hospital Patient with Medicare","1.05",""
"450119","SOUTH TEXAS HEALTH SYSTEM","1102 W TRENTON ROAD","","","EDINBURG","TX","78539","HIDALGO","9566324000","Spending per Hospital Patient with Medicare","1.04",""
"450651","MEDICAL CENTER OF PLANO","3901 W 15TH ST","","","PLANO","TX","75075","COLLIN","9725966800","Spending per Hospital Patient with Medicare","1.13",""
"390004","HOLY SPIRIT HOSPITAL","503 NORTH 21ST STREET","","","CAMP HILL","PA","17011","CUMBERLAND","7177632100","Spending per Hospital Patient with Medicare","1.07",""
"450346","MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL","3080 COLLEGE STREET","","","BEAUMONT","TX","77701","JEFFERSON","4092125012","Spending per Hospital Patient with Medicare","1.03",""
