Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score, AMI-8a Performance Rate,AMI-8a Achievement Points,AMI-8a Improvement Points,AMI-8a Measure Score,AMI Condition/Procedure Score
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL","36867","RUSSELL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","AK","99519","ANCHORAGE","N/A","N/A","N/A","N/A","0.8780","0 out of 10","0 out of 9","0 out of 10","0"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK","99645","MATANUSKA-SUSITNA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK","99801","JUNEAU","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","AK","99701","FAIRBANKS","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","AK","99508","ANCHORAGE","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","AK","99669","KENAI-COOK INLET","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","AK","99508","ANCHORAGE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","AZ","85031","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","N/A","N/A","N/A","N/A","0.9310","2 out of 10","5 out of 9","5 out of 10","5"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","AZ","86326","YAVAPAI","N/A","N/A","N/A","N/A","0.9412","3 out of 10","2 out of 9","3 out of 10","3"
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","AZ","85745","PIMA","N/A","N/A","N/A","N/A","0.9423","3 out of 10","0 out of 9","3 out of 10","3"
"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","AZ","85711","PIMA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","AZ","86301","YAVAPAI","N/A","N/A","N/A","N/A","0.8800","0 out of 10","7 out of 9","7 out of 10","7"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","AZ","85364","YUMA","N/A","N/A","N/A","N/A","0.8545","0 out of 10","0 out of 9","0 out of 10","0"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","AZ","85020","MARICOPA","N/A","N/A","N/A","N/A","0.8621","0 out of 10","0 out of 9","0 out of 10","0"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","AZ","85222","PINAL","N/A","N/A","N/A","N/A","0.9091","0 out of 10","N/A","0 out of 10","0"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","AZ","85008","MARICOPA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","AZ","86001","COCONINO","N/A","N/A","N/A","N/A","0.8824","0 out of 10","7 out of 9","7 out of 10","7"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","AZ","85013","MARICOPA","N/A","N/A","N/A","N/A","0.9730","7 out of 10","3 out of 9","7 out of 10","7"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","AZ","85015","MARICOPA","N/A","N/A","N/A","N/A","0.9048","0 out of 10","0 out of 9","0 out of 10","0"
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","AZ","85541","GILA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","AZ","85224","MARICOPA","N/A","N/A","N/A","N/A","0.9750","7 out of 10","0 out of 9","7 out of 10","7"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","AZ","85006","MARICOPA","N/A","N/A","N/A","N/A","0.9091","0 out of 10","7 out of 9","7 out of 10","7"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","AZ","85251","MARICOPA","N/A","N/A","N/A","N/A","0.9697","6 out of 10","9 out of 9","9 out of 10","9"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","AZ","85635","COCHISE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","AZ","86409","MOHAVE","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","AZ","85724","PIMA","N/A","N/A","N/A","N/A","0.9375","3 out of 10","0 out of 9","3 out of 10","3"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","N/A","N/A","N/A","N/A","0.9459","4 out of 10","0 out of 9","4 out of 10","4"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","AZ","85344","LAPAZ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","AZ","85546","GRAHAM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","N/A","N/A","N/A","N/A","0.8824","0 out of 10","3 out of 9","3 out of 10","3"
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","N/A","N/A","N/A","N/A","0.8780","0 out of 10","1 out of 9","1 out of 10","1"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","N/A","N/A","N/A","N/A","0.9143","0 out of 10","2 out of 9","2 out of 10","2"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","N/A","N/A","N/A","N/A","0.9750","7 out of 10","7 out of 9","7 out of 10","7"
"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","N/A","N/A","N/A","N/A","0.8056","0 out of 10","0 out of 9","0 out of 10","0"
"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","N/A","N/A","N/A","N/A","0.9600","5 out of 10","0 out of 9","5 out of 10","5"
"030100","CARONDELET HEART AND VASCULAR INSTITUTE","4888 NORTH STONE AVENUE","TUCSON","AZ","85704","PIMA","N/A","N/A","N/A","N/A","0.9524","4 out of 10","0 out of 9","4 out of 10","4"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","BULLHEAD CITY","AZ","86442","MOHAVE","N/A","N/A","N/A","N/A","0.9231","1 out of 10","8 out of 9","8 out of 10","8"
"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","PHOENIX","AZ","85054","MARICOPA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","MESA","AZ","85206","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030108","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","6501 NORTH 19TH AVENUE","PHOENIX","AZ","85015","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","GOODYEAR","AZ","85395","MARICOPA","N/A","N/A","N/A","N/A","0.8824","0 out of 10","0 out of 9","0 out of 10","0"
"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","2800 EAST AJO WAY","TUCSON","AZ","85713","PIMA","N/A","N/A","N/A","N/A","0.9667","6 out of 10","7 out of 9","7 out of 10","7"
"030112","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","2905 WEST WARNER ROAD","CHANDLER","AZ","85225","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","AZ","85755","PIMA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","PHOENIX","AZ","85037","MARICOPA","N/A","N/A","N/A","N/A","0.9655","6 out of 10","4 out of 9","6 out of 10","6"
"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","FORT MOHAVE","AZ","86426","MOHAVE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","PRESCOTT VALLEY","AZ","86314","YAVAPAI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","GILBERT","AZ","85296","MARICOPA","N/A","N/A","N/A","N/A","0.9615","5 out of 10","6 out of 9","6 out of 10","6"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","AZ","85209","MARICOPA","N/A","N/A","N/A","N/A","0.8947","0 out of 10","7 out of 9","7 out of 10","7"
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","GILBERT","AZ","85234","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","SCOTTSDALE","AZ","85255","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","MESA","AZ","85201","MARICOPA","N/A","N/A","N/A","N/A","0.9375","3 out of 10","6 out of 9","6 out of 10","6"
"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","SAN TAN VALLEY","AZ","85140","PINAL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","PHOENIX","AZ","85008","MARICOPA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","SILOAM SPRINGS","AR","72761","BENTON","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040002","JOHNSON REGIONAL MEDICAL CENTER","1100 EAST POPLAR STREET","CLARKSVILLE","AR","72830","JOHNSON","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD","FAYETTEVILLE","AR","72703","WASHINGTON","N/A","N/A","N/A","N/A","0.8966","0 out of 10","0 out of 9","0 out of 10","0"
"040007","ST VINCENT INFIRMARY MEDICAL CENTER","TWO ST VINCENT CIRCLE","LITTLE ROCK","AR","72205","PULASKI","N/A","N/A","N/A","N/A","0.6842","0 out of 10","0 out of 9","0 out of 10","0"
"040010","MERCY MEDICAL CENTER","2710 RIFE MEDICAL LANE","ROGERS","AR","72758","BENTON","N/A","N/A","N/A","N/A","0.9706","6 out of 10","0 out of 9","6 out of 10","6"
"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","SEARCY","AR","72143","WHITE","N/A","N/A","N/A","N/A","0.9667","6 out of 10","7 out of 9","7 out of 10","7"
"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","LITTLE ROCK","AR","72205","PULASKI","N/A","N/A","N/A","N/A","0.7083","0 out of 10","1 out of 9","1 out of 10","1"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","HARRISON","AR","72601","BOONE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040018","SUMMIT MEDICAL CENTER","EAST MAIN AND SOUTH 20TH STREET","VAN BUREN","AR","72956","CRAWFORD","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","FORREST CITY","AR","72335","ST. FRANCIS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","JONESBORO","AR","72401","CRAIGHEAD","N/A","N/A","N/A","N/A","0.9600","5 out of 10","0 out of 9","5 out of 10","5"
"040022","NW ARKANSAS HOSPITALS, LLC","609 WEST MAPLE AVENUE","SPRINGDALE","AR","72764","WASHINGTON","N/A","N/A","N/A","N/A","0.9773","7 out of 10","0 out of 9","7 out of 10","7"
"040026","ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","HOT SPRINGS","AR","71903","GARLAND","N/A","N/A","N/A","N/A","0.8889","0 out of 10","7 out of 9","7 out of 10","7"
"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","MOUNTAIN HOME","AR","72653","BAXTER","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","CONWAY","AR","72034","FAULKNER","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","NORTH LITTLE ROCK","AR","72117","PULASKI","N/A","N/A","N/A","N/A","0.9744","7 out of 10","8 out of 9","8 out of 10","8"
"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","PARAGOULD","AR","72450","GREENE","N/A","N/A","N/A","N/A","1.0000","10 out of 10","N/A","10 out of 10","10"
"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","AR","72801","POPE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040042","CRITTENDEN MEMORIAL HOSPITAL","200 TYLER","WEST MEMPHIS","AR","72301","CRITTENDEN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","AR","71701","OUACHITA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","AR","71655","DREW","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","AR","72901","SEBASTIAN","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH","AR","72917","SEBASTIAN","N/A","N/A","N/A","N/A","0.8611","0 out of 10","1 out of 9","1 out of 10","1"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","MAGNOLIA","AR","71754","COLUMBIA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","BLYTHEVILLE","AR","72315","MISSISSIPPI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","AR","71603","JEFFERSON","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","AR","72160","ARKANSAS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","JACKSONVILLE","AR","72076","PULASKI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040076","HOT SPRING COUNTY MEDICAL CENTER","1001 SCHNEIDER DRIVE","MALVERN","AR","72104","HOT SPRING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS","AR","71901","GARLAND","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","NEWPORT","AR","72112","JACKSON","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","AR","72015","SALINE","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING DRIVE","HELENA","AR","72342","PHILLIPS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO","AR","71731","UNION","N/A","N/A","N/A","N/A","1.0000","10 out of 10","N/A","10 out of 10","10"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","AR","72205","PULASKI","N/A","N/A","N/A","N/A","0.9697","6 out of 10","8 out of 9","8 out of 10","8"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","JONESBORO","AR","72401","CRAIGHEAD","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","AR","72503","INDEPENDENCE","N/A","N/A","N/A","N/A","0.7857","0 out of 10","0 out of 9","0 out of 10","0"
"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK","AR","72211","PULASKI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","SHERWOOD","AR","72120","PULASKI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","NO LITTLE ROCK","AR","72118","PULASKI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","FAYETTEVILLE","AR","72703","WASHINGTON","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","HAYWARD","CA","94545","ALAMEDA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","EUREKA","CA","95501","HUMBOLDT","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"050007","PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","BURLINGAME","CA","94010","SAN MATEO","N/A","N/A","N/A","N/A","0.9231","1 out of 10","0 out of 9","1 out of 10","1"
"050008","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","45 CASTRO STREET","SAN FRANCISCO","CA","94114","SAN FRANCISCO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST","NAPA","CA","94558","NAPA","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
