"Provider ID","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Measure","Rate","Sample","Footnote"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Immunization for influenza","0","119","Data submitted were based on a sample of cases/patients"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Immunization for influenza","28","152","Data submitted were based on a sample of cases/patients"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","Immunization for influenza","95","149","Data submitted were based on a sample of cases/patients"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","Immunization for influenza","100","363","Data submitted were based on a sample of cases/patients"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","Immunization for influenza","97","257","Data submitted were based on a sample of cases/patients"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Immunization for influenza","96","50","Data submitted were based on a sample of cases/patients"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","Immunization for influenza","92","148","Data submitted were based on a sample of cases/patients"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","Immunization for influenza","98","204","Data submitted were based on a sample of cases/patients"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","Immunization for influenza","64","155","Data submitted were based on a sample of cases/patients"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","Immunization for influenza","86","139","Data submitted were based on a sample of cases/patients"
"010066","FLORALA MEMORIAL HOSPITAL","24273 FIFTH AVENUE","","","FLORALA","AL","36442","COVINGTON","3348583287","Immunization for influenza","53","15","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","","","EUFAULA","AL","36027","BARBOUR","3346887271","Immunization for influenza","94","171","Data submitted were based on a sample of cases/patients"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","","","ASHLAND","AL","36251","CLAY","2563542131","Immunization for influenza","93","160","Data submitted were based on a sample of cases/patients"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","Immunization for influenza","90","294","Data submitted were based on a sample of cases/patients"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","","","ATHENS","AL","35611","LIMESTONE","2562339292","Immunization for influenza","99","206","Data submitted were based on a sample of cases/patients"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","","","FOLEY","AL","36535","BALDWIN","2519493400","Immunization for influenza","100","314","Data submitted were based on a sample of cases/patients"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","","","DECATUR","AL","35601","MORGAN","2563412000","Immunization for influenza","72","291","Data submitted were based on a sample of cases/patients"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","","","WINFIELD","AL","35594","MARION","2054877736","Immunization for influenza","99","154","Data submitted were based on a sample of cases/patients"
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","","","MOBILE","AL","36617","MOBILE","2514717110","Immunization for influenza","100","292","Data submitted were based on a sample of cases/patients"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","","","JASPER","AL","35502","WALKER","2053874000","Immunization for influenza","100","287","Data submitted were based on a sample of cases/patients"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","","","MOBILE","AL","36608","MOBILE","2516331000","Immunization for influenza","99","271","Data submitted were based on a sample of cases/patients"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","","","GROVE HILL","AL","36451","CLARKE","2512753191","Immunization for influenza","72","161","Data submitted were based on a sample of cases/patients"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","","","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","Immunization for influenza","93","269","Data submitted were based on a sample of cases/patients"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","","","GREENSBORO","AL","36744","HALE","3346243024","Immunization for influenza","43","102","Data submitted were based on a sample of cases/patients"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","","","WETUMPKA","AL","36092","ELMORE","3345674311","Immunization for influenza","83","211",""
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","","","BREWTON","AL","36426","ESCAMBIA","2518678061","Immunization for influenza","91","172","Data submitted were based on a sample of cases/patients"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","","","FAIRHOPE","AL","36532","BALDWIN","2519282375","Immunization for influenza","97","293","Data submitted were based on a sample of cases/patients"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","","","TALLADEGA","AL","35161","TALLADEGA","2567614542","Immunization for influenza","84","144","Data submitted were based on a sample of cases/patients"
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","","","CAMDEN","AL","36726","WILCOX","3346824131","Immunization for influenza","0","72",""
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","","","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","Immunization for influenza","97","298","Data submitted were based on a sample of cases/patients"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","","","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","Immunization for influenza","100","327","Data submitted were based on a sample of cases/patients"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","","","PRATTVILLE","AL","36067","AUTAUGA","3343614267","Immunization for influenza","85","162","Data submitted were based on a sample of cases/patients"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","","","CARROLLTON","AL","35447","PICKENS","2053678111","Immunization for influenza","97","151","Data submitted were based on a sample of cases/patients"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","","","UNION SPRINGS","AL","36089","BULLOCK","3347382140","Immunization for influenza","29","151","Data submitted were based on a sample of cases/patients"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","","","DEMOPOLIS","AL","36732","MARENGO","3342894000","Immunization for influenza","84","159","Data submitted were based on a sample of cases/patients"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","","","MOBILE","AL","36652","MOBILE","2514354700","Immunization for influenza","94","302","Data submitted were based on a sample of cases/patients"
"010114","MEDICAL WEST AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","","","BESSEMER","AL","35021","JEFFERSON","2054817000","Immunization for influenza","92","292","Data submitted were based on a sample of cases/patients"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","","","SELMA","AL","36701","DALLAS","3344184100","Immunization for influenza","100","277","Data submitted were based on a sample of cases/patients"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE BOX 886","","","MONROEVILLE","AL","36460","MONROE","2515753111","Immunization for influenza","65","134","Data submitted were based on a sample of cases/patients"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","","","HALEYVILLE","AL","35565","WINSTON","2054857117","Immunization for influenza","92","154","Data submitted were based on a sample of cases/patients"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","","","TROY","AL","36081","PIKE","3346705000","Immunization for influenza","96","158","Data submitted were based on a sample of cases/patients"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","","","JACKSON","AL","36545","CLARKE","2512469021","Immunization for influenza","98","91",""
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","","","BAY MINETTE","AL","36507","BALDWIN","2519375521","Immunization for influenza","51","129","Data submitted were based on a sample of cases/patients"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","","","PELL CITY","AL","35125","SAINT CLAIR","2053383301","Immunization for influenza","95","150","Data submitted were based on a sample of cases/patients"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","","","HUNTSVILLE","AL","35801","MADISON","2568823100","Immunization for influenza","99","324","Data submitted were based on a sample of cases/patients"
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","","","YORK","AL","36925","SUMTER","2053925263","Immunization for influenza","18","106","Data submitted were based on a sample of cases/patients"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","","","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","Immunization for influenza","86","274","Data submitted were based on a sample of cases/patients"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","","MOBILE","AL","36608","MOBILE","2513449630","Immunization for influenza","93","343","Data submitted were based on a sample of cases/patients"
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","","","JACKSONVILLE","AL","36265","CALHOUN","2567824538","Immunization for influenza","51","130","Data submitted were based on a sample of cases/patients"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","","","EVERGREEN","AL","36401","CONECUH","2515782480","Immunization for influenza","52","152","Data submitted were based on a sample of cases/patients"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","","","MONTGOMERY","AL","36117","MONTGOMERY","3342448330","Immunization for influenza","88","225","Data submitted were based on a sample of cases/patients"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","","","GREENVILLE","AL","36037","BUTLER","3343822200","Immunization for influenza","100","167","Data submitted were based on a sample of cases/patients"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","","","MUSCLE SHOALS","AL","35661","COLBERT","2563861601","Immunization for influenza","94","145","Data submitted were based on a sample of cases/patients"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","","","RUSSELLVILLE","AL","35653","FRANKLIN","2563321611","Immunization for influenza","100","156","Data submitted were based on a sample of cases/patients"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","","","SYLACAUGA","AL","35150","TALLADEGA","2562495000","Immunization for influenza","100","238","Data submitted were based on a sample of cases/patients"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","","","PHENIX CITY","AL","36867","RUSSELL","3347323000","Immunization for influenza","85","156","Data submitted were based on a sample of cases/patients"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","","","ATMORE","AL","36502","ESCAMBIA","2513682500","Immunization for influenza","90","164","Data submitted were based on a sample of cases/patients"
"011300","WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE","","","CHATOM","AL","36518","WASHINGTON","2518472223","Immunization for influenza","57","51",""
"011302","RED BAY HOSPITAL","211 HOSPITAL ROAD","","","RED BAY","AL","35582","FRANKLIN","2563569532","Immunization for influenza","92","25","Data submitted were based on a sample of cases/patients"
"011304","CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE PO BOX 618","","","BUTLER","AL","36904","CHOCTAW","2054599100","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"013301","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","1700 CENTER STREET","","","MOBILE","AL","36604","MOBILE","2514151000","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","","","ANCHORAGE","AK","99519","ANCHORAGE","9072613675","Immunization for influenza","72","275","Data submitted were based on a sample of cases/patients"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","","","PALMER","AK","99645","MATANUSKA SUSITNA","9077468600","Immunization for influenza","98","244","Data submitted were based on a sample of cases/patients"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","","","JUNEAU","AK","99801","JUNEAU","9077968900","Immunization for influenza","87","137","Data submitted were based on a sample of cases/patients"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","","","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","Immunization for influenza","87","231","Data submitted were based on a sample of cases/patients"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","","","ANCHORAGE","AK","99508","ANCHORAGE","9072761131","Immunization for influenza","92","273","Data submitted were based on a sample of cases/patients"
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","","","BETHEL","AK","99559","BETHEL","9075436300","Immunization for influenza","60","149","Data submitted were based on a sample of cases/patients"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","","","SOLDOTNA","AK","99669","KENAI PENINSULA","9072624404","Immunization for influenza","96","137","Data submitted were based on a sample of cases/patients"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","","","ANCHORAGE","AK","99508","ANCHORAGE","9075632662","Immunization for influenza","64","287","Data submitted were based on a sample of cases/patients"
"020027","MT EDGECUMBE HOSPITAL","222 TONGASS DR","","","SITKA","AK","99835","SITKA","9079662411","Immunization for influenza","71","161","Data submitted were based on a sample of cases/patients"
"021301","PROVIDENCE VALDEZ MEDICAL CENTER","PO BOX 550","","","VALDEZ","AK","99686","VALDEZ CORDOVA","9078352249","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021302","PROVIDENCE SEWARD HOSPITAL","417 FIRST AVENUE PO BOX 365","","","SEWARD","AK","99664","KENAI PENINSULA","9072245205","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021303","SITKA COMMUNITY HOSPITAL","209 MOLLER DRIVE","","","SITKA","AK","99835","SITKA","9077473241","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021304","PETERSBURG MEDICAL CENTER"," PO BOX 589","","","PETERSBURG","AK","99833","","9077724291","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021305","WRANGELL MEDICAL CENTER","310 BENNETT STREET PO BOX 1081","","","WRANGELL","AK","99929","","9078747000","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CTR","1915 EAST REZANOF DRIVE","","","KODIAK","AK","99615","KODIAK ISLAND","9074869592","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021307","CORDOVA COMMUNITY MEDICAL CENTER","PO BOX 160 - 602 CHASE AVENUE","","","CORDOVA","AK","99574","VALDEZ CORDOVA","9074248000","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021308","NORTON SOUND REGIONAL HOSPITAL","306 WEST 5TH AVENUE P O BOX 966","","","NOME","AK","99762","NOME","9074433311","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021309","KANAKANAK HOSPITAL","P O BOX 130","","","DILLINGHAM","AK","99576","DILLINGHAM","9078425201","Immunization for influenza","Not Available","Not Available","Results are not available for this reporting period"
"021311"," KETCHIKAN MEDICAL CENTER","3100 TONGASS AVENUE","","","KETCHIKAN","AK","99901","KETCHIKAN GATEWAY","9072255171","Immunization for influenza","77","135","Data submitted were based on a sample of cases/patients"
"021313","SOUTH PENINSULA HOSPITAL","4300 BARTLETT ST","","","HOMER","AK","99603","KENAI PENINSULA","9072358101","Immunization for influenza","71","14","The number of cases/patients is too few to report"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","","","PHOENIX","AZ","85031","MARICOPA","6238485000","Immunization for influenza","85","261","Data submitted were based on a sample of cases/patients"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","","","PHOENIX","AZ","85006","MARICOPA","6022392000","Immunization for influenza","91","244","Data submitted were based on a sample of cases/patients"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","","","TUCSON","AZ","85712","PIMA","5203275461","Immunization for influenza","92","240","Data submitted were based on a sample of cases/patients"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","","","COTTONWOOD","AZ","86326","YAVAPAI","9286396000","Immunization for influenza","97","214","Data submitted were based on a sample of cases/patients"
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","","","TUCSON","AZ","85745","PIMA","5208723000","Immunization for influenza","94","309","Data submitted were based on a sample of cases/patients"
"030011","CARONDELET ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD","","","TUCSON","AZ","85711","PIMA","5208733000","Immunization for influenza","86","266","Data submitted were based on a sample of cases/patients"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","","","PRESCOTT","AZ","86301","YAVAPAI","9284452700","Immunization for influenza","83","312","Data submitted were based on a sample of cases/patients"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","","","YUMA","AZ","85364","YUMA","9283367275","Immunization for influenza","85","250","Data submitted were based on a sample of cases/patients"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","","","PHOENIX","AZ","85020","MARICOPA","6028706060","Immunization for influenza","92","314","Data submitted were based on a sample of cases/patients"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","","","CASA GRANDE","AZ","85222","PINAL","5203816453","Immunization for influenza","77","284","Data submitted were based on a sample of cases/patients"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","","","PHOENIX","AZ","85008","MARICOPA","6023445011","Immunization for influenza","83","249","Data submitted were based on a sample of cases/patients"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","","","FLAGSTAFF","AZ","86001","COCONINO","9287732009","Immunization for influenza","96","278","Data submitted were based on a sample of cases/patients"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","","","PHOENIX","AZ","85013","MARICOPA","6024063000","Immunization for influenza","88","253","Data submitted were based on a sample of cases/patients"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","","","PHOENIX","AZ","85015","MARICOPA","6022490212","Immunization for influenza","93","402","Data submitted were based on a sample of cases/patients"
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","","","PAYSON","AZ","85541","GILA","9284743222","Immunization for influenza","98","163","Data submitted were based on a sample of cases/patients"
"030036","CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD","","","CHANDLER","AZ","85224","MARICOPA","4809634561","Immunization for influenza","97","285","Data submitted were based on a sample of cases/patients"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","","","PHOENIX","AZ","85006","MARICOPA","6022518156","Immunization for influenza","94","397","Data submitted were based on a sample of cases/patients"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","","","SCOTTSDALE","AZ","85251","MARICOPA","4808824000","Immunization for influenza","70","301","Data submitted were based on a sample of cases/patients"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","","","SIERRA VISTA","AZ","85635","COCHISE","5204173001","Immunization for influenza","94","239","Data submitted were based on a sample of cases/patients"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","","","KINGMAN","AZ","86409","MOHAVE","9287572101","Immunization for influenza","85","287","Data submitted were based on a sample of cases/patients"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","","","SUN CITY","AZ","85351","MARICOPA","6239777211","Immunization for influenza","97","300","Data submitted were based on a sample of cases/patients"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","","","SHOW LOW","AZ","85901","NAVAJO","9285374375","Immunization for influenza","65","188","Data submitted were based on a sample of cases/patients"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY THE","1501 NORTH CAMPBELL AVENUE","","","TUCSON","AZ","85724","PIMA","5206940111","Immunization for influenza","77","255","Data submitted were based on a sample of cases/patients"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","","","MESA","AZ","85202","MARICOPA","4804123000","Immunization for influenza","99","246","Data submitted were based on a sample of cases/patients"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","","","PARKER","AZ","85344","LA PAZ","9286697300","Immunization for influenza","99","153","Data submitted were based on a sample of cases/patients"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","","","SAFFORD","AZ","85546","GRAHAM","9283484000","Immunization for influenza","92","144",""
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","","","LAKE HAVASU CITY","AZ","86403","MOHAVE","9288558185","Immunization for influenza","99","277","Data submitted were based on a sample of cases/patients"
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","","","FORT DEFIANCE","AZ","86504","APACHE","9287298000","Immunization for influenza","54","137","Data submitted were based on a sample of cases/patients"
