"Provider ID","Measure","Rate (per 1,000 Discharges)","Footnote"
"OH","OP 18","133",""
"OK","OP 18","111",""
"OR","OP 18","135",""
"PA","OP 18","131",""
"PR","OP 18","Not Available",""
"RI","OP 18","162",""
"SC","OP 18","136",""
"SD","OP 18","115",""
"TN","OP 18","134",""
"TX","OP 18","135",""
"UT","OP 18","123",""
"VA","OP 18","147",""
"VI","OP 18","Not Available",""
"VT","OP 18","137",""
"WA","OP 18","135",""
"WI","OP 18","119",""
"WV","OP 18","150",""
"WY","OP 18","113",""
"AK","Door to diagnostic eval","24",""
"AL","Door to diagnostic eval","37",""
"AR","Door to diagnostic eval","30",""
"AS","Door to diagnostic eval","Not Available",""
"AZ","Door to diagnostic eval","26",""
"CA","Door to diagnostic eval","31",""
"CO","Door to diagnostic eval","19",""
"CT","Door to diagnostic eval","30",""
"DC","Door to diagnostic eval","53",""
"DE","Door to diagnostic eval","44",""
"FL","Door to diagnostic eval","27",""
"GA","Door to diagnostic eval","34",""
"GU","Door to diagnostic eval","Not Available",""
"HI","Door to diagnostic eval","23",""
"IA","Door to diagnostic eval","21",""
"ID","Door to diagnostic eval","19",""
"IL","Door to diagnostic eval","31",""
"IN","Door to diagnostic eval","26",""
"KS","Door to diagnostic eval","20",""
"KY","Door to diagnostic eval","25",""
"LA","Door to diagnostic eval","30",""
"MA","Door to diagnostic eval","38",""
"MD","Door to diagnostic eval","Not Available",""
"ME","Door to diagnostic eval","28",""
"MI","Door to diagnostic eval","23",""
"MN","Door to diagnostic eval","28",""
"MO","Door to diagnostic eval","29",""
"MP","Door to diagnostic eval","Not Available",""
"MS","Door to diagnostic eval","33",""
"MT","Door to diagnostic eval","24",""
"NC","Door to diagnostic eval","39",""
"ND","Door to diagnostic eval","25",""
"NE","Door to diagnostic eval","22",""
"NH","Door to diagnostic eval","33",""
"NJ","Door to diagnostic eval","34",""
"NM","Door to diagnostic eval","31",""
"NV","Door to diagnostic eval","24",""
"NY","Door to diagnostic eval","37",""
"OH","Door to diagnostic eval","25",""
"OK","Door to diagnostic eval","25",""
"OR","Door to diagnostic eval","30",""
"PA","Door to diagnostic eval","29",""
"PR","Door to diagnostic eval","Not Available",""
"RI","Door to diagnostic eval","40",""
"SC","Door to diagnostic eval","33",""
"SD","Door to diagnostic eval","19",""
"TN","Door to diagnostic eval","28",""
"TX","Door to diagnostic eval","27",""
"UT","Door to diagnostic eval","18",""
"VA","Door to diagnostic eval","31",""
"VI","Door to diagnostic eval","Not Available",""
"VT","Door to diagnostic eval","27",""
"WA","Door to diagnostic eval","23",""
"WI","Door to diagnostic eval","18",""
"WV","Door to diagnostic eval","34",""
"WY","Door to diagnostic eval","19",""
"AK","Median time to pain med","56",""
"AL","Median time to pain med","70",""
"AR","Median time to pain med","67",""
"AS","Median time to pain med","Not Available",""
"AZ","Median time to pain med","57",""
"CA","Median time to pain med","64",""
"CO","Median time to pain med","46",""
"CT","Median time to pain med","58",""
"DC","Median time to pain med","82",""
"DE","Median time to pain med","72",""
"FL","Median time to pain med","65",""
"GA","Median time to pain med","67",""
"GU","Median time to pain med","Not Available",""
"HI","Median time to pain med","54",""
"IA","Median time to pain med","48",""
"ID","Median time to pain med","50",""
"IL","Median time to pain med","54",""
"IN","Median time to pain med","53",""
"KS","Median time to pain med","49",""
"KY","Median time to pain med","60",""
"LA","Median time to pain med","64",""
"MA","Median time to pain med","62",""
"MD","Median time to pain med","Not Available",""
"ME","Median time to pain med","56",""
"MI","Median time to pain med","57",""
"MN","Median time to pain med","47",""
"MO","Median time to pain med","56",""
"MP","Median time to pain med","Not Available",""
"MS","Median time to pain med","69",""
"MT","Median time to pain med","49",""
"NC","Median time to pain med","69",""
"ND","Median time to pain med","61",""
"NE","Median time to pain med","45",""
"NH","Median time to pain med","64",""
"NJ","Median time to pain med","59",""
"NM","Median time to pain med","65",""
"NV","Median time to pain med","53",""
"NY","Median time to pain med","64",""
"OH","Median time to pain med","57",""
"OK","Median time to pain med","59",""
"OR","Median time to pain med","54",""
"PA","Median time to pain med","62",""
"PR","Median time to pain med","Not Available",""
"RI","Median time to pain med","56",""
"SC","Median time to pain med","61",""
"SD","Median time to pain med","50",""
"TN","Median time to pain med","65",""
"TX","Median time to pain med","60",""
"UT","Median time to pain med","43",""
"VA","Median time to pain med","61",""
"VI","Median time to pain med","Not Available",""
"VT","Median time to pain med","65",""
"WA","Median time to pain med","53",""
"WI","Median time to pain med","42",""
"WV","Median time to pain med","71",""
"WY","Median time to pain med","43",""
"AK","Head CT results","41",""
"AL","Head CT results","34",""
"AR","Head CT results","43",""
"AS","Head CT results","Not Available",""
"AZ","Head CT results","49",""
"CA","Head CT results","42",""
"CO","Head CT results","55",""
"CT","Head CT results","62",""
"DC","Head CT results","22",""
"DE","Head CT results","36",""
"FL","Head CT results","52",""
"GA","Head CT results","36",""
"GU","Head CT results","Not Available",""
"HI","Head CT results","40",""
"IA","Head CT results","50",""
"ID","Head CT results","34",""
"IL","Head CT results","57",""
"IN","Head CT results","52",""
"KS","Head CT results","49",""
"KY","Head CT results","45",""
"LA","Head CT results","36",""
"MA","Head CT results","61",""
"MD","Head CT results","Not Available",""
"ME","Head CT results","35",""
"MI","Head CT results","43",""
"MN","Head CT results","42",""
"MO","Head CT results","54",""
"MP","Head CT results","Not Available",""
"MS","Head CT results","32",""
"MT","Head CT results","24",""
"NC","Head CT results","50",""
"ND","Head CT results","19",""
"NE","Head CT results","61",""
"NH","Head CT results","48",""
"NJ","Head CT results","61",""
"NM","Head CT results","34",""
"NV","Head CT results","33",""
"NY","Head CT results","49",""
"OH","Head CT results","51",""
"OK","Head CT results","46",""
"OR","Head CT results","44",""
"PA","Head CT results","54",""
"PR","Head CT results","Not Available",""
"RI","Head CT results","44",""
"SC","Head CT results","51",""
"SD","Head CT results","39",""
"TN","Head CT results","43",""
"TX","Head CT results","45",""
"UT","Head CT results","62",""
"VA","Head CT results","47",""
"VI","Head CT results","Not Available",""
"VT","Head CT results","53",""
"WA","Head CT results","45",""
"WI","Head CT results","56",""
"WV","Head CT results","38",""
"WY","Head CT results","38",""
