Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,HF-1 Performance Rate,HF-1 Achievement Points,HF-1 Improvement Points,HF-1 Measure Score,HF Condition/Procedure Score
"030101","WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","BULLHEAD CITY","AZ","86442","MOHAVE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","PHOENIX","AZ","85054","MARICOPA","0.9845","8 out of 10","8 out of 9","8 out of 10","8"
"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","0.9300","3 out of 10","0 out of 9","3 out of 10","3"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","MESA","AZ","85206","MARICOPA","N/A","N/A","N/A","N/A","N/A"
"030108","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","6501 NORTH 19TH AVENUE","PHOENIX","AZ","85015","MARICOPA","N/A","N/A","N/A","N/A","N/A"
"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","GOODYEAR","AZ","85395","MARICOPA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","2800 EAST AJO WAY","TUCSON","AZ","85713","PIMA","0.7324","0 out of 10","5 out of 9","5 out of 10","5"
"030112","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","2905 WEST WARNER ROAD","CHANDLER","AZ","85225","MARICOPA","N/A","N/A","N/A","N/A","N/A"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","AZ","85755","PIMA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","PHOENIX","AZ","85037","MARICOPA","0.9450","4 out of 10","2 out of 9","4 out of 10","4"
"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","FORT MOHAVE","AZ","86426","MOHAVE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","PRESCOTT VALLEY","AZ","86314","YAVAPAI","0.6800","0 out of 10","0 out of 9","0 out of 10","0"
"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","GILBERT","AZ","85296","MARICOPA","0.9483","4 out of 10","4 out of 9","4 out of 10","4"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","AZ","85209","MARICOPA","0.7643","0 out of 10","1 out of 9","1 out of 10","1"
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","GILBERT","AZ","85234","MARICOPA","0.9550","5 out of 10","0 out of 9","5 out of 10","5"
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","SCOTTSDALE","AZ","85255","MARICOPA","0.8108","0 out of 10","2 out of 9","2 out of 10","2"
"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","MESA","AZ","85201","MARICOPA","0.8958","0 out of 10","7 out of 9","7 out of 10","7"
"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","SAN TAN VALLEY","AZ","85140","PINAL","0.9500","5 out of 10","N/A","5 out of 10","5"
"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","PHOENIX","AZ","85008","MARICOPA","N/A","N/A","N/A","N/A","N/A"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","SILOAM SPRINGS","AR","72761","BENTON","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040002","JOHNSON REGIONAL MEDICAL CENTER","1100 EAST POPLAR STREET","CLARKSVILLE","AR","72830","JOHNSON","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD","FAYETTEVILLE","AR","72703","WASHINGTON","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040007","ST VINCENT INFIRMARY MEDICAL CENTER","TWO ST VINCENT CIRCLE","LITTLE ROCK","AR","72205","PULASKI","0.8946","0 out of 10","1 out of 9","1 out of 10","1"
"040010","MERCY MEDICAL CENTER","2710 RIFE MEDICAL LANE","ROGERS","AR","72758","BENTON","0.9127","1 out of 10","0 out of 9","1 out of 10","1"
"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","SEARCY","AR","72143","WHITE","0.9198","2 out of 10","6 out of 9","6 out of 10","6"
"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","LITTLE ROCK","AR","72205","PULASKI","0.9947","9 out of 10","9 out of 9","9 out of 10","9"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","HARRISON","AR","72601","BOONE","0.9706","7 out of 10","8 out of 9","8 out of 10","8"
"040018","SUMMIT MEDICAL CENTER","EAST MAIN AND SOUTH 20TH STREET","VAN BUREN","AR","72956","CRAWFORD","0.9375","3 out of 10","0 out of 9","3 out of 10","3"
"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","FORREST CITY","AR","72335","ST. FRANCIS","0.9787","7 out of 10","0 out of 9","7 out of 10","7"
"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","JONESBORO","AR","72401","CRAIGHEAD","0.9190","2 out of 10","0 out of 9","2 out of 10","2"
"040022","NW ARKANSAS HOSPITALS, LLC","609 WEST MAPLE AVENUE","SPRINGDALE","AR","72764","WASHINGTON","0.8800","0 out of 10","1 out of 9","1 out of 10","1"
"040026","ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","HOT SPRINGS","AR","71903","GARLAND","0.9563","5 out of 10","8 out of 9","8 out of 10","8"
"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","MOUNTAIN HOME","AR","72653","BAXTER","0.9427","4 out of 10","2 out of 9","4 out of 10","4"
"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","CONWAY","AR","72034","FAULKNER","0.8491","0 out of 10","0 out of 9","0 out of 10","0"
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","NORTH LITTLE ROCK","AR","72117","PULASKI","0.9945","9 out of 10","9 out of 9","9 out of 10","9"
"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","PARAGOULD","AR","72450","GREENE","0.8955","0 out of 10","0 out of 9","0 out of 10","0"
"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","AR","72801","POPE","0.9571","5 out of 10","7 out of 9","7 out of 10","7"
"040042","CRITTENDEN MEMORIAL HOSPITAL","200 TYLER","WEST MEMPHIS","AR","72301","CRITTENDEN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","AR","71701","OUACHITA","0.8636","0 out of 10","0 out of 9","0 out of 10","0"
"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","AR","71655","DREW","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","AR","72901","SEBASTIAN","0.9462","4 out of 10","3 out of 9","4 out of 10","4"
"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH","AR","72917","SEBASTIAN","0.8571","0 out of 10","0 out of 9","0 out of 10","0"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","MAGNOLIA","AR","71754","COLUMBIA","0.9375","3 out of 10","3 out of 9","3 out of 10","3"
"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","BLYTHEVILLE","AR","72315","MISSISSIPPI","0.9375","3 out of 10","2 out of 9","3 out of 10","3"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","AR","71603","JEFFERSON","0.9627","6 out of 10","6 out of 9","6 out of 10","6"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","AR","72160","ARKANSAS","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","JACKSONVILLE","AR","72076","PULASKI","0.9032","0 out of 10","3 out of 9","3 out of 10","3"
"040076","HOT SPRING COUNTY MEDICAL CENTER","1001 SCHNEIDER DRIVE","MALVERN","AR","72104","HOT SPRING","0.8571","0 out of 10","1 out of 9","1 out of 10","1"
"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS","AR","71901","GARLAND","0.8217","0 out of 10","0 out of 9","0 out of 10","0"
"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","NEWPORT","AR","72112","JACKSON","0.9811","8 out of 10","0 out of 9","8 out of 10","8"
"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","AR","72015","SALINE","0.9036","0 out of 10","5 out of 9","5 out of 10","5"
"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING DRIVE","HELENA","AR","72342","PHILLIPS","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO","AR","71731","UNION","0.9917","9 out of 10","9 out of 9","9 out of 10","9"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","AR","72205","PULASKI","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","JONESBORO","AR","72401","CRAIGHEAD","0.9927","9 out of 10","8 out of 9","9 out of 10","9"
"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","AR","72503","INDEPENDENCE","0.9615","6 out of 10","2 out of 9","6 out of 10","6"
"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK","AR","72211","PULASKI","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","SHERWOOD","AR","72120","PULASKI","0.7317","0 out of 10","0 out of 9","0 out of 10","0"
"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","NO LITTLE ROCK","AR","72118","PULASKI","N/A","N/A","N/A","N/A","N/A"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","FAYETTEVILLE","AR","72703","WASHINGTON","N/A","N/A","N/A","N/A","N/A"
"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","HAYWARD","CA","94545","ALAMEDA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","EUREKA","CA","95501","HUMBOLDT","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050007","PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","BURLINGAME","CA","94010","SAN MATEO","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050008","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","45 CASTRO STREET","SAN FRANCISCO","CA","94114","SAN FRANCISCO","0.8889","0 out of 10","3 out of 9","3 out of 10","3"
"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST","NAPA","CA","94558","NAPA","0.9466","4 out of 10","0 out of 9","4 out of 10","4"
"050013","ST HELENA HOSPITAL","10 WOODLAND ROAD","SAINT HELENA","CA","94574","NAPA","0.9583","5 out of 10","7 out of 9","7 out of 10","7"
"050014","SUTTER AMADOR HOSPITAL","200 MISSION BLVD","JACKSON","CA","95642","AMADOR","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050016","ARROYO GRANDE COMMUNITY HOSPITAL","345 S HALCYON RD","ARROYO GRANDE","CA","93420","SAN LUIS OBISPO","0.8906","0 out of 10","0 out of 9","0 out of 10","0"
"050017","MERCY GENERAL HOSPITAL","4001 J ST","SACRAMENTO","CA","95819","SACRAMENTO","0.9693","7 out of 10","6 out of 9","7 out of 10","7"
"050018","PACIFIC ALLIANCE MEDICAL CENTER","531 W COLLEGE ST","LOS ANGELES","CA","90012","LOS ANGELES","0.8148","0 out of 10","0 out of 9","0 out of 10","0"
"050022","RIVERSIDE COMMUNITY HOSPITAL","4445 MAGNOLIA AVENUE","RIVERSIDE","CA","92501","RIVERSIDE","0.9946","9 out of 10","9 out of 9","9 out of 10","9"
"050024","PARADISE VALLEY HOSPITAL","2400 EAST FOURTH STREET","NATIONAL CITY","CA","91950","SAN DIEGO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050025","UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER","200 WEST ARBOR DRIVE","SAN DIEGO","CA","92103","SAN DIEGO","0.8977","0 out of 10","5 out of 9","5 out of 10","5"
"050026","GROSSMONT HOSPITAL","5555 GROSSMONT CENTER DRIVE BOX 58","LA MESA","CA","91942","SAN DIEGO","0.9613","6 out of 10","7 out of 9","7 out of 10","7"
"050028","MAD RIVER COMMUNITY HOSPITAL","3800 JANES RD","ARCATA","CA","95521","HUMBOLDT","0.9643","6 out of 10","0 out of 9","6 out of 10","6"
"050030","OROVILLE HOSPITAL","2767 OLIVE HIGHWAY","OROVILLE","CA","95966","BUTTE","0.9606","6 out of 10","8 out of 9","8 out of 10","8"
"050036","BAKERSFIELD MEMORIAL HOSPITAL","420 34TH ST BOX 1888","BAKERSFIELD","CA","93301","KERN","0.9037","0 out of 10","0 out of 9","0 out of 10","0"
"050038","SANTA CLARA VALLEY MEDICAL CENTER","751 SOUTH BASCOM AVENUE","SAN JOSE","CA","95128","SANTA CLARA","0.9836","8 out of 10","7 out of 9","8 out of 10","8"
"050039","ENLOE MEDICAL CENTER","1531 ESPLANADE","CHICO","CA","95926","BUTTE","0.8581","0 out of 10","2 out of 9","2 out of 10","2"
"050040","LAC/OLIVE VIEW-UCLA MEDICAL CENTER","14445 OLIVE VIEW DRIVE","SYLMAR","CA","91342","LOS ANGELES","0.7879","0 out of 10","0 out of 9","0 out of 10","0"
"050042","ST ELIZABETH COMMUNITY HOSPITAL","2550 SISTER MARY COLUMBA DRIVE","RED BLUFF","CA","96080","TEHAMA","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050043","ALTA BATES SUMMIT MEDICAL CENTER","350 HAWTHORNE AVENUE","OAKLAND","CA","94609","ALAMEDA","0.8737","0 out of 10","0 out of 9","0 out of 10","0"
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","EL CENTRO","CA","92243","IMPERIAL","0.9557","5 out of 10","0 out of 9","5 out of 10","5"
"050046","OJAI VALLEY COMMUNITY HOSPITAL","1306 MARICOPA HWY","OJAI","CA","93023","VENTURA","N/A","N/A","N/A","N/A","N/A"
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","SAN FRANCISCO","CA","94115","SAN FRANCISCO","0.8813","0 out of 10","2 out of 9","2 out of 10","2"
