"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Unweighted Normalized Clinical Process of Care Domain Score","Weighted Clinical Process of Care Domain Score","Unweighted Patient Experience of Care Domain Score","Weighted Patient Experience of Care Domain Score","Total Performance Score"
68,"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","MARICOPA","AZ","85260","61.818181818182","43.272727272727","23.000000000000","6.900000000000","50.172727272727"
69,"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","MARICOPA","AZ","85206","55.555555555556","38.888888888889","41.000000000000","12.300000000000","51.188888888889"
70,"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","MARICOPA","AZ","85306","67.272727272727","47.090909090909","38.000000000000","11.400000000000","58.490909090909"
71,"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","PHOENIX","MARICOPA","AZ","85027","67.272727272727","47.090909090909","21.000000000000","6.300000000000","53.390909090909"
72,"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","MARICOPA","AZ","85375","49.000000000000","34.300000000000","34.000000000000","10.200000000000","44.500000000000"
73,"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","MARICOPA","AZ","85308","75.454545454545","52.818181818182","38.000000000000","11.400000000000","64.218181818182"
74,"030100","CARONDELET HEART AND VASCULAR INSTITUTE","4888 NORTH STONE AVENUE","TUCSON","PIMA","AZ","85704","86.666666666667","60.666666666667","45.000000000000","13.500000000000","74.166666666667"
75,"030101","WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","BULLHEAD CITY","MOHAVE","AZ","86442","80.000000000000","56.000000000000","30.000000000000","9.000000000000","65.000000000000"
76,"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","PHOENIX","MARICOPA","AZ","85054","79.090909090909","55.363636363636","68.000000000000","20.400000000000","75.763636363636"
77,"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","MESA","MARICOPA","AZ","85206","41.250000000000","28.875000000000","49.000000000000","14.700000000000","43.575000000000"
78,"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","MESA","MARICOPA","AZ","85206","80.000000000000","56.000000000000","86.000000000000","25.800000000000","81.800000000000"
79,"030108","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","6501 NORTH 19TH AVENUE","PHOENIX","MARICOPA","AZ","85015","61.666666666667","43.166666666667","79.000000000000","23.700000000000","66.866666666667"
80,"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","GOODYEAR","MARICOPA","AZ","85395","78.181818181818","54.727272727273","35.000000000000","10.500000000000","65.227272727273"
81,"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","2800 EAST AJO WAY","TUCSON","PIMA","AZ","85713","37.000000000000","25.900000000000","32.000000000000","9.600000000000","35.500000000000"
82,"030112","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","2905 WEST WARNER ROAD","CHANDLER","MARICOPA","AZ","85225","56.666666666667","39.666666666667","93.000000000000","27.900000000000","67.566666666667"
83,"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","PIMA","AZ","85755","70.000000000000","49.000000000000","53.000000000000","15.900000000000","64.900000000000"
84,"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","PHOENIX","MARICOPA","AZ","85037","69.090909090909","48.363636363636","43.000000000000","12.900000000000","61.263636363636"
85,"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","FORT MOHAVE","MOHAVE","AZ","86426","42.222222222222","29.555555555556","16.000000000000","4.800000000000","34.355555555556"
86,"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","PRESCOTT VALLEY","YAVAPAI","AZ","86314","48.888888888889","34.222222222222","41.000000000000","12.300000000000","46.522222222222"
87,"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","GILBERT","MARICOPA","AZ","85296","72.000000000000","50.400000000000","49.000000000000","14.700000000000","65.100000000000"
88,"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","MARICOPA","AZ","85209","43.636363636364","30.545454545455","30.000000000000","9.000000000000","39.545454545455"
89,"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","GILBERT","MARICOPA","AZ","85234","54.444444444444","38.111111111111","37.000000000000","11.100000000000","49.211111111111"
90,"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","SCOTTSDALE","MARICOPA","AZ","85255","55.555555555556","38.888888888889","33.000000000000","9.900000000000","48.788888888889"
91,"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","MESA","MARICOPA","AZ","85201","72.727272727273","50.909090909091","6.000000000000","1.800000000000","52.709090909091"
92,"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","SAN TAN VALLEY","PINAL","AZ","85140","60.000000000000","42.000000000000","82.000000000000","24.600000000000","66.600000000000"
93,"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","PHOENIX","MARICOPA","AZ","85008","16.666666666667","11.666666666667","76.000000000000","22.800000000000","34.466666666667"
94,"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","SILOAM SPRINGS","BENTON","AR","72761","88.888888888889","62.222222222222","24.000000000000","7.200000000000","69.422222222222"
95,"040002","JOHNSON REGIONAL MEDICAL CENTER","1100 EAST POPLAR STREET","CLARKSVILLE","JOHNSON","AR","72830","38.888888888889","27.222222222222","28.000000000000","8.400000000000","35.622222222222"
96,"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD","FAYETTEVILLE","WASHINGTON","AR","72703","64.545454545455","45.181818181818","56.000000000000","16.800000000000","61.981818181818"
97,"040007","ST VINCENT INFIRMARY MEDICAL CENTER","TWO ST VINCENT CIRCLE","LITTLE ROCK","PULASKI","AR","72205","49.090909090909","34.363636363636","29.000000000000","8.700000000000","43.063636363636"
98,"040010","MERCY MEDICAL CENTER","2710 RIFE MEDICAL LANE","ROGERS","BENTON","AR","72758","46.363636363636","32.454545454545","33.000000000000","9.900000000000","42.354545454545"
99,"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","SEARCY","WHITE","AR","72143","70.000000000000","49.000000000000","53.000000000000","15.900000000000","64.900000000000"
100,"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","LITTLE ROCK","PULASKI","AR","72205","63.636363636364","44.545454545455","39.000000000000","11.700000000000","56.245454545455"
101,"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","HARRISON","BOONE","AR","72601","47.777777777778","33.444444444444","44.000000000000","13.200000000000","46.644444444444"
102,"040018","SUMMIT MEDICAL CENTER","EAST MAIN AND SOUTH 20TH STREET","VAN BUREN","CRAWFORD","AR","72956","47.500000000000","33.250000000000","41.000000000000","12.300000000000","45.550000000000"
103,"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","FORREST CITY","ST. FRANCIS","AR","72335","53.750000000000","37.625000000000","43.000000000000","12.900000000000","50.525000000000"
104,"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","JONESBORO","CRAIGHEAD","AR","72401","50.000000000000","35.000000000000","45.000000000000","13.500000000000","48.500000000000"
105,"040022","NW ARKANSAS HOSPITALS, LLC","609 WEST MAPLE AVENUE","SPRINGDALE","WASHINGTON","AR","72764","57.272727272727","40.090909090909","36.000000000000","10.800000000000","50.890909090909"
106,"040026","ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","HOT SPRINGS","GARLAND","AR","71903","70.000000000000","49.000000000000","35.000000000000","10.500000000000","59.500000000000"
107,"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","MOUNTAIN HOME","BAXTER","AR","72653","49.090909090909","34.363636363636","21.000000000000","6.300000000000","40.663636363636"
108,"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","CONWAY","FAULKNER","AR","72034","53.636363636364","37.545454545455","44.000000000000","13.200000000000","50.745454545455"
109,"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","NORTH LITTLE ROCK","PULASKI","AR","72117","72.727272727273","50.909090909091","42.000000000000","12.600000000000","63.509090909091"
110,"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","PARAGOULD","GREENE","AR","72450","81.000000000000","56.700000000000","48.000000000000","14.400000000000","71.100000000000"
111,"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","POPE","AR","72801","78.888888888889","55.222222222222","33.000000000000","9.900000000000","65.122222222222"
112,"040042","CRITTENDEN MEMORIAL HOSPITAL","200 TYLER","WEST MEMPHIS","CRITTENDEN","AR","72301","56.666666666667","39.666666666667","31.000000000000","9.300000000000","48.966666666667"
113,"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","OUACHITA","AR","71701","21.250000000000","14.875000000000","74.000000000000","22.200000000000","37.075000000000"
114,"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","DREW","AR","71655","37.777777777778","26.444444444444","34.000000000000","10.200000000000","36.644444444444"
115,"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","SEBASTIAN","AR","72901","90.909090909091","63.636363636364","19.000000000000","5.700000000000","69.336363636364"
116,"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH","SEBASTIAN","AR","72917","30.000000000000","21.000000000000","32.000000000000","9.600000000000","30.600000000000"
117,"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","MAGNOLIA","COLUMBIA","AR","71754","42.000000000000","29.400000000000","91.000000000000","27.300000000000","56.700000000000"
118,"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","BLYTHEVILLE","MISSISSIPPI","AR","72315","18.750000000000","13.125000000000","26.000000000000","7.800000000000","20.925000000000"
119,"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","JEFFERSON","AR","71603","86.363636363636","60.454545454545","40.000000000000","12.000000000000","72.454545454545"
120,"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","ARKANSAS","AR","72160","95.000000000000","66.500000000000","61.000000000000","18.300000000000","84.800000000000"
121,"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","JACKSONVILLE","PULASKI","AR","72076","35.000000000000","24.500000000000","43.000000000000","12.900000000000","37.400000000000"
122,"040076","HOT SPRING COUNTY MEDICAL CENTER","1001 SCHNEIDER DRIVE","MALVERN","HOT SPRING","AR","72104","42.000000000000","29.400000000000","34.000000000000","10.200000000000","39.600000000000"
123,"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS","GARLAND","AR","71901","48.000000000000","33.600000000000","49.000000000000","14.700000000000","48.300000000000"
124,"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","NEWPORT","JACKSON","AR","72112","67.500000000000","47.250000000000","32.000000000000","9.600000000000","56.850000000000"
125,"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","SALINE","AR","72015","78.000000000000","54.600000000000","37.000000000000","11.100000000000","65.700000000000"
126,"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING DRIVE","HELENA","PHILLIPS","AR","72342","100.000000000000","70.000000000000","59.000000000000","17.700000000000","87.700000000000"
127,"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO","UNION","AR","71731","83.636363636364","58.545454545455","34.000000000000","10.200000000000","68.745454545455"
128,"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","PULASKI","AR","72205","61.818181818182","43.272727272727","55.000000000000","16.500000000000","59.772727272727"
129,"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","JONESBORO","CRAIGHEAD","AR","72401","54.545454545455","38.181818181818","62.000000000000","18.600000000000","56.781818181818"
130,"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","INDEPENDENCE","AR","72503","59.000000000000","41.300000000000","19.000000000000","5.700000000000","47.000000000000"
131,"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK","PULASKI","AR","72211","92.000000000000","64.400000000000","86.000000000000","25.800000000000","90.200000000000"
132,"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","SHERWOOD","PULASKI","AR","72120","48.888888888889","34.222222222222","36.000000000000","10.800000000000","45.022222222222"
133,"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","NO LITTLE ROCK","PULASKI","AR","72118","83.333333333333","58.333333333333","98.000000000000","29.400000000000","87.733333333333"
134,"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","FAYETTEVILLE","WASHINGTON","AR","72703","88.333333333333","61.833333333333","100.000000000000","30.000000000000","91.833333333333"
