"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","AMI-7a Performance Rate","AMI-7a Achievement Points","AMI-7a Improvement Points","AMI-7a Measure Score","AMI-8a Performance Rate","AMI-8a Achievement Points","AMI Condition/Procedure Score","AMI-8a Improvement Points","AMI-8a Measure Score"
40,"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","MARICOPA","AZ","85015","N/A","N/A","N/A","N/A","0.9048","0 out of 10","0","0 out of 9","0 out of 10"
41,"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","GILA","AZ","85541","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
42,"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","MARICOPA","AZ","85224","N/A","N/A","N/A","N/A","0.9750","7 out of 10","7","0 out of 9","7 out of 10"
43,"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","MARICOPA","AZ","85006","N/A","N/A","N/A","N/A","0.9091","0 out of 10","7","7 out of 9","7 out of 10"
44,"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","MARICOPA","AZ","85251","N/A","N/A","N/A","N/A","0.9697","6 out of 10","9","9 out of 9","9 out of 10"
45,"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","COCHISE","AZ","85635","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
46,"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","MOHAVE","AZ","86409","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
47,"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","MARICOPA","AZ","85351","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
48,"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","NAVAJO","AZ","85901","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
49,"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","PIMA","AZ","85724","N/A","N/A","N/A","N/A","0.9375","3 out of 10","3","0 out of 9","3 out of 10"
50,"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","MARICOPA","AZ","85202","N/A","N/A","N/A","N/A","0.9459","4 out of 10","4","0 out of 9","4 out of 10"
51,"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","LAPAZ","AZ","85344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
52,"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","GRAHAM","AZ","85546","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
53,"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","MOHAVE","AZ","86403","N/A","N/A","N/A","N/A","0.8824","0 out of 10","3","3 out of 9","3 out of 10"
54,"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","APACHE","AZ","86504","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
55,"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","COCONINO","AZ","86045","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
56,"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","MARICOPA","AZ","85016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
57,"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","PHOENIX","MARICOPA","AZ","85032","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
58,"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","PIMA","AZ","85741","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
59,"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","MARICOPA","AZ","85260","N/A","N/A","N/A","N/A","0.8780","0 out of 10","1","1 out of 9","1 out of 10"
60,"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","MARICOPA","AZ","85206","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
61,"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","MARICOPA","AZ","85306","N/A","N/A","N/A","N/A","0.9143","0 out of 10","2","2 out of 9","2 out of 10"
62,"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","PHOENIX","MARICOPA","AZ","85027","N/A","N/A","N/A","N/A","0.9750","7 out of 10","7","7 out of 9","7 out of 10"
63,"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","MARICOPA","AZ","85375","N/A","N/A","N/A","N/A","0.8056","0 out of 10","0","0 out of 9","0 out of 10"
64,"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","MARICOPA","AZ","85308","N/A","N/A","N/A","N/A","0.9600","5 out of 10","5","0 out of 9","5 out of 10"
65,"030100","CARONDELET HEART AND VASCULAR INSTITUTE","4888 NORTH STONE AVENUE","TUCSON","PIMA","AZ","85704","N/A","N/A","N/A","N/A","0.9524","4 out of 10","4","0 out of 9","4 out of 10"
66,"030101","WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","BULLHEAD CITY","MOHAVE","AZ","86442","N/A","N/A","N/A","N/A","0.9231","1 out of 10","8","8 out of 9","8 out of 10"
67,"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","PHOENIX","MARICOPA","AZ","85054","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
68,"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","MESA","MARICOPA","AZ","85206","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
69,"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","MESA","MARICOPA","AZ","85206","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
70,"030108","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","6501 NORTH 19TH AVENUE","PHOENIX","MARICOPA","AZ","85015","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
71,"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","GOODYEAR","MARICOPA","AZ","85395","N/A","N/A","N/A","N/A","0.8824","0 out of 10","0","0 out of 9","0 out of 10"
72,"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","2800 EAST AJO WAY","TUCSON","PIMA","AZ","85713","N/A","N/A","N/A","N/A","0.9667","6 out of 10","7","7 out of 9","7 out of 10"
73,"030112","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","2905 WEST WARNER ROAD","CHANDLER","MARICOPA","AZ","85225","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
74,"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","PIMA","AZ","85755","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
75,"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","PHOENIX","MARICOPA","AZ","85037","N/A","N/A","N/A","N/A","0.9655","6 out of 10","6","4 out of 9","6 out of 10"
76,"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","FORT MOHAVE","MOHAVE","AZ","86426","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
77,"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","PRESCOTT VALLEY","YAVAPAI","AZ","86314","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
78,"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","GILBERT","MARICOPA","AZ","85296","N/A","N/A","N/A","N/A","0.9615","5 out of 10","6","6 out of 9","6 out of 10"
79,"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","MARICOPA","AZ","85209","N/A","N/A","N/A","N/A","0.8947","0 out of 10","7","7 out of 9","7 out of 10"
80,"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","GILBERT","MARICOPA","AZ","85234","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
81,"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","SCOTTSDALE","MARICOPA","AZ","85255","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
82,"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","MESA","MARICOPA","AZ","85201","N/A","N/A","N/A","N/A","0.9375","3 out of 10","6","6 out of 9","6 out of 10"
83,"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","SAN TAN VALLEY","PINAL","AZ","85140","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
84,"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","PHOENIX","MARICOPA","AZ","85008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
85,"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","SILOAM SPRINGS","BENTON","AR","72761","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
86,"040002","JOHNSON REGIONAL MEDICAL CENTER","1100 EAST POPLAR STREET","CLARKSVILLE","JOHNSON","AR","72830","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
87,"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD","FAYETTEVILLE","WASHINGTON","AR","72703","N/A","N/A","N/A","N/A","0.8966","0 out of 10","0","0 out of 9","0 out of 10"
88,"040007","ST VINCENT INFIRMARY MEDICAL CENTER","TWO ST VINCENT CIRCLE","LITTLE ROCK","PULASKI","AR","72205","N/A","N/A","N/A","N/A","0.6842","0 out of 10","0","0 out of 9","0 out of 10"
89,"040010","MERCY MEDICAL CENTER","2710 RIFE MEDICAL LANE","ROGERS","BENTON","AR","72758","N/A","N/A","N/A","N/A","0.9706","6 out of 10","6","0 out of 9","6 out of 10"
90,"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","SEARCY","WHITE","AR","72143","N/A","N/A","N/A","N/A","0.9667","6 out of 10","7","7 out of 9","7 out of 10"
91,"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","LITTLE ROCK","PULASKI","AR","72205","N/A","N/A","N/A","N/A","0.7083","0 out of 10","1","1 out of 9","1 out of 10"
92,"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","HARRISON","BOONE","AR","72601","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
93,"040018","SUMMIT MEDICAL CENTER","EAST MAIN AND SOUTH 20TH STREET","VAN BUREN","CRAWFORD","AR","72956","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
94,"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","FORREST CITY","ST. FRANCIS","AR","72335","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
95,"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","JONESBORO","CRAIGHEAD","AR","72401","N/A","N/A","N/A","N/A","0.9600","5 out of 10","5","0 out of 9","5 out of 10"
96,"040022","NW ARKANSAS HOSPITALS, LLC","609 WEST MAPLE AVENUE","SPRINGDALE","WASHINGTON","AR","72764","N/A","N/A","N/A","N/A","0.9773","7 out of 10","7","0 out of 9","7 out of 10"
97,"040026","ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","HOT SPRINGS","GARLAND","AR","71903","N/A","N/A","N/A","N/A","0.8889","0 out of 10","7","7 out of 9","7 out of 10"
98,"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","MOUNTAIN HOME","BAXTER","AR","72653","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
99,"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","CONWAY","FAULKNER","AR","72034","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
100,"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","NORTH LITTLE ROCK","PULASKI","AR","72117","N/A","N/A","N/A","N/A","0.9744","7 out of 10","8","8 out of 9","8 out of 10"
101,"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","PARAGOULD","GREENE","AR","72450","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","N/A","10 out of 10"
102,"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","POPE","AR","72801","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
103,"040042","CRITTENDEN MEMORIAL HOSPITAL","200 TYLER","WEST MEMPHIS","CRITTENDEN","AR","72301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
104,"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","OUACHITA","AR","71701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
105,"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","DREW","AR","71655","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
106,"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","SEBASTIAN","AR","72901","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
107,"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH","SEBASTIAN","AR","72917","N/A","N/A","N/A","N/A","0.8611","0 out of 10","1","1 out of 9","1 out of 10"
108,"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","MAGNOLIA","COLUMBIA","AR","71754","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
109,"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","BLYTHEVILLE","MISSISSIPPI","AR","72315","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
110,"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","JEFFERSON","AR","71603","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
111,"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","ARKANSAS","AR","72160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
112,"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","JACKSONVILLE","PULASKI","AR","72076","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
113,"040076","HOT SPRING COUNTY MEDICAL CENTER","1001 SCHNEIDER DRIVE","MALVERN","HOT SPRING","AR","72104","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
114,"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS","GARLAND","AR","71901","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
115,"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","NEWPORT","JACKSON","AR","72112","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
116,"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","SALINE","AR","72015","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
117,"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING DRIVE","HELENA","PHILLIPS","AR","72342","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
118,"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO","UNION","AR","71731","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","N/A","10 out of 10"
119,"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","PULASKI","AR","72205","N/A","N/A","N/A","N/A","0.9697","6 out of 10","8","8 out of 9","8 out of 10"
120,"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","JONESBORO","CRAIGHEAD","AR","72401","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
121,"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","INDEPENDENCE","AR","72503","N/A","N/A","N/A","N/A","0.7857","0 out of 10","0","0 out of 9","0 out of 10"
122,"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK","PULASKI","AR","72211","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
123,"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","SHERWOOD","PULASKI","AR","72120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
124,"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","NO LITTLE ROCK","PULASKI","AR","72118","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
125,"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","FAYETTEVILLE","WASHINGTON","AR","72703","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
126,"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","HAYWARD","ALAMEDA","CA","94545","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
127,"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","EUREKA","HUMBOLDT","CA","95501","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
128,"050007","PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","BURLINGAME","SAN MATEO","CA","94010","N/A","N/A","N/A","N/A","0.9231","1 out of 10","1","0 out of 9","1 out of 10"
