"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","HF-1 Performance Rate","HF-1 Achievement Points","HF Condition/Procedure Score","HF-1 Improvement Points","HF-1 Measure Score"
50,"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","LAPAZ","AZ","85344","0.6842","0 out of 10","0","0 out of 9","0 out of 10"
51,"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","GRAHAM","AZ","85546","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
52,"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","MOHAVE","AZ","86403","0.8279","0 out of 10","0","0 out of 9","0 out of 10"
53,"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","APACHE","AZ","86504","0.0345","0 out of 10","0","0 out of 9","0 out of 10"
54,"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","COCONINO","AZ","86045","0.3333","0 out of 10","3","3 out of 9","3 out of 10"
55,"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","MARICOPA","AZ","85016","N/A","N/A","N/A","N/A","N/A"
56,"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","PHOENIX","MARICOPA","AZ","85032","0.8642","0 out of 10","5","5 out of 9","5 out of 10"
57,"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","PIMA","AZ","85741","0.7865","0 out of 10","0","0 out of 9","0 out of 10"
58,"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","MARICOPA","AZ","85260","0.7429","0 out of 10","1","1 out of 9","1 out of 10"
59,"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","MARICOPA","AZ","85206","0.9274","2 out of 10","2","0 out of 9","2 out of 10"
60,"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","MARICOPA","AZ","85306","0.9360","3 out of 10","3","2 out of 9","3 out of 10"
61,"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","PHOENIX","MARICOPA","AZ","85027","0.9563","5 out of 10","5","3 out of 9","5 out of 10"
62,"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","MARICOPA","AZ","85375","0.8896","0 out of 10","4","4 out of 9","4 out of 10"
63,"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","MARICOPA","AZ","85308","0.9651","6 out of 10","8","8 out of 9","8 out of 10"
64,"030100","CARONDELET HEART AND VASCULAR INSTITUTE","4888 NORTH STONE AVENUE","TUCSON","PIMA","AZ","85704","0.9899","9 out of 10","9","9 out of 9","9 out of 10"
65,"030101","WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","BULLHEAD CITY","MOHAVE","AZ","86442","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
66,"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","PHOENIX","MARICOPA","AZ","85054","0.9845","8 out of 10","8","8 out of 9","8 out of 10"
67,"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","MESA","MARICOPA","AZ","85206","0.9300","3 out of 10","3","0 out of 9","3 out of 10"
68,"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","MESA","MARICOPA","AZ","85206","N/A","N/A","N/A","N/A","N/A"
69,"030108","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","6501 NORTH 19TH AVENUE","PHOENIX","MARICOPA","AZ","85015","N/A","N/A","N/A","N/A","N/A"
70,"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","GOODYEAR","MARICOPA","AZ","85395","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
71,"030111","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","2800 EAST AJO WAY","TUCSON","PIMA","AZ","85713","0.7324","0 out of 10","5","5 out of 9","5 out of 10"
72,"030112","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","2905 WEST WARNER ROAD","CHANDLER","MARICOPA","AZ","85225","N/A","N/A","N/A","N/A","N/A"
73,"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","PIMA","AZ","85755","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
74,"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","PHOENIX","MARICOPA","AZ","85037","0.9450","4 out of 10","4","2 out of 9","4 out of 10"
75,"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","FORT MOHAVE","MOHAVE","AZ","86426","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
76,"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","PRESCOTT VALLEY","YAVAPAI","AZ","86314","0.6800","0 out of 10","0","0 out of 9","0 out of 10"
77,"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","GILBERT","MARICOPA","AZ","85296","0.9483","4 out of 10","4","4 out of 9","4 out of 10"
78,"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","MARICOPA","AZ","85209","0.7643","0 out of 10","1","1 out of 9","1 out of 10"
79,"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","GILBERT","MARICOPA","AZ","85234","0.9550","5 out of 10","5","0 out of 9","5 out of 10"
80,"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","SCOTTSDALE","MARICOPA","AZ","85255","0.8108","0 out of 10","2","2 out of 9","2 out of 10"
81,"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","MESA","MARICOPA","AZ","85201","0.8958","0 out of 10","7","7 out of 9","7 out of 10"
82,"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","SAN TAN VALLEY","PINAL","AZ","85140","0.9500","5 out of 10","5","N/A","5 out of 10"
83,"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","PHOENIX","MARICOPA","AZ","85008","N/A","N/A","N/A","N/A","N/A"
84,"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","SILOAM SPRINGS","BENTON","AR","72761","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
85,"040002","JOHNSON REGIONAL MEDICAL CENTER","1100 EAST POPLAR STREET","CLARKSVILLE","JOHNSON","AR","72830","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
86,"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD","FAYETTEVILLE","WASHINGTON","AR","72703","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
87,"040007","ST VINCENT INFIRMARY MEDICAL CENTER","TWO ST VINCENT CIRCLE","LITTLE ROCK","PULASKI","AR","72205","0.8946","0 out of 10","1","1 out of 9","1 out of 10"
88,"040010","MERCY MEDICAL CENTER","2710 RIFE MEDICAL LANE","ROGERS","BENTON","AR","72758","0.9127","1 out of 10","1","0 out of 9","1 out of 10"
89,"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","SEARCY","WHITE","AR","72143","0.9198","2 out of 10","6","6 out of 9","6 out of 10"
90,"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","LITTLE ROCK","PULASKI","AR","72205","0.9947","9 out of 10","9","9 out of 9","9 out of 10"
91,"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","HARRISON","BOONE","AR","72601","0.9706","7 out of 10","8","8 out of 9","8 out of 10"
92,"040018","SUMMIT MEDICAL CENTER","EAST MAIN AND SOUTH 20TH STREET","VAN BUREN","CRAWFORD","AR","72956","0.9375","3 out of 10","3","0 out of 9","3 out of 10"
93,"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","FORREST CITY","ST. FRANCIS","AR","72335","0.9787","7 out of 10","7","0 out of 9","7 out of 10"
94,"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","JONESBORO","CRAIGHEAD","AR","72401","0.9190","2 out of 10","2","0 out of 9","2 out of 10"
95,"040022","NW ARKANSAS HOSPITALS, LLC","609 WEST MAPLE AVENUE","SPRINGDALE","WASHINGTON","AR","72764","0.8800","0 out of 10","1","1 out of 9","1 out of 10"
96,"040026","ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","HOT SPRINGS","GARLAND","AR","71903","0.9563","5 out of 10","8","8 out of 9","8 out of 10"
97,"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","MOUNTAIN HOME","BAXTER","AR","72653","0.9427","4 out of 10","4","2 out of 9","4 out of 10"
98,"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","CONWAY","FAULKNER","AR","72034","0.8491","0 out of 10","0","0 out of 9","0 out of 10"
99,"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","NORTH LITTLE ROCK","PULASKI","AR","72117","0.9945","9 out of 10","9","9 out of 9","9 out of 10"
100,"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","PARAGOULD","GREENE","AR","72450","0.8955","0 out of 10","0","0 out of 9","0 out of 10"
101,"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","POPE","AR","72801","0.9571","5 out of 10","7","7 out of 9","7 out of 10"
102,"040042","CRITTENDEN MEMORIAL HOSPITAL","200 TYLER","WEST MEMPHIS","CRITTENDEN","AR","72301","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
103,"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","OUACHITA","AR","71701","0.8636","0 out of 10","0","0 out of 9","0 out of 10"
104,"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","DREW","AR","71655","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
105,"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","SEBASTIAN","AR","72901","0.9462","4 out of 10","4","3 out of 9","4 out of 10"
106,"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH","SEBASTIAN","AR","72917","0.8571","0 out of 10","0","0 out of 9","0 out of 10"
107,"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","MAGNOLIA","COLUMBIA","AR","71754","0.9375","3 out of 10","3","3 out of 9","3 out of 10"
108,"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","BLYTHEVILLE","MISSISSIPPI","AR","72315","0.9375","3 out of 10","3","2 out of 9","3 out of 10"
109,"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","JEFFERSON","AR","71603","0.9627","6 out of 10","6","6 out of 9","6 out of 10"
110,"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","ARKANSAS","AR","72160","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
111,"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","JACKSONVILLE","PULASKI","AR","72076","0.9032","0 out of 10","3","3 out of 9","3 out of 10"
112,"040076","HOT SPRING COUNTY MEDICAL CENTER","1001 SCHNEIDER DRIVE","MALVERN","HOT SPRING","AR","72104","0.8571","0 out of 10","1","1 out of 9","1 out of 10"
113,"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS","GARLAND","AR","71901","0.8217","0 out of 10","0","0 out of 9","0 out of 10"
114,"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","NEWPORT","JACKSON","AR","72112","0.9811","8 out of 10","8","0 out of 9","8 out of 10"
115,"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","SALINE","AR","72015","0.9036","0 out of 10","5","5 out of 9","5 out of 10"
116,"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING DRIVE","HELENA","PHILLIPS","AR","72342","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
117,"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO","UNION","AR","71731","0.9917","9 out of 10","9","9 out of 9","9 out of 10"
118,"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","PULASKI","AR","72205","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
119,"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","JONESBORO","CRAIGHEAD","AR","72401","0.9927","9 out of 10","9","8 out of 9","9 out of 10"
120,"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","INDEPENDENCE","AR","72503","0.9615","6 out of 10","6","2 out of 9","6 out of 10"
121,"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK","PULASKI","AR","72211","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
122,"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","SHERWOOD","PULASKI","AR","72120","0.7317","0 out of 10","0","0 out of 9","0 out of 10"
123,"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","NO LITTLE ROCK","PULASKI","AR","72118","N/A","N/A","N/A","N/A","N/A"
124,"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","FAYETTEVILLE","WASHINGTON","AR","72703","N/A","N/A","N/A","N/A","N/A"
125,"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","HAYWARD","ALAMEDA","CA","94545","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
126,"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","EUREKA","HUMBOLDT","CA","95501","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
127,"050007","PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","BURLINGAME","SAN MATEO","CA","94010","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
128,"050008","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","45 CASTRO STREET","SAN FRANCISCO","SAN FRANCISCO","CA","94114","0.8889","0 out of 10","3","3 out of 9","3 out of 10"
129,"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST","NAPA","NAPA","CA","94558","0.9466","4 out of 10","4","0 out of 9","4 out of 10"
130,"050013","ST HELENA HOSPITAL","10 WOODLAND ROAD","SAINT HELENA","NAPA","CA","94574","0.9583","5 out of 10","7","7 out of 9","7 out of 10"
131,"050014","SUTTER AMADOR HOSPITAL","200 MISSION BLVD","JACKSON","AMADOR","CA","95642","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
132,"050016","ARROYO GRANDE COMMUNITY HOSPITAL","345 S HALCYON RD","ARROYO GRANDE","SAN LUIS OBISPO","CA","93420","0.8906","0 out of 10","0","0 out of 9","0 out of 10"
133,"050017","MERCY GENERAL HOSPITAL","4001 J ST","SACRAMENTO","SACRAMENTO","CA","95819","0.9693","7 out of 10","7","6 out of 9","7 out of 10"
134,"050018","PACIFIC ALLIANCE MEDICAL CENTER","531 W COLLEGE ST","LOS ANGELES","LOS ANGELES","CA","90012","0.8148","0 out of 10","0","0 out of 9","0 out of 10"
135,"050022","RIVERSIDE COMMUNITY HOSPITAL","4445 MAGNOLIA AVENUE","RIVERSIDE","RIVERSIDE","CA","92501","0.9946","9 out of 10","9","9 out of 9","9 out of 10"
136,"050024","PARADISE VALLEY HOSPITAL","2400 EAST FOURTH STREET","NATIONAL CITY","SAN DIEGO","CA","91950","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
137,"050025","UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER","200 WEST ARBOR DRIVE","SAN DIEGO","SAN DIEGO","CA","92103","0.8977","0 out of 10","5","5 out of 9","5 out of 10"
138,"050026","GROSSMONT HOSPITAL","5555 GROSSMONT CENTER DRIVE BOX 58","LA MESA","SAN DIEGO","CA","91942","0.9613","6 out of 10","7","7 out of 9","7 out of 10"
139,"050028","MAD RIVER COMMUNITY HOSPITAL","3800 JANES RD","ARCATA","HUMBOLDT","CA","95521","0.9643","6 out of 10","6","0 out of 9","6 out of 10"
140,"050030","OROVILLE HOSPITAL","2767 OLIVE HIGHWAY","OROVILLE","BUTTE","CA","95966","0.9606","6 out of 10","8","8 out of 9","8 out of 10"
141,"050036","BAKERSFIELD MEMORIAL HOSPITAL","420 34TH ST BOX 1888","BAKERSFIELD","KERN","CA","93301","0.9037","0 out of 10","0","0 out of 9","0 out of 10"
142,"050038","SANTA CLARA VALLEY MEDICAL CENTER","751 SOUTH BASCOM AVENUE","SAN JOSE","SANTA CLARA","CA","95128","0.9836","8 out of 10","8","7 out of 9","8 out of 10"
143,"050039","ENLOE MEDICAL CENTER","1531 ESPLANADE","CHICO","BUTTE","CA","95926","0.8581","0 out of 10","2","2 out of 9","2 out of 10"
144,"050040","LAC/OLIVE VIEW-UCLA MEDICAL CENTER","14445 OLIVE VIEW DRIVE","SYLMAR","LOS ANGELES","CA","91342","0.7879","0 out of 10","0","0 out of 9","0 out of 10"
145,"050042","ST ELIZABETH COMMUNITY HOSPITAL","2550 SISTER MARY COLUMBA DRIVE","RED BLUFF","TEHAMA","CA","96080","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
146,"050043","ALTA BATES SUMMIT MEDICAL CENTER","350 HAWTHORNE AVENUE","OAKLAND","ALAMEDA","CA","94609","0.8737","0 out of 10","0","0 out of 9","0 out of 10"
