"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Number Of Cases"
"LA","291","Heart failure and shock w MCC","3517"
"MA","291","Heart failure and shock w MCC","4734"
"MD","291","Heart failure and shock w MCC","3788"
"ME","291","Heart failure and shock w MCC","668"
"MI","291","Heart failure and shock w MCC","8779"
"MN","291","Heart failure and shock w MCC","1951"
"MO","291","Heart failure and shock w MCC","4978"
"MP","291","Heart failure and shock w MCC","*"
"MS","291","Heart failure and shock w MCC","2709"
"MT","291","Heart failure and shock w MCC","346"
"NC","291","Heart failure and shock w MCC","7740"
"ND","291","Heart failure and shock w MCC","468"
"NE","291","Heart failure and shock w MCC","714"
"NH","291","Heart failure and shock w MCC","693"
"NJ","291","Heart failure and shock w MCC","7027"
"NM","291","Heart failure and shock w MCC","558"
"NV","291","Heart failure and shock w MCC","989"
"NY","291","Heart failure and shock w MCC","10026"
"OH","291","Heart failure and shock w MCC","8091"
"OK","291","Heart failure and shock w MCC","1919"
"OR","291","Heart failure and shock w MCC","1018"
"PA","291","Heart failure and shock w MCC","8649"
"PR","291","Heart failure and shock w MCC","574"
"RI","291","Heart failure and shock w MCC","544"
"SC","291","Heart failure and shock w MCC","3180"
"SD","291","Heart failure and shock w MCC","393"
"TN","291","Heart failure and shock w MCC","4755"
"TX","291","Heart failure and shock w MCC","13290"
"UT","291","Heart failure and shock w MCC","416"
"VA","291","Heart failure and shock w MCC","5835"
"VI","291","Heart failure and shock w MCC","22"
"VT","291","Heart failure and shock w MCC","253"
"WA","291","Heart failure and shock w MCC","2848"
"WI","291","Heart failure and shock w MCC","2551"
"WV","291","Heart failure and shock w MCC","1537"
"WY","291","Heart failure and shock w MCC","151"
"AK","292","Heart failure and shock w CC","210"
"AL","292","Heart failure and shock w CC","4322"
"AR","292","Heart failure and shock w CC","2513"
"AS","292","Heart failure and shock w CC","*"
"AZ","292","Heart failure and shock w CC","2397"
"CA","292","Heart failure and shock w CC","13190"
"CO","292","Heart failure and shock w CC","1505"
"CT","292","Heart failure and shock w CC","2719"
"DC","292","Heart failure and shock w CC","827"
"DE","292","Heart failure and shock w CC","837"
"FL","292","Heart failure and shock w CC","14817"
"GA","292","Heart failure and shock w CC","6186"
"GU","292","Heart failure and shock w CC","29"
"HI","292","Heart failure and shock w CC","436"
"IA","292","Heart failure and shock w CC","1827"
"ID","292","Heart failure and shock w CC","356"
"IL","292","Heart failure and shock w CC","10691"
"IN","292","Heart failure and shock w CC","5625"
"KS","292","Heart failure and shock w CC","1779"
"KY","292","Heart failure and shock w CC","4534"
"LA","292","Heart failure and shock w CC","4180"
"MA","292","Heart failure and shock w CC","5729"
"MD","292","Heart failure and shock w CC","4903"
"ME","292","Heart failure and shock w CC","966"
"MI","292","Heart failure and shock w CC","8418"
"MN","292","Heart failure and shock w CC","2901"
"MO","292","Heart failure and shock w CC","4768"
"MP","292","Heart failure and shock w CC","*"
"MS","292","Heart failure and shock w CC","3183"
"MT","292","Heart failure and shock w CC","393"
"NC","292","Heart failure and shock w CC","7435"
"ND","292","Heart failure and shock w CC","446"
"NE","292","Heart failure and shock w CC","1022"
"NH","292","Heart failure and shock w CC","855"
"NJ","292","Heart failure and shock w CC","7832"
"NM","292","Heart failure and shock w CC","747"
"NV","292","Heart failure and shock w CC","1029"
"NY","292","Heart failure and shock w CC","12063"
"OH","292","Heart failure and shock w CC","8928"
"OK","292","Heart failure and shock w CC","2989"
"OR","292","Heart failure and shock w CC","1327"
"PA","292","Heart failure and shock w CC","10355"
"PR","292","Heart failure and shock w CC","533"
"RI","292","Heart failure and shock w CC","738"
"SC","292","Heart failure and shock w CC","3640"
"SD","292","Heart failure and shock w CC","552"
"TN","292","Heart failure and shock w CC","5508"
"TX","292","Heart failure and shock w CC","13958"
"UT","292","Heart failure and shock w CC","585"
"VA","292","Heart failure and shock w CC","5905"
"VI","292","Heart failure and shock w CC","40"
"VT","292","Heart failure and shock w CC","327"
"WA","292","Heart failure and shock w CC","3021"
"WI","292","Heart failure and shock w CC","3365"
"WV","292","Heart failure and shock w CC","1938"
"WY","292","Heart failure and shock w CC","202"
"AK","192","Chronic obstructive pulmonary disease w/o CC/MCC","134"
"AL","192","Chronic obstructive pulmonary disease w/o CC/MCC","2802"
"AR","192","Chronic obstructive pulmonary disease w/o CC/MCC","1497"
"AS","192","Chronic obstructive pulmonary disease w/o CC/MCC","*"
"AZ","192","Chronic obstructive pulmonary disease w/o CC/MCC","1096"
"CA","192","Chronic obstructive pulmonary disease w/o CC/MCC","5211"
"CO","192","Chronic obstructive pulmonary disease w/o CC/MCC","603"
"CT","192","Chronic obstructive pulmonary disease w/o CC/MCC","933"
"DC","192","Chronic obstructive pulmonary disease w/o CC/MCC","227"
"DE","192","Chronic obstructive pulmonary disease w/o CC/MCC","330"
"FL","192","Chronic obstructive pulmonary disease w/o CC/MCC","8650"
"GA","192","Chronic obstructive pulmonary disease w/o CC/MCC","2802"
"GU","192","Chronic obstructive pulmonary disease w/o CC/MCC","30"
"HI","192","Chronic obstructive pulmonary disease w/o CC/MCC","146"
"IA","192","Chronic obstructive pulmonary disease w/o CC/MCC","712"
"ID","192","Chronic obstructive pulmonary disease w/o CC/MCC","116"
"IL","192","Chronic obstructive pulmonary disease w/o CC/MCC","4818"
"IN","192","Chronic obstructive pulmonary disease w/o CC/MCC","3191"
"KS","192","Chronic obstructive pulmonary disease w/o CC/MCC","706"
"KY","192","Chronic obstructive pulmonary disease w/o CC/MCC","3876"
"LA","192","Chronic obstructive pulmonary disease w/o CC/MCC","2013"
"MA","192","Chronic obstructive pulmonary disease w/o CC/MCC","2650"
"MD","192","Chronic obstructive pulmonary disease w/o CC/MCC","2184"
"ME","192","Chronic obstructive pulmonary disease w/o CC/MCC","376"
"MI","192","Chronic obstructive pulmonary disease w/o CC/MCC","3856"
"MN","192","Chronic obstructive pulmonary disease w/o CC/MCC","811"
"MO","192","Chronic obstructive pulmonary disease w/o CC/MCC","2378"
"MP","192","Chronic obstructive pulmonary disease w/o CC/MCC","*"
"MS","192","Chronic obstructive pulmonary disease w/o CC/MCC","1987"
"MT","192","Chronic obstructive pulmonary disease w/o CC/MCC","163"
"NC","192","Chronic obstructive pulmonary disease w/o CC/MCC","2801"
"ND","192","Chronic obstructive pulmonary disease w/o CC/MCC","95"
"NE","192","Chronic obstructive pulmonary disease w/o CC/MCC","449"
"NH","192","Chronic obstructive pulmonary disease w/o CC/MCC","451"
"NJ","192","Chronic obstructive pulmonary disease w/o CC/MCC","3322"
"NM","192","Chronic obstructive pulmonary disease w/o CC/MCC","433"
"NV","192","Chronic obstructive pulmonary disease w/o CC/MCC","805"
"NY","192","Chronic obstructive pulmonary disease w/o CC/MCC","5391"
"OH","192","Chronic obstructive pulmonary disease w/o CC/MCC","4832"
"OK","192","Chronic obstructive pulmonary disease w/o CC/MCC","2083"
"OR","192","Chronic obstructive pulmonary disease w/o CC/MCC","424"
"PA","192","Chronic obstructive pulmonary disease w/o CC/MCC","4294"
"PR","192","Chronic obstructive pulmonary disease w/o CC/MCC","677"
"RI","192","Chronic obstructive pulmonary disease w/o CC/MCC","378"
"SC","192","Chronic obstructive pulmonary disease w/o CC/MCC","1753"
"SD","192","Chronic obstructive pulmonary disease w/o CC/MCC","162"
"TN","192","Chronic obstructive pulmonary disease w/o CC/MCC","3335"
"TX","192","Chronic obstructive pulmonary disease w/o CC/MCC","7023"
"UT","192","Chronic obstructive pulmonary disease w/o CC/MCC","188"
"VA","192","Chronic obstructive pulmonary disease w/o CC/MCC","2687"
"VI","192","Chronic obstructive pulmonary disease w/o CC/MCC","*"
"VT","192","Chronic obstructive pulmonary disease w/o CC/MCC","121"
"WA","192","Chronic obstructive pulmonary disease w/o CC/MCC","819"
"WI","192","Chronic obstructive pulmonary disease w/o CC/MCC","1012"
"WV","192","Chronic obstructive pulmonary disease w/o CC/MCC","2006"
"WY","192","Chronic obstructive pulmonary disease w/o CC/MCC","162"
"AK","190","Chronic obstructive pulmonary disease w MCC","123"
"AL","190","Chronic obstructive pulmonary disease w MCC","3610"
"AR","190","Chronic obstructive pulmonary disease w MCC","1799"
"AZ","190","Chronic obstructive pulmonary disease w MCC","1994"
"CA","190","Chronic obstructive pulmonary disease w MCC","9506"
"CO","190","Chronic obstructive pulmonary disease w MCC","983"
"CT","190","Chronic obstructive pulmonary disease w MCC","1744"
"DC","190","Chronic obstructive pulmonary disease w MCC","263"
"DE","190","Chronic obstructive pulmonary disease w MCC","592"
"FL","190","Chronic obstructive pulmonary disease w MCC","10864"
"GA","190","Chronic obstructive pulmonary disease w MCC","4033"
"GU","190","Chronic obstructive pulmonary disease w MCC","11"
"HI","190","Chronic obstructive pulmonary disease w MCC","204"
"IA","190","Chronic obstructive pulmonary disease w MCC","1216"
"ID","190","Chronic obstructive pulmonary disease w MCC","274"
"IL","190","Chronic obstructive pulmonary disease w MCC","7205"
"IN","190","Chronic obstructive pulmonary disease w MCC","4649"
"KS","190","Chronic obstructive pulmonary disease w MCC","970"
"KY","190","Chronic obstructive pulmonary disease w MCC","4373"
"LA","190","Chronic obstructive pulmonary disease w MCC","2351"
"MA","190","Chronic obstructive pulmonary disease w MCC","3944"
"MD","190","Chronic obstructive pulmonary disease w MCC","2775"
"ME","190","Chronic obstructive pulmonary disease w MCC","662"
"MI","190","Chronic obstructive pulmonary disease w MCC","6592"
"MN","190","Chronic obstructive pulmonary disease w MCC","1253"
"MO","190","Chronic obstructive pulmonary disease w MCC","3356"
"MP","190","Chronic obstructive pulmonary disease w MCC","*"
"MS","190","Chronic obstructive pulmonary disease w MCC","1968"
"MT","190","Chronic obstructive pulmonary disease w MCC","304"
"NC","190","Chronic obstructive pulmonary disease w MCC","5116"
"ND","190","Chronic obstructive pulmonary disease w MCC","254"
"NE","190","Chronic obstructive pulmonary disease w MCC","722"
"NH","190","Chronic obstructive pulmonary disease w MCC","735"
"NJ","190","Chronic obstructive pulmonary disease w MCC","4864"
"NM","190","Chronic obstructive pulmonary disease w MCC","486"
"NV","190","Chronic obstructive pulmonary disease w MCC","910"
"NY","190","Chronic obstructive pulmonary disease w MCC","7672"
"OH","190","Chronic obstructive pulmonary disease w MCC","7348"
"OK","190","Chronic obstructive pulmonary disease w MCC","2319"
"OR","190","Chronic obstructive pulmonary disease w MCC","656"
"PA","190","Chronic obstructive pulmonary disease w MCC","5695"
"PR","190","Chronic obstructive pulmonary disease w MCC","247"
"RI","190","Chronic obstructive pulmonary disease w MCC","555"
"SC","190","Chronic obstructive pulmonary disease w MCC","2456"
"SD","190","Chronic obstructive pulmonary disease w MCC","363"
"TN","190","Chronic obstructive pulmonary disease w MCC","4871"
"TX","190","Chronic obstructive pulmonary disease w MCC","10152"
"UT","190","Chronic obstructive pulmonary disease w MCC","295"
"VA","190","Chronic obstructive pulmonary disease w MCC","3640"
"VI","190","Chronic obstructive pulmonary disease w MCC","*"
"VT","190","Chronic obstructive pulmonary disease w MCC","296"
"WA","190","Chronic obstructive pulmonary disease w MCC","1591"
"WI","190","Chronic obstructive pulmonary disease w MCC","1705"
"WV","190","Chronic obstructive pulmonary disease w MCC","1867"
"WY","190","Chronic obstructive pulmonary disease w MCC","253"
"AK","191","Chronic obstructive pulmonary disease w CC","133"
"AL","191","Chronic obstructive pulmonary disease w CC","3415"
"AR","191","Chronic obstructive pulmonary disease w CC","1656"
"AZ","191","Chronic obstructive pulmonary disease w CC","1720"
"CA","191","Chronic obstructive pulmonary disease w CC","8195"
"CO","191","Chronic obstructive pulmonary disease w CC","955"
"CT","191","Chronic obstructive pulmonary disease w CC","1557"
"DC","191","Chronic obstructive pulmonary disease w CC","305"
"DE","191","Chronic obstructive pulmonary disease w CC","498"
"FL","191","Chronic obstructive pulmonary disease w CC","11530"
"GA","191","Chronic obstructive pulmonary disease w CC","3754"
"GU","191","Chronic obstructive pulmonary disease w CC","16"
"HI","191","Chronic obstructive pulmonary disease w CC","168"
"IA","191","Chronic obstructive pulmonary disease w CC","1092"
"ID","191","Chronic obstructive pulmonary disease w CC","204"
"IL","191","Chronic obstructive pulmonary disease w CC","7147"
"IN","191","Chronic obstructive pulmonary disease w CC","4443"
"KS","191","Chronic obstructive pulmonary disease w CC","1040"
"KY","191","Chronic obstructive pulmonary disease w CC","4026"
"LA","191","Chronic obstructive pulmonary disease w CC","2191"
"MA","191","Chronic obstructive pulmonary disease w CC","4268"
"MD","191","Chronic obstructive pulmonary disease w CC","3424"
"ME","191","Chronic obstructive pulmonary disease w CC","689"
"MI","191","Chronic obstructive pulmonary disease w CC","6513"
"MN","191","Chronic obstructive pulmonary disease w CC","1267"
"MO","191","Chronic obstructive pulmonary disease w CC","3009"
"MP","191","Chronic obstructive pulmonary disease w CC","*"
"MS","191","Chronic obstructive pulmonary disease w CC","2025"
"MT","191","Chronic obstructive pulmonary disease w CC","201"
"NC","191","Chronic obstructive pulmonary disease w CC","4548"
"ND","191","Chronic obstructive pulmonary disease w CC","199"
"NE","191","Chronic obstructive pulmonary disease w CC","689"
"NH","191","Chronic obstructive pulmonary disease w CC","666"
"NJ","191","Chronic obstructive pulmonary disease w CC","5136"
"NM","191","Chronic obstructive pulmonary disease w CC","433"
"NV","191","Chronic obstructive pulmonary disease w CC","803"
"NY","191","Chronic obstructive pulmonary disease w CC","7644"
"OH","191","Chronic obstructive pulmonary disease w CC","6978"
"OK","191","Chronic obstructive pulmonary disease w CC","2308"
"OR","191","Chronic obstructive pulmonary disease w CC","659"
