"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Pain Management Achievement Points","Pain Management Improvement Points","Pain Management Dimension Score","Communication about Medicines Achievement Points","Communication about Medicines Improvement Points","Communication about Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Achievement Po","Cleanliness and Quietness of Hospital Environment Improvement Po","Cleanliness and Quietness of Hospital Environment Dimension Scor","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
11,"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","GENEVA","AL","36340","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4","12"
12,"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","ALEXANDER CITY","TALLAPOOSA","AL","35010","9 out of 10","9 out of 9","9 out of 10","6 out of 10","3 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","1 out of 9","7 out of 10","9 out of 10","9 out of 9","9 out of 10","7 out of 10","4 out of 9","7 out of 10","6 out of 10","3 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","58","20"
13,"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","BARBOUR","AL","36027","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","7 out of 10","6 out of 9","7 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","24","17"
14,"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","ANNISTON","CALHOUN","AL","36207","1 out of 10","2 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7","17"
15,"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","LIMESTONE","AL","35611","3 out of 10","0 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","2 out of 10","1 out of 9","2 out of 10","4 out of 10","3 out of 9","4 out of 10","6 out of 10","6 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","8 out of 10","8 out of 9","8 out of 10","0 out of 10","0 out of 9","0 out of 10","32","18"
16,"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","BALDWIN","AL","36535","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","2 out of 10","4 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","17","19"
17,"010085","DECATUR GENERAL HOSPITAL","1201 7TH STREET SE","DECATUR","MORGAN","AL","35609","5 out of 10","0 out of 9","5 out of 10","5 out of 10","1 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","0 out of 9","6 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","7 out of 9","7 out of 10","3 out of 10","3 out of 9","3 out of 10","37","20"
18,"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","MARION","AL","35594","6 out of 10","6 out of 9","6 out of 10","9 out of 10","0 out of 9","9 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","8 out of 10","4 out of 9","8 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","3 out of 9","7 out of 10","51","20"
19,"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","MOBILE","MOBILE","AL","36617","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","8 out of 10","7 out of 9","8 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","3 out of 9","3 out of 10","5 out of 10","2 out of 9","5 out of 10","30","20"
20,"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","WALKER","AL","35502","5 out of 10","4 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","2 out of 9","4 out of 10","2 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","29","20"
21,"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","MOBILE","AL","36608","1 out of 10","1 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","5 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","14","19"
22,"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","TUSCALOOSA","AL","35401","6 out of 10","5 out of 9","6 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","2 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","26","19"
23,"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","ESCAMBIA","AL","36426","6 out of 10","2 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","7 out of 10","6 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","4 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","49","19"
24,"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","BALDWIN","AL","36532","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","7 out of 10","0 out of 9","7 out of 10","36","20"
25,"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","TALLADEGA","AL","35161","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","20","18"
26,"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","JEFFERSON","AL","35211","5 out of 10","0 out of 9","5 out of 10","7 out of 10","0 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","8 out of 10","6 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","38","20"
27,"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","BIRMINGHAM","JEFFERSON","AL","35213","5 out of 10","4 out of 9","5 out of 10","5 out of 10","1 out of 9","5 out of 10","3 out of 10","4 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","5 out of 10","0 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","4 out of 10","5 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","42","20"
28,"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AUTAUGA","AL","36067","9 out of 10","0 out of 9","9 out of 10","9 out of 10","0 out of 9","9 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","0 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","8 out of 10","0 out of 9","8 out of 10","7 out of 10","5 out of 9","7 out of 10","7 out of 10","0 out of 9","7 out of 10","57","20"
29,"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","CARROLLTON","PICKENS","AL","35447","6 out of 10","0 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","0 out of 9","4 out of 10","9 out of 10","8 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","0 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","0 out of 9","6 out of 10","61","20"
30,"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","DEMOPOLIS","MARENGO","AL","36732","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","11","15"
31,"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","MOBILE","AL","36652","5 out of 10","4 out of 9","5 out of 10","6 out of 10","4 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","3 out of 9","3 out of 10","8 out of 10","7 out of 9","8 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","4 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","32","19"
32,"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","JEFFERSON","AL","35021","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","9","17"
33,"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","DALLAS","AL","36701","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","15"
34,"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","MONROE","AL","36461","7 out of 10","0 out of 9","7 out of 10","10 out of 10","0 out of 9","10 out of 10","9 out of 10","0 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","4 out of 9","7 out of 10","0 out of 10","1 out of 9","1 out of 10","6 out of 10","4 out of 9","6 out of 10","50","19"
35,"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","WINSTON","AL","35565","5 out of 10","1 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","7 out of 10","7 out of 9","7 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","25","16"
36,"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","PIKE","AL","36081","2 out of 10","1 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","18","15"
37,"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","BALDWIN","AL","36507","4 out of 10","0 out of 9","4 out of 10","8 out of 10","0 out of 9","8 out of 10","7 out of 10","1 out of 9","7 out of 10","7 out of 10","0 out of 9","7 out of 10","9 out of 10","4 out of 9","9 out of 10","7 out of 10","0 out of 9","7 out of 10","0 out of 10","3 out of 9","3 out of 10","7 out of 10","6 out of 9","7 out of 10","52","18"
38,"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","MADISON","AL","35801","2 out of 10","1 out of 9","2 out of 10","5 out of 10","2 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","1 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","4 out of 10","1 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","6 out of 10","1 out of 9","6 out of 10","28","20"
39,"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","JEFFERSON","AL","35233","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","9","16"
40,"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","JEFFERSON","AL","35209","4 out of 10","0 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","7 out of 10","1 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","3 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","31","19"
41,"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","MOBILE","AL","36608","2 out of 10","2 out of 9","2 out of 10","5 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","2 out of 10","4 out of 9","4 out of 10","6 out of 10","7 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","6 out of 10","5 out of 9","6 out of 10","4 out of 10","3 out of 9","4 out of 10","34","20"
42,"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","CALHOUN","AL","36265","6 out of 10","6 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","5 out of 10","2 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","2 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","5 out of 9","6 out of 10","41","19"
43,"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","MONTGOMERY","AL","36117","5 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","3 out of 9","3 out of 10","8 out of 10","7 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","35","20"
44,"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","BUTLER","AL","36037","6 out of 10","3 out of 9","6 out of 10","6 out of 10","2 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","7 out of 9","8 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","42","20"
45,"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","MOBILE","AL","36693","0 out of 10","1 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","19","15"
46,"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","COLBERT","AL","35661","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","10","17"
47,"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","FRANKLIN","AL","35653","3 out of 10","1 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","31","19"
48,"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","TALLADEGA","AL","35150","6 out of 10","2 out of 9","6 out of 10","7 out of 10","0 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","8 out of 10","0 out of 9","8 out of 10","7 out of 10","1 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","42","20"
49,"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","RUSSELL","AL","36867","7 out of 10","2 out of 9","7 out of 10","7 out of 10","3 out of 9","7 out of 10","6 out of 10","2 out of 9","6 out of 10","6 out of 10","3 out of 9","6 out of 10","7 out of 10","2 out of 9","7 out of 10","10 out of 10","9 out of 9","10 out of 10","9 out of 10","7 out of 9","9 out of 10","8 out of 10","6 out of 9","8 out of 10","60","20"
50,"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","ANCHORAGE","AK","99519","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","19","16"
51,"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","MATANUSKA-SUSITNA","AK","99645","2 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","3 out of 10","3 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","2 out of 9","3 out of 10","31","20"
52,"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","JUNEAU","AK","99801","5 out of 10","4 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","9 out of 10","6 out of 9","9 out of 10","3 out of 10","0 out of 9","3 out of 10","8 out of 10","6 out of 9","8 out of 10","2 out of 10","3 out of 9","3 out of 10","39","19"
53,"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","FAIRBANKS","AK","99701","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0 out of 9","7 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","7 out of 10","5 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","31","18"
54,"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","ANCHORAGE","AK","99508","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","1 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","16","19"
55,"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","KENAI-COOK INLET","AK","99669","6 out of 10","4 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","0 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","4 out of 10","0 out of 9","4 out of 10","39","20"
