"State","Condition","Measure Name","State Average"
"AS","Heart Failure","Heart Failure Patients Given Discharge Instructions",
"AS","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling",
"AS","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination",
"AS","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination",
"AS","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival",
"AS","Pneumonia","Pneumonia Patients Given Oxygenation Assessment",
"AS","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling",
"AS","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)",
"AS","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics",
"AS","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision",
"AS","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery",
"AS","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots",
"AS","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries",
"AS","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery",
"AZ","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AZ","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AZ","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","86"
"AZ","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","94"
"AZ","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","92"
"AZ","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","92"
"AZ","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","94"
"AZ","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","31"
"AZ","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","58"
"AZ","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","90"
"AZ","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","88"
"AZ","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","86"
"AZ","Heart Failure","Heart Failure Patients Given Discharge Instructions","53"
"AZ","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","87"
"AZ","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","71"
"AZ","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","76"
"AZ","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","91"
"AZ","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","99"
"AZ","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","77"
"AZ","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","88"
"AZ","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","87"
"AZ","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","82"
"AZ","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","91"
"AZ","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","74"
"AZ","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","79"
"AZ","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","79"
"CA","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma","100"
"CA","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma","99"
"CA","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","89"
"CA","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","96"
"CA","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","93"
"CA","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","92"
"CA","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","93"
"CA","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","47"
"CA","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","67"
"CA","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","90"
"CA","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","89"
"CA","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","89"
"CA","Heart Failure","Heart Failure Patients Given Discharge Instructions","71"
"CA","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","90"
"CA","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","72"
"CA","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","73"
"CA","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","92"
"CA","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","99"
"CA","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","85"
"CA","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","88"
"CA","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","90"
"CA","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","83"
"CA","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","92"
"CA","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","71"
"CA","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","76"
"CA","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","78"
"CO","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"CO","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"CO","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","88"
"CO","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","97"
"CO","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","95"
"CO","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","93"
"CO","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","95"
"CO","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","59"
"CO","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","76"
"CO","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","98"
"CO","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","87"
"CO","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","84"
"CO","Heart Failure","Heart Failure Patients Given Discharge Instructions","67"
"CO","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","90"
"CO","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","72"
"CO","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","77"
"CO","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","94"
"CO","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","100"
"CO","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","83"
"CO","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","89"
"CO","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","92"
"CO","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","84"
"CO","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","92"
"CO","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","82"
"CO","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","86"
"CO","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","82"
"CT","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"CT","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"CT","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","91"
"CT","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","98"
"CT","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","95"
"CT","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","96"
"CT","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","98"
"CT","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","32"
"CT","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","70"
"CT","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","92"
"CT","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","90"
"CT","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","95"
"CT","Heart Failure","Heart Failure Patients Given Discharge Instructions","67"
"CT","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","92"
"CT","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","79"
"CT","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","85"
"CT","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","93"
"CT","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","100"
"CT","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","93"
"CT","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","88"
"CT","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","90"
"CT","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","89"
"CT","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","94"
"CT","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","89"
"CT","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","92"
"CT","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","85"
"DC","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"DC","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"DC","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","81"
"DC","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","94"
"DC","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","92"
"DC","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","84"
"DC","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","94"
"DC","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","0"
"DC","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","30"
"DC","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","95"
"DC","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","90"
"DC","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","90"
"DC","Heart Failure","Heart Failure Patients Given Discharge Instructions","64"
"DC","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","84"
"DC","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","49"
"DC","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","47"
"DC","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","81"
"DC","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","99"
"DC","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","81"
"DC","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","90"
"DC","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","82"
"DC","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","79"
"DC","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","92"
"DC","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","79"
"DC","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","83"
"DC","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","83"
"DE","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"DE","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"DE","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","93"
"DE","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","98"
"DE","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","98"
"DE","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","95"
"DE","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","97"
"DE","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","58"
"DE","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","69"
"DE","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","98"
"DE","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","89"
"DE","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","96"
"DE","Heart Failure","Heart Failure Patients Given Discharge Instructions","84"
"DE","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","96"
"DE","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","79"
"DE","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","83"
"DE","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","92"
"DE","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","100"
"DE","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","96"
"DE","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","91"
"DE","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","90"
"DE","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","90"
"DE","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","94"
"DE","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","82"
"DE","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","84"
"DE","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","86"
"FL","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"FL","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"FL","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","88"
"FL","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","94"
"FL","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","92"
"FL","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","91"
"FL","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","94"
"FL","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","36"
"FL","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","66"
"FL","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","97"
"FL","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","87"
"FL","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","92"
"FL","Heart Failure","Heart Failure Patients Given Discharge Instructions","74"
"FL","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","95"
"FL","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","78"
"FL","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","82"
