"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"WY","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5551 - 6239","901"
"AK","105","Heart Valve Operations","43053 - 51746","60"
"AL","105","Heart Valve Operations","30117 - 39640","513"
"AR","105","Heart Valve Operations","30984 - 34760","352"
"AZ","105","Heart Valve Operations","32656 - 42927","472"
"CA","105","Heart Valve Operations","37524 - 52774","2293"
"CO","105","Heart Valve Operations","32102 - 39193","292"
"CT","105","Heart Valve Operations","42987 - 49462","471"
"DC","105","Heart Valve Operations","44315 - 49885","79"
"DE","105","Heart Valve Operations","30235 - 40069","127"
"FL","105","Heart Valve Operations","29995 - 36710","2144"
"GA","105","Heart Valve Operations","31808 - 42592","762"
"HI","105","Heart Valve Operations","38733 - 45844","57"
"IA","105","Heart Valve Operations","31664 - 34562","358"
"ID","105","Heart Valve Operations","32180 - 35176","142"
"IL","105","Heart Valve Operations","31974 - 44257","1278"
"IN","105","Heart Valve Operations","31418 - 40796","842"
"KS","105","Heart Valve Operations","30131 - 36899","287"
"KY","105","Heart Valve Operations","31329 - 37169","473"
"LA","105","Heart Valve Operations","29644 - 35600","536"
"MA","105","Heart Valve Operations","41354 - 52283","773"
"MD","105","Heart Valve Operations","31705 - 58553","550"
"ME","105","Heart Valve Operations","32346 - 38816","187"
"MI","105","Heart Valve Operations","33831 - 42023","1373"
"MN","105","Heart Valve Operations","36202 - 42432","712"
"MO","105","Heart Valve Operations","29069 - 37566","773"
"MS","105","Heart Valve Operations","31114 - 35909","240"
"MT","105","Heart Valve Operations","29726 - 32610","211"
"NC","105","Heart Valve Operations","34313 - 43960","866"
"ND","105","Heart Valve Operations","29379 - 31318","132"
"NE","105","Heart Valve Operations","30696 - 40427","310"
"NH","105","Heart Valve Operations","36185 - 48342","205"
"NJ","105","Heart Valve Operations","39708 - 47564","920"
"NM","105","Heart Valve Operations","31234 - 37380","98"
"NV","105","Heart Valve Operations","35531 - 40664","156"
"NY","105","Heart Valve Operations","35400 - 59260","2055"
"OH","105","Heart Valve Operations","31442 - 40066","1858"
"OK","105","Heart Valve Operations","29782 - 36336","359"
"OR","105","Heart Valve Operations","36449 - 39084","526"
"PA","105","Heart Valve Operations","30637 - 43267","1671"
"PR","105","Heart Valve Operations","19523 - 19656","100"
"RI","105","Heart Valve Operations","39175 - 48235","106"
"SC","105","Heart Valve Operations","31308 - 44620","420"
"SD","105","Heart Valve Operations","30806 - 33958","103"
"TN","105","Heart Valve Operations","31230 - 42268","794"
"TX","105","Heart Valve Operations","32390 - 38798","1721"
"UT","105","Heart Valve Operations","33570 - 36154","262"
"VA","105","Heart Valve Operations","31562 - 40369","743"
"VT","105","Heart Valve Operations","40824 - 48989","55"
"WA","105","Heart Valve Operations","35578 - 43511","796"
"WI","105","Heart Valve Operations","32146 - 38814","841"
"WV","105","Heart Valve Operations","32304 - 44140","167"
"WY","105","Heart Valve Operations","34750 - 36852","42"
"AK","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","27057 - 29423","43"
"AL","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","18933 - 21862","1317"
"AR","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","19806 - 22414","721"
"AZ","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20463 - 26105","1190"
"CA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","25538 - 35322","3219"
"CO","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","21285 - 26009","532"
"CT","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","27195 - 29455","764"
"DC","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","28252 - 30049","282"
"DE","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","22802 - 25182","194"
"FL","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20067 - 23427","4076"
"GA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20114 - 25874","1469"
"HI","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","24342 - 29110","94"
"IA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20109 - 21374","645"
"ID","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20726 - 22160","183"
"IL","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","21213 - 27634","2572"
"IN","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","19936 - 23337","1423"
"KS","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","18936 - 23120","567"
"KY","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20675 - 23329","1135"
"LA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","19578 - 22373","827"
"MA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","26044 - 32853","1253"
"MD","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","17913 - 37471","1092"
"ME","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","22700 - 24394","289"
"MI","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","22692 - 26853","2363"
"MN","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","22721 - 26667","1032"
"MO","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","19461 - 25262","1513"
"MS","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20983 - 22974","512"
"MT","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20112 - 21409","178"
"NC","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","21564 - 27750","1691"
"ND","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","18775 - 21098","195"
"NE","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20137 - 25496","349"
"NH","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","23153 - 32085","373"
"NJ","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","24122 - 29450","1378"
"NM","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20106 - 23488","206"
"NV","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","22545 - 25938","362"
"NY","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","24607 - 37520","3162"
"OH","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20826 - 25180","2744"
"OK","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","18717 - 23832","689"
"OR","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","23002 - 25767","418"
"PA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","21238 - 24895","2643"
"PR","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","12269 - 12862","76"
"RI","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","22480 - 30314","123"
"SC","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20281 - 24207","861"
"SD","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","19360 - 22357","199"
"TN","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20445 - 24467","1499"
"TX","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20543 - 24322","4097"
"UT","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","21738 - 28136","247"
"VA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","19971 - 26290","1300"
"VT","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","30788","82"
"WA","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","24097 - 28154","1013"
"WI","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","21093 - 29196","1095"
"WV","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","19731 - 23804","489"
"WY","110","Major Heart and Blood Vessel Procedures with Complications or Preexisting Conditions","20666 - 23730","55"
"AK","121","Heart Attack with Major Complications","11539 - 13036","107"
"AL","121","Heart Attack with Major Complications","7781 - 8799","2090"
"AR","121","Heart Attack with Major Complications","8030 - 9029","1302"
"AZ","121","Heart Attack with Major Complications","8691 - 9946","1480"
"CA","121","Heart Attack with Major Complications","9972 - 13169","7621"
"CO","121","Heart Attack with Major Complications","8373 - 9820","800"
"CT","121","Heart Attack with Major Complications","10052 - 12047","1879"
"DC","121","Heart Attack with Major Complications","11828 - 12595","284"
"DE","121","Heart Attack with Major Complications","9018 - 10600","417"
"FL","121","Heart Attack with Major Complications","8216 - 9232","10027"
"GA","121","Heart Attack with Major Complications","8219 - 9846","3464"
"HI","121","Heart Attack with Major Complications","10338 - 12003","498"
"IA","121","Heart Attack with Major Complications","8048 - 8826","1291"
"ID","121","Heart Attack with Major Complications","8589 - 9360","256"
"IL","121","Heart Attack with Major Complications","8480 - 10242","5536"
"IN","121","Heart Attack with Major Complications","8394 - 9156","3252"
"KS","121","Heart Attack with Major Complications","7962 - 9177","954"
"KY","121","Heart Attack with Major Complications","8145 - 9565","2932"
"LA","121","Heart Attack with Major Complications","8109 - 9343","1590"
"MA","121","Heart Attack with Major Complications","9286 - 11533","3811"
"MD","121","Heart Attack with Major Complications","5330 - 13273","2992"
"ME","121","Heart Attack with Major Complications","8519 - 9940","1202"
"MI","121","Heart Attack with Major Complications","8952 - 10853","6228"
"MN","121","Heart Attack with Major Complications","8930 - 9823","1521"
"MO","121","Heart Attack with Major Complications","8077 - 9335","2900"
"MS","121","Heart Attack with Major Complications","8202 - 9343","1444"
"MT","121","Heart Attack with Major Complications","7935 - 8750","214"
"NC","121","Heart Attack with Major Complications","8555 - 9946","4618"
"ND","121","Heart Attack with Major Complications","7933 - 8387","298"
"NE","121","Heart Attack with Major Complications","8248 - 9307","498"
"NH","121","Heart Attack with Major Complications","9602 - 10422","602"
"NJ","121","Heart Attack with Major Complications","9448 - 11727","4920"
"NM","121","Heart Attack with Major Complications","8224 - 9976","536"
"NV","121","Heart Attack with Major Complications","9298 - 10854","448"
"NY","121","Heart Attack with Major Complications","8521 - 14863","8708"
"OH","121","Heart Attack with Major Complications","8277 - 9411","5855"
"OK","121","Heart Attack with Major Complications","7949 - 8834","1737"
"OR","121","Heart Attack with Major Complications","9121 - 10063","1159"
"PA","121","Heart Attack with Major Complications","8144 - 9878","7278"
"PR","121","Heart Attack with Major Complications","5211 - 5863","711"
"RI","121","Heart Attack with Major Complications","9048 - 12291","618"
"SC","121","Heart Attack with Major Complications","8357 - 9720","2221"
"SD","121","Heart Attack with Major Complications","7932 - 9064","335"
"TN","121","Heart Attack with Major Complications","8163 - 9385","3567"
"TX","121","Heart Attack with Major Complications","8509 - 9965","8282"
"UT","121","Heart Attack with Major Complications","8306 - 9512","285"
"VA","121","Heart Attack with Major Complications","7977 - 9195","3655"
"VT","121","Heart Attack with Major Complications","9244 - 13076","283"
"WA","121","Heart Attack with Major Complications","9415 - 10699","1889"
"WI","121","Heart Attack with Major Complications","8360 - 9467","2163"
"WV","121","Heart Attack with Major Complications","7824 - 9230","1551"
"WY","121","Heart Attack with Major Complications","6751 - 9628","92"
"AK","122","Heart Attack without Complications","6677 - 7758","59"
"AL","122","Heart Attack without Complications","4558 - 5237","738"
"AR","122","Heart Attack without Complications","4767 - 5399","494"
"AZ","122","Heart Attack without Complications","5172 - 6000","481"
"CA","122","Heart Attack without Complications","5961 - 7854","2749"
"CO","122","Heart Attack without Complications","5028 - 5844","359"
"CT","122","Heart Attack without Complications","5983 - 7202","556"
"DC","122","Heart Attack without Complications","7039 - 7924","135"
"DE","122","Heart Attack without Complications","5378 - 6344","148"
"FL","122","Heart Attack without Complications","4888 - 5570","3179"
"GA","122","Heart Attack without Complications","4641 - 5795","1451"
"HI","122","Heart Attack without Complications","6098 - 7264","185"
"IA","122","Heart Attack without Complications","4800 - 5281","445"
"ID","122","Heart Attack without Complications","5156 - 5571","125"
"IL","122","Heart Attack without Complications","5073 - 6132","1581"
"IN","122","Heart Attack without Complications","5032 - 5446","995"
"KS","122","Heart Attack without Complications","4786 - 5462","315"
"KY","122","Heart Attack without Complications","4666 - 5672","965"
"LA","122","Heart Attack without Complications","4833 - 5601","570"
"MA","122","Heart Attack without Complications","5650 - 7570","1138"
"MD","122","Heart Attack without Complications","3330 - 7984","986"
"ME","122","Heart Attack without Complications","4987 - 5915","486"
"MI","122","Heart Attack without Complications","5330 - 6459","1872"
"MN","122","Heart Attack without Complications","4844 - 5845","559"
"MO","122","Heart Attack without Complications","4903 - 5647","922"
"MS","122","Heart Attack without Complications","4881 - 5531","622"
"MT","122","Heart Attack without Complications","4722 - 5209","89"
"NC","122","Heart Attack without Complications","5037 - 5919","1692"
"ND","122","Heart Attack without Complications","4667 - 4992","142"
"NE","122","Heart Attack without Complications","4978 - 5580","236"
"NH","122","Heart Attack without Complications","5743 - 6237","223"
"NJ","122","Heart Attack without Complications","5623 - 6939","1622"
"NM","122","Heart Attack without Complications","4961 - 5937","242"
"NV","122","Heart Attack without Complications","5716 - 6550","221"
"NY","122","Heart Attack without Complications","5050 - 8869","3172"
"OH","122","Heart Attack without Complications","4923 - 5621","1797"
"OK","122","Heart Attack without Complications","4601 - 5129","695"
"OR","122","Heart Attack without Complications","5340 - 6028","446"
"PA","122","Heart Attack without Complications","4855 - 5879","2124"
"PR","122","Heart Attack without Complications","3101 - 3487","620"
"RI","122","Heart Attack without Complications","5388 - 6963","145"
"SC","122","Heart Attack without Complications","4772 - 5637","895"
"SD","122","Heart Attack without Complications","4857 - 5394","159"
"TN","122","Heart Attack without Complications","4858 - 5585","1285"
"TX","122","Heart Attack without Complications","5053 - 5907","2758"
"UT","122","Heart Attack without Complications","5186 - 5704","104"
"VA","122","Heart Attack without Complications","4778 - 5473","1240"
"VT","122","Heart Attack without Complications","5228 - 7782","91"
"WA","122","Heart Attack without Complications","5783 - 6378","654"
"WI","122","Heart Attack without Complications","4985 - 5780","601"
"WV","122","Heart Attack without Complications","4490 - 5309","603"
"WY","122","Heart Attack without Complications","5182 - 5785","68"
"AK","127","Heart Failure","8107 - 9172","476"
"AL","127","Heart Failure","5200 - 5712","13052"
"AR","127","Heart Failure","5383 - 5908","7114"
"AZ","127","Heart Failure","5658 - 6560","5850"
"CA","127","Heart Failure","6808 - 8711","37512"
"CO","127","Heart Failure","5723 - 6487","3896"
"CT","127","Heart Failure","6629 - 7853","8000"
"DC","127","Heart Failure","7683 - 8523","1978"
"DE","127","Heart Failure","5950 - 6940","2005"
"FL","127","Heart Failure","5426 - 6106","41881"
"GA","127","Heart Failure","5509 - 6428","18558"
"HI","127","Heart Failure","6792 - 7789","1270"
"IA","127","Heart Failure","5350 - 5727","4818"
"ID","127","Heart Failure","5710 - 6092","1118"
"IL","127","Heart Failure","5787 - 7040","30639"
"IN","127","Heart Failure","5498 - 6005","15699"
"KS","127","Heart Failure","5219 - 5853","4889"
"KY","127","Heart Failure","5426 - 6272","12366"
"LA","127","Heart Failure","5311 - 6107","12685"
"MA","127","Heart Failure","6267 - 7512","15170"
"MD","127","Heart Failure","4351 - 9844","14122"
"ME","127","Heart Failure","5806 - 6450","2522"
"MI","127","Heart Failure","5904 - 7179","26239"
"MN","127","Heart Failure","5887 - 6373","6473"
"MO","127","Heart Failure","5356 - 6110","14179"
"MS","127","Heart Failure","5322 - 6088","9211"
"MT","127","Heart Failure","5198 - 5709","1252"
"NC","127","Heart Failure","5645 - 6454","19286"
"ND","127","Heart Failure","5158 - 5688","1128"
"NE","127","Heart Failure","5460 - 6039","2340"
"NH","127","Heart Failure","6267 - 6584","2042"
"NJ","127","Heart Failure","6438 - 7823","23180"
"NM","127","Heart Failure","5548 - 6474","2020"
"NV","127","Heart Failure","6034 - 6964","2772"
"NY","127","Heart Failure","5881 - 9942","37969"
"OH","127","Heart Failure","5392 - 6135","28128"
"OK","127","Heart Failure","5276 - 5852","7925"
"OR","127","Heart Failure","6095 - 6573","3263"
"PA","127","Heart Failure","5401 - 6561","31498"
"PR","127","Heart Failure","3381 - 3775","2319"
"RI","127","Heart Failure","5874 - 7825","2376"
"SC","127","Heart Failure","5541 - 6146","9987"
"SD","127","Heart Failure","5335 - 5920","1184"
"TN","127","Heart Failure","5449 - 6159","16692"
"TX","127","Heart Failure","5573 - 6473","42512"
"UT","127","Heart Failure","5581 - 6194","1635"
"VA","127","Heart Failure","5335 - 5967","15330"
"VT","127","Heart Failure","6223 - 8278","696"
"WA","127","Heart Failure","6303 - 7043","7036"
"WI","127","Heart Failure","5656 - 6444","8176"
"WV","127","Heart Failure","5262 - 5788","6492"
"WY","127","Heart Failure","5650 - 6539","570"
"AK","143","Chest Pain","4357 - 4929","171"
"AL","143","Chest Pain","2811 - 3071","4749"
"AR","143","Chest Pain","2929 - 3228","1798"
"AZ","143","Chest Pain","3116 - 3565","2857"
"CA","143","Chest Pain","3666 - 4754","15397"
"CO","143","Chest Pain","3017 - 3486","1893"
"CT","143","Chest Pain","3762 - 4220","2801"
"DC","143","Chest Pain","4184 - 4643","601"
"DE","143","Chest Pain","3377 - 3729","654"
"FL","143","Chest Pain","2941 - 3229","16392"
"GA","143","Chest Pain","3031 - 3465","5109"
"HI","143","Chest Pain","3650 - 4267","334"
"IA","143","Chest Pain","2927 - 3078","1903"
"ID","143","Chest Pain","3069 - 3276","322"
"IL","143","Chest Pain","3138 - 3863","11623"
"IN","143","Chest Pain","2967 - 3226","3592"
"KS","143","Chest Pain","2804 - 3200","1734"
"KY","143","Chest Pain","3036 - 3416","3364"
"LA","143","Chest Pain","2926 - 3325","3270"
"MA","143","Chest Pain","3481 - 4486","6082"
"MD","143","Chest Pain","2589 - 4698","7790"
"ME","143","Chest Pain","3198 - 3563","857"
"MI","143","Chest Pain","3232 - 3862","8122"
"MN","143","Chest Pain","3238 - 3428","3194"
"MO","143","Chest Pain","2885 - 3344","4889"
"MS","143","Chest Pain","2896 - 3309","2485"
"MT","143","Chest Pain","2793 - 3172","547"
"NC","143","Chest Pain","3084 - 3558","8325"
"ND","143","Chest Pain","2809 - 3287","203"
"NE","143","Chest Pain","2938 - 3245","1005"
"NH","143","Chest Pain","3423 - 3590","559"
"NJ","143","Chest Pain","3482 - 4234","7584"
"NM","143","Chest Pain","3136 - 3735","933"
"NV","143","Chest Pain","3327 - 3785","1569"
"NY","143","Chest Pain","3644 - 5606","17272"
"OH","143","Chest Pain","2958 - 3325","9664"
"OK","143","Chest Pain","2873 - 3188","3740"
"OR","143","Chest Pain","3275 - 3557","995"
"PA","143","Chest Pain","3063 - 3643","11439"
"PR","143","Chest Pain","1817 - 1942","141"
"RI","143","Chest Pain","3329 - 4287","891"
"SC","143","Chest Pain","3013 - 3319","3294"
"SD","143","Chest Pain","3001 - 3181","247"
"TN","143","Chest Pain","2950 - 3273","4972"
"TX","143","Chest Pain","3020 - 3518","11255"
"UT","143","Chest Pain","3064 - 3330","579"
"VA","143","Chest Pain","2905 - 3206","5729"
"VT","143","Chest Pain","3344 - 4559","214"
"WA","143","Chest Pain","3414 - 3794","2230"
"WI","143","Chest Pain","3069 - 3506","2917"
"WV","143","Chest Pain","2853 - 3217","2108"
"WY","143","Chest Pain","3060 - 3822","343"
"AK","149","Major Small & Large Intestine Operations","11093 - 15347","24"
"AL","149","Major Small & Large Intestine Operations","7129 - 7828","304"
"AR","149","Major Small & Large Intestine Operations","7460 - 8131","234"
"AZ","149","Major Small & Large Intestine Operations","8060 - 9218","228"
"CA","149","Major Small & Large Intestine Operations","8961 - 11276","1215"
