"Provider Number","Hospital Name","State","Measure Code","Measure Name","Measure Response"
"'010055'","FLOWERS HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010056'","ST VINCENT'S BIRMINGHAM","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010058'","BIBB MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010059'","LAWRENCE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010061'","HIGHLANDS MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010062'","WIREGRASS MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010065'","RUSSELL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010066'","FLORALA MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010069'","MEDICAL CENTER BARBOUR","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010073'","CLAY COUNTY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010078'","NORTHEAST ALABAMA REGIONAL MED CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010079'","ATHENS-LIMESTONE HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010083'","SOUTH BALDWIN REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010085'","DECATUR GENERAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010086'","NORTHWEST MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010087'","UNIV OF SOUTH ALABAMA MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010089'","WALKER BAPTIST MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010090'","PROVIDENCE HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010091'","GROVE HILL MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010092'","D C H REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010095'","HALE COUNTY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010097'","ELMORE COMMUNITY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010099'","D W MCMILLAN MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010100'","THOMAS HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","No"
"'010101'","CITIZENS BAPTIST MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010102'","J PAUL JONES HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010103'","PRINCETON BAPTIST MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010104'","TRINITY MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","No"
"'010108'","PRATTVILLE BAPTIST HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010109'","PICKENS COUNTY MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010110'","BULLOCK COUNTY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010112'","BRYAN W WHITFIELD MEM HOSP INC","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010113'","MOBILE INFIRMARY","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010114'","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010118'","VAUGHAN REG MED CENTER PARKWAY CAMPUS","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010120'","MONROE COUNTY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010125'","LAKELAND COMMUNITY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010126'","TROY REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010128'","JACKSON MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010129'","NORTH BALDWIN INFIRMARY","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010130'","ST VINCENT'S ST CLAIR","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010131'","CRESTWOOD MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010137'","COOPER GREEN MERCY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010138'","HILL HOSPITAL OF SUMTER COUNTY","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010139'","BROOKWOOD MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010144'","SPRINGHILL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010145'","NORTHPORT MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010146'","JACKSONVILLE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010148'","EVERGREEN MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010149'","BAPTIST MEDICAL CENTER EAST","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010150'","L V STABLER MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010152'","INFIRMARY WEST","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010157'","SHOALS HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010158'","RUSSELLVILLE HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010164'","COOSA VALLEY MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010167'","UAB HIGHLANDS","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010168'","SUMMIT HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010169'","ATMORE COMMUNITY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'011300'","WASHINGTON COUNTY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'011302'","RED BAY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'011303'","RANDOLPH MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'020001'","PROVIDENCE ALASKA MEDICAL CENTER","AK","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'020006'","MAT-SU REGIONAL MEDICAL CENTER","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'020008'","BARTLETT REGIONAL HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'020012'","FAIRBANKS MEMORIAL HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'020017'","ALASKA REGIONAL HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'020018'","YUKON KUSKOKWIM DELTA REG HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'020024'","CENTRAL PENINSULA GENERAL HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'020026'","ALASKA NATIVE MEDICAL CENTER","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'020027'","MT EDGECUMBE HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'021302'","PROVIDENCE SEWARD HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'021303'","SITKA COMMUNITY HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'021305'","WRANGELL MEDICAL CENTER","AK","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'021306'","PROVIDENCE KODIAK ISLAND MEDICAL CTR","AK","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'021308'","NORTON SOUND REGIONAL HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'021311'","KETCHIKAN GENERAL HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'021313'","SOUTH PENINSULA HOSPITAL","AK","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030001'","MARYVALE HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030002'","BANNER GOOD SAMARITAN MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030006'","TUCSON MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030007'","VERDE VALLEY MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030010'","CARONDELET ST  MARYS HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030011'","CARONDELET ST JOSEPHS HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030012'","YAVAPAI REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030013'","YUMA REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030014'","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030016'","CASA GRANDE REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030022'","MARICOPA MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030023'","FLAGSTAFF MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030024'","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030030'","PHOENIX BAPTIST HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030033'","PAYSON REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030036'","CHANDLER REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030037'","ST LUKES MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","No"
"'030038'","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030043'","SIERRA VISTA REGIONAL HEALTH CENTER INC","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030055'","KINGMAN REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030061'","BANNER BOSWELL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030062'","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030064'","UNIVERSITY MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030065'","BANNER DESERT MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030067'","LA PAZ REGIONAL HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030068'","MT GRAHAM REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030069'","HAVASU REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030071'","FORT DEFIANCE INDIAN HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030073'","TUBA CITY REGIONAL HEALTH CARE CORPORATION","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030074'","SELLS INDIAN HEALTH SERVICE HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'030077'","PHS INDIAN HOSPITAL-SAN CARLOS","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030078'","PHOENIX INDIAN MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030083'","PARADISE VALLEY HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030084'","DHHS PHS NAIHS CHINLE COMPREHENSIVE HEALTHCARE FAC","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030085'","NORTHWEST MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030087'","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030088'","BANNER BAYWOOD MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030089'","BANNER THUNDERBIRD MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030092'","JOHN C LINCOLN DEER VALLEY HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030093'","BANNER DEL E WEBB MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030094'","ARROWHEAD HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030100'","CARONDELET HEART AND VASCULAR INSTITUTE","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030101'","WESTERN ARIZONA REGIONAL MEDICAL CTR","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030102'","ARIZONA HEART HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","No"
"'030103'","MAYO CLINIC HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030105'","BANNER HEART HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030107'","ARIZONA SPINE AND JOINT HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030108'","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030110'","WEST VALLEY HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030111'","UNIVERSITY PHYSICIANS HEALTHCARE HOSPITAL AT KINO","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030112'","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030114'","ORO VALLEY HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030115'","BANNER ESTRELLA MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'030117'","VALLEY VIEW MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030118'","YAVAPAI REGIONAL MEDICAL CENTER-EAST","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030119'","MERCY GILBERT MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030120'","GILBERT HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030121'","MOUNTAIN VISTA MEDICAL CENTER, LP","AZ","SM_PART_CARD","Cardiac Surgery Registry","No"
"'030122'","BANNER GATEWAY MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030123'","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030126'","ARIZONA REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'030128'","HUALAPAI MOUNTAIN MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'031301'","BENSON HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031302'","NORTHERN COCHISE COMMUNITY HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031303'","SOUTHEAST ARIZONA MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031304'","PAGE HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031305'","HOPI HEALTH CARE CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031309'","SAGE MEMORIAL HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031311'","LITTLE COLORADO MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031312'","COPPER QUEEN COMMUNITY HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031313'","CARONDELET HOLY CROSS HOSPITAL","AZ","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'031314'","COBRE VALLEY REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'031315'","WHITE MOUNTAIN REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac Surgery Registry","Not Available"
"'040001'","SILOAM SPRINGS MEMORIAL HOSPITAL","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040002'","JOHNSON REGIONAL MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040004'","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040007'","ST VINCENT INFIRMARY MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'040010'","MERCY MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040011'","JOHN ED CHAMBERS MEM HOSP, INC","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040014'","WHITE COUNTY MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'040015'","MENA REGIONAL HEALTH SYSTEM","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040016'","UAMS MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'040017'","NORTH ARKANSAS REGIONAL MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040018'","SUMMIT MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040019'","FORREST CITY MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040020'","ST BERNARDS MEDICAL CTR","AR","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'040022'","NW ARKANSAS HOSPITALS, LLC","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040026'","ST JOSEPHS MERCY HEALTH CENTER INC","AR","SM_PART_CARD","Cardiac Surgery Registry","No"
"'040027'","BAXTER REGIONAL MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'040029'","CONWAY REGIONAL MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'040036'","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","AR","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'040039'","ARKANSAS METHODIST MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'040041'","ST MARYS REGIONAL MEDICAL CENTER","AR","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
