"State","Condition","Measure Name","Category","Number of Hospitals"
"WA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"WV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"WI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"WY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"GU","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MP","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"Nation","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","163"
"AL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","92"
"AK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","16"
"AZ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","68"
"AR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","69"
"CA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","296"
"CO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","63"
"CT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","27"
"DE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","5"
"DC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","7"
"FL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","170"
"GA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","140"
"HI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","15"
"ID","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","31"
"IL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","158"
"IN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","111"
"IA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","109"
"KS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","113"
"KY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","84"
"LA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","93"
"ME","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","36"
"MD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","40"
"MA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","59"
"MI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","120"
"MN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","118"
"MS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","84"
"MO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","105"
"MT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","44"
"NE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","78"
"NV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","30"
"NH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","26"
"NJ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","62"
"NM","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","37"
"NY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","156"
"NC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","105"
"ND","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","42"
"OH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","148"
"OK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","102"
"OR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","55"
"PA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","149"
"PR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","36"
"RI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","8"
"SC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","55"
"SD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","48"
"TN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","103"
"TX","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","322"
"UT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","33"
"VT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","14"
"VI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","2"
"VA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","74"
"WA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","74"
"WV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","49"
"WI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","116"
"WY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","23"
"AS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","1"
"GU","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","1"
"MP","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","1"
"Nation","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","No different than U.S. National Rate","4223"
"AL","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","93"
"AK","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","9"
"AZ","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","60"
"AR","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","69"
"CA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","280"
"CO","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","53"
"CT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","29"
"DE","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","5"
"DC","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","5"
"FL","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","162"
"GA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","126"
"HI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","12"
"ID","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","24"
"IL","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","160"
"IN","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","105"
"IA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","101"
"KS","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","90"
"KY","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","83"
"LA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","85"
"ME","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","35"
"MD","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","37"
"MA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","56"
"MI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","112"
"MN","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","102"
"MS","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","78"
"MO","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","100"
"MT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","29"
"NE","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","54"
"NV","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","27"
"NH","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","22"
"NJ","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","50"
"NM","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","33"
"NY","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","155"
"NC","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","92"
"ND","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","31"
"OH","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","145"
"OK","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","87"
"OR","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","50"
"PA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","138"
"PR","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","35"
"RI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","8"
"SC","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","53"
"SD","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","28"
"TN","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","107"
"TX","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","303"
"UT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","23"
"VT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","12"
"VI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","2"
"VA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","73"
"WA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","63"
"WV","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","46"
"WI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","112"
"WY","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","18"
"AS","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","0"
"GU","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","1"
"MP","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","1"
"Nation","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","No different than U.S. National Rate","3869"
"AL","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"AK","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AZ","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AR","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"CA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"CO","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"CT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"DE","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"DC","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"FL","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"GA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"HI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"ID","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"IL","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","18"
"IN","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"IA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"KS","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"KY","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","11"
"LA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","9"
"ME","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MD","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"MA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"MI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"MN","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"MS","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"MO","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"MT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NE","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"NV","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NH","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NJ","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","22"
"NM","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NY","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","28"
"NC","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","6"
"ND","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"OH","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"OK","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"OR","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"PA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","12"
"PR","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"RI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"SC","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"SD","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"TN","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","5"
"TX","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","5"
"UT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VT","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"WA","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"WV","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"WI","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"WY","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AS","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"GU","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MP","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"Nation","Heart Failure","Heart failure (HF) 30-Day Readmission Rate","Worse than U.S. National Rate","193"
"AL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","1"
"AK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"AZ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"AR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"CA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"CO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"CT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"DE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"DC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"FL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","6"
"GA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"HI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"ID","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"IL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"IN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","5"
"IA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","4"
"KS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","1"
"KY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"LA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"ME","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"MD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"MA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"MI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","3"
"MN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"MS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"MO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"MT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"NE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"NV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"NH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"NJ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"NM","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","3"
"NY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"NC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"ND","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"OH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","1"
"OK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"OR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","1"
"PA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","4"
"PR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"RI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"SC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"SD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","1"
"TN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","1"
"TX","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","7"
"UT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","3"
"VT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"VI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"VA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","2"
"WA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","4"
"WV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"WI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","1"
"WY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"AS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"GU","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
"MP","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Better than U.S. National Rate","0"
