"State","Condition","Measure Code","Measure Name","Score"
"OR","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.2"
"PA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.2"
"PR","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","49.9"
"RI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.3"
"SC","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.4"
"SD","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.6"
"TN","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.0"
"TX","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.2"
"UT","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.7"
"VA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.5"
"VI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.3"
"VT","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.7"
"WA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.3"
"WI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.4"
"WV","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.8"
"WY","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.4"
"AK","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.081"
"AL","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.258"
"AR","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.208"
"AS","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","N/A"
"AZ","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.167"
"CA","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.228"
"CO","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.163"
"CT","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.120"
"DC","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.126"
"DE","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.258"
"FL","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.219"
"GA","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.151"
"GU","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","N/A"
"HI","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.114"
"IA","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.163"
"ID","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.121"
"IL","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.246"
"IN","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.237"
"KS","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.365"
"KY","Use of Medical Imaging","OP_10","Outpatient CT scans of the abdomen that were “combination” (double) scans. (The range for this measure is 0 to 1. A number very close to 1 may mean that too many patients are being given a double scan when a single scan is all they need.)","0.160"
