"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","Surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method","Number of Patients 7","Footnote 7","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","99","231","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","221","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","231","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","223","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","223","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","302","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","197","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","82","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","340","","99","341","","100","331","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","97","34","","91","33","","97","34","","90","52","","92","52","","Not Available","0","","100","66","","100","36","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","89","19","","68","19","","98","64",""
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","99","623","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","619","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","634","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","420","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","421","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","173","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","837","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","318","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","319","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","691","","100","678","","100","657","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","99","759","","98","750","","100","785","","98","596","","99","598","","94","249","","100","1134","","96","657","","99","416","","100","586","","98","586","","100","913",""
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","100","87","","98","87","","98","87","","93","107","","96","107","","Not Available","0","","100","147","","88","77","","94","32","","95","79","","96","75","","100","150",""
"010027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","100","960","","99","925","","99","974","","100","778","","100","778","","98","233","","100","1376","","100","749","","99","392","","99","741","","99","737","","100","1087",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","97","364","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","344","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","387","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","357","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","358","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","112","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","649","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","293","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","185","The hospital indicated that the data submitted for this measure were based on a sample of cases","73","484","","79","465","","100","554","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","100","233","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","233","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","233","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","248","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","248","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","364","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","167","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","111","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","168","","99","168","","100","363","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","99","156","","99","155","","98","156","","99","181","","99","181","","Not Available","0","","100","221","","99","145","","100","64","","100","42","","100","42","","100","230",""
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","99","114","","99","113","","99","115","","94","170","","96","170","","Not Available","0","","100","223","","94","122","","100","63","","99","118","","97","117","","100","246",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","96","597","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","574","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","605","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","447","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","448","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","163","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","900","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","315","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","300","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","990","","99","986","","100","730","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","100","651","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","597","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","659","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","565","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","565","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","182","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","952","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","464","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","279","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","301","","98","302","","100","757","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","85","13","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","100","15","","100","15","","80","15","","54","13","","53","15","","Not Available","0","","100","23","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","27",""
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","88","17","","100","17","","Not Available","0","","100","22","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","19",""
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","100","255","","97","226","","99","256","","96","296","","97","296","","98","49","","100","432","","98","292","","100","141","","90","122","","96","110","","100","380",""
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","100","363","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","358","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","364","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","459","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","172","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","84","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","247","","99","245","","100","460","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","94","36","","100","36","","100","36","","96","26","","96","26","","Not Available","0","","100","42","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","12","","95","19","","100","19","","100","42",""
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","96","139","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","137","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","140","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","133","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","133","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","198","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","78","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","32","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","50","","100","49","","100","203","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","100","943","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","889","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","953","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","748","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","748","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","179","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1345","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","667","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","340","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","429","","100","429","","100","1216","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","98","468","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","456","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","474","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","292","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","293","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","138","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","602","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","224","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","213","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","890","","94","934","","100","488","The hospital indicated that the data submitted for this measure were based on a sample of cases"
