"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Number of Patients 1","Footnote 1","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given Smoking Cessation Advice/Counseling","Number of Patients 3","Footnote 3","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4","Percent of Pneumonia Patients Assessed and Given Influenza Vaccination","Number of Patients 5","Footnote 5","Percent of Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Number of Patients 6","Footnote 6"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","","","UNION SPRINGS","AL","36089","BULLOCK","3347382140","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","","","DEMOPOLIS","AL","36732","MARENGO","3342894000","92","66","","93","15","","92","26","","65","52","","44","18","","40","48",""
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","","","MOBILE","AL","36652","MOBILE","2514354700","91","106","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","78","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","41","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","50","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","127","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","","","BESSEMER","AL","35021","JEFFERSON","2054817000","98","182","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","190","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","111","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","128","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","76","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","157","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","","","SELMA","AL","36701","DALLAS","3344184100","99","134","","98","129","","100","51","","97","100","","100","45","","100","119",""
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","","","MONROEVILLE","AL","36461","MONROE","2515753111","Not Available","0","","98","50","","100","17","","90","40","","100","18","","96","53",""
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","","","HALEYVILLE","AL","35565","WINSTON","2054857117","97","119","","95","75","","100","55","","97","98","","98","40","","99","88",""
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","","","TROY","AL","36081","PIKE","3346705000","100","70","","95","73","","92","25","","91","32","","87","15","","82","60",""
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","","","JACKSON","AL","36545","CLARKE","2512469021","100","23","","92","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","21","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","87","15",""
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","","","BAY MINETTE","AL","36507","BALDWIN","2519375521","97","65","","97","67","","100","15","","80","40","","94","18","","85","62",""
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","","","PELL CITY","AL","35125","SAINT CLAIR","2053383301","99","122","","99","86","","100","47","","93","83","","94","36","","99","80",""
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","","","HUNTSVILLE","AL","35801","MADISON","2568823100","100","187","","99","101","","100","65","","99","143","","100","47","","100","166",""
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","","","BIRMINGHAM","AL","35233","JEFFERSON","2059303200","66","53","","92","50","","100","35","","91","32","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","","","YORK","AL","36925","SUMTER","2053925263","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","","","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","96","244","","100","348","","100","117","","96","182","","100","79","","100","274",""
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","","MOBILE","AL","36608","MOBILE","2513449630","98","133","","100","129","","100","56","","100","129","","100","44","","100","118",""
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","","","JACKSONVILLE","AL","36265","CALHOUN","2567824538","91","64","","91","44","","100","20","","89","45","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","36",""
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","","","EVERGREEN","AL","36401","CONECUH","2515782480","91","32","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","19","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","9","The hospital indicated that the data submitted for this measure were based on a sample of cases","69","16","The hospital indicated that the data submitted for this measure were based on a sample of cases","57","14","The hospital indicated that the data submitted for this measure were based on a sample of cases","69","36","The hospital indicated that the data submitted for this measure were based on a sample of cases"
