"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Number of Patients 1","Footnote 1","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Number of Patients 2","Footnote 2","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Number of Patients 3","Footnote 3"
"453301","DRISCOLL CHILDRENS HOSPITAL","3533 S ALAMEDA BOX 6530","","","CORPUS CHRISTI","TX","78411","NUECES","5128505000","100","174","","99","174","","83","174",""
"463301","PRIMARY CHILDRENS MEDICAL CENTER","100 NORTH MARIO CAPECCHI DRIVE","","","SALT LAKE CITY","UT","84113","SALT LAKE","8016626200","100","372","","99","371","","92","372",""
"033302","PHOENIX CHILDREN'S HOSPITAL","1919 EAST THOMAS ROAD","","","PHOENIX","AZ","85016","MARICOPA","6029330400","100","285","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","285","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","","","EL CENTRO","CA","92243","IMPERIAL","7603397100","100","24","The number of cases is too small to reliably tell how well a hospital is performing","100","24","The number of cases is too small to reliably tell how well a hospital is performing","71","24","The number of cases is too small to reliably tell how well a hospital is performing"
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","","","SAN FRANCISCO","CA","94110","SAN FRANCISCO","4156416562","100","15","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing","79","14","The number of cases is too small to reliably tell how well a hospital is performing"
"050283","VALLEYCARE MEDICAL CENTER","5555 WEST LAS POSITAS BOULEVARD","","","PLEASANTON","CA","94588","ALAMEDA","9254477000","100","23","The number of cases is too small to reliably tell how well a hospital is performing","100","23","The number of cases is too small to reliably tell how well a hospital is performing","57","21","The number of cases is too small to reliably tell how well a hospital is performing"
"053302","CHILDREN'S HOSP OF LOS ANGELES","4650 SUNSET BLVD","","","LOS ANGELES","CA","90027","LOS ANGELES","3236692164","100","166","","99","166","","89","163",""
"140088","THE UNIVERSITY OF CHICAGO MEDICAL CENTER","5841 SOUTH MARYLAND","","","CHICAGO","IL","60637","COOK","7737021000","100","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","57","226","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150161","INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","11700 N MERIDIAN ST","","","CARMEL","IN","46032","HAMILTON","3176882000","100","73","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","73","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","72","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"170123","WESLEY MEDICAL CENTER","550 N HILLSIDE ST","","","WICHITA","KS","67214","SEDGWICK","3169622000","100","135","","100","135","","97","135",""
"180018","ST CLAIRE REGIONAL MEDICAL CENTER","222 MEDICAL CIRCLE","","","MOREHEAD","KY","40351","ROWAN","6067836500","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"180067","UNIVERSITY OF KENTUCKY HOSPITAL","800 ROSE STREET","","","LEXINGTON","KY","40536","FAYETTE","8593235220","100","116","","98","114","","83","116",""
"180088","NORTON HOSPITALS, INC","200 EAST CHESTNUT STREET","","","LOUISVILLE","KY","40202","JEFFERSON","5026296560","100","575","","100","574","","92","574",""
"190002","LAFAYETTE GENERAL MEDICAL CENTER","1214 COOLIDGE AVENUE","","","LAFAYETTE","LA","70503","LAFAYETTE","3372897991","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","13","The number of cases is too small to reliably tell how well a hospital is performing","0","13","The number of cases is too small to reliably tell how well a hospital is performing"
"190125","ST FRANCIS MEDICAL CENTER","309 JACKSON STREET","","","MONROE","LA","71201","OUACHITA","3189664000","100","48","","98","48","","85","48",""
"210003","PRINCE GEORGES HOSPITAL CENTER","3001 HOSPITAL DRIVE","","","CHEVERLY","MD","20785","PRINCE GEORGES","3016182000","100","14","The number of cases is too small to reliably tell how well a hospital is performing","93","14","The number of cases is too small to reliably tell how well a hospital is performing","8","13","The number of cases is too small to reliably tell how well a hospital is performing"
"210033","CARROLL HOSPITAL CENTER","200 MEMORIAL AVE","","","WESTMINSTER","MD","21157","CARROLL","4108716900","100","26","","100","26","","83","23","The number of cases is too small to reliably tell how well a hospital is performing"
"210043","BALTIMORE WASHINGTON  MEDICAL CENTER","301 HOSPITAL DR","","","GLEN BURNIE","MD","21061","ANNE ARUNDEL","4107874400","100","63","","98","63","","98","59",""
"220077","BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET","","","SPRINGFIELD","MA","01199","HAMPDEN","4137940000","100","93","","100","92","","87","95",""
"223302","BOSTON CHILDREN'S HOSPITAL","300 LONGWOOD AVENUE","","","BOSTON","MA","02115","SUFFOLK","6177356000","100","363","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","363","The hospital indicated that the data submitted for this measure were based on a sample of cases","77","362","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230030","MIDMICHIGAN MEDICAL CENTER-GRATIOT","300 E WARWICK DR","","","ALMA","MI","48801","GRATIOT","9894631101","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","13","The number of cases is too small to reliably tell how well a hospital is performing","18","11","The number of cases is too small to reliably tell how well a hospital is performing"
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","","","GRAND RAPIDS","MI","49503","KENT","6163911774","100","186","","99","186","","95","186",""
"233300","CHILDREN'S HOSPITAL OF MICHIGAN","3901 BEAUBIEN","","","DETROIT","MI","48201","WAYNE","3137455437","100","336","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","336","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","335","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"240004","HENNEPIN COUNTY MEDICAL CENTER","701 PARK AVENUE","","","MINNEAPOLIS","MN","55415","HENNEPIN","6128733000","100","26","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","26","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","25",""
"240075","ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","523 NORTH 3RD STREET","","","BRAINERD","MN","56401","CROW WING","2188292861","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","","","MINNEAPOLIS","MN","55454","HENNEPIN","6122733000","100","28","","96","28","","68","28",""
"243302","CHILDREN'S HOSPITALS & CLINICS OF MN","2525 CHICAGO AVENUE SOUTH","","","MINNEAPOLIS","MN","55404","HENNEPIN","6128136112","100","286","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","286","The hospital indicated that the data submitted for this measure were based on a sample of cases","73","286","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250001","UNIVERSITY OF MISSISSIPPI MED CENTER","2500 N STATE ST","","","JACKSON","MS","39216","HINDS","6019844100","100","181","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","181","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","181","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","","","NEW YORK","NY","10021","NEW YORK","2127464189","100","353","","100","353","","66","353","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","","","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","100","56","","96","53","","36","56",""
"340015","ROWAN REGIONAL MEDICAL CENTER","612 MOCKSVILLE AVE","","","SALISBURY","NC","28144","ROWAN","7042105000","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","12","The number of cases is too small to reliably tell how well a hospital is performing"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","","","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","100","101","","100","101","","80","101","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340053","PRESBYTERIAN HOSPITAL","200 HAWTHORNE LANE BOX 33549","","","CHARLOTTE","NC","28233","MECKLENBURG","7043844000","100","133","","100","133","","96","133",""
"340085","THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","","","THOMASVILLE","NC","27360","DAVIDSON","3364722000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","","","CHARLOTTE","NC","28203","MECKLENBURG","7043552000","100","417","","100","414","","93","415",""
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","","","PINEHURST","NC","28374","MOORE","9107151000","100","61","","100","61","","87","61",""
"340126","WILSON MEDICAL CENTER","1705 S TARBORO ST","","","WILSON","NC","27893","WILSON","2523998040","100","19","The number of cases is too small to reliably tell how well a hospital is performing","100","19","The number of cases is too small to reliably tell how well a hospital is performing","100","18","The number of cases is too small to reliably tell how well a hospital is performing"
"360068","TOLEDO HOSPITAL THE","2142 NORTH COVE BOULEVARD","","","TOLEDO","OH","43606","LUCAS","4192917463","100","151","","99","150","","97","151",""
"360084","AULTMAN HOSPITAL","2600 SIXTH STREET SW","","","CANTON","OH","44710","STARK","3304529911","100","18","The number of cases is too small to reliably tell how well a hospital is performing","100","18","The number of cases is too small to reliably tell how well a hospital is performing","88","17","The number of cases is too small to reliably tell how well a hospital is performing"
"360123","ST JOHN MEDICAL CENTER","29000 CENTER RIDGE ROAD","","","WESTLAKE","OH","44145","CUYAHOGA","4408358000","100","47","","100","47","","80","44",""
"360137","UNIVERSITY HOSPITALS OF CLEVELAND","11100 EUCLID AVENUE","","","CLEVELAND","OH","44106","CUYAHOGA","2168441000","100","431","","100","429","","98","430",""
"360180","CLEVELAND CLINIC","9500 EUCLID AVENUE","","","CLEVELAND","OH","44195","CUYAHOGA","2164442200","100","95","","100","93","","95","94",""
"370093","O U MEDICAL CENTER","1200 EVERETT DRIVE","","","OKLAHOMA CITY","OK","73117","OKLAHOMA","4052715151","100","300","","100","301","","92","300",""
"380007","LEGACY EMANUEL MEDICAL CENTER","2801 N GANTENBEIN AVENUE","","","PORTLAND","OR","97227","MULTNOMAH","5034132200","100","140","","100","140","","86","140",""
"390049","ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET","","","BETHLEHEM","PA","18015","NORTHAMPTON","6109544000","100","54","","100","54","","96","54",""
"393302","CHILDREN'S HOSPITAL OF PITTSBURGH OF UPMC","4401 PENN AVENUE","","","PITTSBURGH","PA","15224","ALLEGHENY","4126925325","100","450","","99","451","","75","450",""
"490021","CENTRA  HEALTH, INC","1920 ATHERHOLT ROAD","","","LYNCHBURG","VA","24501","LYNCHBURG CITY","4342004789","100","67","","100","67","","90","61",""
"490022","MARY WASHINGTON HOSPITAL, INC","1001 SAM PERRY BOULEVARD","","","FREDERICKSBURG","VA","22401","FREDERICKSBURG CITY","5407411100","100","85","","99","85","","69","81",""
"490063","INOVA FAIRFAX HOSPITAL","3300 GALLOWS RD","","","FALLS CHURCH","VA","22042","FAIRFAX","7037763332","100","205","","100","204","","91","204",""
"500079","MULTICARE GOOD SAMARITAN HOSPITAL","401 15TH AVENUE SE","","","PUYALLUP","WA","98372","PIERCE","2536972102","100","38","","100","37","","84","37",""
"013301","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","1700 CENTER STREET","","","MOBILE","AL","36604","MOBILE","2514151000","100","136","","100","136","","71","136","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","","","JONESBORO","AR","72401","CRAIGHEAD","8709727000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","","","SAN FRANCISCO","CA","94115","SAN FRANCISCO","4156006000","100","46","","100","46","","91","46",""
"140276","LOYOLA UNIVERSITY MEDICAL CENTER","2160 S 1ST AVENUE","","","MAYWOOD","IL","60153","COOK","7082169000","100","172","","100","164","","77","171",""
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET","","","KALAMAZOO","MI","49007","KALAMAZOO","2693416000","100","92","","99","92","","78","92",""
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","","","SAINT LOUIS","MO","63141","SAINT LOUIS","3145696000","100","190","","100","190","","83","190",""
"260091","SSM ST MARYS HEALTH CENTER","6420 CLAYTON RD","","","RICHMOND HEIGHTS","MO","63117","SAINT LOUIS","3147688000","100","330","","100","330","","99","330",""
"393303","CHILDREN'S HOSPITAL OF PHILADELPHIA","34TH ST & CIVIC CENTER BLVD","","","PHILADELPHIA","PA","19104","PHILADELPHIA","2155903745","100","509","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","508","The hospital indicated that the data submitted for this measure were based on a sample of cases","68","508","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"420004","MUSC MEDICAL CENTER","169 ASHLEY AVE","","","CHARLESTON","SC","29425","CHARLESTON","8437922300","100","171","","99","171","","96","170",""
"420039","WALLACE THOMSON HOSPITAL","322 W SOUTH ST PO BOX 789","","","UNION","SC","29379","UNION","8644270351","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"420043","UPSTATE CAROLINA MEDICAL CENTER","1530 N LIMESTONE ST","","","GAFFNEY","SC","29340","CHEROKEE","8644874271","100","27","","93","27","","81","27",""
"430027","SANFORD USD MEDICAL CENTER","1305 W 18TH ST  PO BOX 5039","","","SIOUX FALLS","SD","57117","MINNEHAHA","6053331000","99","68","","99","69","","99","67",""
"440049","METHODIST HEALTHCARE MEMPHIS HOSPITALS","1265 UNION AVE SUITE 700","","","MEMPHIS","TN","38104","SHELBY","9015168274","100","347","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","346","The hospital indicated that the data submitted for this measure were based on a sample of cases","81","344","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"440063","JOHNSON CITY MEDICAL CENTER","400 N STATE OF FRANKLIN RD","","","JOHNSON CITY","TN","37604","WASHINGTON","4234316111","100","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","57","96","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","","","LONGVIEW","TX","75601","GREGG","9033152000","100","28","","89","28","","72","25",""
"450058","BAPTIST MEDICAL CENTER","111 DALLAS STREET","","","SAN ANTONIO","TX","78205","BEXAR","2102971020","100","273","","99","273","","91","273",""
"450068","MEMORIAL HERMANN TEXAS MEDICAL CENTER","6411 FANNIN","","","HOUSTON","TX","77030","HARRIS","7137043700","100","208","","99","204","","94","207",""
"490009","UNIVERSITY OF VIRGINIA MEDICAL CENTER","JEFFERSON PARK AVE","","","CHARLOTTESVILLE","VA","22908","CHARLOTTESVILLE CITY","8002513627","97","37","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","35","The hospital indicated that the data submitted for this measure were based on a sample of cases","49","37","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"490098","COMMUNITY MEMORIAL HEALTHCENTER, INC","125 BUENA VISTA CIRCLE","","","SOUTH HILL","VA","23970","MECKLENBURG","4344473151","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"500024","PROVIDENCE ST PETER HOSPITAL","413 LILLY ROAD NE","","","OLYMPIA","WA","98506","THURSTON","3604919480","100","31","","100","31","","53","30",""
"500054","PROVIDENCE SACRED HEART MEDICAL CENTER","101 WEST 8TH AVENUE","","","SPOKANE","WA","99204","SPOKANE","5094743040","100","97","","100","97","","59","97",""
"503300","SEATTLE CHILDREN'S HOSPITAL","4800 SAND POINT WAY NE/BOX C-5371","","","SEATTLE","WA","98105","KING","2065262000","100","384","","100","383","","64","382",""
