"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Number of Patients 4","Footnote 4"
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","84","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","86","21","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","71","38","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","85","33","","100","12",""
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","97","65","","76","17","","78","45","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","100","286","","100","79","","100","224","","99","71",""
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","73","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","86","29","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","100","44","","100","21","","95","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","100","43","","100","11","","100","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","74","34","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","52","29","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","57","23","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","69","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","100","115","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","32","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","99","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","23","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","100","276","","100","75","","96","234","","100","55",""
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","99","399","","96","134","","97","345","","100","59",""
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","56","9","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","2","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","33","6","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","5","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","100","39","","91","11","","75","36","","100","16",""
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","94","49","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","18","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","41","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","13","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","96","55","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","43","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","100","91","","84","25","","94","72","","100","12",""
"010066","FLORALA MEMORIAL HOSPITAL","24273 FIFTH AVENUE","","","FLORALA","AL","36442","COVINGTON","3348583287","85","20","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","16","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","4","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","","","EUFAULA","AL","36027","BARBOUR","3346887271","92","66","","95","20","","86","64","","92","12",""
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","","","ASHLAND","AL","36251","CLAY","2563542131","96","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","53","17","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","99","457","","95","128","","87","361","","100","110",""
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","","","ATHENS","AL","35611","LIMESTONE","2562339292","97","107","","100","33","","84","83","","100","20",""
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","","","FOLEY","AL","36535","BALDWIN","2519493400","100","208","","100","41","","100","183","","100","32",""
"010085","DECATUR GENERAL HOSPITAL","1201 7TH STREET SE","","","DECATUR","AL","35609","MORGAN","2563412000","97","235","","96","68","","98","206","","100","43",""
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","","","WINFIELD","AL","35594","MARION","2054877736","100","37","","92","13","","100","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","","","MOBILE","AL","36617","MOBILE","2514717110","100","112","","100","73","","99","110","","100","59",""
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","","","JASPER","AL","35502","WALKER","2053874000","100","188","","100","53","","100","149","","100","53",""
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","","","MOBILE","AL","36608","MOBILE","2516331000","100","357","","97","79","","96","298","","100","74",""
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","","","GROVE HILL","AL","36451","CLARKE","2512753191","76","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","55","20","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","","","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","100","289","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","244","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","69","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","","","GREENSBORO","AL","36744","HALE","3346243024","48","21","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","18","17","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","","","WETUMPKA","AL","36092","ELMORE","3345674311","53","32","The hospital indicated that the data submitted for this measure were based on a sample of cases","33","9","The hospital indicated that the data submitted for this measure were based on a sample of cases","16","25","The hospital indicated that the data submitted for this measure were based on a sample of cases","78","9","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","","","BREWTON","AL","36426","ESCAMBIA","2518678061","100","51","","95","22","","91","45","","100","12",""
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","","","FAIRHOPE","AL","36532","BALDWIN","2519282375","100","226","","100","54","","99","204","","100","42",""
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","","","TALLADEGA","AL","35161","TALLADEGA","2567614542","100","114","","100","50","","92","96","","100","19",""
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","","","CAMDEN","AL","36726","WILCOX","3346824131","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","","","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","100","479","","100","180","","91","415","","100","109",""
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","","","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","100","289","","100","97","","97","256","","100","44",""
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","","","PRATTVILLE","AL","36067","AUTAUGA","3343614267","100","98","","100","26","","100","83","","100","24",""
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","","","CARROLLTON","AL","35447","PICKENS","2053678111","100","48","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","22","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","41","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","8","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","","","UNION SPRINGS","AL","36089","BULLOCK","3347382140","57","23","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","35","20","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","","","DEMOPOLIS","AL","36732","MARENGO","3342894000","43","92","","67","12","","88","82","","90","20",""
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","","","MOBILE","AL","36652","MOBILE","2514354700","100","294","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","94","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","250","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","79","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","","","BESSEMER","AL","35021","JEFFERSON","2054817000","98","289","","91","90","","86","244","","100","78",""
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","","","SELMA","AL","36701","DALLAS","3344184100","100","381","","100","205","","100","320","","100","74",""
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","","","MONROEVILLE","AL","36461","MONROE","2515753111","100","44","","75","16","","100","34","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","","","HALEYVILLE","AL","35565","WINSTON","2054857117","100","58","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","76","49","","100","16",""
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","","","TROY","AL","36081","PIKE","3346705000","100","78","","78","23","","82","56","","92","12",""
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","","","JACKSON","AL","36545","CLARKE","2512469021","100","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","","","BAY MINETTE","AL","36507","BALDWIN","2519375521","91","32","","85","13","","85","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","","","PELL CITY","AL","35125","SAINT CLAIR","2053383301","93","69","","93","15","","100","67","","100","16",""
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","","","HUNTSVILLE","AL","35801","MADISON","2568823100","100","210","","100","55","","90","175","","100","33",""
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","","","BIRMINGHAM","AL","35233","JEFFERSON","2059303200","100","87","","95","58","","76","84","","100","29",""
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","","","YORK","AL","36925","SUMTER","2053925263","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","","","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","100","331","","100","115","","100","289","","100","46",""
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","","MOBILE","AL","36608","MOBILE","2513449630","99","364","","98","117","","96","315","","100","47",""
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","","","JACKSONVILLE","AL","36265","CALHOUN","2567824538","83","35","","100","13","","79","24","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","","","EVERGREEN","AL","36401","CONECUH","2515782480","81","101","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","76","92","","100","17",""
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","","","MONTGOMERY","AL","36117","MONTGOMERY","3342448330","100","214","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","39","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","189","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","29","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","","","GREENVILLE","AL","36037","BUTLER","3343822200","100","55","","100","16","","100","49","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010152","INFIRMARY WEST","5600 GIRBY RD","","","MOBILE","AL","36693","MOBILE","2516605236","95","44","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","33","","100","15",""
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","","","MUSCLE SHOALS","AL","35661","COLBERT","2563861601","98","49","","80","15","","67","33","","94","16",""
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","","","RUSSELLVILLE","AL","35653","FRANKLIN","2563321611","100","54","","100","12","","98","42","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","","","SYLACAUGA","AL","35150","TALLADEGA","2562495000","99","122","","100","41","","86","77","","100","25",""
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","","","PHENIX CITY","AL","36867","RUSSELL","3347323000","83","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","","","ATMORE","AL","36502","ESCAMBIA","2513682500","100","105","","93","30","","96","81","","100","26",""
"011300","WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE","","","CHATOM","AL","36518","WASHINGTON","2518472223","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"011302","RED BAY HOSPITAL","211 HOSPITAL ROAD","","","RED BAY","AL","35582","FRANKLIN","2563569532","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"013301","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","1700 CENTER STREET","","","MOBILE","AL","36604","MOBILE","2514151000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","","","ANCHORAGE","AK","99519","ANCHORAGE","9072613675","99","304","","98","132","","98","292","","100","78",""
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","","","PALMER","AK","99645","MATANUSKA SUSITNA","9077468600","100","74","","97","31","","100","68","","100","20",""
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","","","JUNEAU","AK","99801","JUNEAU","9077968900","100","26","","100","12","","96","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","","","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","100","75","","100","27","","99","71","","100","15",""
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","","","ANCHORAGE","AK","99508","ANCHORAGE","9072761131","98","56","","100","17","","98","52","","100","18",""
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","","","BETHEL","AK","99559","BETHEL","9075436300","86","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","36","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","","","SOLDOTNA","AK","99669","KENAI PENINSULA","9072624404","100","41","","100","13","","93","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
