"State","Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases","Footnote"
"VI","Acute myocardial infarction, discharged alive w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Acute myocardial infarction, discharged alive w/o CC/MCC","","","89",""
"WA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","492",""
"WI","Acute myocardial infarction, discharged alive w/o CC/MCC","","","433",""
"WV","Acute myocardial infarction, discharged alive w/o CC/MCC","","","365",""
"WY","Acute myocardial infarction, discharged alive w/o CC/MCC","","","46",""
"AK","Acute myocardial infarction, discharged alive w MCC","","","51",""
"AL","Acute myocardial infarction, discharged alive w MCC","","","1226",""
"AR","Acute myocardial infarction, discharged alive w MCC","","","740",""
"AZ","Acute myocardial infarction, discharged alive w MCC","","","752",""
"CA","Acute myocardial infarction, discharged alive w MCC","","","4954",""
"CO","Acute myocardial infarction, discharged alive w MCC","","","369",""
"CT","Acute myocardial infarction, discharged alive w MCC","","","1079",""
"DC","Acute myocardial infarction, discharged alive w MCC","","","195",""
"DE","Acute myocardial infarction, discharged alive w MCC","","","234",""
"FL","Acute myocardial infarction, discharged alive w MCC","","","5065",""
"GA","Acute myocardial infarction, discharged alive w MCC","","","1728",""
"GU","Acute myocardial infarction, discharged alive w MCC","","","28",""
"HI","Acute myocardial infarction, discharged alive w MCC","","","233",""
"IA","Acute myocardial infarction, discharged alive w MCC","","","749",""
"ID","Acute myocardial infarction, discharged alive w MCC","","","142",""
"IL","Acute myocardial infarction, discharged alive w MCC","","","3148",""
"IN","Acute myocardial infarction, discharged alive w MCC","","","1577",""
"KS","Acute myocardial infarction, discharged alive w MCC","","","469",""
"KY","Acute myocardial infarction, discharged alive w MCC","","","1627",""
"LA","Acute myocardial infarction, discharged alive w MCC","","","801",""
"MA","Acute myocardial infarction, discharged alive w MCC","","","2029",""
"MD","Acute myocardial infarction, discharged alive w MCC","","","1169",""
"ME","Acute myocardial infarction, discharged alive w MCC","","","564",""
"MI","Acute myocardial infarction, discharged alive w MCC","","","3656",""
"MN","Acute myocardial infarction, discharged alive w MCC","","","842",""
"MO","Acute myocardial infarction, discharged alive w MCC","","","1472",""
"MP","Acute myocardial infarction, discharged alive w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Acute myocardial infarction, discharged alive w MCC","","","878",""
"MT","Acute myocardial infarction, discharged alive w MCC","","","69",""
"NC","Acute myocardial infarction, discharged alive w MCC","","","2931",""
"ND","Acute myocardial infarction, discharged alive w MCC","","","179",""
"NE","Acute myocardial infarction, discharged alive w MCC","","","279",""
"NH","Acute myocardial infarction, discharged alive w MCC","","","367",""
"NJ","Acute myocardial infarction, discharged alive w MCC","","","3213",""
"NM","Acute myocardial infarction, discharged alive w MCC","","","212",""
"NV","Acute myocardial infarction, discharged alive w MCC","","","296",""
"NY","Acute myocardial infarction, discharged alive w MCC","","","4921",""
"OH","Acute myocardial infarction, discharged alive w MCC","","","2775",""
"OK","Acute myocardial infarction, discharged alive w MCC","","","814",""
"OR","Acute myocardial infarction, discharged alive w MCC","","","510",""
"PA","Acute myocardial infarction, discharged alive w MCC","","","3668",""
"PR","Acute myocardial infarction, discharged alive w MCC","","","308",""
"RI","Acute myocardial infarction, discharged alive w MCC","","","335",""
"SC","Acute myocardial infarction, discharged alive w MCC","","","1153",""
"SD","Acute myocardial infarction, discharged alive w MCC","","","191",""
"TN","Acute myocardial infarction, discharged alive w MCC","","","2241",""
"TX","Acute myocardial infarction, discharged alive w MCC","","","4590",""
"UT","Acute myocardial infarction, discharged alive w MCC","","","115",""
"VA","Acute myocardial infarction, discharged alive w MCC","","","1831",""
"VI","Acute myocardial infarction, discharged alive w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Acute myocardial infarction, discharged alive w MCC","","","102",""
"WA","Acute myocardial infarction, discharged alive w MCC","","","953",""
"WI","Acute myocardial infarction, discharged alive w MCC","","","1032",""
"WV","Acute myocardial infarction, discharged alive w MCC","","","726",""
"WY","Acute myocardial infarction, discharged alive w MCC","","","43",""
"AK","Acute myocardial infarction, discharged alive w CC","","","59",""
"AL","Acute myocardial infarction, discharged alive w CC","","","854",""
"AR","Acute myocardial infarction, discharged alive w CC","","","504",""
"AZ","Acute myocardial infarction, discharged alive w CC","","","636",""
"CA","Acute myocardial infarction, discharged alive w CC","","","3063",""
"CO","Acute myocardial infarction, discharged alive w CC","","","372",""
"CT","Acute myocardial infarction, discharged alive w CC","","","700",""
"DC","Acute myocardial infarction, discharged alive w CC","","","138",""
"DE","Acute myocardial infarction, discharged alive w CC","","","134",""
"FL","Acute myocardial infarction, discharged alive w CC","","","3501",""
"GA","Acute myocardial infarction, discharged alive w CC","","","1364",""
"GU","Acute myocardial infarction, discharged alive w CC","","","19",""
"HI","Acute myocardial infarction, discharged alive w CC","","","157",""
"IA","Acute myocardial infarction, discharged alive w CC","","","503",""
"ID","Acute myocardial infarction, discharged alive w CC","","","116",""
"IL","Acute myocardial infarction, discharged alive w CC","","","1986",""
"IN","Acute myocardial infarction, discharged alive w CC","","","1136",""
"KS","Acute myocardial infarction, discharged alive w CC","","","362",""
"KY","Acute myocardial infarction, discharged alive w CC","","","1041",""
"LA","Acute myocardial infarction, discharged alive w CC","","","612",""
"MA","Acute myocardial infarction, discharged alive w CC","","","1325",""
"MD","Acute myocardial infarction, discharged alive w CC","","","1465",""
"ME","Acute myocardial infarction, discharged alive w CC","","","515",""
"MI","Acute myocardial infarction, discharged alive w CC","","","2300",""
"MN","Acute myocardial infarction, discharged alive w CC","","","691",""
"MO","Acute myocardial infarction, discharged alive w CC","","","975",""
"MP","Acute myocardial infarction, discharged alive w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Acute myocardial infarction, discharged alive w CC","","","634",""
"MT","Acute myocardial infarction, discharged alive w CC","","","84",""
"NC","Acute myocardial infarction, discharged alive w CC","","","1925",""
"ND","Acute myocardial infarction, discharged alive w CC","","","104",""
"NE","Acute myocardial infarction, discharged alive w CC","","","266",""
"NH","Acute myocardial infarction, discharged alive w CC","","","319",""
"NJ","Acute myocardial infarction, discharged alive w CC","","","1911",""
"NM","Acute myocardial infarction, discharged alive w CC","","","189",""
"NV","Acute myocardial infarction, discharged alive w CC","","","262",""
"NY","Acute myocardial infarction, discharged alive w CC","","","3085",""
"OH","Acute myocardial infarction, discharged alive w CC","","","1852",""
"OK","Acute myocardial infarction, discharged alive w CC","","","695",""
"OR","Acute myocardial infarction, discharged alive w CC","","","398",""
"PA","Acute myocardial infarction, discharged alive w CC","","","2274",""
"PR","Acute myocardial infarction, discharged alive w CC","","","269",""
"RI","Acute myocardial infarction, discharged alive w CC","","","226",""
"SC","Acute myocardial infarction, discharged alive w CC","","","830",""
"SD","Acute myocardial infarction, discharged alive w CC","","","126",""
"TN","Acute myocardial infarction, discharged alive w CC","","","1440",""
"TX","Acute myocardial infarction, discharged alive w CC","","","3014",""
"UT","Acute myocardial infarction, discharged alive w CC","","","122",""
"VA","Acute myocardial infarction, discharged alive w CC","","","1414",""
"VI","Acute myocardial infarction, discharged alive w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Acute myocardial infarction, discharged alive w CC","","","104",""
"WA","Acute myocardial infarction, discharged alive w CC","","","730",""
"WI","Acute myocardial infarction, discharged alive w CC","","","725",""
"WV","Acute myocardial infarction, discharged alive w CC","","","582",""
"WY","Acute myocardial infarction, discharged alive w CC","","","63",""
"AK","Heart failure and shock w/o CC/MCC","","","95",""
"AL","Heart failure and shock w/o CC/MCC","","","2147",""
"AR","Heart failure and shock w/o CC/MCC","","","1439",""
"AS","Heart failure and shock w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Heart failure and shock w/o CC/MCC","","","982",""
"CA","Heart failure and shock w/o CC/MCC","","","5411",""
"CO","Heart failure and shock w/o CC/MCC","","","630",""
"CT","Heart failure and shock w/o CC/MCC","","","1196",""
"DC","Heart failure and shock w/o CC/MCC","","","378",""
"DE","Heart failure and shock w/o CC/MCC","","","295",""
"FL","Heart failure and shock w/o CC/MCC","","","6806",""
"GA","Heart failure and shock w/o CC/MCC","","","2533",""
"GU","Heart failure and shock w/o CC/MCC","","","18",""
"HI","Heart failure and shock w/o CC/MCC","","","153",""
"IA","Heart failure and shock w/o CC/MCC","","","891",""
"ID","Heart failure and shock w/o CC/MCC","","","158",""
"IL","Heart failure and shock w/o CC/MCC","","","4973",""
"IN","Heart failure and shock w/o CC/MCC","","","2596",""
"KS","Heart failure and shock w/o CC/MCC","","","763",""
"KY","Heart failure and shock w/o CC/MCC","","","2376",""
"LA","Heart failure and shock w/o CC/MCC","","","2333",""
"MA","Heart failure and shock w/o CC/MCC","","","2729",""
"MD","Heart failure and shock w/o CC/MCC","","","2209",""
"ME","Heart failure and shock w/o CC/MCC","","","431",""
"MI","Heart failure and shock w/o CC/MCC","","","3417",""
"MN","Heart failure and shock w/o CC/MCC","","","1079",""
"MO","Heart failure and shock w/o CC/MCC","","","2147",""
"MP","Heart failure and shock w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Heart failure and shock w/o CC/MCC","","","1685",""
"MT","Heart failure and shock w/o CC/MCC","","","175",""
"NC","Heart failure and shock w/o CC/MCC","","","2993",""
"ND","Heart failure and shock w/o CC/MCC","","","160",""
"NE","Heart failure and shock w/o CC/MCC","","","454",""
"NH","Heart failure and shock w/o CC/MCC","","","322",""
"NJ","Heart failure and shock w/o CC/MCC","","","3883",""
"NM","Heart failure and shock w/o CC/MCC","","","350",""
"NV","Heart failure and shock w/o CC/MCC","","","540",""
"NY","Heart failure and shock w/o CC/MCC","","","5978",""
"OH","Heart failure and shock w/o CC/MCC","","","3837",""
"OK","Heart failure and shock w/o CC/MCC","","","1278",""
"OR","Heart failure and shock w/o CC/MCC","","","553",""
"PA","Heart failure and shock w/o CC/MCC","","","5087",""
"PR","Heart failure and shock w/o CC/MCC","","","556",""
"RI","Heart failure and shock w/o CC/MCC","","","289",""
"SC","Heart failure and shock w/o CC/MCC","","","1761",""
"SD","Heart failure and shock w/o CC/MCC","","","217",""
"TN","Heart failure and shock w/o CC/MCC","","","2609",""
"TX","Heart failure and shock w/o CC/MCC","","","6110",""
"UT","Heart failure and shock w/o CC/MCC","","","260",""
"VA","Heart failure and shock w/o CC/MCC","","","2312",""
"VI","Heart failure and shock w/o CC/MCC","","","49",""
"VT","Heart failure and shock w/o CC/MCC","","","142",""
"WA","Heart failure and shock w/o CC/MCC","","","1260",""
"WI","Heart failure and shock w/o CC/MCC","","","1363",""
"WV","Heart failure and shock w/o CC/MCC","","","927",""
"WY","Heart failure and shock w/o CC/MCC","","","140",""
"AK","Heart failure and shock w MCC","","","127",""
"AL","Heart failure and shock w MCC","","","3831",""
"AR","Heart failure and shock w MCC","","","1952",""
"AS","Heart failure and shock w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Heart failure and shock w MCC","","","2205",""
"CA","Heart failure and shock w MCC","","","14704",""
"CO","Heart failure and shock w MCC","","","987",""
"CT","Heart failure and shock w MCC","","","2762",""
"DC","Heart failure and shock w MCC","","","525",""
"DE","Heart failure and shock w MCC","","","800",""
"FL","Heart failure and shock w MCC","","","14378",""
"GA","Heart failure and shock w MCC","","","5870",""
"GU","Heart failure and shock w MCC","","","47",""
"HI","Heart failure and shock w MCC","","","304",""
"IA","Heart failure and shock w MCC","","","1529",""
"ID","Heart failure and shock w MCC","","","356",""
"IL","Heart failure and shock w MCC","","","9598",""
"IN","Heart failure and shock w MCC","","","4797",""
"KS","Heart failure and shock w MCC","","","1334",""
"KY","Heart failure and shock w MCC","","","4091",""
"LA","Heart failure and shock w MCC","","","3453",""
"MA","Heart failure and shock w MCC","","","4835",""
"MD","Heart failure and shock w MCC","","","4408",""
"ME","Heart failure and shock w MCC","","","708",""
"MI","Heart failure and shock w MCC","","","9013",""
"MN","Heart failure and shock w MCC","","","1977",""
"MO","Heart failure and shock w MCC","","","5198",""
"MP","Heart failure and shock w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Heart failure and shock w MCC","","","2801",""
"MT","Heart failure and shock w MCC","","","301",""
"NC","Heart failure and shock w MCC","","","7765",""
"ND","Heart failure and shock w MCC","","","466",""
"NE","Heart failure and shock w MCC","","","756",""
"NH","Heart failure and shock w MCC","","","657",""
"NJ","Heart failure and shock w MCC","","","7448",""
"NM","Heart failure and shock w MCC","","","452",""
"NV","Heart failure and shock w MCC","","","918",""
"NY","Heart failure and shock w MCC","","","10386",""
"OH","Heart failure and shock w MCC","","","8308",""
"OK","Heart failure and shock w MCC","","","2117",""
"OR","Heart failure and shock w MCC","","","1013",""
"PA","Heart failure and shock w MCC","","","8549",""
"PR","Heart failure and shock w MCC","","","675",""
"RI","Heart failure and shock w MCC","","","621",""
"SC","Heart failure and shock w MCC","","","3225",""
"SD","Heart failure and shock w MCC","","","369",""
"TN","Heart failure and shock w MCC","","","5204",""
"TX","Heart failure and shock w MCC","","","13314",""
"UT","Heart failure and shock w MCC","","","416",""
"VA","Heart failure and shock w MCC","","","5835",""
"VI","Heart failure and shock w MCC","","","18",""
"VT","Heart failure and shock w MCC","","","195",""
"WA","Heart failure and shock w MCC","","","2781",""
"WI","Heart failure and shock w MCC","","","2427",""
"WV","Heart failure and shock w MCC","","","1602",""
"WY","Heart failure and shock w MCC","","","114",""
"AK","Heart failure and shock w CC","","","225",""
"AL","Heart failure and shock w CC","","","4732",""
"AR","Heart failure and shock w CC","","","2768",""
"AS","Heart failure and shock w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Heart failure and shock w CC","","","2665",""
"CA","Heart failure and shock w CC","","","14011",""
"CO","Heart failure and shock w CC","","","1608",""
"CT","Heart failure and shock w CC","","","3114",""
"DC","Heart failure and shock w CC","","","776",""
"DE","Heart failure and shock w CC","","","821",""
"FL","Heart failure and shock w CC","","","16650",""
"GA","Heart failure and shock w CC","","","6721",""
"GU","Heart failure and shock w CC","","","27",""
"HI","Heart failure and shock w CC","","","398",""
"IA","Heart failure and shock w CC","","","1975",""
"ID","Heart failure and shock w CC","","","426",""
"IL","Heart failure and shock w CC","","","11540",""
"IN","Heart failure and shock w CC","","","6239",""
"KS","Heart failure and shock w CC","","","1775",""
"KY","Heart failure and shock w CC","","","4802",""
"LA","Heart failure and shock w CC","","","4483",""
"MA","Heart failure and shock w CC","","","6397",""
"MD","Heart failure and shock w CC","","","5730",""
"ME","Heart failure and shock w CC","","","1210",""
"MI","Heart failure and shock w CC","","","9139",""
"MN","Heart failure and shock w CC","","","2871",""
"MO","Heart failure and shock w CC","","","5147",""
"MP","Heart failure and shock w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Heart failure and shock w CC","","","3257",""
"MT","Heart failure and shock w CC","","","445",""
"NC","Heart failure and shock w CC","","","7842",""
"ND","Heart failure and shock w CC","","","431",""
"NE","Heart failure and shock w CC","","","1175",""
"NH","Heart failure and shock w CC","","","989",""
"NJ","Heart failure and shock w CC","","","9316",""
"NM","Heart failure and shock w CC","","","667",""
"NV","Heart failure and shock w CC","","","1165",""
"NY","Heart failure and shock w CC","","","13202",""
"OH","Heart failure and shock w CC","","","9517",""
"OK","Heart failure and shock w CC","","","3073",""
"OR","Heart failure and shock w CC","","","1339",""
"PA","Heart failure and shock w CC","","","11733",""
"PR","Heart failure and shock w CC","","","541",""
"RI","Heart failure and shock w CC","","","821",""
"SC","Heart failure and shock w CC","","","3867",""
"SD","Heart failure and shock w CC","","","562",""
"TN","Heart failure and shock w CC","","","6036",""
"TX","Heart failure and shock w CC","","","14955",""
"UT","Heart failure and shock w CC","","","590",""
"VA","Heart failure and shock w CC","","","6268",""
"VI","Heart failure and shock w CC","","","23",""
"VT","Heart failure and shock w CC","","","330",""
"WA","Heart failure and shock w CC","","","3089",""
"WI","Heart failure and shock w CC","","","3593",""
"WV","Heart failure and shock w CC","","","2008",""
"WY","Heart failure and shock w CC","","","242",""
"AK","Chronic obstructive pulmonary disease w/o CC/MCC","","","145",""
"AL","Chronic obstructive pulmonary disease w/o CC/MCC","","","3240",""
"AR","Chronic obstructive pulmonary disease w/o CC/MCC","","","1659",""
"AS","Chronic obstructive pulmonary disease w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Chronic obstructive pulmonary disease w/o CC/MCC","","","1399",""
"CA","Chronic obstructive pulmonary disease w/o CC/MCC","","","5824",""
"CO","Chronic obstructive pulmonary disease w/o CC/MCC","","","754",""
"CT","Chronic obstructive pulmonary disease w/o CC/MCC","","","1039",""
"DC","Chronic obstructive pulmonary disease w/o CC/MCC","","","305",""
"DE","Chronic obstructive pulmonary disease w/o CC/MCC","","","370",""
"FL","Chronic obstructive pulmonary disease w/o CC/MCC","","","9566",""
"GA","Chronic obstructive pulmonary disease w/o CC/MCC","","","3495",""
"GU","Chronic obstructive pulmonary disease w/o CC/MCC","","","19",""
"HI","Chronic obstructive pulmonary disease w/o CC/MCC","","","146",""
"IA","Chronic obstructive pulmonary disease w/o CC/MCC","","","917",""
"ID","Chronic obstructive pulmonary disease w/o CC/MCC","","","165",""
"IL","Chronic obstructive pulmonary disease w/o CC/MCC","","","6126",""
"IN","Chronic obstructive pulmonary disease w/o CC/MCC","","","3606",""
"KS","Chronic obstructive pulmonary disease w/o CC/MCC","","","940",""
"KY","Chronic obstructive pulmonary disease w/o CC/MCC","","","4591",""
"LA","Chronic obstructive pulmonary disease w/o CC/MCC","","","2247",""
"MA","Chronic obstructive pulmonary disease w/o CC/MCC","","","3364",""
"MD","Chronic obstructive pulmonary disease w/o CC/MCC","","","2642",""
"ME","Chronic obstructive pulmonary disease w/o CC/MCC","","","563",""
"MI","Chronic obstructive pulmonary disease w/o CC/MCC","","","4632",""
"MN","Chronic obstructive pulmonary disease w/o CC/MCC","","","890",""
"MO","Chronic obstructive pulmonary disease w/o CC/MCC","","","2763",""
"MP","Chronic obstructive pulmonary disease w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Chronic obstructive pulmonary disease w/o CC/MCC","","","2224",""
"MT","Chronic obstructive pulmonary disease w/o CC/MCC","","","215",""
"NC","Chronic obstructive pulmonary disease w/o CC/MCC","","","3502",""
"ND","Chronic obstructive pulmonary disease w/o CC/MCC","","","121",""
"NE","Chronic obstructive pulmonary disease w/o CC/MCC","","","557",""
"NH","Chronic obstructive pulmonary disease w/o CC/MCC","","","540",""
"NJ","Chronic obstructive pulmonary disease w/o CC/MCC","","","3957",""
"NM","Chronic obstructive pulmonary disease w/o CC/MCC","","","569",""
"NV","Chronic obstructive pulmonary disease w/o CC/MCC","","","908",""
"NY","Chronic obstructive pulmonary disease w/o CC/MCC","","","6614",""
"OH","Chronic obstructive pulmonary disease w/o CC/MCC","","","5736",""
"OK","Chronic obstructive pulmonary disease w/o CC/MCC","","","2306",""
"OR","Chronic obstructive pulmonary disease w/o CC/MCC","","","503",""
"PA","Chronic obstructive pulmonary disease w/o CC/MCC","","","5414",""
"PR","Chronic obstructive pulmonary disease w/o CC/MCC","","","731",""
"RI","Chronic obstructive pulmonary disease w/o CC/MCC","","","482",""
"SC","Chronic obstructive pulmonary disease w/o CC/MCC","","","1961",""
"SD","Chronic obstructive pulmonary disease w/o CC/MCC","","","266",""
"TN","Chronic obstructive pulmonary disease w/o CC/MCC","","","4155",""
"TX","Chronic obstructive pulmonary disease w/o CC/MCC","","","7839",""
"UT","Chronic obstructive pulmonary disease w/o CC/MCC","","","190",""
"VA","Chronic obstructive pulmonary disease w/o CC/MCC","","","3011",""
"VI","Chronic obstructive pulmonary disease w/o CC/MCC","","","11",""
"VT","Chronic obstructive pulmonary disease w/o CC/MCC","","","184",""
"WA","Chronic obstructive pulmonary disease w/o CC/MCC","","","1215",""
"WI","Chronic obstructive pulmonary disease w/o CC/MCC","","","1111",""
"WV","Chronic obstructive pulmonary disease w/o CC/MCC","","","2131",""
"WY","Chronic obstructive pulmonary disease w/o CC/MCC","","","202",""
"AK","Chronic obstructive pulmonary disease w MCC","","","166",""
"AL","Chronic obstructive pulmonary disease w MCC","","","3767",""
"AR","Chronic obstructive pulmonary disease w MCC","","","1806",""
"AS","Chronic obstructive pulmonary disease w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Chronic obstructive pulmonary disease w MCC","","","2134",""
"CA","Chronic obstructive pulmonary disease w MCC","","","9871",""
"CO","Chronic obstructive pulmonary disease w MCC","","","1078",""
"CT","Chronic obstructive pulmonary disease w MCC","","","1954",""
"DC","Chronic obstructive pulmonary disease w MCC","","","269",""
"DE","Chronic obstructive pulmonary disease w MCC","","","744",""
"FL","Chronic obstructive pulmonary disease w MCC","","","11597",""
"GA","Chronic obstructive pulmonary disease w MCC","","","4379",""
"GU","Chronic obstructive pulmonary disease w MCC","","","13",""
"HI","Chronic obstructive pulmonary disease w MCC","","","218",""
"IA","Chronic obstructive pulmonary disease w MCC","","","1410",""
"ID","Chronic obstructive pulmonary disease w MCC","","","286",""
"IL","Chronic obstructive pulmonary disease w MCC","","","7518",""
"IN","Chronic obstructive pulmonary disease w MCC","","","4504",""
"KS","Chronic obstructive pulmonary disease w MCC","","","1021",""
"KY","Chronic obstructive pulmonary disease w MCC","","","4500",""
"LA","Chronic obstructive pulmonary disease w MCC","","","2495",""
"MA","Chronic obstructive pulmonary disease w MCC","","","4384",""
"MD","Chronic obstructive pulmonary disease w MCC","","","3036",""
"ME","Chronic obstructive pulmonary disease w MCC","","","777",""
"MI","Chronic obstructive pulmonary disease w MCC","","","7173",""
"MN","Chronic obstructive pulmonary disease w MCC","","","1418",""
"MO","Chronic obstructive pulmonary disease w MCC","","","3482",""
"MP","Chronic obstructive pulmonary disease w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MS","Chronic obstructive pulmonary disease w MCC","","","2196",""
"MT","Chronic obstructive pulmonary disease w MCC","","","332",""
"NC","Chronic obstructive pulmonary disease w MCC","","","5451",""
"ND","Chronic obstructive pulmonary disease w MCC","","","182",""
"NE","Chronic obstructive pulmonary disease w MCC","","","844",""
"NH","Chronic obstructive pulmonary disease w MCC","","","819",""
"NJ","Chronic obstructive pulmonary disease w MCC","","","5219",""
"NM","Chronic obstructive pulmonary disease w MCC","","","604",""
"NV","Chronic obstructive pulmonary disease w MCC","","","883",""
"NY","Chronic obstructive pulmonary disease w MCC","","","8162",""
"OH","Chronic obstructive pulmonary disease w MCC","","","7592",""
"OK","Chronic obstructive pulmonary disease w MCC","","","2470",""
"OR","Chronic obstructive pulmonary disease w MCC","","","685",""
"PA","Chronic obstructive pulmonary disease w MCC","","","6358",""
"PR","Chronic obstructive pulmonary disease w MCC","","","293",""
"RI","Chronic obstructive pulmonary disease w MCC","","","607",""
"SC","Chronic obstructive pulmonary disease w MCC","","","2685",""
"SD","Chronic obstructive pulmonary disease w MCC","","","294",""
"TN","Chronic obstructive pulmonary disease w MCC","","","5088",""
"TX","Chronic obstructive pulmonary disease w MCC","","","11048",""
"UT","Chronic obstructive pulmonary disease w MCC","","","375",""
"VA","Chronic obstructive pulmonary disease w MCC","","","3894",""
