"State","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Attack are Better than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Attack are No different than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Attack are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Attack are Number of Cases Too Small","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are Better than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are No different than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are Number of Cases Too Small","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are Better than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are No different than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are Number of Cases Too Small","Number of Hospitals whose 30-day Readmission Rates from Heart Attack are Better than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Attack are No different than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Attack are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Attack are Number of Cases Too Small","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are Better than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are No different than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are Number of Cases Too Small","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are Better than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are No different than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are Number of Cases Too Small"
"IN","1","71","0","47","5","108","6","1","3","110","5","2","2","60","1","55","2","116","1","1","1","117","0","2"
"KS","0","30","0","89","1","86","1","44","1","110","5","15","0","27","0","88","1","91","1","39","1","117","0","13"
"KY","2","49","1","44","2","88","3","4","2","83","11","1","0","41","2","52","1","86","7","3","1","90","5","1"
"LA","0","52","0","56","1","85","5","24","1","82","15","17","0","44","0","60","1","88","4","22","0","98","2","15"
"MA","3","54","0","8","13","50","0","2","8","53","1","4","0","52","2","11","0","60","3","2","0","57","6","3"
"MD","0","42","0","5","4","41","1","1","10","36","0","0","0","36","2","8","0","37","9","1","0","40","6","0"
"ME","0","33","0","4","0","35","0","2","0","36","1","0","1","21","0","15","1","34","0","2","0","37","0","0"
"MI","7","74","3","44","15","104","4","12","9","117","4","5","2","68","2","57","5","113","8","8","4","119","7","5"
"MN","2","37","0","84","2","85","1","43","2","111","0","18","0","30","0","93","0","94","0","37","0","114","0","17"
"NM","0","15","0","25","0","33","1","8","0","37","1","4","0","11","0","27","2","32","0","8","2","36","0","4"
"VA","1","72","0","9","5","75","1","4","3","70","8","8","0","62","1","18","4","75","3","4","0","76","5","9"
"MO","3","61","0","53","3","101","4","8","6","100","7","4","1","56","0","57","3","105","5","4","0","112","1","5"
"MP","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0"
"MS","0","39","0","44","0","80","2","13","0","85","5","6","0","30","0","50","0","81","4","10","0","86","5","4"
"MT","0","10","0","37","0","28","0","33","1","39","0","22","1","8","0","33","3","28","0","30","1","41","0","20"
"NC","0","84","1","26","4","95","4","10","4","94","11","4","0","74","0","36","5","97","3","9","0","106","3","5"
"ND","0","11","1","29","0","27","0","17","0","41","0","4","1","7","0","33","1","29","0","14","0","42","0","3"
"NE","0","19","0","58","0","48","1","37","0","76","2","8","0","18","0","56","0","47","2","37","0","79","0","7"
"NH","1","19","0","5","0","24","1","1","1","23","2","0","0","15","0","10","2","23","0","1","1","25","0","0"
"NJ","7","57","1","3","14","51","2","1","11","55","1","1","0","57","6","5","0","50","17","2","0","58","9","3"
"NV","0","18","1","13","0","26","2","7","1","26","3","6","1","17","0","13","0","31","0","4","0","30","0","6"
"NY","7","152","0","30","11","166","4","10","9","172","5","7","0","129","10","50","0","155","29","7","0","169","17","7"
"OH","3","110","2","44","9","142","4","11","12","142","6","4","0","96","1","61","1","150","5","11","0","152","9","4"
"OK","1","39","0","70","1","87","2","27","3","100","5","10","0","33","0","69","0","92","2","22","0","103","4","11"
"OR","0","33","1","25","1","50","1","8","1","55","2","2","2","23","0","33","4","51","0","5","0","58","0","2"
"PA","5","131","0","27","16","139","6","8","10","143","8","7","2","119","1","41","6","147","8","8","1","160","2","5"
"PR","0","26","0","19","0","30","0","19","0","30","3","17","0","18","1","26","0","29","2","18","0","29","1","19"
"RI","1","10","0","0","0","10","1","1","0","11","0","1","0","11","0","0","0","10","1","1","0","9","2","1"
"SC","0","42","0","20","0","56","4","2","1","54","6","1","1","36","0","22","4","55","1","2","1","59","1","1"
"SD","1","11","0","39","0","30","0","25","0","50","0","6","0","10","0","38","0","32","0","23","1","51","0","4"
"TN","1","70","0","45","0","106","3","9","1","102","10","4","0","54","2","60","3","105","4","5","1","103","9","4"
"TX","1","199","1","143","12","297","7","61","10","308","14","45","1","177","2","154","6","309","5","59","5","326","3","49"
"UT","0","16","0","21","0","26","0","16","0","35","0","7","1","13","0","19","3","22","0","17","2","34","0","6"
"VI","0","2","0","0","0","2","0","0","0","2","0","0","0","2","0","0","0","2","0","0","0","2","0","0"
"VT","0","12","0","3","0","13","1","1","0","14","1","0","0","7","0","7","0","14","0","1","0","15","0","0"
"WA","1","40","2","41","0","60","8","19","1","77","3","7","2","40","0","39","5","66","0","16","1","81","0","6"
"WV","0","34","0","19","0","49","0","5","2","49","3","0","0","26","1","26","0","48","2","4","0","49","4","1"
