"Measure Name","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver","1Q11","01/01/2011","4Q11","12/31/2011"
"Patient satisfaction survey results","1Q11","01/01/2011","4Q11","12/31/2011"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","3Q08","07/01/2008","2Q11","06/30/2011"
"Heart Failure (HF) 30-Day Mortality Rate","3Q08","07/01/2008","2Q11","06/30/2011"
"Pneumonia (PN) 30-Day Mortality Rate","3Q08","07/01/2008","2Q11","06/30/2011"
"Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","3Q08","07/01/2008","2Q11","06/30/2011"
"Heart  Failure (HF) 30-Day Readmission Rate","3Q08","07/01/2008","2Q11","06/30/2011"
"Pneumonia (PN) 30-Day Readmission Rate","3Q08","07/01/2008","2Q11","06/30/2011"
"Death among surgical inpatients with serious treatable complications","3Q09","07/01/2009","2Q11","06/30/2011"
"Iatrogenic pneumothorax, adult ","3Q09","07/01/2009","2Q11","06/30/2011"
"Post-Operative Respiratory Failure ","3Q09","07/01/2009","2Q11","06/30/2011"
"Post-Operative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT)","3Q09","07/01/2009","2Q11","06/30/2011"
"Postoperative wound dehiscence ","3Q09","07/01/2009","2Q11","06/30/2011"
"Accidental puncture or laceration ","3Q09","07/01/2009","2Q11","06/30/2011"
"Complication/patient safety for selected indicators (composite)","3Q09","07/01/2009","2Q11","06/30/2011"
"Abdominal aortic aneurysm (AAA) repair mortality","3Q09","07/01/2009","2Q11","06/30/2011"
"Hip fracture mortality rate","3Q09","07/01/2009","2Q11","06/30/2011"
"Mortality for selected medical conditions (composite)","3Q09","07/01/2009","2Q11","06/30/2011"
"MPV","4Q09","10/01/2010","3Q10","09/30/2011"
"Foreign object retained after surgery","3Q09","07/01/2009","2Q11","06/30/2011"
"Air embolism","3Q09","07/01/2009","2Q11","06/30/2011"
"Blood incompatibility","3Q09","07/01/2009","2Q11","06/30/2011"
"Pressure ulcer stages III and IV","3Q09","07/01/2009","2Q11","06/30/2011"
"Falls and trauma","3Q09","07/01/2009","2Q11","06/30/2011"
"Vascular catheter-associated infection","3Q09","07/01/2009","2Q11","06/30/2011"
"Catheter-associated UTI","3Q09","07/01/2009","2Q11","06/30/2011"
"Manifestations of poor glycemic control","3Q09","07/01/2009","2Q11","06/30/2011"
"Central Line Associated Bloodstream Infection","1Q11","01/01/2011","4Q11","12/31/2011"
"Median Time to Fibrinolysis","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Aspirin at Arrival","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Median Time to ECG","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Timing of Antibiotic Prophylaxis","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Prophylactic Antibiotic Selection for Surgical Patients","1Q2011","01/01/2011","4Q2011","12/31/2011"
"MRI Lumbar Spine for Low Back Pain","1Q2010","01/01/2010","4Q2010","12/31/2010"
"Mammography Follow-up Rates","1Q2010","01/01/2010","4Q2010","12/31/2010"
"Abdomen CT - Use of Contrast Material","1Q2010","01/01/2010","4Q2010","12/31/2010"
"Thorax CT - Use of Contrast Material","1Q2010","01/01/2010","4Q2010","12/31/2010"
"Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery","1Q2010","01/01/2010","4Q2010","12/31/2010"
"Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT) ","1Q2010","01/01/2010","4Q2010","12/31/2010"
