"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Denominator","Footnote","Measure Start Date","Measure End Date"
"AK","507","Major shoulder or elbow joint procedures w CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","508","Major shoulder or elbow joint procedures w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","515","Other musculoskelet sys and conn tiss O.R. proc w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","637","Diabetes w MCC","11",,"10/01/2012","09/30/2013"
"AK","656","Kidney and ureter procedures for neoplasm w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","657","Kidney and ureter procedures for neoplasm w CC","15",,"10/01/2012","09/30/2013"
"AK","658","Kidney and ureter procedures for neoplasm w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","659","Kidney and ureter procedures for non-neoplasm w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","668","Transurethral procedures w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","673","Other kidney and urinary tract procedures w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","674","Other kidney and urinary tract procedures w CC","Not Available","1","10/01/2012","09/30/2013"
"AK","675","Other kidney and urinary tract procedures w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","713","Transurethral prostatectomy w CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","714","Transurethral prostatectomy w/o CC/MCC","20",,"10/01/2012","09/30/2013"
"AK","743","Uterine and adnexa proc for non-malignancy w/o CC/MCC","36",,"10/01/2012","09/30/2013"
"AK","748","Female reproductive system reconstructive procedures","20",,"10/01/2012","09/30/2013"
"AL","038","Extracranial procedures w CC","306",,"10/01/2012","09/30/2013"
"AL","039","Extracranial procedures w/o CC/MCC","916",,"10/01/2012","09/30/2013"
"AL","190","Chronic obstructive pulmonary disease w MCC","3610",,"10/01/2012","09/30/2013"
"AL","191","Chronic obstructive pulmonary disease w CC","3415",,"10/01/2012","09/30/2013"
"AL","192","Chronic obstructive pulmonary disease w/o CC/MCC","2802",,"10/01/2012","09/30/2013"
"AL","193","Simple pneumonia and pleurisy w MCC","2967",,"10/01/2012","09/30/2013"
"AL","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","293",,"10/01/2012","09/30/2013"
"AL","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","321",,"10/01/2012","09/30/2013"
"AL","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","121",,"10/01/2012","09/30/2013"
"AL","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","48",,"10/01/2012","09/30/2013"
"AL","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","58",,"10/01/2012","09/30/2013"
"AL","226","Cardiac defibrillator implant w/o cardiac cath w MCC","63",,"10/01/2012","09/30/2013"
"AL","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","207",,"10/01/2012","09/30/2013"
"AL","235","Coronary bypass w/o cardiac cath w MCC","176",,"10/01/2012","09/30/2013"
"AL","236","Coronary bypass w/o cardiac cath w/o MCC","512",,"10/01/2012","09/30/2013"
"AL","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","384",,"10/01/2012","09/30/2013"
"AL","243","Permanent cardiac pacemaker implant w CC","543",,"10/01/2012","09/30/2013"
"AL","244","Permanent cardiac pacemaker implant w/o CC/MCC","503",,"10/01/2012","09/30/2013"
"AL","247","Perc cardiovasc proc w drug-eluting stent w/o MCC","1886",,"10/01/2012","09/30/2013"
"AL","280","Acute myocardial infarction, discharged alive w MCC","1181",,"10/01/2012","09/30/2013"
"AL","281","Acute myocardial infarction, discharged alive w CC","854",,"10/01/2012","09/30/2013"
"AL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","582",,"10/01/2012","09/30/2013"
"AL","291","Heart failure and shock w MCC","3742",,"10/01/2012","09/30/2013"
"AL","292","Heart failure and shock w CC","4322",,"10/01/2012","09/30/2013"
"AL","293","Heart failure and shock w/o CC/MCC","1817",,"10/01/2012","09/30/2013"
"AL","313","Chest Pain","1601",,"10/01/2012","09/30/2013"
"AL","328","Stomach, esophageal duodenal proc w/o CC/MCC","227",,"10/01/2012","09/30/2013"
"AL","329","Major small and large bowel procedures w MCC","881",,"10/01/2012","09/30/2013"
"AL","330","Major small and large bowel procedures w CC","1175",,"10/01/2012","09/30/2013"
"AL","331","Major small and large bowel procedures w/o CC/MCC","490",,"10/01/2012","09/30/2013"
"AL","353","Hernia procedures except inguinal and femoral w MCC","73",,"10/01/2012","09/30/2013"
"AL","354","Hernia procedures except inguinal and femoral w CC","188",,"10/01/2012","09/30/2013"
"AL","355","Hernia procedures except inguinal and femoral w/o CC/MCC","208",,"10/01/2012","09/30/2013"
"AL","414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","63",,"10/01/2012","09/30/2013"
"AL","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","448",,"10/01/2012","09/30/2013"
"AL","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","660",,"10/01/2012","09/30/2013"
"AL","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","575",,"10/01/2012","09/30/2013"
"AL","459","Spinal fusion except cervical w MCC","78",,"10/01/2012","09/30/2013"
"AL","460","Spinal fusion except cervical w/o MCC","1757",,"10/01/2012","09/30/2013"
"AL","461","Bilateral or multiple major joint procs of lower extremity w MCC","Not Available","1","10/01/2012","09/30/2013"
"AL","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","75",,"10/01/2012","09/30/2013"
"AL","466","Revision of hip or knee replacement w MCC","77",,"10/01/2012","09/30/2013"
"AL","467","Revision of hip or knee replacement w CC","537",,"10/01/2012","09/30/2013"
"AL","468","Revision of hip or knee replacement w/o CC/MCC","325",,"10/01/2012","09/30/2013"
"AL","469","Major joint replacement or reattachment of lower extremity w MCC","512",,"10/01/2012","09/30/2013"
"AL","470","Major joint replacement or reattachment of lower extremity w/o MCC","8965",,"10/01/2012","09/30/2013"
"AL","471","Cervical spinal fusion w MCC","70",,"10/01/2012","09/30/2013"
"AL","472","Cervical spinal fusion w CC","247",,"10/01/2012","09/30/2013"
"AL","473","Cervical spinal fusion w/o CC/MCC","1067",,"10/01/2012","09/30/2013"
"AL","477","Biopsies of musculoskeletal system and connective tissue w MCC","49",,"10/01/2012","09/30/2013"
"AL","478","Biopsies of musculoskeletal system and connective tissue w CC","95",,"10/01/2012","09/30/2013"
"AL","479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","37",,"10/01/2012","09/30/2013"
"AL","490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","334",,"10/01/2012","09/30/2013"
"AL","491","Back and neck proc exc spinal fusion w/o CC/MCC","608",,"10/01/2012","09/30/2013"
"AL","507","Major shoulder or elbow joint procedures w CC/MCC","11",,"10/01/2012","09/30/2013"
"AL","508","Major shoulder or elbow joint procedures w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AL","515","Other musculoskelet sys and conn tiss O.R. proc w MCC","74",,"10/01/2012","09/30/2013"
"AL","637","Diabetes w MCC","475",,"10/01/2012","09/30/2013"
"AL","656","Kidney and ureter procedures for neoplasm w MCC","67",,"10/01/2012","09/30/2013"
"AL","657","Kidney and ureter procedures for neoplasm w CC","130",,"10/01/2012","09/30/2013"
"AL","658","Kidney and ureter procedures for neoplasm w/o CC/MCC","152",,"10/01/2012","09/30/2013"
"AL","659","Kidney and ureter procedures for non-neoplasm w MCC","74",,"10/01/2012","09/30/2013"
"AL","668","Transurethral procedures w MCC","77",,"10/01/2012","09/30/2013"
"AL","673","Other kidney and urinary tract procedures w MCC","251",,"10/01/2012","09/30/2013"
"AL","674","Other kidney and urinary tract procedures w CC","192",,"10/01/2012","09/30/2013"
"AL","675","Other kidney and urinary tract procedures w/o CC/MCC","37",,"10/01/2012","09/30/2013"
"AL","713","Transurethral prostatectomy w CC/MCC","121",,"10/01/2012","09/30/2013"
"AL","714","Transurethral prostatectomy w/o CC/MCC","241",,"10/01/2012","09/30/2013"
"AL","743","Uterine and adnexa proc for non-malignancy w/o CC/MCC","541",,"10/01/2012","09/30/2013"
"AL","748","Female reproductive system reconstructive procedures","198",,"10/01/2012","09/30/2013"
"AR","038","Extracranial procedures w CC","178",,"10/01/2012","09/30/2013"
"AR","039","Extracranial procedures w/o CC/MCC","692",,"10/01/2012","09/30/2013"
"AR","190","Chronic obstructive pulmonary disease w MCC","1799",,"10/01/2012","09/30/2013"
"AR","191","Chronic obstructive pulmonary disease w CC","1656",,"10/01/2012","09/30/2013"
"AR","192","Chronic obstructive pulmonary disease w/o CC/MCC","1497",,"10/01/2012","09/30/2013"
"AR","193","Simple pneumonia and pleurisy w MCC","1725",,"10/01/2012","09/30/2013"
"AR","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","169",,"10/01/2012","09/30/2013"
"AR","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","219",,"10/01/2012","09/30/2013"
"AR","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","72",,"10/01/2012","09/30/2013"
"AR","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","16",,"10/01/2012","09/30/2013"
"AR","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","61",,"10/01/2012","09/30/2013"
"AR","226","Cardiac defibrillator implant w/o cardiac cath w MCC","59",,"10/01/2012","09/30/2013"
"AR","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","349",,"10/01/2012","09/30/2013"
"AR","235","Coronary bypass w/o cardiac cath w MCC","112",,"10/01/2012","09/30/2013"
"AR","236","Coronary bypass w/o cardiac cath w/o MCC","481",,"10/01/2012","09/30/2013"
"AR","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","220",,"10/01/2012","09/30/2013"
"AR","243","Permanent cardiac pacemaker implant w CC","377",,"10/01/2012","09/30/2013"
"AR","244","Permanent cardiac pacemaker implant w/o CC/MCC","443",,"10/01/2012","09/30/2013"
"AR","247","Perc cardiovasc proc w drug-eluting stent w/o MCC","2464",,"10/01/2012","09/30/2013"
"AR","280","Acute myocardial infarction, discharged alive w MCC","662",,"10/01/2012","09/30/2013"
"AR","281","Acute myocardial infarction, discharged alive w CC","471",,"10/01/2012","09/30/2013"
"AR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","354",,"10/01/2012","09/30/2013"
"AR","291","Heart failure and shock w MCC","1888",,"10/01/2012","09/30/2013"
"AR","292","Heart failure and shock w CC","2513",,"10/01/2012","09/30/2013"
"AR","293","Heart failure and shock w/o CC/MCC","1355",,"10/01/2012","09/30/2013"
"AR","313","Chest Pain","1137",,"10/01/2012","09/30/2013"
"AR","328","Stomach, esophageal duodenal proc w/o CC/MCC","173",,"10/01/2012","09/30/2013"
"AR","329","Major small and large bowel procedures w MCC","500",,"10/01/2012","09/30/2013"
"AR","330","Major small and large bowel procedures w CC","735",,"10/01/2012","09/30/2013"
"AR","331","Major small and large bowel procedures w/o CC/MCC","295",,"10/01/2012","09/30/2013"
"AR","353","Hernia procedures except inguinal and femoral w MCC","54",,"10/01/2012","09/30/2013"
"AR","354","Hernia procedures except inguinal and femoral w CC","124",,"10/01/2012","09/30/2013"
"AR","355","Hernia procedures except inguinal and femoral w/o CC/MCC","170",,"10/01/2012","09/30/2013"
"AR","414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","56",,"10/01/2012","09/30/2013"
"AR","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","227",,"10/01/2012","09/30/2013"
"AR","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","338",,"10/01/2012","09/30/2013"
"AR","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","333",,"10/01/2012","09/30/2013"
"AR","459","Spinal fusion except cervical w MCC","27",,"10/01/2012","09/30/2013"
"AR","460","Spinal fusion except cervical w/o MCC","837",,"10/01/2012","09/30/2013"
"AR","461","Bilateral or multiple major joint procs of lower extremity w MCC","Not Available","1","10/01/2012","09/30/2013"
"AR","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","22",,"10/01/2012","09/30/2013"
"AR","466","Revision of hip or knee replacement w MCC","36",,"10/01/2012","09/30/2013"
"AR","467","Revision of hip or knee replacement w CC","271",,"10/01/2012","09/30/2013"
"AR","468","Revision of hip or knee replacement w/o CC/MCC","222",,"10/01/2012","09/30/2013"
"AR","469","Major joint replacement or reattachment of lower extremity w MCC","274",,"10/01/2012","09/30/2013"
"AR","470","Major joint replacement or reattachment of lower extremity w/o MCC","5587",,"10/01/2012","09/30/2013"
"AR","471","Cervical spinal fusion w MCC","32",,"10/01/2012","09/30/2013"
"AR","472","Cervical spinal fusion w CC","140",,"10/01/2012","09/30/2013"
"AR","473","Cervical spinal fusion w/o CC/MCC","432",,"10/01/2012","09/30/2013"
"AR","477","Biopsies of musculoskeletal system and connective tissue w MCC","23",,"10/01/2012","09/30/2013"
"AR","478","Biopsies of musculoskeletal system and connective tissue w CC","93",,"10/01/2012","09/30/2013"
"AR","479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","37",,"10/01/2012","09/30/2013"
"AR","490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","216",,"10/01/2012","09/30/2013"
"AR","491","Back and neck proc exc spinal fusion w/o CC/MCC","616",,"10/01/2012","09/30/2013"
"AR","507","Major shoulder or elbow joint procedures w CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AR","508","Major shoulder or elbow joint procedures w/o CC/MCC","12",,"10/01/2012","09/30/2013"
"AR","515","Other musculoskelet sys and conn tiss O.R. proc w MCC","62",,"10/01/2012","09/30/2013"
"AR","637","Diabetes w MCC","237",,"10/01/2012","09/30/2013"
"AR","656","Kidney and ureter procedures for neoplasm w MCC","42",,"10/01/2012","09/30/2013"
"AR","657","Kidney and ureter procedures for neoplasm w CC","117",,"10/01/2012","09/30/2013"
"AR","658","Kidney and ureter procedures for neoplasm w/o CC/MCC","94",,"10/01/2012","09/30/2013"
"AR","659","Kidney and ureter procedures for non-neoplasm w MCC","52",,"10/01/2012","09/30/2013"
"AR","668","Transurethral procedures w MCC","29",,"10/01/2012","09/30/2013"
"AR","673","Other kidney and urinary tract procedures w MCC","115",,"10/01/2012","09/30/2013"
"AR","674","Other kidney and urinary tract procedures w CC","82",,"10/01/2012","09/30/2013"
"AR","675","Other kidney and urinary tract procedures w/o CC/MCC","29",,"10/01/2012","09/30/2013"
"AR","713","Transurethral prostatectomy w CC/MCC","102",,"10/01/2012","09/30/2013"
"AR","714","Transurethral prostatectomy w/o CC/MCC","161",,"10/01/2012","09/30/2013"
"AR","743","Uterine and adnexa proc for non-malignancy w/o CC/MCC","288",,"10/01/2012","09/30/2013"
"AR","748","Female reproductive system reconstructive procedures","153",,"10/01/2012","09/30/2013"
"AS","192","Chronic obstructive pulmonary disease w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AS","193","Simple pneumonia and pleurisy w MCC","Not Available","1","10/01/2012","09/30/2013"
"AS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AS","292","Heart failure and shock w CC","Not Available","1","10/01/2012","09/30/2013"
"AS","329","Major small and large bowel procedures w MCC","Not Available","1","10/01/2012","09/30/2013"
"AS","675","Other kidney and urinary tract procedures w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AZ","038","Extracranial procedures w CC","270",,"10/01/2012","09/30/2013"
"AZ","039","Extracranial procedures w/o CC/MCC","568",,"10/01/2012","09/30/2013"
"AZ","190","Chronic obstructive pulmonary disease w MCC","1994",,"10/01/2012","09/30/2013"
"AZ","191","Chronic obstructive pulmonary disease w CC","1720",,"10/01/2012","09/30/2013"
"AZ","192","Chronic obstructive pulmonary disease w/o CC/MCC","1096",,"10/01/2012","09/30/2013"
"AZ","193","Simple pneumonia and pleurisy w MCC","2052",,"10/01/2012","09/30/2013"
"AZ","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","298",,"10/01/2012","09/30/2013"
"AZ","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","353",,"10/01/2012","09/30/2013"
"AZ","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","73",,"10/01/2012","09/30/2013"
"AZ","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","52",,"10/01/2012","09/30/2013"
"AZ","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","55",,"10/01/2012","09/30/2013"
"AZ","226","Cardiac defibrillator implant w/o cardiac cath w MCC","136",,"10/01/2012","09/30/2013"
"AZ","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","411",,"10/01/2012","09/30/2013"
"AZ","235","Coronary bypass w/o cardiac cath w MCC","163",,"10/01/2012","09/30/2013"
"AZ","236","Coronary bypass w/o cardiac cath w/o MCC","324",,"10/01/2012","09/30/2013"
"AZ","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","445",,"10/01/2012","09/30/2013"
"AZ","243","Permanent cardiac pacemaker implant w CC","622",,"10/01/2012","09/30/2013"
"AZ","244","Permanent cardiac pacemaker implant w/o CC/MCC","537",,"10/01/2012","09/30/2013"
"AZ","247","Perc cardiovasc proc w drug-eluting stent w/o MCC","1799",,"10/01/2012","09/30/2013"
"AZ","280","Acute myocardial infarction, discharged alive w MCC","833",,"10/01/2012","09/30/2013"
"AZ","281","Acute myocardial infarction, discharged alive w CC","656",,"10/01/2012","09/30/2013"
"AZ","282","Acute myocardial infarction, discharged alive w/o CC/MCC","405",,"10/01/2012","09/30/2013"
"AZ","291","Heart failure and shock w MCC","2210",,"10/01/2012","09/30/2013"
"AZ","292","Heart failure and shock w CC","2397",,"10/01/2012","09/30/2013"
"AZ","293","Heart failure and shock w/o CC/MCC","814",,"10/01/2012","09/30/2013"
"AZ","313","Chest Pain","1284",,"10/01/2012","09/30/2013"
"AZ","328","Stomach, esophageal duodenal proc w/o CC/MCC","184",,"10/01/2012","09/30/2013"
"AZ","329","Major small and large bowel procedures w MCC","724",,"10/01/2012","09/30/2013"
"AZ","330","Major small and large bowel procedures w CC","1052",,"10/01/2012","09/30/2013"
"AZ","331","Major small and large bowel procedures w/o CC/MCC","426",,"10/01/2012","09/30/2013"
"AZ","353","Hernia procedures except inguinal and femoral w MCC","66",,"10/01/2012","09/30/2013"
"AZ","354","Hernia procedures except inguinal and femoral w CC","176",,"10/01/2012","09/30/2013"
"AZ","355","Hernia procedures except inguinal and femoral w/o CC/MCC","141",,"10/01/2012","09/30/2013"
"AZ","414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","49",,"10/01/2012","09/30/2013"
"AZ","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","383",,"10/01/2012","09/30/2013"
"AZ","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","579",,"10/01/2012","09/30/2013"
"AZ","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","547",,"10/01/2012","09/30/2013"
"AZ","459","Spinal fusion except cervical w MCC","85",,"10/01/2012","09/30/2013"
"AZ","460","Spinal fusion except cervical w/o MCC","1364",,"10/01/2012","09/30/2013"
"AZ","461","Bilateral or multiple major joint procs of lower extremity w MCC","Not Available","1","10/01/2012","09/30/2013"
"AZ","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","130",,"10/01/2012","09/30/2013"
"AZ","466","Revision of hip or knee replacement w MCC","81",,"10/01/2012","09/30/2013"
"AZ","467","Revision of hip or knee replacement w CC","549",,"10/01/2012","09/30/2013"
"AZ","468","Revision of hip or knee replacement w/o CC/MCC","313",,"10/01/2012","09/30/2013"
"AZ","469","Major joint replacement or reattachment of lower extremity w MCC","440",,"10/01/2012","09/30/2013"
"AZ","470","Major joint replacement or reattachment of lower extremity w/o MCC","9142",,"10/01/2012","09/30/2013"
"AZ","471","Cervical spinal fusion w MCC","62",,"10/01/2012","09/30/2013"
"AZ","472","Cervical spinal fusion w CC","228",,"10/01/2012","09/30/2013"
"AZ","473","Cervical spinal fusion w/o CC/MCC","440",,"10/01/2012","09/30/2013"
"AZ","477","Biopsies of musculoskeletal system and connective tissue w MCC","31",,"10/01/2012","09/30/2013"
"AZ","478","Biopsies of musculoskeletal system and connective tissue w CC","102",,"10/01/2012","09/30/2013"
"AZ","479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","35",,"10/01/2012","09/30/2013"
"AZ","490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","383",,"10/01/2012","09/30/2013"
"AZ","491","Back and neck proc exc spinal fusion w/o CC/MCC","588",,"10/01/2012","09/30/2013"
"AZ","507","Major shoulder or elbow joint procedures w CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AZ","508","Major shoulder or elbow joint procedures w/o CC/MCC","11",,"10/01/2012","09/30/2013"
"AZ","515","Other musculoskelet sys and conn tiss O.R. proc w MCC","74",,"10/01/2012","09/30/2013"
"AZ","637","Diabetes w MCC","305",,"10/01/2012","09/30/2013"
"AZ","656","Kidney and ureter procedures for neoplasm w MCC","61",,"10/01/2012","09/30/2013"
"AZ","657","Kidney and ureter procedures for neoplasm w CC","208",,"10/01/2012","09/30/2013"
"AZ","658","Kidney and ureter procedures for neoplasm w/o CC/MCC","112",,"10/01/2012","09/30/2013"
"AZ","659","Kidney and ureter procedures for non-neoplasm w MCC","62",,"10/01/2012","09/30/2013"
"AZ","668","Transurethral procedures w MCC","74",,"10/01/2012","09/30/2013"
"AZ","673","Other kidney and urinary tract procedures w MCC","106",,"10/01/2012","09/30/2013"
"AZ","674","Other kidney and urinary tract procedures w CC","106",,"10/01/2012","09/30/2013"
"AZ","675","Other kidney and urinary tract procedures w/o CC/MCC","14",,"10/01/2012","09/30/2013"
"AZ","713","Transurethral prostatectomy w CC/MCC","106",,"10/01/2012","09/30/2013"
"AZ","714","Transurethral prostatectomy w/o CC/MCC","126",,"10/01/2012","09/30/2013"
"AZ","743","Uterine and adnexa proc for non-malignancy w/o CC/MCC","207",,"10/01/2012","09/30/2013"
"AZ","748","Female reproductive system reconstructive procedures","108",,"10/01/2012","09/30/2013"
"CA","038","Extracranial procedures w CC","833",,"10/01/2012","09/30/2013"
"CA","039","Extracranial procedures w/o CC/MCC","2116",,"10/01/2012","09/30/2013"
"CA","190","Chronic obstructive pulmonary disease w MCC","9506",,"10/01/2012","09/30/2013"
"CA","191","Chronic obstructive pulmonary disease w CC","8195",,"10/01/2012","09/30/2013"
