"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"CA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","219","7","103",,"07/01/2009","06/30/2012"
"CA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","10","246","30","51",,"07/01/2009","06/30/2012"
"CA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","19","244","34","45",,"07/01/2009","06/30/2012"
"CA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","8","274","16","5",,"07/01/2010","06/30/2012"
"CA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","245","0","49",,"07/01/2010","06/30/2012"
"CA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","22","280","7","1",,"07/01/2010","06/30/2012"
"CA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","164","1","116",,"07/01/2010","06/30/2012"
"CA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","7","302","1","0",,"07/01/2010","06/30/2012"
"CA","Serious complications","PSI_90_SAFETY","15","287","8","0",,"07/01/2010","06/30/2012"
"CA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","201","1","122",,"07/01/2009","06/30/2012"
"CA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","280","10","46",,"07/01/2009","06/30/2012"
"CA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","199","8","90",,"07/01/2009","06/30/2012"
"CA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","17","283","29","10",,"07/01/2011","06/30/2012"
"CA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","5","290","3","46",,"07/01/2009","06/30/2012"
"CO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","46","1","6",,"07/01/2009","03/31/2012"
"CO","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","33","0","35",,"07/01/2009","06/30/2012"
"CO","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","55","0","19",,"07/01/2009","06/30/2012"
"CO","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","60","2","13",,"07/01/2009","06/30/2012"
"CO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","38","2","0",,"07/01/2010","06/30/2012"
"CO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","37","0","4",,"07/01/2010","06/30/2012"
"CO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","40","0","1",,"07/01/2010","06/30/2012"
"CO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","27","1","14",,"07/01/2010","06/30/2012"
"CO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","45","0","1",,"07/01/2010","06/30/2012"
"CO","Serious complications","PSI_90_SAFETY","6","40","0","0",,"07/01/2010","06/30/2012"
"CO","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","32","1","33",,"07/01/2009","06/30/2012"
"CO","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","54","3","17",,"07/01/2009","06/30/2012"
"CO","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","49","1","6",,"07/01/2009","06/30/2012"
"CO","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","63","9","3",,"07/01/2011","06/30/2012"
"CO","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","62","1","12",,"07/01/2009","06/30/2012"
"CT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","26","1","0",,"07/01/2009","03/31/2012"
"CT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","28","2","1",,"07/01/2009","06/30/2012"
"CT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","24","4","1",,"07/01/2009","06/30/2012"
"CT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","27","4","0",,"07/01/2009","06/30/2012"
"CT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","5","23","1","0",,"07/01/2010","06/30/2012"
"CT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","29","0","0",,"07/01/2010","06/30/2012"
"CT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","27","0","1",,"07/01/2010","06/30/2012"
"CT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","22","0","7",,"07/01/2010","06/30/2012"
"CT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","31","0","1",,"07/01/2010","06/30/2012"
"CT","Serious complications","PSI_90_SAFETY","6","26","0","0",,"07/01/2010","06/30/2012"
"CT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","27","0","3",,"07/01/2009","06/30/2012"
"CT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","29","1","0",,"07/01/2009","06/30/2012"
"CT","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","28","0","0",,"07/01/2009","06/30/2012"
"CT","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","25","2","0",,"07/01/2011","06/30/2012"
"CT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","31","0","0",,"07/01/2009","06/30/2012"
"DC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","0","2",,"07/01/2009","03/31/2012"
"DC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","6","0","2",,"07/01/2009","06/30/2012"
"DC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","6","2","0",,"07/01/2009","06/30/2012"
"DC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","8","0","0",,"07/01/2009","06/30/2012"
"DC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","6","0","0",,"07/01/2010","06/30/2012"
"DC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","6","0","0",,"07/01/2010","06/30/2012"
"DC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","6","0","0",,"07/01/2010","06/30/2012"
"DC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","1",,"07/01/2010","06/30/2012"
"DC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","7","0","0",,"07/01/2010","06/30/2012"
"DC","Serious complications","PSI_90_SAFETY","2","5","0","0",,"07/01/2010","06/30/2012"
"DC","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","6","0","2",,"07/01/2009","06/30/2012"
"DC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","7","0","0",,"07/01/2009","06/30/2012"
"DC","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","4","0","2",,"07/01/2009","06/30/2012"
"DC","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","3","4","0","0",,"07/01/2011","06/30/2012"
"DC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","8","0","0",,"07/01/2009","06/30/2012"
"DE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","0","1",,"07/01/2009","03/31/2012"
"DE","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","5","1","1",,"07/01/2009","06/30/2012"
"DE","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","6","1","0",,"07/01/2009","06/30/2012"
"DE","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","7","0","0",,"07/01/2009","06/30/2012"
"DE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","5","0","0",,"07/01/2010","06/30/2012"
"DE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0",,"07/01/2010","06/30/2012"
"DE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","5","1","0",,"07/01/2010","06/30/2012"
"DE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","4","0","1",,"07/01/2010","06/30/2012"
"DE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","6","0","0",,"07/01/2010","06/30/2012"
"DE","Serious complications","PSI_90_SAFETY","0","6","0","0",,"07/01/2010","06/30/2012"
"DE","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","6","0","1",,"07/01/2009","06/30/2012"
"DE","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","7","0","0",,"07/01/2009","06/30/2012"
"DE","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","5","0","1",,"07/01/2009","06/30/2012"
"DE","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","6","0","0",,"07/01/2011","06/30/2012"
"DE","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","7","0","0",,"07/01/2009","06/30/2012"
"FL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","134","11","16",,"07/01/2009","03/31/2012"
"FL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","157","3","22",,"07/01/2009","06/30/2012"
"FL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","166","8","8",,"07/01/2009","06/30/2012"
"FL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","7","167","9","5",,"07/01/2009","06/30/2012"
"FL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","18","138","7","2",,"07/01/2010","06/30/2012"
"FL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","157","0","3",,"07/01/2010","06/30/2012"
"FL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","8","151","11","1",,"07/01/2010","06/30/2012"
"FL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","5","124","6","26",,"07/01/2010","06/30/2012"
"FL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","4","166","0","1",,"07/01/2010","06/30/2012"
"FL","Serious complications","PSI_90_SAFETY","9","155","7","0",,"07/01/2010","06/30/2012"
"FL","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","3","144","3","32",,"07/01/2009","06/30/2012"
"FL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","16","157","8","6",,"07/01/2009","06/30/2012"
"FL","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","4","138","5","15",,"07/01/2009","06/30/2012"
"FL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","23","143","13","2",,"07/01/2011","06/30/2012"
"FL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","8","170","5","5",,"07/01/2009","06/30/2012"
"GA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","76","2","15",,"07/01/2009","03/31/2012"
"GA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","74","0","65",,"07/01/2009","06/30/2012"
"GA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","126","1","15",,"07/01/2009","06/30/2012"
"GA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","11","128","1","3",,"07/01/2009","06/30/2012"
"GA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","92","2","4",,"07/01/2010","06/30/2012"
"GA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","83","0","15",,"07/01/2010","06/30/2012"
"GA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","100","2","0",,"07/01/2010","06/30/2012"
"GA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","5","50","2","41",,"07/01/2010","06/30/2012"
"GA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","106","0","0",,"07/01/2010","06/30/2012"
"GA","Serious complications","PSI_90_SAFETY","4","101","3","0",,"07/01/2010","06/30/2012"
"GA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","64","1","72",,"07/01/2009","06/30/2012"
"GA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","129","3","11",,"07/01/2009","06/30/2012"
"GA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","77","2","15",,"07/01/2009","06/30/2012"
"GA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","5","129","7","1",,"07/01/2011","06/30/2012"
"GA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","138","1","4",,"07/01/2009","06/30/2012"
"GU","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0",,"07/01/2009","03/31/2012"
"GU","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","1","0","0",,"07/01/2009","06/30/2012"
"GU","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","1","0","0",,"07/01/2009","06/30/2012"
"GU","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","0",,"07/01/2009","06/30/2012"
"GU","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"GU","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"GU","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"GU","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"GU","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"GU","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"GU","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","1","0","0",,"07/01/2009","06/30/2012"
"GU","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","1","0","0",,"07/01/2009","06/30/2012"
"GU","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","0","0","0",,"07/01/2009","06/30/2012"
"GU","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","1","0","0",,"07/01/2011","06/30/2012"
"GU","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","0",,"07/01/2009","06/30/2012"
"HI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","6",,"07/01/2009","03/31/2012"
"HI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","12","0","4",,"07/01/2009","06/30/2012"
"HI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","14","0","5",,"07/01/2009","06/30/2012"
"HI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","14","0","8",,"07/01/2009","06/30/2012"
"HI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","14","0","0",,"07/01/2010","06/30/2012"
"HI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","11","0","2",,"07/01/2010","06/30/2012"
"HI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","13","0","0",,"07/01/2010","06/30/2012"
"HI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","5","0","9",,"07/01/2010","06/30/2012"
"HI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","14","0","0",,"07/01/2010","06/30/2012"
"HI","Serious complications","PSI_90_SAFETY","0","14","0","0",,"07/01/2010","06/30/2012"
"HI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","11","0","5",,"07/01/2009","06/30/2012"
"HI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","13","1","5",,"07/01/2009","06/30/2012"
"HI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","8","0","6",,"07/01/2009","06/30/2012"
"HI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","13","2","6",,"07/01/2011","06/30/2012"
"HI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","14","0","8",,"07/01/2009","06/30/2012"
"IA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","46","0","17",,"07/01/2009","03/31/2012"
"IA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","35","0","81",,"07/01/2009","06/30/2012"
"IA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","95","0","21",,"07/01/2009","06/30/2012"
"IA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","105","2","5",,"07/01/2009","06/30/2012"
"IA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","29","4","0",,"07/01/2010","06/30/2012"
"IA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","30","0","4",,"07/01/2010","06/30/2012"
"IA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","31","0","0",,"07/01/2010","06/30/2012"
"IA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","22","1","10",,"07/01/2010","06/30/2012"
"IA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","34","0","0",,"07/01/2010","06/30/2012"
