"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AL","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","0.702",,"01/01/2013","09/30/2013"
"AL","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","0.659",,"01/01/2013","09/30/2013"
"AR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.447",,"10/01/2012","09/30/2013"
"AR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.628",,"10/01/2012","09/30/2013"
"AR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.532",,"10/01/2012","09/30/2013"
"AR","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.889",,"10/01/2012","09/30/2013"
"AR","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.152",,"10/01/2012","09/30/2013"
"AR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.014",,"10/01/2012","09/30/2013"
"AR","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.591",,"10/01/2012","09/30/2013"
"AR","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.948",,"10/01/2012","09/30/2013"
"AR","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.754",,"10/01/2012","09/30/2013"
"AR","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.611",,"10/01/2012","09/30/2013"
"AR","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","1.304",,"10/01/2012","09/30/2013"
"AR","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","0.909",,"10/01/2012","09/30/2013"
"AR","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.949",,"01/01/2013","09/30/2013"
"AR","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.489",,"01/01/2013","09/30/2013"
"AR","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","1.196",,"01/01/2013","09/30/2013"
"AR","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.615",,"01/01/2013","09/30/2013"
"AR","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","0.741",,"01/01/2013","09/30/2013"
"AR","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","0.676",,"01/01/2013","09/30/2013"
"AS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"AS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"AS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13","10/01/2012","09/30/2013"
"AS","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"AS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"AS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13","10/01/2012","09/30/2013"
"AS","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"AS","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"AS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13","10/01/2012","09/30/2013"
"AS","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"AS","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"AS","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","Not Available","13","10/01/2012","09/30/2013"
"AS","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","Not Available","12","01/01/2013","09/30/2013"
"AS","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","Not Available","12","01/01/2013","09/30/2013"
"AS","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","Not Available","12","01/01/2013","09/30/2013"
"AS","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","Not Available","12","01/01/2013","09/30/2013"
"AS","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","Not Available","12","01/01/2013","09/30/2013"
"AS","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","Not Available","12","01/01/2013","09/30/2013"
"AZ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.540",,"10/01/2012","09/30/2013"
"AZ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.698",,"10/01/2012","09/30/2013"
"AZ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.615",,"10/01/2012","09/30/2013"
"AZ","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.152",,"10/01/2012","09/30/2013"
"AZ","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.370",,"10/01/2012","09/30/2013"
"AZ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.258",,"10/01/2012","09/30/2013"
"AZ","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.000",,"10/01/2012","09/30/2013"
"AZ","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.305",,"10/01/2012","09/30/2013"
"AZ","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.145",,"10/01/2012","09/30/2013"
"AZ","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.787",,"10/01/2012","09/30/2013"
"AZ","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","1.306",,"10/01/2012","09/30/2013"
"AZ","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","1.022",,"10/01/2012","09/30/2013"
"AZ","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.787",,"01/01/2013","09/30/2013"
"AZ","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.111",,"01/01/2013","09/30/2013"
"AZ","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","0.939",,"01/01/2013","09/30/2013"
"AZ","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","1.058",,"01/01/2013","09/30/2013"
"AZ","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","1.165",,"01/01/2013","09/30/2013"
"AZ","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","1.111",,"01/01/2013","09/30/2013"
"CA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.462",,"10/01/2012","09/30/2013"
"CA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.522",,"10/01/2012","09/30/2013"
"CA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.492",,"10/01/2012","09/30/2013"
"CA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.079",,"10/01/2012","09/30/2013"
"CA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.171",,"10/01/2012","09/30/2013"
"CA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.124",,"10/01/2012","09/30/2013"
"CA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.767",,"10/01/2012","09/30/2013"
"CA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.890",,"10/01/2012","09/30/2013"
"CA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.827",,"10/01/2012","09/30/2013"
"CA","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.695",,"10/01/2012","09/30/2013"
"CA","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","0.927",,"10/01/2012","09/30/2013"
"CA","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","0.805",,"10/01/2012","09/30/2013"
"CA","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.679",,"01/01/2013","09/30/2013"
"CA","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","0.809",,"01/01/2013","09/30/2013"
"CA","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","0.742",,"01/01/2013","09/30/2013"
"CA","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","1.046",,"01/01/2013","09/30/2013"
"CA","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","1.093",,"01/01/2013","09/30/2013"
"CA","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","1.069",,"01/01/2013","09/30/2013"
"CO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.378",,"10/01/2012","09/30/2013"
"CO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.548",,"10/01/2012","09/30/2013"
"CO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.458",,"10/01/2012","09/30/2013"
"CO","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.787",,"10/01/2012","09/30/2013"
"CO","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.017",,"10/01/2012","09/30/2013"
"CO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.896",,"10/01/2012","09/30/2013"
"CO","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.621",,"10/01/2012","09/30/2013"
"CO","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.914",,"10/01/2012","09/30/2013"
"CO","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.757",,"10/01/2012","09/30/2013"
"CO","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.731",,"10/01/2012","09/30/2013"
"CO","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","1.466",,"10/01/2012","09/30/2013"
"CO","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","1.051",,"10/01/2012","09/30/2013"
"CO","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.592",,"01/01/2013","09/30/2013"
"CO","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.022",,"01/01/2013","09/30/2013"
"CO","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","0.785",,"01/01/2013","09/30/2013"
"CO","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.987",,"01/01/2013","09/30/2013"
"CO","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","1.125",,"01/01/2013","09/30/2013"
"CO","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","1.055",,"01/01/2013","09/30/2013"
"CT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.402",,"10/01/2012","09/30/2013"
"CT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.596",,"10/01/2012","09/30/2013"
"CT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.492",,"10/01/2012","09/30/2013"
"CT","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.638",,"10/01/2012","09/30/2013"
"CT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.965",,"10/01/2012","09/30/2013"
"CT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.796",,"10/01/2012","09/30/2013"
"CT","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","1.094",,"10/01/2012","09/30/2013"
"CT","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.526",,"10/01/2012","09/30/2013"
"CT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.296",,"10/01/2012","09/30/2013"
"CT","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","1.273",,"10/01/2012","09/30/2013"
"CT","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","2.172",,"10/01/2012","09/30/2013"
"CT","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","1.677",,"10/01/2012","09/30/2013"
"CT","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.654",,"01/01/2013","09/30/2013"
"CT","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.002",,"01/01/2013","09/30/2013"
"CT","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","0.814",,"01/01/2013","09/30/2013"
"CT","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","1.002",,"01/01/2013","09/30/2013"
"CT","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","1.128",,"01/01/2013","09/30/2013"
"CT","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","1.064",,"01/01/2013","09/30/2013"
"DC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.397",,"10/01/2012","09/30/2013"
"DC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.626",,"10/01/2012","09/30/2013"
"DC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.502",,"10/01/2012","09/30/2013"
"DC","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.077",,"10/01/2012","09/30/2013"
"DC","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.511",,"10/01/2012","09/30/2013"
"DC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.280",,"10/01/2012","09/30/2013"
"DC","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.638",,"10/01/2012","09/30/2013"
"DC","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.342",,"10/01/2012","09/30/2013"
"DC","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.941",,"10/01/2012","09/30/2013"
"DC","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.691",,"10/01/2012","09/30/2013"
"DC","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","2.426",,"10/01/2012","09/30/2013"
"DC","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","1.361",,"10/01/2012","09/30/2013"
"DC","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","1.440",,"01/01/2013","09/30/2013"
"DC","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","2.295",,"01/01/2013","09/30/2013"
"DC","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","1.831",,"01/01/2013","09/30/2013"
"DC","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.824",,"01/01/2013","09/30/2013"
"DC","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","1.023",,"01/01/2013","09/30/2013"
"DC","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","0.920",,"01/01/2013","09/30/2013"
"DE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.364",,"10/01/2012","09/30/2013"
"DE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.766",,"10/01/2012","09/30/2013"
"DE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.537",,"10/01/2012","09/30/2013"
"DE","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.153",,"10/01/2012","09/30/2013"
"DE","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.857",,"10/01/2012","09/30/2013"
"DE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.474",,"10/01/2012","09/30/2013"
"DE","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.412",,"10/01/2012","09/30/2013"
"DE","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.937",,"10/01/2012","09/30/2013"
"DE","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.635",,"10/01/2012","09/30/2013"
"DE","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.391",,"10/01/2012","09/30/2013"
"DE","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","1.471",,"10/01/2012","09/30/2013"
"DE","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","0.801",,"10/01/2012","09/30/2013"
"DE","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.756",,"01/01/2013","09/30/2013"
"DE","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.621",,"01/01/2013","09/30/2013"
"DE","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","1.129",,"01/01/2013","09/30/2013"
"DE","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.958",,"01/01/2013","09/30/2013"
"DE","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","1.219",,"01/01/2013","09/30/2013"
"DE","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","1.083",,"01/01/2013","09/30/2013"
"FL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.521",,"10/01/2012","09/30/2013"
"FL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.594",,"10/01/2012","09/30/2013"
"FL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.556",,"10/01/2012","09/30/2013"
"FL","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.865",,"10/01/2012","09/30/2013"
"FL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.955",,"10/01/2012","09/30/2013"
"FL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.909",,"10/01/2012","09/30/2013"
"FL","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.733",,"10/01/2012","09/30/2013"
"FL","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.870",,"10/01/2012","09/30/2013"
"FL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.799",,"10/01/2012","09/30/2013"
"FL","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.758",,"10/01/2012","09/30/2013"
"FL","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","1.056",,"10/01/2012","09/30/2013"
"FL","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","0.898",,"10/01/2012","09/30/2013"
"FL","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","1.078",,"01/01/2013","09/30/2013"
"FL","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.259",,"01/01/2013","09/30/2013"
"FL","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","1.166",,"01/01/2013","09/30/2013"
"FL","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.902",,"01/01/2013","09/30/2013"
"FL","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","0.952",,"01/01/2013","09/30/2013"
"FL","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","0.926",,"01/01/2013","09/30/2013"
"GA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.641",,"10/01/2012","09/30/2013"
"GA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.770",,"10/01/2012","09/30/2013"
"GA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.703",,"10/01/2012","09/30/2013"
"GA","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","1.201",,"10/01/2012","09/30/2013"
"GA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.368",,"10/01/2012","09/30/2013"
"GA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.282",,"10/01/2012","09/30/2013"
"GA","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.693",,"10/01/2012","09/30/2013"
"GA","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.897",,"10/01/2012","09/30/2013"
"GA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.790",,"10/01/2012","09/30/2013"
"GA","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.772",,"10/01/2012","09/30/2013"
"GA","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","1.130",,"10/01/2012","09/30/2013"
"GA","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","0.938",,"10/01/2012","09/30/2013"
"GA","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.898",,"01/01/2013","09/30/2013"
"GA","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.160",,"01/01/2013","09/30/2013"
"GA","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","1.023",,"01/01/2013","09/30/2013"
"GA","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.801",,"01/01/2013","09/30/2013"
"GA","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","0.877",,"01/01/2013","09/30/2013"
"GA","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","0.838",,"01/01/2013","09/30/2013"
"GU","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"GU","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"GU","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13","10/01/2012","09/30/2013"
"GU","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"GU","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"GU","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13","10/01/2012","09/30/2013"
"GU","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"GU","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"GU","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13","10/01/2012","09/30/2013"
"GU","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","Not Available","13","10/01/2012","09/30/2013"
"GU","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","Not Available","13","10/01/2012","09/30/2013"
"GU","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","Not Available","13","10/01/2012","09/30/2013"
"GU","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","Not Available","12","01/01/2013","09/30/2013"
"GU","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","Not Available","12","01/01/2013","09/30/2013"
"GU","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","Not Available","12","01/01/2013","09/30/2013"
"GU","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","Not Available","12","01/01/2013","09/30/2013"
"GU","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","Not Available","12","01/01/2013","09/30/2013"
