"Provider ID","Hospital Name","State","Measure ID","Measure Name","Score","Footnote","Measure Start Date","Measure End Date"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_9","Mammography Follow-up Rates","12.8",,"07/01/2012","06/30/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","5.0",,"07/01/2012","06/30/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","Not Available","1","07/01/2012","06/30/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_9","Mammography Follow-up Rates","7.4",,"07/01/2012","06/30/2013"
"010011","ST VINCENT'S EAST","AL","OP_10","Abdomen CT Use of Contrast Material","6.2",,"07/01/2012","06/30/2013"
"010011","ST VINCENT'S EAST","AL","OP_11","Thorax CT Use of Contrast Material","12.9",,"07/01/2012","06/30/2013"
"010011","ST VINCENT'S EAST","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010011","ST VINCENT'S EAST","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.9",,"07/01/2012","06/30/2013"
"010011","ST VINCENT'S EAST","AL","OP_8","MRI Lumbar Spine for Low Back Pain","41.4",,"07/01/2012","06/30/2013"
"010011","ST VINCENT'S EAST","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","15.4",,"07/01/2012","06/30/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","18.9",,"07/01/2012","06/30/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.3",,"07/01/2012","06/30/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","35.9",,"07/01/2012","06/30/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","5.0",,"07/01/2012","06/30/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","32.9",,"07/01/2012","06/30/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","1.0",,"07/01/2012","06/30/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","3.6",,"07/01/2012","06/30/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.2",,"07/01/2012","06/30/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","38.7",,"07/01/2012","06/30/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","9.8",,"07/01/2012","06/30/2013"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","Not Available","7","07/01/2012","06/30/2013"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","Not Available","7","07/01/2012","06/30/2013"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","7","07/01/2012","06/30/2013"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","12.4",,"07/01/2012","06/30/2013"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","0.8",,"07/01/2012","06/30/2013"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","5.6",,"07/01/2012","06/30/2013"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","40.3",,"07/01/2012","06/30/2013"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_9","Mammography Follow-up Rates","3.7",,"07/01/2012","06/30/2013"
"010021","DALE MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","12.2",,"07/01/2012","06/30/2013"
"010021","DALE MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","4.8",,"07/01/2012","06/30/2013"
"010021","DALE MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","4.8",,"07/01/2012","06/30/2013"
"010021","DALE MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","5.6",,"07/01/2012","06/30/2013"
"010021","DALE MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","42.3",,"07/01/2012","06/30/2013"
"010021","DALE MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","7.0",,"07/01/2012","06/30/2013"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","2.0",,"07/01/2012","06/30/2013"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","6.0",,"07/01/2012","06/30/2013"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","3.4",,"07/01/2012","06/30/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_10","Abdomen CT Use of Contrast Material","20.7",,"07/01/2012","06/30/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_11","Thorax CT Use of Contrast Material","2.0",,"07/01/2012","06/30/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.8",,"07/01/2012","06/30/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_8","MRI Lumbar Spine for Low Back Pain","36.4",,"07/01/2012","06/30/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_9","Mammography Follow-up Rates","5.6",,"07/01/2012","06/30/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_10","Abdomen CT Use of Contrast Material","12.6",,"07/01/2012","06/30/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_11","Thorax CT Use of Contrast Material","0.0",,"07/01/2012","06/30/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.7",,"07/01/2012","06/30/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_8","MRI Lumbar Spine for Low Back Pain","48.9",,"07/01/2012","06/30/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_9","Mammography Follow-up Rates","3.3",,"07/01/2012","06/30/2013"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","48.3",,"07/01/2012","06/30/2013"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","19.1",,"07/01/2012","06/30/2013"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_9","Mammography Follow-up Rates","14.2",,"07/01/2012","06/30/2013"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","52.9",,"07/01/2012","06/30/2013"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","0.8",,"07/01/2012","06/30/2013"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","5.5",,"07/01/2012","06/30/2013"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.8",,"07/01/2012","06/30/2013"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","37.8",,"07/01/2012","06/30/2013"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","7.3",,"07/01/2012","06/30/2013"
"010032","WEDOWEE HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","8.6",,"07/01/2012","06/30/2013"
"010032","WEDOWEE HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","Not Available","1","07/01/2012","06/30/2013"
"010032","WEDOWEE HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010032","WEDOWEE HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","5.4",,"07/01/2012","06/30/2013"
"010032","WEDOWEE HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","7","07/01/2012","06/30/2013"
"010032","WEDOWEE HOSPITAL","AL","OP_9","Mammography Follow-up Rates","12.0",,"07/01/2012","06/30/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","5.4",,"07/01/2012","06/30/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","0.3",,"07/01/2012","06/30/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","7.0",,"07/01/2012","06/30/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","4.3",,"07/01/2012","06/30/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","29.6",,"07/01/2012","06/30/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"010034","COMMUNITY HOSPITAL INC","AL","OP_10","Abdomen CT Use of Contrast Material","17.9",,"07/01/2012","06/30/2013"
"010034","COMMUNITY HOSPITAL INC","AL","OP_11","Thorax CT Use of Contrast Material","9.1",,"07/01/2012","06/30/2013"
"010034","COMMUNITY HOSPITAL INC","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010034","COMMUNITY HOSPITAL INC","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010034","COMMUNITY HOSPITAL INC","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"010034","COMMUNITY HOSPITAL INC","AL","OP_9","Mammography Follow-up Rates","8.9",,"07/01/2012","06/30/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","6.6",,"07/01/2012","06/30/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","13.8",,"07/01/2012","06/30/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","11.3",,"07/01/2012","06/30/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.1",,"07/01/2012","06/30/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","42.6",,"07/01/2012","06/30/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","6.2",,"07/01/2012","06/30/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","9.1",,"07/01/2012","06/30/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","9.0",,"07/01/2012","06/30/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","29.9",,"07/01/2012","06/30/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_9","Mammography Follow-up Rates","6.2",,"07/01/2012","06/30/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","8.8",,"07/01/2012","06/30/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","9.7",,"07/01/2012","06/30/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","8.6",,"07/01/2012","06/30/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","49.6",,"07/01/2012","06/30/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_9","Mammography Follow-up Rates","19.0",,"07/01/2012","06/30/2013"
"010039","HUNTSVILLE HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","22.0",,"07/01/2012","06/30/2013"
"010039","HUNTSVILLE HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","0.5",,"07/01/2012","06/30/2013"
"010039","HUNTSVILLE HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","7.5",,"07/01/2012","06/30/2013"
"010039","HUNTSVILLE HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","5.1",,"07/01/2012","06/30/2013"
"010039","HUNTSVILLE HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","37.1",,"07/01/2012","06/30/2013"
"010039","HUNTSVILLE HOSPITAL","AL","OP_9","Mammography Follow-up Rates","6.6",,"07/01/2012","06/30/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","15.7",,"07/01/2012","06/30/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","15.3",,"07/01/2012","06/30/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.6",,"07/01/2012","06/30/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","4.2",,"07/01/2012","06/30/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","43.3",,"07/01/2012","06/30/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","7.0",,"07/01/2012","06/30/2013"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","7.9",,"07/01/2012","06/30/2013"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","4.5",,"07/01/2012","06/30/2013"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","52.3",,"07/01/2012","06/30/2013"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"010045","FAYETTE MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","1.7",,"07/01/2012","06/30/2013"
"010045","FAYETTE MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","1.8",,"07/01/2012","06/30/2013"
"010045","FAYETTE MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010045","FAYETTE MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010045","FAYETTE MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","42.9",,"07/01/2012","06/30/2013"
"010045","FAYETTE MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","18.0",,"07/01/2012","06/30/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","7.4",,"07/01/2012","06/30/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","9.3",,"07/01/2012","06/30/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","34.8",,"07/01/2012","06/30/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","8.5",,"07/01/2012","06/30/2013"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","Not Available","1","07/01/2012","06/30/2013"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","14.6",,"07/01/2012","06/30/2013"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","7","07/01/2012","06/30/2013"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"010049","MEDICAL CENTER ENTERPRISE","AL","OP_10","Abdomen CT Use of Contrast Material","3.4",,"07/01/2012","06/30/2013"
"010049","MEDICAL CENTER ENTERPRISE","AL","OP_11","Thorax CT Use of Contrast Material","1.2",,"07/01/2012","06/30/2013"
"010049","MEDICAL CENTER ENTERPRISE","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","7.2",,"07/01/2012","06/30/2013"
"010049","MEDICAL CENTER ENTERPRISE","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","5.1",,"07/01/2012","06/30/2013"
"010049","MEDICAL CENTER ENTERPRISE","AL","OP_8","MRI Lumbar Spine for Low Back Pain","37.2",,"07/01/2012","06/30/2013"
"010049","MEDICAL CENTER ENTERPRISE","AL","OP_9","Mammography Follow-up Rates","5.1",,"07/01/2012","06/30/2013"
"010051","GREENE COUNTY HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","Not Available","1","07/01/2012","06/30/2013"
"010051","GREENE COUNTY HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","Not Available","1","07/01/2012","06/30/2013"
"010051","GREENE COUNTY HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","7","07/01/2012","06/30/2013"
"010051","GREENE COUNTY HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","0.0",,"07/01/2012","06/30/2013"
"010051","GREENE COUNTY HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","7","07/01/2012","06/30/2013"
"010051","GREENE COUNTY HOSPITAL","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","0.0",,"07/01/2012","06/30/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","Not Available","1","07/01/2012","06/30/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","5.6",,"07/01/2012","06/30/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","AL","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
