"Provider ID","Hospital Name","State","Measure ID","Measure Name","Measure Response","Footnote","Measure Start Date","Measure End Date"
"010007","MIZELL MEMORIAL HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010008","CRENSHAW COMMUNITY HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010011","ST VINCENT'S EAST","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010011","ST VINCENT'S EAST","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010011","ST VINCENT'S EAST","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010011","ST VINCENT'S EAST","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010011","ST VINCENT'S EAST","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010011","ST VINCENT'S EAST","AL","SM_PART_NURSE","Nursing care registry","Y",,"01/01/2012","12/31/2012"
"010011","ST VINCENT'S EAST","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010012","DEKALB REGIONAL MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010016","SHELBY BAPTIST MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_12","Able to receive lab results electronically","No",,"01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010018","CALLAHAN EYE HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_12","Able to receive lab results electronically","No",,"01/01/2012","12/31/2012"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","No",,"01/01/2012","12/31/2012"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010019","HELEN KELLER MEMORIAL HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010021","DALE MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","No",,"01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010022","CHEROKEE MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","SM_PART_NURSE","Nursing care registry","Y",,"01/01/2012","12/31/2012"
"010023","BAPTIST MEDICAL CENTER SOUTH","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","SM_PART_CARD","Cardiac surgery registry","N",,"01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010024","JACKSON HOSPITAL & CLINIC INC","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","Y",,"01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","Y",,"01/01/2012","12/31/2012"
"010029","EAST ALABAMA MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","AL","OP_12","Able to receive lab results electronically","No",,"01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010032","WEDOWEE HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","ACS_REGISTRY","Multispecialty surgical registry","Y",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","Y",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","Y",,"01/01/2012","12/31/2012"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010034","COMMUNITY HOSPITAL INC","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010035","CULLMAN REGIONAL MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010036","ANDALUSIA REGIONAL HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_12","Able to receive lab results electronically","No",,"01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","Y",,"01/01/2012","12/31/2012"
"010039","HUNTSVILLE HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","N",,"01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010040","GADSDEN REGIONAL MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010044","MARION REGIONAL MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010045","FAYETTE MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","No",,"01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","No",,"01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010047","GEORGIANA MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010049","MEDICAL CENTER ENTERPRISE","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
