"Measure_Name","Measure_ID","Measure_Start_Quarter","Measure_Start_Date","Measure_End_Quarter","Measure_End_Date"
"Death among surgical inpatients with serious treatable complications","PSI-4","3Q2010",7/1/2010 0:00:00,"2Q2012",6/30/2012 0:00:00
"Iatrogenic pneumothorax, adult","PSI-6","3Q2010",7/1/2010 0:00:00,"2Q2012",6/30/2012 0:00:00
"Complication/patient safety for selected indicators (composite)","PSI-90","3Q2010",7/1/2010 0:00:00,"2Q2012",6/30/2012 0:00:00
"Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM-30-AMI","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Acute Myocardial Infarction (AMI) 30-Day Readmissions","READM-30-AMI-HRRP","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Heart  Failure (HF) 30-Day Readmission Rate","READM-30-HF","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Heart Failure (HF) 30-Day Readmissions","READM-30-HF-HRRP","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","READM-30-HIP-KNEE","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"30-Day Hospital-Wide All-Cause Unplanned Readmission Rate","READM-30-HOSPWIDE","3Q2011",7/1/2011 0:00:00,"2Q2012",6/30/2012 0:00:00
"Pneumonia (PN) 30-Day Readmission Rate","READM-30-PN","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Pneumonia (PN) 30-Day Readmissions","READM-30-PN-HRRP","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","SCIP-Card-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision","SCIP-Inf-1","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Surgery Patients with Perioperative Temperature Management","SCIP-Inf-10","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Prophylactic Antibiotic Selection for Surgical Patients","SCIP-Inf-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","SCIP-Inf-3","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Cardiac Surgery Patients with Controlled 6 A.M. Postoperative Blood Glucose","SCIP-Inf-4","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","SCIP-Inf-9","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","SCIP-VTE-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Participation in a Systematic Database for Cardiac Surgery","SM-1","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Participation in a Systematic Clinical Database Registry for Stroke Care","SM-2","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Participation in a Systematic Clinical Database Registry for Nursing Sensitive Care","SM-3","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Participation in a Systematic Clinical Database Registry for General Surgery","SM-4","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Venous Thromboembolism (VTE) Prophylaxis","STK-1","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Assessed for Rehabilitation","STK-10","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Discharged on Antithrombotic Therapy","STK-2","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Anticoagulation Therapy for Atrial Fibrillation/Flutter","STK-3","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Thrombolytic Therapy","STK-4","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Antithrombotic Therapy By End of Hospital Day 2","STK-5","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Discharged on Statin Medication","STK-6","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Stroke Education","STK-8","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Venous Thromboembolism Prophylaxis","VTE-1","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Intensive Care Unit Venous Thromboembolism Prophylaxis","VTE-2","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Venous Thromboembolism Patients with Anticoagulation Overlap Therapy","VTE-3","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram","VTE-4","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Venous Thromboembolism Warfarin Therapy Discharge Instructions","VTE-5","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Hospital Acquired Potentially-Preventable Venous Thromboembolism","VTE-6","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
