"State","Condition","Measure Name","State Average"
"AR","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","73"
"AR","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","68"
"AZ","Heart Attack","Patients Given Aspirin at Arrival","91"
"AZ","Heart Attack","Patients Given Aspirin at Discharge","91"
"AZ","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","85"
"AZ","Heart Attack","Patients Given Beta Blocker at Discharge","85"
"AZ","Heart Attack","Patients Given Beta Blocker at Arrival","86"
"AZ","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","81"
"AZ","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","79"
"AZ","Pneumonia","Patients Given Oxygenation Assessment","100"
"AZ","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","56"
"AZ","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","73"
"AZ","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","80"
"AZ","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","20"
"AZ","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","58"
"AZ","Heart Failure","Patients Given Discharge Instructions","37"
"AZ","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","59"
"AZ","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","79"
"AZ","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","57"
"AZ","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","81"
"AZ","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","71"
"AZ","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","61"
"CA","Heart Attack","Patients Given Aspirin at Arrival","94"
"CA","Heart Attack","Patients Given Aspirin at Discharge","89"
"CA","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","82"
"CA","Heart Attack","Patients Given Beta Blocker at Discharge","86"
"CA","Heart Attack","Patients Given Beta Blocker at Arrival","87"
"CA","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","81"
"CA","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","80"
"CA","Pneumonia","Patients Given Oxygenation Assessment","99"
"CA","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","33"
"CA","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","71"
"CA","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","69"
"CA","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","34"
"CA","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","58"
"CA","Heart Failure","Patients Given Discharge Instructions","43"
"CA","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","64"
"CA","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","82"
"CA","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","58"
"CA","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","75"
"CA","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","64"
"CA","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","54"
"CO","Heart Attack","Patients Given Aspirin at Arrival","96"
"CO","Heart Attack","Patients Given Aspirin at Discharge","95"
"CO","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","92"
"CO","Heart Attack","Patients Given Beta Blocker at Discharge","92"
"CO","Heart Attack","Patients Given Beta Blocker at Arrival","92"
"CO","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","76"
"CO","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","83"
"CO","Pneumonia","Patients Given Oxygenation Assessment","100"
"CO","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","55"
"CO","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","79"
"CO","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","74"
"CO","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","49"
"CO","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","72"
"CO","Heart Failure","Patients Given Discharge Instructions","33"
"CO","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","66"
"CO","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","81"
"CO","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","60"
"CO","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","78"
"CO","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","71"
"CO","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","72"
"CT","Heart Attack","Patients Given Aspirin at Arrival","94"
"CT","Heart Attack","Patients Given Aspirin at Discharge","97"
"CT","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","77"
"CT","Heart Attack","Patients Given Beta Blocker at Discharge","96"
"CT","Heart Attack","Patients Given Beta Blocker at Arrival","93"
"CT","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","93"
"CT","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","83"
"CT","Pneumonia","Patients Given Oxygenation Assessment","100"
"CT","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","61"
"CT","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","75"
"CT","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","80"
"CT","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","33"
"CT","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","61"
"CT","Heart Failure","Patients Given Discharge Instructions","61"
"CT","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","83"
"CT","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","84"
"CT","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","78"
"CT","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","73"
"CT","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","83"
"CT","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","94"
"DC","Heart Attack","Patients Given Aspirin at Arrival","94"
"DC","Heart Attack","Patients Given Aspirin at Discharge","89"
"DC","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","56"
"DC","Heart Attack","Patients Given Beta Blocker at Discharge","87"
"DC","Heart Attack","Patients Given Beta Blocker at Arrival","81"
"DC","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","89"
"DC","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","89"
"DC","Pneumonia","Patients Given Oxygenation Assessment","99"
"DC","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","23"
"DC","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","54"
"DC","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","64"
"DC","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","26"
"DC","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","18"
"DC","Heart Failure","Patients Given Discharge Instructions","53"
"DC","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","59"
"DC","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","73"
"DC","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","61"
"DC","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","78"
"DC","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","88"
"DC","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","42"
"DE","Heart Attack","Patients Given Aspirin at Arrival","96"
"DE","Heart Attack","Patients Given Aspirin at Discharge","95"
"DE","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","72"
"DE","Heart Attack","Patients Given Beta Blocker at Discharge","94"
"DE","Heart Attack","Patients Given Beta Blocker at Arrival","89"
"DE","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","91"
"DE","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","78"
"DE","Pneumonia","Patients Given Oxygenation Assessment","100"
"DE","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","45"
"DE","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","70"
"DE","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","80"
"DE","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","44"
"DE","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","70"
"DE","Heart Failure","Patients Given Discharge Instructions","46"
"DE","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","70"
"DE","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","80"
"DE","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","64"
"DE","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","82"
"DE","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","80"
"DE","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","62"
"FL","Heart Attack","Patients Given Aspirin at Arrival","91"
"FL","Heart Attack","Patients Given Aspirin at Discharge","85"
"FL","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","74"
"FL","Heart Attack","Patients Given Beta Blocker at Discharge","87"
"FL","Heart Attack","Patients Given Beta Blocker at Arrival","86"
"FL","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","86"
"FL","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75"
"FL","Pneumonia","Patients Given Oxygenation Assessment","98"
"FL","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","46"
"FL","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","67"
"FL","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","78"
"FL","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","29"
"FL","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","57"
"FL","Heart Failure","Patients Given Discharge Instructions","49"
"FL","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","77"
"FL","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","81"
"FL","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","75"
"FL","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","75"
"FL","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","74"
"FL","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","62"
"GA","Heart Attack","Patients Given Aspirin at Arrival","89"
"GA","Heart Attack","Patients Given Aspirin at Discharge","82"
"GA","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75"
"GA","Heart Attack","Patients Given Beta Blocker at Discharge","80"
"GA","Heart Attack","Patients Given Beta Blocker at Arrival","80"
"GA","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","74"
"GA","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","79"
"GA","Pneumonia","Patients Given Oxygenation Assessment","98"
"GA","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","41"
"GA","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","71"
"GA","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","68"
"GA","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","30"
"GA","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","48"
"GA","Heart Failure","Patients Given Discharge Instructions","44"
"GA","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","66"
"GA","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","79"
"GA","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","66"
"GA","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","74"
"GA","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","63"
"GA","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","62"
"GU","Heart Attack","Patients Given Aspirin at Arrival","96"
"GU","Heart Attack","Patients Given Aspirin at Discharge","85"
"GU","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","67"
"GU","Heart Attack","Patients Given Beta Blocker at Discharge","86"
"GU","Heart Attack","Patients Given Beta Blocker at Arrival","93"
"GU","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","57"
"GU","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75"
"GU","Pneumonia","Patients Given Oxygenation Assessment","100"
"GU","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","0"
"GU","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","83"
"GU","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","86"
"GU","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","33"
"GU","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival",
"GU","Heart Failure","Patients Given Discharge Instructions","14"
"GU","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","30"
"GU","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","97"
"GU","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","33"
"GU","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","45"
"GU","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision",
"GU","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery",
"HI","Heart Attack","Patients Given Aspirin at Arrival","91"
"HI","Heart Attack","Patients Given Aspirin at Discharge","90"
"HI","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","76"
"HI","Heart Attack","Patients Given Beta Blocker at Discharge","89"
"HI","Heart Attack","Patients Given Beta Blocker at Arrival","85"
"HI","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","79"
"HI","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","74"
"HI","Pneumonia","Patients Given Oxygenation Assessment","99"
"HI","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","43"
"HI","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","75"
"HI","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","69"
"HI","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","19"
"HI","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","72"
"HI","Heart Failure","Patients Given Discharge Instructions","32"
"HI","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","62"
"HI","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","85"
"HI","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","55"
"HI","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","72"
"HI","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","50"
"HI","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","62"
"IA","Heart Attack","Patients Given Aspirin at Arrival","91"
"IA","Heart Attack","Patients Given Aspirin at Discharge","91"
"IA","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","85"
"IA","Heart Attack","Patients Given Beta Blocker at Discharge","86"
"IA","Heart Attack","Patients Given Beta Blocker at Arrival","83"
"IA","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","68"
"IA","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","84"
"IA","Pneumonia","Patients Given Oxygenation Assessment","99"
"IA","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","68"
"IA","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","85"
"IA","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","70"
"IA","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","24"
"IA","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","68"
"IA","Heart Failure","Patients Given Discharge Instructions","51"
"IA","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","59"
"IA","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","86"
"IA","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","59"
"IA","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","78"
"IA","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","71"
"IA","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","72"
"ID","Heart Attack","Patients Given Aspirin at Arrival","96"
"ID","Heart Attack","Patients Given Aspirin at Discharge","92"
"ID","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","79"
"ID","Heart Attack","Patients Given Beta Blocker at Discharge","85"
"ID","Heart Attack","Patients Given Beta Blocker at Arrival","89"
"ID","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","78"
"ID","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","79"
"ID","Pneumonia","Patients Given Oxygenation Assessment","100"
"ID","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","64"
"ID","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","79"
"ID","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","91"
"ID","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","17"
"ID","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","62"
"ID","Heart Failure","Patients Given Discharge Instructions","50"
"ID","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","65"
"ID","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","85"
"ID","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","69"
"ID","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","79"
"ID","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","74"
"ID","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","65"
"IL","Heart Attack","Patients Given Aspirin at Arrival","91"
"IL","Heart Attack","Patients Given Aspirin at Discharge","89"
"IL","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","76"
"IL","Heart Attack","Patients Given Beta Blocker at Discharge","87"
"IL","Heart Attack","Patients Given Beta Blocker at Arrival","84"
"IL","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","84"
"IL","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","80"
"IL","Pneumonia","Patients Given Oxygenation Assessment","98"
"IL","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","45"
"IL","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","76"
"IL","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","75"
"IL","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","23"
"IL","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","60"
"IL","Heart Failure","Patients Given Discharge Instructions","54"
"IL","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","68"
"IL","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","82"
"IL","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","64"
"IL","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","75"
"IL","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","67"
"IL","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","60"
"IN","Heart Attack","Patients Given Aspirin at Arrival","89"
"IN","Heart Attack","Patients Given Aspirin at Discharge","87"
"IN","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75"
"IN","Heart Attack","Patients Given Beta Blocker at Discharge","86"
"IN","Heart Attack","Patients Given Beta Blocker at Arrival","80"
"IN","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","81"
"IN","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75"
"IN","Pneumonia","Patients Given Oxygenation Assessment","99"
"IN","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","61"
"IN","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","79"
"IN","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","70"
"IN","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","36"
"IN","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","62"
"IN","Heart Failure","Patients Given Discharge Instructions","51"
"IN","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","66"
"IN","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","82"
"IN","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","66"
"IN","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","78"
"IN","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","65"
"IN","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","56"
"KS","Heart Attack","Patients Given Aspirin at Arrival","89"
"KS","Heart Attack","Patients Given Aspirin at Discharge","84"
"KS","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","81"
"KS","Heart Attack","Patients Given Beta Blocker at Discharge","79"
"KS","Heart Attack","Patients Given Beta Blocker at Arrival","73"
