State,S_HBIPS-2_Measure_Description,S_HBIPS-2_Overall_Rate_Per_1000,S_HBIPS-2_Overall_Num,S_HBIPS-2_Overall_Den,S_HBIPS-2_1-12_Rate_Per_1000,S_HBIPS-2_1-12_Num,S_HBIPS-2_1-12_Den,S_HBIPS-2_13-17_Rate_Per_1000,S_HBIPS-2_13-17_Num,S_HBIPS-2_13-17_Den,S_HBIPS-2_18-64_Rate_Per_1000,S_HBIPS-2_18-64_Num,S_HBIPS-2_18-64_Den,S_HBIPS-2_65_Over_Rate_Per_1000,S_HBIPS-2_65_Over_Num,S_HBIPS-2_65_Over_Den,S_HBIPS-3_Measure_Description,S_HBIPS-3_Overall_Rate_Per_1000,S_HBIPS-3_Overall_Num,S_HBIPS-3_Overall_Den,S_HBIPS-3_1-12_Rate_Per_1000,S_HBIPS-3_1-12_Num,S_HBIPS-3_1-12_Den,S_HBIPS-3_13-17_Rate_Per_1000,S_HBIPS-3_13-17_Num,S_HBIPS-3_13-17_Den,S_HBIPS-3_18-64_Rate_Per_1000,S_HBIPS-3_18-64_Num,S_HBIPS-3_18-64_Den,S_HBIPS-3_65_Over_Rate_Per_1000,S_HBIPS-3_65_Over_Num,S_HBIPS-3_65_Over_Den,S_HBIPS-4_Measure_Description,S_HBIPS-4_Overall_%_of_Total,S_HBIPS-4_Overall_Num,S_HBIPS-4_Overall_Den,S_HBIPS-4_1-12_%_of_Total,S_HBIPS-4_1-12_Num,S_HBIPS-4_1-12_Den,S_HBIPS-4_13-17_%_of_Total,S_HBIPS-4_13-17_Num,S_HBIPS-4_13-17_Den,S_HBIPS-4_18-64_%_of_Total,S_HBIPS-4_18-64_Num,S_HBIPS-4_18-64_Den,S_HBIPS-4_65_Over_%_of_Total,S_HBIPS-4_65_Over_Num,S_HBIPS-4_65_Over_Den,S_HBIPS-5_Measure_Description,S_HBIPS-5_%_of_Total,S_HBIPS-5_Overall_Num,S_HBIPS-5_Overall_Den,S_HBIPS-5_1-12_%_of_Total,S_HBIPS-5_1-12_Num,S_HBIPS-5_1-12_Den,S_HBIPS-5_13-17_%_of_Total,S_HBIPS-5_13-17_Num,S_HBIPS-5_13-17_Den,S_HBIPS-5_18-64_%_of_Total,S_HBIPS-5_18-64_Num,S_HBIPS-5_18-64_Den,S_HBIPS-5_65_%_of_Total,S_HBIPS-5_65_Over_Num,S_HBIPS-5_65_Over_Den,S_HBIPS-6_Measure_Description,S_HBIPS-6_%_of_Total,S_HBIPS-6_Overall_Num,S_HBIPS-6_Overall_Den,S_HBIPS-6_1-12_%_of_Total,S_HBIPS-6_1-12_Num,S_HBIPS-6_1-12_Den,S_HBIPS-6_13-17_%_of_Total,S_HBIPS-6_13-17_Num,S_HBIPS-6_13-17_Den,S_HBIPS-6_18-64_%_of_Total,S_HBIPS-6_18-64_Num,S_HBIPS-6_18-64_Den,S_HBIPS-6_65_%_of_Total,S_HBIPS-6_65_Over_Num,S_HBIPS-6_65_Over_Den,S_HBIPS-7_Measure_Description,S_HBIPS-7_Overall_%_of_Total,S_HBIPS-7_Overall_Num,S_HBIPS-7_Overall_Den,S_HBIPS-7_1-12_%_of_Total,S_HBIPS-7_1-12_Num,S_HBIPS-7_1-12_Den,S_HBIPS-7_13-17_%_of_Total,S_HBIPS-7_13-17_Num,S_HBIPS-7_13-17_Den,S_HBIPS-7_18-64_%_of_Total,S_HBIPS-7_18-64_Num,S_HBIPS-7_18-64_Den,S_HBIPS-7_65_%_of_Total,S_HBIPS-7_65_Over_Num,S_HBIPS-7_65_Over_Den,Start_Date,End_Date
"ND","Hours of Physical Restraint Use","0.13","268.28","86436","0.05","12.9","10612","0.01","5.02","15923","0.20","246.73","51895","0.02","3.63","8006","Hours of Seclusion Use","0.24","505.68","86436","0.32","81.97","10612","0.07","26.53","15923","0.28","350.82","51895","0.24","46.37","8006","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","57.78","1522","2634","78.17","179","229","62.76","268","427","55.51","997","1796","42.86","78","182","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","50.72","1336","2634","71.18","163","229","52.46","224","427","48.94","879","1796","38.46","70","182","10/01/2012","03/31/2013"
"VA","Hours of Physical Restraint Use","0.49","4013.83","340617","1.25","139.96","4676","0.65","223.63","14261","0.49","3341.4","284749","0.35","308.83","36931","Hours of Seclusion Use","0.27","2230.7","342063","0.55","62","4676","0.17","59.75","14261","0.28","1954.37","286381","0.18","154.58","36745","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","72.22","6432","8906","80.80","383","474","82.57","682","826","72.16","4578","6344","62.52","789","1262","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","66.42","5916","8907","64.14","304","474","70.22","580","826","67.43","4278","6344","59.70","754","1263","10/01/2012","03/31/2013"
"LA","Hours of Physical Restraint Use","0.32","4521.43","586737","0.04","43.87","51487","0.03","76.72","97946","0.33","2957.21","369328","0.88","1443.64","67976","Hours of Seclusion Use","0.06","829.6","621345","0.10","119.52","51487","0.09","207.42","97946","0.05","500.56","385286","0.00","2.1","86626","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","86.25","16364","18973","95.20","674","708","92.90","1347","1450","83.29","8917","10706","88.82","5426","6109","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","80.65","15299","18969","88.84","629","708","87.93","1275","1450","75.94","8127","10702","86.23","5268","6109","10/01/2012","03/31/2013"
"DE","Hours of Physical Restraint Use","2.26","3354.18","61968","0.03","2.13","3525","15.70","3338.75","8861","0.01","12.8","44415","0.00",".5","5167","Hours of Seclusion Use","0.02","25.87","61968","0.05","4.17","3525","0.04","8.75","8861","0.01","12.95","44415","0.00","0","5167","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","96.12","1807","1880","91.93","148","161","97.87","321","328","96.30","1118","1161","95.65","220","230","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","95.05","1787","1880","91.93","148","161","97.26","319","328","95.09","1104","1161","93.91","216","230","10/01/2012","03/31/2013"
"NE","Hours of Physical Restraint Use","1.16","845.89","30342","3.87","7.33","79","0.04","1.55","1489","1.42","831.9","24415","0.05","5.1","4359","Hours of Seclusion Use","0.51","339.51","27650","6.99","13.25","79","0.03","1.25","1489","0.54","286.26","22188","0.41","38.75","3894","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","34.77","676","1944","25.00","5","20","20.22","36","178","33.54","498","1485","52.49","137","261","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","29.68","577","1944","15.00","3","20","14.61","26","178","28.08","417","1485","50.19","131","261","10/01/2012","03/31/2013"
"PR","Hours of Physical Restraint Use","0.25","345.6","56567","0.00","0","9","0.32","35.4","4570","0.26","291.53","47362","0.17","18.67","4626","Hours of Seclusion Use","0.05","66.6","56567","0.00","0","9","0.00","0","4570","0.06","65.5","47362","0.01","1.1","4626","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","96.80","2235","2309","100.00","1","1","99.32","145","146","96.25","1771","1840","98.76","318","322","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","68.43","1580","2309","100.00","1","1","77.40","113","146","68.59","1262","1840","63.35","204","322","10/01/2012","03/31/2013"
"TX","Hours of Physical Restraint Use","0.01","1918.08","5850615","0.10","67.3","28482","0.06","93.57","69366","0.02","1678.38","4380426","0.00","78.83","1372341","Hours of Seclusion Use","0.15","13982.34","3858472","0.22","150.89","28481","0.10","173.77","69377","0.10","8755.18","3625806","1.52","4902.51","134808","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","76.84","23706","30850","91.86","2110","2297","92.29","3305","3581","75.37","14643","19429","65.81","3648","5543","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","65.92","20324","30833","81.45","1871","2297","83.86","3003","3581","63.48","12319","19406","56.42","3131","5549","10/01/2012","03/31/2013"
"MI","Hours of Physical Restraint Use","0.87","9560.86","455611","0.37","49.57","5631","0.43","268.24","25832","0.44","3687.66","346270","2.97","5555.4","77878","Hours of Seclusion Use","0.13","1424.49","453174","0.20","26.57","5631","0.03","18.08","25822","0.15","1254.65","345457","0.07","125.19","76264","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","64.25","8690","13525","72.10","460","638","71.48","970","1357","66.52","6033","9070","49.88","1227","2460","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","48.44","6552","13525","59.56","380","638","62.05","842","1357","50.07","4541","9070","32.07","789","2460","10/01/2012","03/31/2013"
"CA","Hours of Physical Restraint Use","0.23","5185.94","949403","0.05","62.21","49806","0.12","475.47","170608","0.36","4506.36","525451","0.03","141.89","203538","Hours of Seclusion Use","0.22","5059.51","950937","0.05","60.98","49806","0.11","430.72","170608","0.34","4277.88","526760","0.06","289.93","203763","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","80.35","19708","24527","92.89","1006","1083","86.64","2938","3391","79.85","12141","15205","74.73","3623","4848","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","66.09","16210","24527","83.19","901","1083","76.79","2604","3391","62.65","9526","15205","65.57","3179","4848","10/01/2012","03/31/2013"
"IN","Hours of Physical Restraint Use","0.29","2868.99","407477","0.30","80.8","11357","0.19","113.68","25131","0.45","1855.69","170542","0.17","818.81","200447","Hours of Seclusion Use","0.35","3403.69","406603","0.27","89.13","13817","0.06","38.35","25131","0.25","1043.41","170599","0.47","2232.81","197056","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","79.03","8803","11139","93.09","957","1028","86.82","1199","1381","82.95","4611","5559","64.21","2036","3171","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","70.34","7858","11171","90.37","929","1028","80.67","1114","1381","71.59","3967","5541","57.37","1848","3221","10/01/2012","03/31/2013"
"MA","Hours of Physical Restraint Use","0.55","5992.91","453551","10.79","1378.04","5319","1.18","684.96","24283","0.37","3263.22","366413","0.48","666.69","57536","Hours of Seclusion Use","0.16","1482.93","379243","4.76","607.65","5319","0.33","190.05","24218","0.09","647.29","296185","0.03","37.93","53521","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","41.44","9998","24124","40.43","171","423","63.11","746","1182","43.18","7452","17256","30.95","1629","5263","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","30.71","7409","24124","31.21","132","423","53.05","627","1182","31.15","5376","17256","24.21","1274","5263","10/01/2012","03/31/2013"
"NV","Hours of Physical Restraint Use","0.86","8044.12","388326","0.03","22.43","34332","0.02","45.88","94989","0.18","1036.89","239739","15.01","6938.92","19266","Hours of Seclusion Use","0.04","381.96","388326","0.03","23.38","34332","0.01","16.97","94989","0.06","338.76","239739","0.01","2.85","19266","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","85.37","4267","4998","97.83","270","276","91.78","413","450","87.96","2966","3372","68.67","618","900","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","74.77","3737","4998","94.20","260","276","86.00","387","450","76.28","2572","3372","57.56","518","900","10/01/2012","03/31/2013"
"MN","Hours of Physical Restraint Use","4.17","24277.15","242289","0.38","30.48","3327","0.17","56","14092","4.24","17473.7","171573","5.25","6716.97","53297","Hours of Seclusion Use","1.84","10707.22","242290","1.37","109.78","3327","0.58","196.59","14092","2.33","9601.54","171573","0.62","799.32","53298","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","60.98","3072","5038","98.74","235","238","86.21","650","754","57.43","1673","2913","45.37","514","1133","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","36.92","1860","5038","55.46","132","238","60.88","459","754","30.35","884","2913","33.98","385","1133","10/01/2012","03/31/2013"
"SC","Hours of Physical Restraint Use","0.06","241.29","158448","0.34","27.75","3417","0.08","30.15","15986","0.06","163.55","115875","0.04","19.83","23170","Hours of Seclusion Use","0.20","753.01","158448","2.81","230.44","3417","0.32","122.35","15986","0.14","394.71","115875","0.01","5.52","23170","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","67.15","3418","5090","54.85","181","330","67.35","590","876","69.26","1996","2882","64.97","651","1002","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","59.74","3041","5090","51.21","169","330","63.58","557","876","60.31","1738","2882","57.58","577","1002","10/01/2012","03/31/2013"
"SD","Hours of Physical Restraint Use","2.87","258.25","3752","4.60",".88","8","11.95","41.28","144","4.12","105.25","1064","1.82","110.83","2536","Hours of Seclusion Use","19.31","1613.78","3482","0.00","0","8","5.34","18.47","144","78.93","1504.07","794","1.50","91.25","2536","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","65.59","446","680","70.69","41","58","80.92","106","131","70.75","179","253","50.42","120","238","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","32.79","223","680","0.00","0","58","25.95","34","131","38.74","98","253","38.24","91","238","10/01/2012","03/31/2013"
"WV","Hours of Physical Restraint Use","0.13","368.85","117845","0.43","23.08","2231","0.13","29.62","9227","0.14","294.45","88167","0.05","21.7","18220","Hours of Seclusion Use","0.11","319.4","118127","0.47","25.3","2231","0.41","90.23","9227","0.08","166.29","88308","0.09","37.58","18361","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","82.95","2904","3501","93.03","187","201","89.21","372","417","83.58","1853","2217","73.87","492","666","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","64.58","2261","3501","91.04","183","201","88.01","367","417","57.47","1274","2217","65.62","437","666","10/01/2012","03/31/2013"
"MO","Hours of Physical Restraint Use","0.76","4654.53","254319","0.55","158.58","12087","4.37","2276.17","21703","0.51","2193.63","180157","0.03","26.15","40372","Hours of Seclusion Use","0.09","558.8","245543","0.51","149.23","12087","0.16","83.73","21703","0.07","287.2","172633","0.04","38.64","39120","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","74.07","9148","12351","98.34","534","543","94.77","1213","1280","72.75","5913","8128","62.00","1488","2400","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","65.87","8145","12366","90.24","490","543","95.08","1217","1280","62.92","5126","8147","54.76","1312","2396","10/01/2012","03/31/2013"
"ID","Hours of Physical Restraint Use","0.12","130.77","43805","0.06","1.33","928","0.04","7.53","8641","0.16","120.25","31104","0.02","1.66","3132","Hours of Seclusion Use","0.19","201.1","43805","0.31","6.9","928","0.07","14.23","8641","0.23","174.33","31104","0.07","5.63","3132","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","88.17","1327","1505","100.00","90","90","99.29","281","283","86.22","782","907","77.33","174","225","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","80.20","1207","1505","98.89","89","90","96.82","274","283","76.30","692","907","67.56","152","225","10/01/2012","03/31/2013"
"KY","Hours of Physical Restraint Use","0.41","2153.09","220139","0.22","36.9","6910","0.10","40.32","16522","0.57","1870.49","137294","0.14","205.39","59413","Hours of Seclusion Use","0.16","844.44","220139","0.22","36.97","6910","0.21","82.52","16522","0.18","578.77","137294","0.10","146.18","59413","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","86.41","6698","7751","90.24","444","492","83.87","624","744","87.50","4355","4977","82.90","1275","1538","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","81.45","6313","7751","87.20","429","492","80.51","599","744","81.82","4072","4977","78.87","1213","1538","10/01/2012","03/31/2013"
"NY","Hours of Physical Restraint Use","0.07","5685.8","3254705","0.15","189.7","51690","0.08","348.15","186317","0.06","3638.35","2527517","0.13","1509.6","489181","Hours of Seclusion Use","0.06","5357.24","3470712","0.82","1022.39","51691","0.29","1308.16","189702","0.04","2908.48","2720655","0.01","118.21","508664","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","80.85","24673","30516","89.64","1800","2008","91.92","4675","5086","79.33","15561","19615","69.27","2637","3807","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","69.76","21274","30495","76.94","1545","2008","74.40","3784","5086","69.99","13729","19615","58.53","2216","3786","10/01/2012","03/31/2013"
"TN","Hours of Physical Restraint Use","2.40","16421.97","285414","0.26","30.3","4898","0.09","32.61","15202","0.81","2924.97","151053","4.90","13434.09","114261","Hours of Seclusion Use","0.16","1085.25","285412","0.43","51.08","4898","0.08","30.1","15202","0.25","897.9","151053","0.04","106.17","114259","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","77.14","6771","8778","89.19","231","259","90.89","399","439","82.90","4063","4901","65.37","2078","3179","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","66.39","5698","8582","77.22","200","259","82.00","360","439","71.58","3431","4793","55.22","1707","3091","10/01/2012","03/31/2013"
"MD","Hours of Physical Restraint Use","0.59","2840.39","199151","0.19","28.53","6297","0.14","69.63","20374","0.72","2720.13","156426","0.06","22.1","16054","Hours of Seclusion Use","0.16","744.18","199151","1.45","218.93","6297","0.58","282.83","20374","0.06","239.45","156426","0.01","2.97","16054","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","91.23","6711","7356","93.75","645","688","91.99","1826","1985","91.37","3928","4299","81.25","312","384","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","88.27","6493","7356","89.24","614","688","89.37","1774","1985","88.51","3805","4299","78.13","300","384","10/01/2012","03/31/2013"
