"State","Condition","Measure Code","Measure Name","Score"
"IA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","32.6"
"ID","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","40.2"
"IL","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","37.4"
"IN","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","37.3"
"KS","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","38.9"
"KY","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","40.8"
"LA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","41.4"
"MA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","34.2"
"MD","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","37.7"
"ME","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","39.2"
"MI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","36.1"
"MN","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","46.7"
"MO","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","40.1"
"MP","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","Not Available"
"MS","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","41.4"
"MT","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","41.8"
"NC","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","33.4"
"ND","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","33.5"
"NE","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","37.2"
"NH","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","34.2"
"NJ","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","31.4"
"NM","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","40.8"
"NV","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","41.1"
"NY","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","31.4"
"OH","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","33.9"
"OK","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","39.2"
"OR","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","41.6"
"PA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","36.1"
"PR","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","27.7"
"RI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","35.2"
"SC","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","36.6"
"SD","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","34.8"
"TN","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","34.2"
"TX","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","38.4"
"UT","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","39.4"
"VA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","34.3"
"VI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","Not Available"
"VT","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","36.4"
"WA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","38.9"
"WI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","35.1"
"WV","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","43.1"
"WY","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)<br/><i><b>Lower</b> percentages are better</i>","42.9"
"AK","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","9.5"
"AL","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8"
"AR","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","10.2"
"AS","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","Not Available"
"AZ","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","9.4"
"CA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.2"
"CO","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.9"
"CT","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","12.6"
"DC","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","6.4"
"DE","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.2"
"FL","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","9.7"
"GA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.8"
"GU","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","Not Available"
"HI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","9.1"
"IA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8"
"ID","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.8"
"IL","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.4"
"IN","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.1"
"KS","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.7"
"KY","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.1"
"LA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.1"
"MA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","9.2"
"MD","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.4"
"ME","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.6"
"MI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.4"
"MN","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","6.1"
"MO","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.1"
"MP","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","Not Available"
"MS","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.1"
"MT","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8"
"NC","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.4"
"ND","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.6"
"NE","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","9.8"
"NH","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8"
"NJ","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","11.7"
"NM","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.9"
"NV","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.6"
"NY","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","11.3"
"OH","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.7"
"OK","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8"
"OR","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.5"
"PA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.2"
"PR","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","39.7"
"RI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","9"
"SC","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.2"
"SD","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.6"
"TN","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.3"
"TX","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","8.3"
"UT","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)<br/><i>Percentages <b>between 8 percent and 14 percent</b> are better</i>","7.4"
