"State","Condition","Measure Name","Category","Number of Hospitals"
"UT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"VA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"VI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"VT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"WA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","2"
"WI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"WV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"WY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"AK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","5"
"AL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","50"
"AR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","34"
"AS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","0"
"AZ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","46"
"CA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","224"
"CO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","33"
"CT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","27"
"DC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","6"
"DE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","5"
"FL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","155"
"GA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","76"
"GU","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","1"
"HI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","11"
"IA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","36"
"ID","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","10"
"IL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","115"
"IN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","71"
"KS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","30"
"KY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","49"
"LA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","52"
"MA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","54"
"MD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","42"
"ME","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","33"
"MI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","74"
"MN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","37"
"MO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","61"
"MP","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","0"
"MS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","39"
"MT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","10"
"NC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","84"
"ND","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","11"
"NE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","19"
"NH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","19"
"NJ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","57"
"NM","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","15"
"NV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","18"
"NY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","152"
"OH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","110"
"OK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","39"
"OR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","33"
"PA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","131"
"PR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","26"
"RI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","10"
"SC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","42"
"SD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","11"
"TN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","70"
"TX","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","199"
"UT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","16"
"VA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","72"
"VI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","2"
"VT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","12"
"WA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","40"
"WI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","57"
"WV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","34"
"WY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","3"
"AK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"AL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"AR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"AS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"AZ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"CA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","6"
"CO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"CT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","3"
"DC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"DE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"FL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","3"
"GA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"GU","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"HI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"IA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"ID","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"IL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","8"
"IN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"KS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"KY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","2"
"LA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"MA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","3"
"MD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"ME","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"MI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","7"
"MN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","2"
"MO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","3"
"MP","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"MS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"MT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"NC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"ND","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"NE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"NH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"NJ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","7"
"NM","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"NV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"NY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","7"
"OH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","3"
"OK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"OR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"PA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","5"
"PR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"RI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"SC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"SD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"TN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"TX","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"UT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"VA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"VI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"VT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"WA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","1"
"WI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","2"
"WV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"WY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Better than U.S. National Rate","0"
"AK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","14"
"AL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","51"
"AR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","40"
"AS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","1"
"AZ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","20"
"CA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","107"
"CO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","35"
"CT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","1"
"DC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","2"
"DE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","1"
"FL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","23"
"GA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","64"
"GU","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","0"
"HI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","5"
"IA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","79"
"ID","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","24"
"IL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","57"
"IN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","47"
"KS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","89"
"KY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","44"
"LA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","56"
"MA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","8"
"MD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","5"
"ME","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","4"
"MI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","44"
"MN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","84"
"MO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","53"
"MP","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","1"
"MS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","44"
"MT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","37"
"NC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","26"
"ND","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","29"
"NE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","58"
"NH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","5"
"NJ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","3"
"NM","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","25"
"NV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","13"
"NY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","30"
"OH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","44"
"OK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","70"
"OR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","25"
"PA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","27"
"PR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","19"
"RI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","0"
"SC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","20"
"SD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","39"
"TN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","45"
"TX","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","143"
"UT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","21"
"VA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","9"
"VI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","0"
"VT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","3"
"WA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","41"
"WI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","63"
"WV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","19"
"WY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Number of Cases Too Small*","25"
"AK","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"AL","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","4"
"AR","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","7"
"AS","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"AZ","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"CA","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","9"
"CO","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"CT","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","2"
"DC","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"DE","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"FL","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","4"
"GA","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","2"
"GU","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"HI","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"IA","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","3"
"ID","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"IL","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","5"
"IN","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","6"
"KS","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"KY","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","3"
"LA","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","5"
"MA","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"MD","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"ME","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"MI","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","4"
"MN","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"MO","Heart Failure","Heart failure (HF) 30-Day Mortality Rate","Worse than U.S. National Rate","4"
