"State","Condition","Measure Name","Measure Code","Score"
"DE"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"FL"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"GA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"GU"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"HI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"IA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"ID"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"IL"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"IN"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"KS"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"KY"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"LA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","11"
"MA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"MD"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"ME"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"MI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"MN"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"MO"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"MP"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"MS"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"MT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","12"
"NC"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"ND"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","11"
"NE"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"NH"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"NJ"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"NM"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"NV"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"NY"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"OH"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"OK"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"OR"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"PA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"PR"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"RI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"SC"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","5"
"SD"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"TN"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"TX"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"UT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"VA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"VI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"VT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","5"
"WA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"WI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"WV"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"WY"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"AK"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","59"
"AL"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","71"
"AR"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","69"
"AS"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"AZ"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","26"
"CA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","65"
"CO"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","51"
"CT"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","26"
"DC"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"DE"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","100"
"FL"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","54"
"GA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","58"
"GU"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"HI"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","71"
"IA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","44"
"ID"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","57"
"IL"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","66"
"IN"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","62"
"KS"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","51"
"KY"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","60"
"LA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","51"
"MA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","74"
"MD"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"ME"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","78"
"MI"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","59"
"MN"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","60"
"MO"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","37"
"MP"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"MS"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","42"
"MT"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","32"
"NC"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","62"
"ND"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","55"
"NE"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","47"
"NH"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","68"
"NJ"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","70"
"NM"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","60"
"NV"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","56"
"NY"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","61"
"OH"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","53"
"OK"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","51"
"OR"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","58"
"PA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","48"
"PR"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"RI"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","67"
"SC"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","75"
"SD"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","69"
"TN"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","64"
"TX"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","53"
"UT"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","59"
"VA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","67"
"VI"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"VT"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","58"
"WA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","62"
"WI"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","63"
"WV"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","62"
"WY"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","62"
"AK"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"AL"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"AR"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"AS"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","Not Available"
"AZ"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"CA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"CO"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"CT"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","98"
"DC"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","95"
"DE"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"FL"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","98"
"GA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"GU"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","Not Available"
"HI"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","98"
"IA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"ID"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"IL"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"IN"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"KS"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"KY"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"LA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","94"
"MA"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"MD"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","Not Available"
"ME"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","99"
"MI"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"MN"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"MO"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","96"
"MP"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","Not Available"
"MS"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","95"
"MT"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","99"
"NC"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","97"
"ND"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","98"
"NE"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","98"
"NH"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","98"
"NJ"," Process of Care Measures","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","OP_4","99"
