"State","HCAHPS Question","HCAHPS Measure Code","HCAHPS Answer Description","HCAHPS Answer Percent"
"MN","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","24"
"MS","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","27"
"MO","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","27"
"MT","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","29"
"NE","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","24"
"NV","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","25"
"NH","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","23"
"NJ","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","28"
"NM","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","31"
"NY","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","30"
"NC","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","24"
"ND","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","29"
"OH","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","25"
"OK","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","25"
"OR","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","23"
"PA","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","28"
"PR","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","N/A"
"RI","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","24"
"SC","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","25"
"SD","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","24"
"TN","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","25"
"TX","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","23"
"UT","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","21"
"VT","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","22"
"VI","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","32"
"VA","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","27"
"WA","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","23"
"WV","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","28"
"WI","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","24"
"WY","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","29"
"AS","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","N/A"
"GU","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","N/A"
"MP","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","N/A"
"AL","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"AK","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"AZ","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"AR","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"CA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","11"
"CO","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","7"
"CT","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"DE","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","10"
"DC","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","13"
"FL","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","12"
"GA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"HI","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","12"
"ID","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","6"
"IL","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"IN","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","7"
"IA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","5"
"KS","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","6"
"KY","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"LA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"ME","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","6"
"MD","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","11"
"MA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"MI","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","7"
"MN","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","7"
"MS","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"MO","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"MT","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"NE","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","6"
"NV","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","12"
"NH","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"NJ","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","12"
"NM","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","12"
"NY","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","12"
"NC","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"ND","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","10"
"OH","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"OK","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"OR","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","7"
"PA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","10"
"PR","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","N/A"
"RI","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","10"
"SC","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"SD","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"TN","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"TX","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"UT","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","6"
"VT","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","6"
"VI","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","7"
"VA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","10"
"WA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","8"
"WV","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","10"
"WI","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","6"
"WY","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","9"
"AS","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","N/A"
"GU","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","N/A"
"MP","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)","N/A"
"AL","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"AK","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","26"
"AZ","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","24"
"AR","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"CA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","24"
"CO","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","21"
"CT","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"DE","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"DC","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","28"
"FL","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","24"
"GA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","24"
"HI","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","26"
"ID","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","21"
"IL","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"IN","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","20"
"IA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","20"
"KS","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","20"
"KY","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"LA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","19"
"ME","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","22"
"MD","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","27"
"MA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","24"
"MI","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"MN","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","22"
"MS","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"MO","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"MT","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","27"
"NE","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","20"
"NV","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"NH","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"NJ","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","27"
"NM","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"NY","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","29"
"NC","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","22"
"ND","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","26"
"OH","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"OK","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","22"
"OR","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","24"
"PA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"PR","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","N/A"
"RI","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","24"
"SC","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","22"
"SD","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","20"
"TN","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"TX","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","21"
"UT","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","22"
"VT","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","23"
"VI","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","40"
"VA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"WA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"WV","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"WI","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","22"
"WY","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","25"
"AS","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","N/A"
"GU","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","N/A"
"MP","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of7 or 8 (medium)","N/A"
"AL","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","69"
"AK","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","65"
"AZ","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","67"
"AR","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","68"
"CA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","65"
"CO","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","72"
"CT","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","66"
"DE","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","65"
"DC","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","59"
"FL","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","64"
"GA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","67"
"HI","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","62"
"ID","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","73"
"IL","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","66"
"IN","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","73"
"IA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","75"
"KS","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","74"
"KY","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","69"
"LA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","73"
"ME","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","72"
"MD","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","62"
"MA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","68"
"MI","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","70"
"MN","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","71"
"MS","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","68"
"MO","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","68"
"MT","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","64"
"NE","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","74"
"NV","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","63"
"NH","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","69"
"NJ","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","61"
"NM","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","63"
"NY","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)","59"
