Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"BANNER DESERT MEDICAL CENTER","030065","AZ","READM-30-HF-HRRP","400","","1.0863","23.1","21.3","97","07/01/2009","06/30/2012"
"BANNER DESERT MEDICAL CENTER","030065","AZ","READM-30-PN-HRRP","346","","1.0966","18.4","16.8","69","07/01/2009","06/30/2012"
"MT GRAHAM REGIONAL MEDICAL CENTER","030068","AZ","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MT GRAHAM REGIONAL MEDICAL CENTER","030068","AZ","READM-30-HF-HRRP","53","","0.9923","19.6","19.8","Too Few To Report","07/01/2009","06/30/2012"
"MT GRAHAM REGIONAL MEDICAL CENTER","030068","AZ","READM-30-PN-HRRP","169","","1.0000","14.8","14.8","25","07/01/2009","06/30/2012"
"HAVASU REGIONAL MEDICAL CENTER","030069","AZ","READM-30-AMI-HRRP","226","","0.9837","16.3","16.5","36","07/01/2009","06/30/2012"
"HAVASU REGIONAL MEDICAL CENTER","030069","AZ","READM-30-HF-HRRP","324","","0.9553","19.9","20.8","62","07/01/2009","06/30/2012"
"HAVASU REGIONAL MEDICAL CENTER","030069","AZ","READM-30-PN-HRRP","251","","0.9739","15.3","15.7","37","07/01/2009","06/30/2012"
"FORT DEFIANCE INDIAN HOSPITAL","030071","AZ","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FORT DEFIANCE INDIAN HOSPITAL","030071","AZ","READM-30-HF-HRRP","30","","1.0012","19.8","19.8","Too Few To Report","07/01/2009","06/30/2012"
"FORT DEFIANCE INDIAN HOSPITAL","030071","AZ","READM-30-PN-HRRP","191","","0.9784","12.1","12.4","22","07/01/2009","06/30/2012"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION","030073","AZ","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION","030073","AZ","READM-30-HF-HRRP","63","","1.0509","21.2","20.2","16","07/01/2009","06/30/2012"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION","030073","AZ","READM-30-PN-HRRP","198","","0.9633","13.6","14.2","25","07/01/2009","06/30/2012"
"SELLS INDIAN HEALTH SERVICE HOSPITAL","030074","AZ","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SELLS INDIAN HEALTH SERVICE HOSPITAL","030074","AZ","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SELLS INDIAN HEALTH SERVICE HOSPITAL","030074","AZ","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SAN CARLOS INDIAN HOSPITAL","030077","AZ","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SAN CARLOS INDIAN HOSPITAL","030077","AZ","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SAN CARLOS INDIAN HOSPITAL","030077","AZ","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PHOENIX INDIAN MEDICAL CENTER","030078","AZ","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PHOENIX INDIAN MEDICAL CENTER","030078","AZ","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PHOENIX INDIAN MEDICAL CENTER","030078","AZ","READM-30-PN-HRRP","38","","0.9915","14.4","14.5","Too Few To Report","07/01/2009","06/30/2012"
"PARADISE VALLEY HOSPITAL","030083","AZ","READM-30-AMI-HRRP","47","","0.9627","16.6","17.2","Too Few To Report","07/01/2009","06/30/2012"
"PARADISE VALLEY HOSPITAL","030083","AZ","READM-30-HF-HRRP","84","","1.0481","21.9","20.9","21","07/01/2009","06/30/2012"
"PARADISE VALLEY HOSPITAL","030083","AZ","READM-30-PN-HRRP","134","","0.9921","16.0","16.1","21","07/01/2009","06/30/2012"
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","030084","AZ","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","030084","AZ","READM-30-HF-HRRP","48","","1.0876","21.9","20.1","15","07/01/2009","06/30/2012"
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","030084","AZ","READM-30-PN-HRRP","170","","0.9828","13.5","13.7","22","07/01/2009","06/30/2012"
"NORTHWEST MEDICAL CENTER","030085","AZ","READM-30-AMI-HRRP","174","","1.0311","17.0","16.5","31","07/01/2009","06/30/2012"
"NORTHWEST MEDICAL CENTER","030085","AZ","READM-30-HF-HRRP","331","","0.8547","18.9","22.1","54","07/01/2009","06/30/2012"
"NORTHWEST MEDICAL CENTER","030085","AZ","READM-30-PN-HRRP","500","","0.9428","15.4","16.4","74","07/01/2009","06/30/2012"
"SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","030087","AZ","READM-30-AMI-HRRP","295","","0.8584","13.5","15.7","33","07/01/2009","06/30/2012"
"SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","030087","AZ","READM-30-HF-HRRP","555","","0.9885","22.3","22.5","123","07/01/2009","06/30/2012"
"SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","030087","AZ","READM-30-PN-HRRP","568","","1.0112","17.5","17.3","100","07/01/2009","06/30/2012"
"BANNER BAYWOOD MEDICAL CENTER","030088","AZ","READM-30-AMI-HRRP","32","","1.0039","18.2","18.1","Too Few To Report","07/01/2009","06/30/2012"
"BANNER BAYWOOD MEDICAL CENTER","030088","AZ","READM-30-HF-HRRP","491","","1.1867","26.3","22.2","139","07/01/2009","06/30/2012"
"BANNER BAYWOOD MEDICAL CENTER","030088","AZ","READM-30-PN-HRRP","672","","1.0054","17.1","17.0","115","07/01/2009","06/30/2012"
"BANNER THUNDERBIRD MEDICAL CENTER","030089","AZ","READM-30-AMI-HRRP","181","","1.1385","20.3","17.9","43","07/01/2009","06/30/2012"
"BANNER THUNDERBIRD MEDICAL CENTER","030089","AZ","READM-30-HF-HRRP","491","","1.0671","25.3","23.7","128","07/01/2009","06/30/2012"
"BANNER THUNDERBIRD MEDICAL CENTER","030089","AZ","READM-30-PN-HRRP","390","","1.1182","20.9","18.7","88","07/01/2009","06/30/2012"
"JOHN C LINCOLN DEER VALLEY HOSPITAL","030092","AZ","READM-30-AMI-HRRP","128","","0.9820","14.7","15.0","18","07/01/2009","06/30/2012"
"JOHN C LINCOLN DEER VALLEY HOSPITAL","030092","AZ","READM-30-HF-HRRP","220","","0.9899","22.1","22.3","48","07/01/2009","06/30/2012"
"JOHN C LINCOLN DEER VALLEY HOSPITAL","030092","AZ","READM-30-PN-HRRP","207","","0.9016","14.3","15.9","24","07/01/2009","06/30/2012"
"BANNER DEL E WEBB MEDICAL CENTER","030093","AZ","READM-30-AMI-HRRP","365","","1.0112","17.1","16.9","63","07/01/2009","06/30/2012"
"BANNER DEL E WEBB MEDICAL CENTER","030093","AZ","READM-30-HF-HRRP","599","","0.9617","20.4","21.2","120","07/01/2009","06/30/2012"
"BANNER DEL E WEBB MEDICAL CENTER","030093","AZ","READM-30-PN-HRRP","637","","1.0389","16.9","16.3","110","07/01/2009","06/30/2012"
"ARROWHEAD HOSPITAL","030094","AZ","READM-30-AMI-HRRP","72","","0.9452","16.2","17.1","Too Few To Report","07/01/2009","06/30/2012"
"ARROWHEAD HOSPITAL","030094","AZ","READM-30-HF-HRRP","162","","0.9800","22.3","22.7","35","07/01/2009","06/30/2012"
"ARROWHEAD HOSPITAL","030094","AZ","READM-30-PN-HRRP","208","","1.0132","17.0","16.7","36","07/01/2009","06/30/2012"
"WESTERN ARIZONA REGIONAL MEDICAL CTR","030101","AZ","READM-30-AMI-HRRP","157","","0.9766","17.3","17.7","26","07/01/2009","06/30/2012"
"WESTERN ARIZONA REGIONAL MEDICAL CTR","030101","AZ","READM-30-HF-HRRP","369","","1.0888","25.5","23.4","99","07/01/2009","06/30/2012"
"WESTERN ARIZONA REGIONAL MEDICAL CTR","030101","AZ","READM-30-PN-HRRP","211","","1.1083","19.5","17.6","47","07/01/2009","06/30/2012"
"MAYO CLINIC HOSPITAL","030103","AZ","READM-30-AMI-HRRP","236","","0.9831","16.4","16.7","38","07/01/2009","06/30/2012"
"MAYO CLINIC HOSPITAL","030103","AZ","READM-30-HF-HRRP","483","","0.9976","22.4","22.4","108","07/01/2009","06/30/2012"
"MAYO CLINIC HOSPITAL","030103","AZ","READM-30-PN-HRRP","534","","0.9631","16.5","17.1","86","07/01/2009","06/30/2012"
"BANNER HEART HOSPITAL","030105","AZ","READM-30-AMI-HRRP","486","","1.0415","16.1","15.4","80","07/01/2009","06/30/2012"
"BANNER HEART HOSPITAL","030105","AZ","READM-30-HF-HRRP","898","","0.9944","20.7","20.9","186","07/01/2009","06/30/2012"
"BANNER HEART HOSPITAL","030105","AZ","READM-30-PN-HRRP","29","","1.0375","17.1","16.4","Too Few To Report","07/01/2009","06/30/2012"
"ARIZONA SPINE AND JOINT HOSPITAL","030107","AZ","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ARIZONA SPINE AND JOINT HOSPITAL","030107","AZ","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ARIZONA SPINE AND JOINT HOSPITAL","030107","AZ","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SURGICAL HOSPITAL OF PHOENIX, THE","030108","AZ","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SURGICAL HOSPITAL OF PHOENIX, THE","030108","AZ","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SURGICAL HOSPITAL OF PHOENIX, THE","030108","AZ","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"WEST VALLEY HOSPITAL","030110","AZ","READM-30-AMI-HRRP","117","","1.0421","17.1","16.4","22","07/01/2009","06/30/2012"
"WEST VALLEY HOSPITAL","030110","AZ","READM-30-HF-HRRP","145","","0.9691","22.6","23.3","31","07/01/2009","06/30/2012"
"WEST VALLEY HOSPITAL","030110","AZ","READM-30-PN-HRRP","170","","0.9690","16.9","17.5","27","07/01/2009","06/30/2012"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-AMI-HRRP","747","","0.9808","16.0","16.4","119","07/01/2009","06/30/2012"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-HF-HRRP","901","","0.9130","19.5","21.4","171","07/01/2009","06/30/2012"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-PN-HRRP","368","","0.9690","15.7","16.2","56","07/01/2009","06/30/2012"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-HF-HRRP","248","","0.9453","21.8","23.1","51","07/01/2009","06/30/2012"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-PN-HRRP","331","","0.9377","16.5","17.6","51","07/01/2009","06/30/2012"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-AMI-HRRP","310","","0.9275","14.0","15.1","40","07/01/2009","06/30/2012"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-HF-HRRP","652","","0.8248","17.7","21.4","105","07/01/2009","06/30/2012"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-PN-HRRP","793","","0.9425","14.7","15.5","113","07/01/2009","06/30/2012"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-HF-HRRP","115","","1.0685","22.1","20.7","29","07/01/2009","06/30/2012"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-PN-HRRP","220","","1.0439","16.2","15.5","38","07/01/2009","06/30/2012"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-HF-HRRP","51","","0.9892","18.8","19.0","Too Few To Report","07/01/2009","06/30/2012"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-PN-HRRP","57","","0.9814","14.1","14.3","Too Few To Report","07/01/2009","06/30/2012"
"ST VINCENT'S EAST","010011","AL","READM-30-AMI-HRRP","239","","1.0027","15.8","15.8","38","07/01/2009","06/30/2012"
"ST VINCENT'S EAST","010011","AL","READM-30-HF-HRRP","388","","0.9039","19.4","21.5","70","07/01/2009","06/30/2012"
"ST VINCENT'S EAST","010011","AL","READM-30-PN-HRRP","484","","0.9735","16.4","16.9","78","07/01/2009","06/30/2012"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-AMI-HRRP","85","","1.0357","16.9","16.3","16","07/01/2009","06/30/2012"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-HF-HRRP","148","","1.0763","22.3","20.7","37","07/01/2009","06/30/2012"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-PN-HRRP","240","","0.9553","14.8","15.5","33","07/01/2009","06/30/2012"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-AMI-HRRP","234","","1.0405","17.6","16.9","43","07/01/2009","06/30/2012"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-HF-HRRP","309","","1.0205","22.6","22.2","71","07/01/2009","06/30/2012"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-PN-HRRP","331","","0.9347","16.3","17.4","50","07/01/2009","06/30/2012"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-AMI-HRRP","36","","1.0303","20.9","20.3","Too Few To Report","07/01/2009","06/30/2012"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-HF-HRRP","305","","0.9085","19.7","21.7","55","07/01/2009","06/30/2012"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-PN-HRRP","334","","0.9496","15.5","16.3","49","07/01/2009","06/30/2012"
"DALE MEDICAL CENTER","010021","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DALE MEDICAL CENTER","010021","AL","READM-30-HF-HRRP","90","","0.9321","22.1","23.7","16","07/01/2009","06/30/2012"
"DALE MEDICAL CENTER","010021","AL","READM-30-PN-HRRP","166","","0.9978","17.5","17.6","29","07/01/2009","06/30/2012"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-HF-HRRP","57","","1.0060","20.5","20.4","12","07/01/2009","06/30/2012"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-PN-HRRP","97","","1.0194","16.4","16.1","17","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-AMI-HRRP","385","","1.0562","17.3","16.3","69","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-HF-HRRP","537","","1.0136","22.8","22.5","123","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-PN-HRRP","193","","1.0483","19.3","18.4","40","07/01/2009","06/30/2012"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-AMI-HRRP","246","","0.8616","15.4","17.9","31","07/01/2009","06/30/2012"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-HF-HRRP","537","","0.9808","21.4","21.8","114","07/01/2009","06/30/2012"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-PN-HRRP","311","","1.0374","17.7","17.0","57","07/01/2009","06/30/2012"
"GEORGE H. LANIER MEMORIAL HOSPITAL","010025","AL","READM-30-AMI-HRRP","53","","1.0237","20.5","20.0","12","07/01/2009","06/30/2012"
"GEORGE H. LANIER MEMORIAL HOSPITAL","010025","AL","READM-30-HF-HRRP","211","","1.0141","21.4","21.1","46","07/01/2009","06/30/2012"
"GEORGE H. LANIER MEMORIAL HOSPITAL","010025","AL","READM-30-PN-HRRP","114","","0.9855","16.5","16.7","18","07/01/2009","06/30/2012"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-AMI-HRRP","309","","1.1755","19.2","16.4","67","07/01/2009","06/30/2012"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-HF-HRRP","782","","0.9593","20.2","21.1","156","07/01/2009","06/30/2012"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-PN-HRRP","264","","0.8908","13.7","15.4","30","07/01/2009","06/30/2012"
"WEDOWEE HOSPITAL","010032","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"WEDOWEE HOSPITAL","010032","AL","READM-30-HF-HRRP","60","","1.0380","23.2","22.4","16","07/01/2009","06/30/2012"
"WEDOWEE HOSPITAL","010032","AL","READM-30-PN-HRRP","114","","1.1009","19.7","17.9","28","07/01/2009","06/30/2012"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-AMI-HRRP","273","","1.1171","19.3","17.3","58","07/01/2009","06/30/2012"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-HF-HRRP","568","","0.9991","23.1","23.1","131","07/01/2009","06/30/2012"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-PN-HRRP","440","","1.2007","21.2","17.7","104","07/01/2009","06/30/2012"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-HF-HRRP","111","","1.0754","22.6","21.0","29","07/01/2009","06/30/2012"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-PN-HRRP","98","","1.0471","16.8","16.0","19","07/01/2009","06/30/2012"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-AMI-HRRP","106","","0.9178","18.0","19.6","15","07/01/2009","06/30/2012"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-HF-HRRP","490","","1.0390","22.6","21.8","113","07/01/2009","06/30/2012"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-PN-HRRP","456","","0.9873","17.3","17.5","78","07/01/2009","06/30/2012"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-HF-HRRP","188","","0.9493","21.2","22.3","37","07/01/2009","06/30/2012"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-PN-HRRP","270","","1.0671","16.8","15.8","49","07/01/2009","06/30/2012"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-AMI-HRRP","48","","1.0171","15.1","14.8","Too Few To Report","07/01/2009","06/30/2012"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-HF-HRRP","229","","1.0136","22.0","21.7","51","07/01/2009","06/30/2012"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-PN-HRRP","231","","1.0238","17.2","16.8","41","07/01/2009","06/30/2012"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-AMI-HRRP","1150","","0.9154","14.3","15.7","161","07/01/2009","06/30/2012"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-HF-HRRP","1723","","0.9597","22.7","23.6","388","07/01/2009","06/30/2012"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-PN-HRRP","944","","0.9045","16.5","18.2","150","07/01/2009","06/30/2012"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-AMI-HRRP","210","","1.1711","18.4","15.7","46","07/01/2009","06/30/2012"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-HF-HRRP","459","","1.0289","23.8","23.2","111","07/01/2009","06/30/2012"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-PN-HRRP","437","","0.9995","17.2","17.2","75","07/01/2009","06/30/2012"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-HF-HRRP","69","","1.0049","22.8","22.7","16","07/01/2009","06/30/2012"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-PN-HRRP","182","","0.9453","14.3","15.1","23","07/01/2009","06/30/2012"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-HF-HRRP","113","","0.9328","20.1","21.6","19","07/01/2009","06/30/2012"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-PN-HRRP","161","","1.0493","18.2","17.3","32","07/01/2009","06/30/2012"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-AMI-HRRP","121","","0.9857","16.3","16.5","19","07/01/2009","06/30/2012"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-HF-HRRP","445","","1.2238","28.2","23.0","137","07/01/2009","06/30/2012"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-PN-HRRP","361","","1.0867","19.2","17.7","74","07/01/2009","06/30/2012"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-HF-HRRP","85","","1.0702","23.8","22.3","24","07/01/2009","06/30/2012"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-PN-HRRP","118","","0.9601","15.5","16.1","16","07/01/2009","06/30/2012"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-HF-HRRP","173","","1.0213","21.9","21.4","39","07/01/2009","06/30/2012"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-PN-HRRP","187","","1.0483","16.3","15.5","33","07/01/2009","06/30/2012"
"GREENE COUNTY HOSPITAL","010051","AL","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"GREENE COUNTY HOSPITAL","010051","AL","READM-30-HF-HRRP","43","","1.1298","22.0","19.5","16","07/01/2009","06/30/2012"
"GREENE COUNTY HOSPITAL","010051","AL","READM-30-PN-HRRP","37","","1.0357","13.9","13.4","Too Few To Report","07/01/2009","06/30/2012"
"LAKE MARTIN COMMUNITY HOSPITAL","010052","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LAKE MARTIN COMMUNITY HOSPITAL","010052","AL","READM-30-HF-HRRP","46","","1.0115","22.5","22.3","11","07/01/2009","06/30/2012"
"LAKE MARTIN COMMUNITY HOSPITAL","010052","AL","READM-30-PN-HRRP","94","","1.0393","17.9","17.2","19","07/01/2009","06/30/2012"
"DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","010054","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
