Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,Start_Date,End_Date
"144034","BHC STREAMWOOD HOSPITAL INC","1400 E IRVING PARK ROAD","STREAMWOOD","IL","60107","COOK","Hours of physical-restraint use","0.11","54.23","20947","","0.24","37.40","6382","","0.05","16.48","13609","","0.02","0.35","956","","Not Available","0.00","0","7","Hours of seclusion","0.18","89.20","20947","","0.22","33.78","6382","","0.17","54.62","13609","","0.03","0.80","956","","Not Available","0.00","0","7","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","99.51","408","410","","99.21","126","127","","99.52","207","208","","100.00","75","75","","Not Available","0","0","7","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","92.93","381","410","","92.91","118","127","","93.27","194","208","","92.00","69","75","","Not Available","0","0","7","10/01/2012","03/31/2013"
"144035","LINDEN OAKS HOSPITAL","801 SOUTH WASHINGTON ST","NAPERVILLE","IL","60540","DU PAGE","Hours of physical-restraint use","0.26","157.92","25720","","1.34","12.42","385","","0.14","24.69","7305","","0.31","120.82","16233","","0.00","0.00","1797","","Hours of seclusion","0.00","1.37","25720","","0.00","0.00","385","","0.00","0.00","7305","","0.00","1.37","16233","","0.00","0.00","1797","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","98.85","602","609","","100.00","55","55","","100.00","167","167","","97.44","266","273","","100.00","114","114","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","88.18","537","609","","80.00","44","55","","89.22","149","167","","87.18","238","273","","92.98","106","114","","10/01/2012","03/31/2013"
"144038","CHOATE MENTAL HEALTH & DEVELOPMENT CTR","1000 N MAIN ST","ANNA","IL","62906","UNION","Hours of physical-restraint use","0.05","16.52","13824","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.06","16.52","12090","","0.00","0.00","1734","","Hours of seclusion","0.00","0.75","13824","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.75","12090","","0.00","0.00","1734","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","98.03","149","152","","Not Available","0","0","7","Not Available","0","0","7","98.61","142","144","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","96.05","146","152","","Not Available","0","0","7","Not Available","0","0","7","96.53","139","144","","Not Available","Not Available","Not Available","1","10/01/2012","03/31/2013"
"150002","METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN","46402","LAKE","Hours of physical-restraint use","0.00","0.00","2902","","Not Available","0.00","0","7","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","2902","","Hours of seclusion","28.86","2010.00","2902","","Not Available","0.00","0","7","Not Available","0.00","0","7","Not Available","0.00","0","7","28.86","2010.00","2902","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","100.00","137","137","","Not Available","0","0","7","Not Available","0","0","7","100.00","86","86","","100.00","51","51","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","77.37","106","137","","Not Available","0","0","7","Not Available","0","0","7","76.74","66","86","","78.43","40","51","","10/01/2012","03/31/2013"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","HAMMOND","IN","46320","LAKE","Hours of physical-restraint use","0.42","53.52","5268","","0.46","1.97","180","","0.26","10.25","1626","","0.46","35.30","3226","","1.06","6.00","236","","Hours of seclusion","0.05","5.98","5268","","0.17","0.75","180","","0.13","5.23","1626","","0.00","0.00","3226","","0.00","0.00","236","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","100.00","312","312","","100.00","34","34","","100.00","100","100","","100.00","148","148","","100.00","30","30","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","46.79","146","312","","61.76","21","34","","55.00","55","100","","38.51","57","148","","43.33","13","30","","10/01/2012","03/31/2013"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","LA PORTE","IN","46350","LA PORTE","Hours of physical-restraint use","20.11","640.59","1327","","Not Available","0.00","0","7","Not Available","0.00","0","7","18.42","406.36","919","","23.92","234.23","408","","Hours of seclusion","2.14","68.26","1327","","Not Available","0.00","0","7","Not Available","0.00","0","7","3.09","68.26","919","","0.00","0.00","408","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","67.81","158","233","","Not Available","0","0","7","Not Available","0","0","7","67.91","127","187","","67.39","31","46","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","64.38","150","233","","Not Available","0","0","7","Not Available","0","0","7","64.17","120","187","","65.22","30","46","","10/01/2012","03/31/2013"
"150008","ST CATHERINE HOSPITAL INC","4321 FIR ST","EAST CHICAGO","IN","46312","LAKE","Hours of physical-restraint use","3.77","234.40","2588","","Not Available","0.00","0","7","Not Available","0.00","0","7","3.93","234.40","2485","","0.00","0.00","103","","Hours of seclusion","0.00","0.00","2588","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","2485","","0.00","0.00","103","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","67.44","87","129","","Not Available","0","0","7","Not Available","0","0","7","65.49","74","113","","81.25","13","16","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","66.67","86","129","","Not Available","0","0","7","Not Available","0","0","7","64.60","73","113","","81.25","13","16","","10/01/2012","03/31/2013"
"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","IN","47130","CLARK","Hours of physical-restraint use","0.07","15.00","8543","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","1872","","0.09","15.00","6671","","Hours of seclusion","0.06","12.00","8543","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","1872","","0.07","12.00","6671","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","82.05","96","117","","Not Available","0","0","7","Not Available","0","0","7","90.00","18","20","","80.41","78","97","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","22.22","26","117","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","22.68","22","97","","10/01/2012","03/31/2013"
"150018","ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN","46514","ELKHART","Hours of physical-restraint use","0.48","9.75","840","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","562","","1.46","9.75","278","","Hours of seclusion","0.00","0.00","840","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","562","","0.00","0.00","278","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","100.00","130","130","","Not Available","0","0","7","Not Available","0","0","7","100.00","103","103","","100.00","27","27","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","78.46","102","130","","Not Available","0","0","7","Not Available","0","0","7","72.82","75","103","","100.00","27","27","","10/01/2012","03/31/2013"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN","46805","ALLEN","Hours of physical-restraint use","0.03","9.40","11833","","0.16","4.00","1014","","0.02","1.00","2446","","0.02","4.10","7242","","0.01","0.30","1131","","Hours of seclusion","0.24","67.10","11833","","0.54","13.10","1014","","0.09","5.20","2446","","0.28","48.80","7242","","0.00","0.00","1131","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","94.95","621","654","","92.38","97","105","","95.87","116","121","","96.47","301","312","","92.24","107","116","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","94.04","615","654","","92.38","97","105","","95.87","116","121","","95.51","298","312","","89.66","104","116","","10/01/2012","03/31/2013"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","1710 LAFAYETTE RD","CRAWFORDSVILLE","IN","47933","MONTGOMERY","Hours of physical-restraint use","0.00","0.00","799","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","58","","0.00","0.00","741","","Hours of seclusion","0.00","0.00","799","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","58","","0.00","0.00","741","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","94.52","69","73","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","93.94","62","66","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","10/01/2012","03/31/2013"
"150024","WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","INDIANAPOLIS","IN","46202","MARION","Hours of physical-restraint use","0.19","21.67","4688","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.20","21.67","4526","","0.00","0.00","162","","Hours of seclusion","1.95","219.59","4688","","Not Available","0.00","0","7","Not Available","0.00","0","7","2.02","219.59","4526","","0.00","0.00","162","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","100.00","97","97","","Not Available","0","0","7","Not Available","0","0","7","100.00","90","90","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","97","97","","Not Available","0","0","7","Not Available","0","0","7","100.00","90","90","","Not Available","Not Available","Not Available","1","10/01/2012","03/31/2013"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","GREENFIELD","IN","46140","HANCOCK","Hours of physical-restraint use","0.00","0.00","1314","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","89","","0.00","0.00","1225","","Hours of seclusion","0.00","0.00","1314","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","89","","0.00","0.00","1225","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","10.53","12","114","","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","10.53","12","114","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","114","114","","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","100.00","114","114","","10/01/2012","03/31/2013"
"150042","GOOD SAMARITAN HOSPITAL","520 S 7TH ST","VINCENNES","IN","47591","KNOX","Hours of physical-restraint use","0.98","53.92","2285","","Not Available","0.00","0","7","Not Available","0.00","0","7","1.06","53.92","2116","","0.00","0.00","169","","Hours of seclusion","0.00","0.00","2285","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","2116","","0.00","0.00","169","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","94.31","315","334","","Not Available","0","0","7","Not Available","0","0","7","94.06","301","320","","100.00","14","14","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","87.13","291","334","","Not Available","0","0","7","Not Available","0","0","7","87.19","279","320","","85.71","12","14","","10/01/2012","03/31/2013"
"150046","TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","TERRE HAUTE","IN","47802","VIGO","Hours of physical-restraint use","0.00","0.00","2304","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","2063","","0.00","0.00","241","","Hours of seclusion","0.00","0.00","2304","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","2063","","0.00","0.00","241","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","100.00","133","133","","Not Available","0","0","7","Not Available","0","0","7","100.00","109","109","","100.00","24","24","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","133","133","","Not Available","0","0","7","Not Available","0","0","7","100.00","109","109","","100.00","24","24","","10/01/2012","03/31/2013"
"150047","ST JOSEPH HOSPITAL","700 BROADWAY","FORT WAYNE","IN","46802","ALLEN","Hours of physical-restraint use","0.08","168.00","87790","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.06","15.00","10048","","0.08","153.00","77742","","Hours of seclusion","0.00","0.00","87880","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","10048","","0.00","0.00","77832","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","7.94","22","277","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","8.44","20","237","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","5.42","15","277","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","5.91","14","237","","10/01/2012","03/31/2013"
"150048","REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","RICHMOND","IN","47374","WAYNE","Hours of physical-restraint use","0.73","88.75","5089","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","855","","0.87","88.75","4234","","Hours of seclusion","0.03","3.83","5089","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","855","","0.04","3.83","4234","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","73.10","231","316","","Not Available","0","0","7","Not Available","0","0","7","76.83","63","82","","71.79","168","234","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","28.80","91","316","","Not Available","0","0","7","Not Available","0","0","7","19.51","16","82","","32.05","75","234","","10/01/2012","03/31/2013"
"150056","INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","INDIANAPOLIS","IN","46202","MARION","Hours of physical-restraint use","0.84","69.88","3477","","0.28","1.50","226","","0.00","0.00","602","","1.32","68.38","2162","","0.00","0.00","487","","Hours of seclusion","1.65","137.36","3477","","1.25","6.78","226","","0.33","4.82","602","","2.42","125.76","2162","","0.00","0.00","487","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","12.40","30","242","","0.00","0","33","","Not Available","Not Available","Not Available","1","17.65","15","85","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","5.37","13","242","","0.00","0","33","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","10/01/2012","03/31/2013"
"150058","MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN","46601","ST. JOSEPH","Hours of physical-restraint use","0.00","0.00","2035","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","35","","0.00","0.00","2000","","Hours of seclusion","0.00","0.00","2035","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","35","","0.00","0.00","2000","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","0.00","0","143","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00","0","139","","10/01/2012","03/31/2013"
"150061","DAVIESS COMMUNITY HOSPITAL","1314 E WALNUT ST","WASHINGTON","IN","47501","DAVIESS","Hours of physical-restraint use","0.00","0.00","1889","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","368","","0.00","0.00","1521","","Hours of seclusion","0.00","0.00","1889","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","368","","0.00","0.00","1521","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","24.28","42","173","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","24.81","32","129","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","10/01/2012","03/31/2013"
