"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"PA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","10/01/2012","09/30/2013"
"PR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","","10/01/2012","09/30/2013"
"RI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","67","","10/01/2012","09/30/2013"
"SC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","43","","10/01/2012","09/30/2013"
"SD","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","66","","10/01/2012","09/30/2013"
"TN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","10/01/2012","09/30/2013"
"TX","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","62","","10/01/2012","09/30/2013"
"UT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","36","","10/01/2012","09/30/2013"
"VA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","10/01/2012","09/30/2013"
"VI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","","10/01/2012","09/30/2013"
"VT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","31","","10/01/2012","09/30/2013"
"WA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","10/01/2012","09/30/2013"
"WI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","58","","10/01/2012","09/30/2013"
"WV","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","109","","10/01/2012","09/30/2013"
"WY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","163","","10/01/2012","09/30/2013"
"AK","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"AL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"AR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"AS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","","10/01/2012","09/30/2013"
"AZ","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"CA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"CO","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"CT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"DC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","19","","10/01/2012","09/30/2013"
"DE","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"FL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"GA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"GU","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","","10/01/2012","09/30/2013"
"HI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"IA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","5","","10/01/2012","09/30/2013"
"ID","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"IL","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"IN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"KS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"KY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"LA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","10/01/2012","09/30/2013"
"MA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"MD","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"ME","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"MI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"MN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"MO","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"MP","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","","10/01/2012","09/30/2013"
"MS","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","10/01/2012","09/30/2013"
"MT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","10/01/2012","09/30/2013"
"NC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"ND","Heart Attack or Chest Pain","Median Time to ECG","OP_5","11","","10/01/2012","09/30/2013"
"NE","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"NH","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"NJ","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"NM","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"NV","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"NY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"OH","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"OK","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"OR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"PA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"PR","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","","10/01/2012","09/30/2013"
"RI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","10","","10/01/2012","09/30/2013"
"SC","Heart Attack or Chest Pain","Median Time to ECG","OP_5","5","","10/01/2012","09/30/2013"
"SD","Heart Attack or Chest Pain","Median Time to ECG","OP_5","5","","10/01/2012","09/30/2013"
"TN","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"TX","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"UT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"VA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"VI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","Not Available","","10/01/2012","09/30/2013"
"VT","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"WA","Heart Attack or Chest Pain","Median Time to ECG","OP_5","9","","10/01/2012","09/30/2013"
"WI","Heart Attack or Chest Pain","Median Time to ECG","OP_5","7","","10/01/2012","09/30/2013"
"WV","Heart Attack or Chest Pain","Median Time to ECG","OP_5","8","","10/01/2012","09/30/2013"
"WY","Heart Attack or Chest Pain","Median Time to ECG","OP_5","6","","10/01/2012","09/30/2013"
"AK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","92","","10/01/2012","09/30/2013"
"AL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","57","","10/01/2012","09/30/2013"
"AR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","54","","10/01/2012","09/30/2013"
"AS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"AZ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","59","","10/01/2012","09/30/2013"
"CA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","62","","10/01/2012","09/30/2013"
"CO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","55","","10/01/2012","09/30/2013"
"CT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","33","","10/01/2012","09/30/2013"
"DC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"DE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"FL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","81","","10/01/2012","09/30/2013"
"GA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","35","","10/01/2012","09/30/2013"
"GU","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"HI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","56","","10/01/2012","09/30/2013"
"IA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","49","","10/01/2012","09/30/2013"
"ID","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","55","","10/01/2012","09/30/2013"
"IL","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","65","","10/01/2012","09/30/2013"
"IN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","10/01/2012","09/30/2013"
"KS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","41","","10/01/2012","09/30/2013"
"KY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","63","","10/01/2012","09/30/2013"
"LA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","54","","10/01/2012","09/30/2013"
"MA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","73","","10/01/2012","09/30/2013"
"MD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"ME","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","86","","10/01/2012","09/30/2013"
"MI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","63","","10/01/2012","09/30/2013"
"MN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","48","","10/01/2012","09/30/2013"
"MO","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","53","","10/01/2012","09/30/2013"
"MP","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"MS","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","40","","10/01/2012","09/30/2013"
"MT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","43","","10/01/2012","09/30/2013"
"NC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","66","","10/01/2012","09/30/2013"
"ND","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","51","","10/01/2012","09/30/2013"
"NE","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","53","","10/01/2012","09/30/2013"
"NH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","82","","10/01/2012","09/30/2013"
"NJ","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","63","","10/01/2012","09/30/2013"
"NM","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","62","","10/01/2012","09/30/2013"
"NV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","40","","10/01/2012","09/30/2013"
"NY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","54","","10/01/2012","09/30/2013"
"OH","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","44","","10/01/2012","09/30/2013"
"OK","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","54","","10/01/2012","09/30/2013"
"OR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","57","","10/01/2012","09/30/2013"
"PA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","44","","10/01/2012","09/30/2013"
"PR","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"RI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","100","","10/01/2012","09/30/2013"
"SC","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","68","","10/01/2012","09/30/2013"
"SD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","69","","10/01/2012","09/30/2013"
"TN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","72","","10/01/2012","09/30/2013"
"TX","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","47","","10/01/2012","09/30/2013"
"UT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","52","","10/01/2012","09/30/2013"
"VA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","68","","10/01/2012","09/30/2013"
"VI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","","10/01/2012","09/30/2013"
"VT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","79","","10/01/2012","09/30/2013"
"WA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","51","","10/01/2012","09/30/2013"
"WI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","52","","10/01/2012","09/30/2013"
"WV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","74","","10/01/2012","09/30/2013"
"WY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","69","","10/01/2012","09/30/2013"
"AK","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","10/01/2012","09/30/2013"
"AL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"AR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"AS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","","10/01/2012","09/30/2013"
"AZ","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"CA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"CO","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"CT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"DC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","10/01/2012","09/30/2013"
"DE","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","10/01/2012","09/30/2013"
"FL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"GA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","10/01/2012","09/30/2013"
"GU","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","","10/01/2012","09/30/2013"
"HI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"IA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"ID","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"IL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"IN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"KS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","10/01/2012","09/30/2013"
"KY","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"LA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","10/01/2012","09/30/2013"
"MA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"MD","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","100","","10/01/2012","09/30/2013"
"ME","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","10/01/2012","09/30/2013"
"MI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"MN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"MO","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","10/01/2012","09/30/2013"
"MP","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","","10/01/2012","09/30/2013"
"MS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","10/01/2012","09/30/2013"
"MT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"NC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"ND","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","10/01/2012","09/30/2013"
"NE","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"NH","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","10/01/2012","09/30/2013"
"NJ","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"NM","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"NV","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"NY","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"OH","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"OK","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","10/01/2012","09/30/2013"
"OR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"PA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"PR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","","10/01/2012","09/30/2013"
"RI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"SC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"SD","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","10/01/2012","09/30/2013"
"TN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"TX","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","10/01/2012","09/30/2013"
"UT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"VA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"VI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","","10/01/2012","09/30/2013"
"VT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"WA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"WI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","10/01/2012","09/30/2013"
"WV","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","10/01/2012","09/30/2013"
"WY","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","10/01/2012","09/30/2013"
"AK","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","10/01/2012","09/30/2013"
"AL","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","10/01/2012","09/30/2013"
"AR","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","10/01/2012","09/30/2013"
