"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"AL","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",14
"AL","How often did staff explain about medicines before giving them to patients?","Staff usually explained",16
"AL","How often was patients&#39; pain well controlled?","Pain was always well controlled",77
"AL","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",5
"AL","How often was patients&#39; pain well controlled?","Pain was usually well controlled",18
"AL","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",72
"AL","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",5
"AL","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",23
"AL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",74
"AL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",8
"AL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",18
"AL","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",13
"AL","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",87
"AL","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"AL","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",79
"AL","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",17
"AR","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"AR","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",25
"AR","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",63
"AR","How often did doctors communicate well with patients?","Doctors always communicated well",83
"AR","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"AR","How often did doctors communicate well with patients?","Doctors usually communicated well",13
"AR","How often did nurses communicate well with patients?","Nurses always communicated well",75
"AR","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"AR","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"AR","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",64
"AR","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",11
"AR","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"AR","How often did staff explain about medicines before giving them to patients?","Staff always explained",58
"AR","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",24
"AR","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"AR","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"AR","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"AR","How often was patients&#39; pain well controlled?","Pain was usually well controlled",23
"AR","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",63
"AR","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",9
"AR","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",28
"AR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",71
"AR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",10
"AR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"AR","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",24
"AR","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",76
"AR","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"AR","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",66
"AR","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",28
"AS","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",
"AS","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",
"AS","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",
"AS","How often did doctors communicate well with patients?","Doctors always communicated well",
"AS","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",
"AS","How often did doctors communicate well with patients?","Doctors usually communicated well",
"AS","How often did nurses communicate well with patients?","Nurses always communicated well",
"AS","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",
"AS","How often did nurses communicate well with patients?","Nurses usually communicated well",
"AS","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",
"AS","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",
"AS","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",
"AS","How often did staff explain about medicines before giving them to patients?","Staff always explained",
"AS","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",
"AS","How often did staff explain about medicines before giving them to patients?","Staff usually explained",
"AS","How often was patients&#39; pain well controlled?","Pain was always well controlled",
"AS","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",
"AS","How often was patients&#39; pain well controlled?","Pain was usually well controlled",
"AS","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",
"AS","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",
"AS","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",
"AS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",
"AS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",
"AS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",
"AS","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",
"AS","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",
"AS","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",
"AS","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",
"AS","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",
"AZ","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"AZ","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"AZ","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",61
"AZ","How often did doctors communicate well with patients?","Doctors always communicated well",74
"AZ","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",7
"AZ","How often did doctors communicate well with patients?","Doctors usually communicated well",19
"AZ","How often did nurses communicate well with patients?","Nurses always communicated well",70
"AZ","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"AZ","How often did nurses communicate well with patients?","Nurses usually communicated well",23
"AZ","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",59
"AZ","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",13
"AZ","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"AZ","How often did staff explain about medicines before giving them to patients?","Staff always explained",57
"AZ","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",24
"AZ","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"AZ","How often was patients&#39; pain well controlled?","Pain was always well controlled",66
"AZ","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"AZ","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"AZ","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",51
"AZ","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",16
"AZ","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"AZ","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",65
"AZ","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",13
"AZ","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",22
"AZ","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",22
"AZ","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",78
"AZ","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",8
"AZ","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",65
"AZ","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",27
"CA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",13
"CA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"CA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",60
"CA","How often did doctors communicate well with patients?","Doctors always communicated well",75
"CA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",7
"CA","How often did doctors communicate well with patients?","Doctors usually communicated well",18
"CA","How often did nurses communicate well with patients?","Nurses always communicated well",67
"CA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",8
"CA","How often did nurses communicate well with patients?","Nurses usually communicated well",25
"CA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",55
"CA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",16
"CA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",29
"CA","How often did staff explain about medicines before giving them to patients?","Staff always explained",54
"CA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",27
"CA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"CA","How often was patients&#39; pain well controlled?","Pain was always well controlled",64
"CA","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"CA","How often was patients&#39; pain well controlled?","Pain was usually well controlled",27
"CA","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",45
"CA","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",21
"CA","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",34
"CA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",64
"CA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",13
"CA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",23
"CA","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",24
"CA","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",76
"CA","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",8
"CA","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",64
"CA","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",28
"CO","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",9
"CO","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",23
"CO","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",68
"CO","How often did doctors communicate well with patients?","Doctors always communicated well",79
"CO","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"CO","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"CO","How often did nurses communicate well with patients?","Nurses always communicated well",73
"CO","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"CO","How often did nurses communicate well with patients?","Nurses usually communicated well",22
"CO","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",62
"CO","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",10
"CO","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"CO","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"CO","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"CO","How often did staff explain about medicines before giving them to patients?","Staff usually explained",20
"CO","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"CO","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"CO","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"CO","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",58
"CO","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",11
"CO","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",31
"CO","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",72
"CO","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"CO","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"CO","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",18
"CO","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",82
"CO","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"CO","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",72
"CO","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",23
"CT","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"CT","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"CT","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",63
"CT","How often did doctors communicate well with patients?","Doctors always communicated well",79
"CT","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"CT","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"CT","How often did nurses communicate well with patients?","Nurses always communicated well",74
"CT","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"CT","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"CT","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",60
"CT","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",13
"CT","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"CT","How often did staff explain about medicines before giving them to patients?","Staff always explained",57
"CT","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",24
"CT","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"CT","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"CT","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"CT","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"CT","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",48
"CT","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",17
"CT","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",35
"CT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",69
"CT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"CT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",22
"CT","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",20
"CT","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",80
"CT","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"CT","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",69
"CT","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",26
"DC","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",14
"DC","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",28
"DC","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",58
"DC","How often did doctors communicate well with patients?","Doctors always communicated well",75
"DC","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",8
"DC","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"DC","How often did nurses communicate well with patients?","Nurses always communicated well",66
"DC","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",11
"DC","How often did nurses communicate well with patients?","Nurses usually communicated well",23
"DC","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",49
"DC","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",22
"DC","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",29
"DC","How often did staff explain about medicines before giving them to patients?","Staff always explained",54
"DC","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",27
"DC","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"DC","How often was patients&#39; pain well controlled?","Pain was always well controlled",62
"DC","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",13
"DC","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"DC","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",54
"DC","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",17
"DC","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",29
"DC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",61
"DC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",17
"DC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",22
"DC","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",25
"DC","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",75
"DC","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",9
"DC","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",66
"DC","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",25
"DE","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"DE","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"DE","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",61
"DE","How often did doctors communicate well with patients?","Doctors always communicated well",78
"DE","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",6
"DE","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"DE","How often did nurses communicate well with patients?","Nurses always communicated well",73
"DE","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"DE","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"DE","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",61
"DE","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",13
"DE","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"DE","How often did staff explain about medicines before giving them to patients?","Staff always explained",58
"DE","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",25
"DE","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"DE","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"DE","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"DE","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"DE","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",47
"DE","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",20
"DE","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"DE","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",64
"DE","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",14
"DE","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",22
"DE","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",20
"DE","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",80
"DE","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"DE","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",64
"DE","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",29
"FL","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",16
"FL","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"FL","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",57
"FL","How often did doctors communicate well with patients?","Doctors always communicated well",74
"FL","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",8
"FL","How often did doctors communicate well with patients?","Doctors usually communicated well",18
"FL","How often did nurses communicate well with patients?","Nurses always communicated well",66
"FL","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",10
"FL","How often did nurses communicate well with patients?","Nurses usually communicated well",24
"FL","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",53
"FL","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",19
"FL","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"FL","How often did staff explain about medicines before giving them to patients?","Staff always explained",52
"FL","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",31
"FL","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"FL","How often was patients&#39; pain well controlled?","Pain was always well controlled",63
"FL","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",11
"FL","How often was patients&#39; pain well controlled?","Pain was usually well controlled",26
"FL","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",51
"FL","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",18
"FL","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",31
"FL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",62
"FL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",15
"FL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",23
"FL","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",25
"FL","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",75
"FL","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",10
"FL","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",62
"FL","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",28
"GA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",11
"GA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"GA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",65
"GA","How often did doctors communicate well with patients?","Doctors always communicated well",82
"GA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"GA","How often did doctors communicate well with patients?","Doctors usually communicated well",13
"GA","How often did nurses communicate well with patients?","Nurses always communicated well",74
"GA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"GA","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"GA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",61
"GA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",13
"GA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"GA","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"GA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"GA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"GA","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"GA","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"GA","How often was patients&#39; pain well controlled?","Pain was usually well controlled",23
"GA","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",63
"GA","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",10
"GA","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",27
"GA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",68
"GA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",12
"GA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"GA","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",21
"GA","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",79
"GA","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"GA","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",68
"GA","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",25
"GU","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",
"GU","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",
"GU","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",
"GU","How often did doctors communicate well with patients?","Doctors always communicated well",
"GU","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",
"GU","How often did doctors communicate well with patients?","Doctors usually communicated well",
"GU","How often did nurses communicate well with patients?","Nurses always communicated well",
"GU","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",
"GU","How often did nurses communicate well with patients?","Nurses usually communicated well",
"GU","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",
"GU","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",
"GU","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",
"GU","How often did staff explain about medicines before giving them to patients?","Staff always explained",
"GU","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",
"GU","How often did staff explain about medicines before giving them to patients?","Staff usually explained",
"GU","How often was patients&#39; pain well controlled?","Pain was always well controlled",
"GU","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",
