"Provider Number","Hospital Name","Condition","Measure Name","Category","Mortality Rate","Lower Mortality Estimate","Upper Mortality Estimate","Number of Patients","Footnote"
"010007","MIZELL MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.9,9,18.6,77,
"010008","CRENSHAW COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.1,20.9,3,
"010008","CRENSHAW COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.5,7.7,16.5,19,
"010008","CRENSHAW COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.8,8.6,18.3,46,
"010009","HARTSELLE MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.7,12.1,19.9,13,
"010009","HARTSELLE MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.2,15.4,48,
"010009","HARTSELLE MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13,8.7,18.8,58,
"010010","MARSHALL MEDICAL CENTER NORTH","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15,11.5,19,13,
"010010","MARSHALL MEDICAL CENTER NORTH","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.5,9.9,17.8,62,
"010010","MARSHALL MEDICAL CENTER NORTH","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.5,7.6,14.4,104,
"010011","ST VINCENT'S EAST","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",13.7,10.5,17.8,105,
"010011","ST VINCENT'S EAST","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.4,8.9,17.4,112,
"010011","ST VINCENT'S EAST","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13,9.5,17.6,163,
"010012","DEKALB REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.5,13.4,22.8,23,
"010012","DEKALB REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.6,8.8,17.7,70,
"010012","DEKALB REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.2,8.3,17.8,83,
"010015","SOUTHWEST ALABAMA MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.4,20.3,6,
"010015","SOUTHWEST ALABAMA MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,7.4,15.9,37,
"010015","SOUTHWEST ALABAMA MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.8,7.8,17,31,
"010016","SHELBY BAPTIST MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.6,21.4,73,
"010016","SHELBY BAPTIST MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.4,8.1,15.9,86,
"010016","SHELBY BAPTIST MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.6,6.5,13.7,92,
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack",,,,,,"5         "
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure",,,,,,"5         "
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia",,,,,,"5         "
"010019","HELEN KELLER MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,11.8,21.4,17,
"010019","HELEN KELLER MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.5,14.8,108,
"010019","HELEN KELLER MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.6,8.7,18.3,92,
"010021","DALE MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.2,13.8,21.2,9,
"010021","DALE MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11,7.6,16,35,
"010021","DALE MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.5,7.9,16.6,69,
"010022","CHEROKEE MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.9,20.9,6,
"010022","CHEROKEE MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,7,14.7,32,
"010022","CHEROKEE MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.3,8.3,17.6,55,
"010023","BAPTIST MEDICAL CENTER SOUTH","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.9,14.1,22.5,115,
"010023","BAPTIST MEDICAL CENTER SOUTH","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.5,9.4,16.4,181,
"010023","BAPTIST MEDICAL CENTER SOUTH","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12,8.8,16,96,
"010024","JACKSON HOSPITAL & CLINIC INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.8,20.5,93,
"010024","JACKSON HOSPITAL & CLINIC INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.5,9.4,16.5,177,
"010024","JACKSON HOSPITAL & CLINIC INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.1,9.9,17.2,148,
"010025","G H LANIER MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.3,21.1,22,
"010025","G H LANIER MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10,7,13.9,81,
"010025","G H LANIER MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.7,6.9,16.1,41,
"010027","ELBA GENERAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,13.3,19.1,2,
"010027","ELBA GENERAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7,16.1,6,
"010027","ELBA GENERAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.3,6.4,16.2,18,
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,12.1,20.8,128,
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.1,9,16.1,227,
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",16.5,12,22.5,90,
"010032","WEDOWEE HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,11.7,22.7,2,
"010032","WEDOWEE HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.6,7.7,17.4,22,
"010032","WEDOWEE HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.8,7.4,17.9,26,
"010033","UNIVERSITY OF ALABAMA HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.3,21.4,67,
"010033","UNIVERSITY OF ALABAMA HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.7,14.8,133,
"010033","UNIVERSITY OF ALABAMA HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",8.9,5.8,13.2,74,
"010034","COMMUNITY HOSPITAL INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.4,20.7,6,
"010034","COMMUNITY HOSPITAL INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.1,15.4,32,
"010034","COMMUNITY HOSPITAL INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.3,9.7,20.1,30,
"010035","CULLMAN REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.4,13,23,29,
"010035","CULLMAN REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.4,6.7,12.8,116,
"010035","CULLMAN REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.5,10.2,17.6,170,
"010036","ANDALUSIA REGIONAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,11.9,21.8,9,
"010036","ANDALUSIA REGIONAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.8,7.6,15.1,71,
"010036","ANDALUSIA REGIONAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.6,7.3,15.1,86,
"010038","STRINGFELLOW MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.5,21.5,27,
"010038","STRINGFELLOW MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.5,8.2,16,87,
"010038","STRINGFELLOW MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.4,7.8,16.1,91,
"010039","HUNTSVILLE HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,12.5,18.6,389,
"010039","HUNTSVILLE HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,8.7,13.2,496,
"010039","HUNTSVILLE HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.4,9.9,15.5,316,
"010040","GADSDEN REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.7,13.6,22.9,80,
"010040","GADSDEN REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.9,9.5,16.9,167,
"010040","GADSDEN REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.3,8.6,14.6,255,
"010043","CHILTON MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack",,,,,,"5         "
"010043","CHILTON MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.4,6.9,15.2,9,
"010043","CHILTON MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.2,6.4,15.3,19,
"010044","MARION REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.2,13,22.3,3,
"010044","MARION REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.2,8.1,18,27,
"010044","MARION REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.3,7,15.1,81,
"010045","FAYETTE MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.6,21.5,11,
"010045","FAYETTE MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.1,8.2,17.4,28,
"010045","FAYETTE MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10,6.9,14.4,73,
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.2,11.5,19.8,81,
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,7.7,13.7,185,
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.4,7.5,14.3,131,
"010047","GEORGIANA HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.7,20.5,14,
"010047","GEORGIANA HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.2,15.1,32,
"010047","GEORGIANA HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.5,7.7,16.9,51,
"010049","MEDICAL CENTER ENTERPRISE","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,11.8,21.2,21,
"010049","MEDICAL CENTER ENTERPRISE","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.6,15.6,82,
"010049","MEDICAL CENTER ENTERPRISE","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.6,7.8,16.6,85,
"010050","ST VINCENTS BLOUNT","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.8,12.6,22,13,
"010050","ST VINCENTS BLOUNT","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,7.6,16.1,37,
"010050","ST VINCENTS BLOUNT","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.5,6.3,13.9,54,
"010051","GREENE COUNTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack",,,,,,"5         "
"010051","GREENE COUNTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.8,7.4,16.1,20,
"010051","GREENE COUNTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.5,7.4,17.6,20,
"010052","LAKE MARTIN COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.2,21,3,
"010052","LAKE MARTIN COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.9,6.5,14.7,21,
"010052","LAKE MARTIN COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.9,6.3,15.6,23,
"010054","PARKWAY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",18.3,14.1,23.4,19,
"010054","PARKWAY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.5,14.9,81,
"010054","PARKWAY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.8,6.6,14.1,52,
"010055","FLOWERS HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.1,11.6,19.6,125,
"010055","FLOWERS HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.1,7.3,14,171,
"010055","FLOWERS HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,7.8,16,118,
"010056","ST VINCENTS HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,12.3,20.7,98,
"010056","ST VINCENTS HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.9,14.1,153,
"010056","ST VINCENTS HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.7,7.1,13.2,166,
"010058","BIBB MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.8,19.8,1,
"010058","BIBB MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11,7.2,15.8,9,
"010058","BIBB MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.7,7.9,16.7,25,
"010059","LAWRENCE MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.4,13.4,22.1,32,
"010059","LAWRENCE MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.4,6.9,14.8,40,
"010059","LAWRENCE MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.5,7.1,15.3,91,
"010061","HIGHLANDS MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.1,12.9,22.4,20,
"010061","HIGHLANDS MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.5,8.9,17.2,89,
"010061","HIGHLANDS MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13,9.7,17.1,171,
"010062","WIREGRASS MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.3,20.2,14,
"010062","WIREGRASS MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,7.6,15.9,37,
"010062","WIREGRASS MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.6,7.8,16.8,71,
"010064","PHYSICIANS MEDICAL CENTER CARRAWAY","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",19.1,14.1,25.1,29,
"010064","PHYSICIANS MEDICAL CENTER CARRAWAY","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.8,7.6,14.9,75,
"010064","PHYSICIANS MEDICAL CENTER CARRAWAY","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.4,10.1,20,82,
"010065","RUSSELL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",18.5,14.2,23.5,38,
"010065","RUSSELL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.2,8.5,17.1,54,
"010065","RUSSELL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.3,9.6,18.3,79,
"010066","FLORALA MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.4,21,1,
"010066","FLORALA MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.8,7.2,15.9,16,
"010066","FLORALA MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.2,5.9,13.6,49,
"010069","MEDICAL CENTER BARBOUR","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,11.2,22.4,2,
"010069","MEDICAL CENTER BARBOUR","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,6.9,14.9,21,
"010069","MEDICAL CENTER BARBOUR","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.9,10.1,21.8,42,
"010073","CLAY COUNTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,11.5,21.7,7,
"010073","CLAY COUNTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.2,8.6,17.3,58,
"010073","CLAY COUNTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11,7.5,15.9,48,
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.3,12,19.4,85,
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.2,8.5,14.7,196,
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.3,7.5,14.1,144,
"010079","ATHENS-LIMESTONE HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12.1,21.6,16,
"010079","ATHENS-LIMESTONE HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.9,6.8,13.9,72,
"010079","ATHENS-LIMESTONE HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.6,6.2,14.2,77,
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,11.8,20.9,29,
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.8,6.8,13.8,116,
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.3,8.5,17,111,
"010085","DECATUR GENERAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.4,21.1,54,
"010085","DECATUR GENERAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.6,8.6,15.4,146,
"010085","DECATUR GENERAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.2,9.1,16.2,193,
"010086","NORTHWEST MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.6,12.2,22,11,
"010086","NORTHWEST MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.4,8.7,17.3,44,
"010086","NORTHWEST MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.9,6.5,14.8,64,
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.2,23.1,7,
