"Measure Name","Condition","Percentile","Score"
"Pneumonia Patients Given Oxygenation Assessment","Pneumonia","National Average of Hospitals submitting data:","99%"
"Pneumonia Patients Given Oxygenation Assessment","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia","National Average of Hospitals submitting data:","85%"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","National Average of Hospitals submitting data:","87%"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","Pneumonia","National Average of Hospitals submitting data:","90%"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","Surgical Infection Prevention","National Average of Hospitals submitting data:","84%"
"Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
"Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","Surgical Infection Prevention","National Average of Hospitals submitting data:","91%"
"Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","99%"
"Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","Surgical Infection Prevention","National Average of Hospitals submitting data:","77%"
"Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","95%"
"Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","Surgical Infection Prevention","National Average of Hospitals submitting data:","80%"
"Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
"Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","Surgical Infection Prevention","National Average of Hospitals submitting data:","82%"
"Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
