"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Average Payment Range","Number Of Cases"
"MS","192","Chronic obstructive pulmonary disease w/o CC/MCC","3809 - 4277","2642"
"NE","192","Chronic obstructive pulmonary disease w/o CC/MCC","3953 - 4593","654"
"NV","192","Chronic obstructive pulmonary disease w/o CC/MCC","4140 - 5202","1181"
"OR","192","Chronic obstructive pulmonary disease w/o CC/MCC","1068 - 4744","893"
"SC","192","Chronic obstructive pulmonary disease w/o CC/MCC","3991 - 4374","2379"
"UT","192","Chronic obstructive pulmonary disease w/o CC/MCC","3860 - 4317","204"
"GU","192","Chronic obstructive pulmonary disease w/o CC/MCC","3030 - 6060","23"
"WA","192","Chronic obstructive pulmonary disease w/o CC/MCC","4607 - 5037","1581"
"CT","192","Chronic obstructive pulmonary disease w/o CC/MCC","4656 - 5636","1506"
"GA","192","Chronic obstructive pulmonary disease w/o CC/MCC","3928 - 4544","4468"
"ID","192","Chronic obstructive pulmonary disease w/o CC/MCC","1068 - 4369","300"
"KY","192","Chronic obstructive pulmonary disease w/o CC/MCC","3886 - 4475","5327"
"ME","192","Chronic obstructive pulmonary disease w/o CC/MCC","4059 - 4762","689"
"ND","192","Chronic obstructive pulmonary disease w/o CC/MCC","3619 - 4253","173"
"NM","192","Chronic obstructive pulmonary disease w/o CC/MCC","4070 - 4574","687"
"OK","192","Chronic obstructive pulmonary disease w/o CC/MCC","3844 - 4221","2761"
"RI","192","Chronic obstructive pulmonary disease w/o CC/MCC","1068 - 5485","850"
"TX","192","Chronic obstructive pulmonary disease w/o CC/MCC","3949 - 4550","10213"
"VT","192","Chronic obstructive pulmonary disease w/o CC/MCC","4518 - 5340","242"
"WY","192","Chronic obstructive pulmonary disease w/o CC/MCC","4139 - 5453","301"
"AS","192","Chronic obstructive pulmonary disease w/o CC/MCC","828 - 2428","*"
"MP","192","Chronic obstructive pulmonary disease w/o CC/MCC","912 - 2736","*"
"AR","192","Chronic obstructive pulmonary disease w/o CC/MCC","3823 - 4257","1960"
"CO","192","Chronic obstructive pulmonary disease w/o CC/MCC","3928 - 4564","1114"
"FL","192","Chronic obstructive pulmonary disease w/o CC/MCC","3776 - 4287","13053"
"IA","192","Chronic obstructive pulmonary disease w/o CC/MCC","3881 - 4303","1176"
"KS","192","Chronic obstructive pulmonary disease w/o CC/MCC","3882 - 4192","1106"
"MD","192","Chronic obstructive pulmonary disease w/o CC/MCC","3698 - 7306","3225"
"MO","192","Chronic obstructive pulmonary disease w/o CC/MCC","3890 - 4539","3623"
"NC","192","Chronic obstructive pulmonary disease w/o CC/MCC","4080 - 4487","4818"
"NJ","192","Chronic obstructive pulmonary disease w/o CC/MCC","4533 - 5405","5178"
"OH","192","Chronic obstructive pulmonary disease w/o CC/MCC","3839 - 4354","7598"
"PR","192","Chronic obstructive pulmonary disease w/o CC/MCC","83 - 2619","1458"
"TN","192","Chronic obstructive pulmonary disease w/o CC/MCC","3790 - 4315","5716"
"VI","192","Chronic obstructive pulmonary disease w/o CC/MCC","2520 - 7560","13"
"WV","192","Chronic obstructive pulmonary disease w/o CC/MCC","3711 - 4184","2499"
"AL","192","Chronic obstructive pulmonary disease w/o CC/MCC","3732 - 4115","4084"
"CA","192","Chronic obstructive pulmonary disease w/o CC/MCC","4583 - 6225","8765"
"DE","192","Chronic obstructive pulmonary disease w/o CC/MCC","4606 - 5080","397"
"HI","192","Chronic obstructive pulmonary disease w/o CC/MCC","5041 - 5846","275"
"IN","192","Chronic obstructive pulmonary disease w/o CC/MCC","3977 - 4279","4398"
"MA","192","Chronic obstructive pulmonary disease w/o CC/MCC","4568 - 5320","4302"
"MN","192","Chronic obstructive pulmonary disease w/o CC/MCC","4093 - 4650","1396"
"MT","192","Chronic obstructive pulmonary disease w/o CC/MCC","3812 - 4267","299"
"NH","192","Chronic obstructive pulmonary disease w/o CC/MCC","4303 - 4572","594"
"NY","192","Chronic obstructive pulmonary disease w/o CC/MCC","1492 - 5824","10794"
"AK","038","Extracranial procedures w CC","11320 - 12426","29"
"AZ","038","Extracranial procedures w CC","1068 - 9926","344"
"DC","038","Extracranial procedures w CC","12242 - 13784","24"
"IL","038","Extracranial procedures w CC","8792 - 10105","632"
"LA","038","Extracranial procedures w CC","7768 - 9044","346"
"MI","038","Extracranial procedures w CC","8722 - 10767","693"
"MS","038","Extracranial procedures w CC","8633 - 9471","171"
"NE","038","Extracranial procedures w CC","8396 - 9837","113"
"NV","038","Extracranial procedures w CC","1068 - 10260","126"
"OR","038","Extracranial procedures w CC","1024 - 9985","163"
"SC","038","Extracranial procedures w CC","8624 - 10416","264"
"UT","038","Extracranial procedures w CC","8811 - 9647","56"
"WA","038","Extracranial procedures w CC","9564 - 10826","277"
"CT","038","Extracranial procedures w CC","10236 - 12420","177"
"GA","038","Extracranial procedures w CC","8543 - 10004","372"
"ID","038","Extracranial procedures w CC","120 - 9177","52"
"KY","038","Extracranial procedures w CC","8205 - 10173","314"
"ME","038","Extracranial procedures w CC","10224 - 10442","88"
"ND","038","Extracranial procedures w CC","7964 - 8424","114"
"NM","038","Extracranial procedures w CC","38 - 9592","46"
"OK","038","Extracranial procedures w CC","7894 - 8989","333"
"RI","038","Extracranial procedures w CC","2550 - 12914","41"
"TX","038","Extracranial procedures w CC","8529 - 9743","1159"
"VT","038","Extracranial procedures w CC","13315 - 13317","25"
"WY","038","Extracranial procedures w CC","274 - 9451","*"
"AR","038","Extracranial procedures w CC","8205 - 9141","258"
"CO","038","Extracranial procedures w CC","8962 - 9753","173"
"FL","038","Extracranial procedures w CC","8109 - 9109","1331"
"IA","038","Extracranial procedures w CC","8459 - 9291","187"
"KS","038","Extracranial procedures w CC","8052 - 9295","230"
"MD","038","Extracranial procedures w CC","6174 - 13154","325"
"MO","038","Extracranial procedures w CC","8100 - 9714","440"
"NC","038","Extracranial procedures w CC","8728 - 11338","444"
"NJ","038","Extracranial procedures w CC","9409 - 11635","343"
"OH","038","Extracranial procedures w CC","8197 - 9628","809"
"PR","038","Extracranial procedures w CC","550 - 5218","20"
"TN","038","Extracranial procedures w CC","8006 - 9303","379"
"WV","038","Extracranial procedures w CC","1068 - 9299","159"
"AL","038","Extracranial procedures w CC","7966 - 8821","352"
"CA","038","Extracranial procedures w CC","1156 - 12683","1133"
"DE","038","Extracranial procedures w CC","9972 - 10873","69"
"HI","038","Extracranial procedures w CC","841 - 12790","15"
"IN","038","Extracranial procedures w CC","8503 - 9401","440"
"MA","038","Extracranial procedures w CC","10294 - 13556","397"
"MN","038","Extracranial procedures w CC","9205 - 10138","302"
"MT","038","Extracranial procedures w CC","8470 - 8978","54"
"AK","190","Chronic obstructive pulmonary disease w MCC","10429 - 15407","155"
"AZ","190","Chronic obstructive pulmonary disease w MCC","2023 - 8468","2715"
"DC","190","Chronic obstructive pulmonary disease w MCC","10178 - 11569","275"
"IL","190","Chronic obstructive pulmonary disease w MCC","7268 - 8477","7997"
"LA","190","Chronic obstructive pulmonary disease w MCC","6676 - 7789","2852"
"MI","190","Chronic obstructive pulmonary disease w MCC","7318 - 8899","7953"
"MS","190","Chronic obstructive pulmonary disease w MCC","6841 - 7933","2258"
"NE","190","Chronic obstructive pulmonary disease w MCC","7101 - 7789","790"
"NV","190","Chronic obstructive pulmonary disease w MCC","6698 - 9027","1098"
"OR","190","Chronic obstructive pulmonary disease w MCC","1068 - 8519","951"
"SC","190","Chronic obstructive pulmonary disease w MCC","7221 - 8047","2774"
"UT","190","Chronic obstructive pulmonary disease w MCC","6644 - 7755","377"
"GU","190","Chronic obstructive pulmonary disease w MCC","5050 - 12120","15"
"WA","190","Chronic obstructive pulmonary disease w MCC","8025 - 9048","2110"
"CT","190","Chronic obstructive pulmonary disease w MCC","8347 - 10084","2386"
"GA","190","Chronic obstructive pulmonary disease w MCC","7098 - 8102","4761"
"ID","190","Chronic obstructive pulmonary disease w MCC","6073 - 7848","387"
"KY","190","Chronic obstructive pulmonary disease w MCC","6980 - 8191","4651"
"ME","190","Chronic obstructive pulmonary disease w MCC","7289 - 8581","780"
"ND","190","Chronic obstructive pulmonary disease w MCC","6500 - 7641","256"
"NM","190","Chronic obstructive pulmonary disease w MCC","7295 - 8329","601"
"OK","190","Chronic obstructive pulmonary disease w MCC","6886 - 7693","2409"
"RI","190","Chronic obstructive pulmonary disease w MCC","5077 - 9065","777"
"TX","190","Chronic obstructive pulmonary disease w MCC","7105 - 8177","11769"
"VT","190","Chronic obstructive pulmonary disease w MCC","8115 - 11175","239"
"WY","190","Chronic obstructive pulmonary disease w MCC","7435 - 9662","222"
"AS","190","Chronic obstructive pulmonary disease w MCC","552","*"
"MP","190","Chronic obstructive pulmonary disease w MCC","3192 - 3496","*"
"AR","190","Chronic obstructive pulmonary disease w MCC","6886 - 7647","1770"
"CO","190","Chronic obstructive pulmonary disease w MCC","4504 - 8198","1368"
"FL","190","Chronic obstructive pulmonary disease w MCC","6786 - 7670","13321"
"IA","190","Chronic obstructive pulmonary disease w MCC","6908 - 7655","1315"
"KS","190","Chronic obstructive pulmonary disease w MCC","6736 - 7692","1114"
"MD","190","Chronic obstructive pulmonary disease w MCC","5329 - 11976","3331"
"MO","190","Chronic obstructive pulmonary disease w MCC","6830 - 8153","3723"
"NC","190","Chronic obstructive pulmonary disease w MCC","7244 - 8100","6237"
"NJ","190","Chronic obstructive pulmonary disease w MCC","8005 - 9701","5349"
"OH","190","Chronic obstructive pulmonary disease w MCC","6601 - 7816","9621"
"PR","190","Chronic obstructive pulmonary disease w MCC","4039 - 4751","470"
"TN","190","Chronic obstructive pulmonary disease w MCC","6678 - 7748","5737"
"WV","190","Chronic obstructive pulmonary disease w MCC","6615 - 7518","2274"
"AL","190","Chronic obstructive pulmonary disease w MCC","6668 - 7391","4059"
"CA","190","Chronic obstructive pulmonary disease w MCC","8256 - 11208","11288"
"DE","190","Chronic obstructive pulmonary disease w MCC","8233 - 9125","635"
"HI","190","Chronic obstructive pulmonary disease w MCC","8688 - 10734","299"
"IN","190","Chronic obstructive pulmonary disease w MCC","7144 - 7771","5228"
"MA","190","Chronic obstructive pulmonary disease w MCC","7699 - 9355","4706"
"MN","190","Chronic obstructive pulmonary disease w MCC","6605 - 8353","1612"
"MT","190","Chronic obstructive pulmonary disease w MCC","6996 - 7961","339"
"NH","190","Chronic obstructive pulmonary disease w MCC","7720 - 8315","737"
"NY","190","Chronic obstructive pulmonary disease w MCC","6396 - 11184","10334"
"PA","190","Chronic obstructive pulmonary disease w MCC","1229 - 7976","9041"
"SD","190","Chronic obstructive pulmonary disease w MCC","7604 - 8024","294"
"VA","190","Chronic obstructive pulmonary disease w MCC","6850 - 7961","4071"
"WI","190","Chronic obstructive pulmonary disease w MCC","7075 - 8412","2245"
"WY","039","Extracranial procedures w/o CC/MCC","5725 - 6091","77"
"VT","039","Extracranial procedures w/o CC/MCC","8581 - 8582","62"
"TX","039","Extracranial procedures w/o CC/MCC","5496 - 6252","4057"
"NH","038","Extracranial procedures w CC","9215 - 13221","90"
"NY","038","Extracranial procedures w CC","3193 - 12495","841"
"PA","038","Extracranial procedures w CC","1580 - 9550","766"
"SD","038","Extracranial procedures w CC","8267 - 9938","40"
"VA","038","Extracranial procedures w CC","8374 - 9649","318"
"WI","038","Extracranial procedures w CC","8345 - 10088","371"
"WA","193","Simple pneumonia and pleurisy w MCC","8823 - 9946","2252"
"GU","193","Simple pneumonia and pleurisy w MCC","2020 - 8080","21"
"UT","193","Simple pneumonia and pleurisy w MCC","6299 - 8512","648"
"SC","193","Simple pneumonia and pleurisy w MCC","7940 - 8863","2693"
"OR","193","Simple pneumonia and pleurisy w MCC","1068 - 9293","1162"
"NV","193","Simple pneumonia and pleurisy w MCC","8203 - 10330","809"
"NE","193","Simple pneumonia and pleurisy w MCC","7810 - 9078","727"
"MS","193","Simple pneumonia and pleurisy w MCC","7522 - 8726","1889"
"MI","193","Simple pneumonia and pleurisy w MCC","7927 - 9987","5724"
"LA","193","Simple pneumonia and pleurisy w MCC","7443 - 8824","2420"
"IL","193","Simple pneumonia and pleurisy w MCC","7912 - 9322","6334"
"DC","193","Simple pneumonia and pleurisy w MCC","11191 - 11409","279"
"MS","191","Chronic obstructive pulmonary disease w CC","5168 - 5934","2315"
"MI","191","Chronic obstructive pulmonary disease w CC","5530 - 6767","6783"
"LA","191","Chronic obstructive pulmonary disease w CC","5106 - 5730","2439"
"IL","191","Chronic obstructive pulmonary disease w CC","5462 - 6363","7016"
"DC","191","Chronic obstructive pulmonary disease w CC","7612 - 8184","284"
"AZ","191","Chronic obstructive pulmonary disease w CC","1068 - 6269","2101"
"AK","191","Chronic obstructive pulmonary disease w CC","7809 - 11841","137"
"MP","191","Chronic obstructive pulmonary disease w CC","6688","*"
"AS","191","Chronic obstructive pulmonary disease w CC","3312","*"
"WY","191","Chronic obstructive pulmonary disease w CC","5583 - 7822","193"
"VT","191","Chronic obstructive pulmonary disease w CC","6076 - 7298","239"
"TX","191","Chronic obstructive pulmonary disease w CC","5320 - 6117","9646"
"RI","191","Chronic obstructive pulmonary disease w CC","4148 - 6904","724"
"OK","191","Chronic obstructive pulmonary disease w CC","5114 - 5677","2218"
"NM","191","Chronic obstructive pulmonary disease w CC","5474 - 6274","537"
"ND","191","Chronic obstructive pulmonary disease w CC","5005 - 5721","165"
"ME","191","Chronic obstructive pulmonary disease w CC","5482 - 6407","848"
"KY","191","Chronic obstructive pulmonary disease w CC","5226 - 6079","4138"
"ID","191","Chronic obstructive pulmonary disease w CC","5231 - 5816","272"
"GA","191","Chronic obstructive pulmonary disease w CC","5335 - 6112","4210"
"CT","191","Chronic obstructive pulmonary disease w CC","6262 - 7551","1918"
"WV","191","Chronic obstructive pulmonary disease w CC","5058 - 5611","2202"
"VI","191","Chronic obstructive pulmonary disease w CC","6300 - 7627","*"
"TN","191","Chronic obstructive pulmonary disease w CC","5032 - 5777","5210"
"PR","191","Chronic obstructive pulmonary disease w CC","346 - 3510","582"
"OH","191","Chronic obstructive pulmonary disease w CC","5161 - 5854","8202"
"NJ","191","Chronic obstructive pulmonary disease w CC","6090 - 7248","5320"
"NC","191","Chronic obstructive pulmonary disease w CC","5445 - 6035","5163"
"MO","191","Chronic obstructive pulmonary disease w CC","5222 - 5993","3654"
"MD","191","Chronic obstructive pulmonary disease w CC","4442 - 8926","3406"
"KS","191","Chronic obstructive pulmonary disease w CC","5141 - 5760","1063"
"IA","191","Chronic obstructive pulmonary disease w CC","5234 - 5749","1123"
"FL","191","Chronic obstructive pulmonary disease w CC","5106 - 5775","13127"
"CO","191","Chronic obstructive pulmonary disease w CC","4748 - 6027","1267"
"AR","191","Chronic obstructive pulmonary disease w CC","5147 - 5726","1741"
"WI","191","Chronic obstructive pulmonary disease w CC","5349 - 6279","2006"
"VA","191","Chronic obstructive pulmonary disease w CC","5199 - 5940","3963"
"SD","191","Chronic obstructive pulmonary disease w CC","5554 - 6008","333"
"PR","236","Coronary bypass w/o cardiac cath w/o MCC","1274 - 12082","196"
"TN","236","Coronary bypass w/o cardiac cath w/o MCC","18532 - 22118","1033"
"WV","236","Coronary bypass w/o cardiac cath w/o MCC","18248 - 22088","419"
"AL","236","Coronary bypass w/o cardiac cath w/o MCC","18295 - 20765","703"
"CA","236","Coronary bypass w/o cardiac cath w/o MCC","6331 - 29701","1562"
"DE","236","Coronary bypass w/o cardiac cath w/o MCC","20594 - 25167","68"
"HI","236","Coronary bypass w/o cardiac cath w/o MCC","24980 - 29659","75"
"IN","236","Coronary bypass w/o cardiac cath w/o MCC","19688 - 22969","822"
"MA","236","Coronary bypass w/o cardiac cath w/o MCC","21359 - 32934","614"
"MN","236","Coronary bypass w/o cardiac cath w/o MCC","21312 - 25854","432"
"MT","236","Coronary bypass w/o cardiac cath w/o MCC","18685 - 20787","79"
"NH","236","Coronary bypass w/o cardiac cath w/o MCC","21334 - 23103","166"
"NY","236","Coronary bypass w/o cardiac cath w/o MCC","5420 - 30165","1558"
"PA","236","Coronary bypass w/o cardiac cath w/o MCC","4270 - 22236","1159"
"SD","236","Coronary bypass w/o cardiac cath w/o MCC","19140 - 20786","129"
"VA","236","Coronary bypass w/o cardiac cath w/o MCC","19372 - 24930","764"
"WI","236","Coronary bypass w/o cardiac cath w/o MCC","14232 - 23520","659"
"WA","280","Acute myocardial infarction, discharged alive w MCC","9436 - 13470","1386"
"GU","280","Acute myocardial infarction, discharged alive w MCC","5050 - 8080","27"
"UT","280","Acute myocardial infarction, discharged alive w MCC","7965 - 11955","168"
"SC","280","Acute myocardial infarction, discharged alive w MCC","10156 - 12021","1362"
"OR","280","Acute myocardial infarction, discharged alive w MCC","1068 - 12543","765"
"NV","280","Acute myocardial infarction, discharged alive w MCC","1166 - 13991","447"
"NE","280","Acute myocardial infarction, discharged alive w MCC","10494 - 12996","379"
"MS","280","Acute myocardial infarction, discharged alive w MCC","10188 - 11909","897"
"MI","280","Acute myocardial infarction, discharged alive w MCC","8668 - 13464","4676"
"LA","280","Acute myocardial infarction, discharged alive w MCC","8714 - 11926","1222"
"IL","280","Acute myocardial infarction, discharged alive w MCC","10532 - 12571","4051"
"DC","280","Acute myocardial infarction, discharged alive w MCC","15156 - 15452","220"
"AZ","280","Acute myocardial infarction, discharged alive w MCC","4056 - 12477","1346"
"AK","280","Acute myocardial infarction, discharged alive w MCC","15507 - 18403","53"
"VT","280","Acute myocardial infarction, discharged alive w MCC","9386 - 16642","130"
"WY","280","Acute myocardial infarction, discharged alive w MCC","10442 - 12265","55"
"TX","280","Acute myocardial infarction, discharged alive w MCC","10287 - 12455","5749"
"RI","280","Acute myocardial infarction, discharged alive w MCC","3188 - 13196","517"
"MP","280","Acute myocardial infarction, discharged alive w MCC","2655 - 7296","*"
"OK","280","Acute myocardial infarction, discharged alive w MCC","9866 - 11421","1117"
"NM","280","Acute myocardial infarction, discharged alive w MCC","7476 - 12148","341"
"ND","280","Acute myocardial infarction, discharged alive w MCC","9678 - 11375","225"
"ME","280","Acute myocardial infarction, discharged alive w MCC","10699 - 12778","689"
"KY","280","Acute myocardial infarction, discharged alive w MCC","10121 - 12334","2052"
"ID","280","Acute myocardial infarction, discharged alive w MCC","7965 - 11688","172"
"GA","280","Acute myocardial infarction, discharged alive w MCC","10138 - 12502","2394"
"CT","280","Acute myocardial infarction, discharged alive w MCC","10035 - 14921","1551"
"WV","280","Acute myocardial infarction, discharged alive w MCC","9634 - 11657","935"
"VI","280","Acute myocardial infarction, discharged alive w MCC","6300 - 22050","*"
"TN","280","Acute myocardial infarction, discharged alive w MCC","9379 - 11488","2656"
"PR","280","Acute myocardial infarction, discharged alive w MCC","688 - 7129","625"
"OH","280","Acute myocardial infarction, discharged alive w MCC","5552 - 11659","4228"
"NJ","280","Acute myocardial infarction, discharged alive w MCC","11754 - 14375","3635"
"NC","280","Acute myocardial infarction, discharged alive w MCC","10371 - 12314","3632"
"MO","280","Acute myocardial infarction, discharged alive w MCC","9736 - 11897","2319"
"MD","280","Acute myocardial infarction, discharged alive w MCC","6790 - 17177","1485"
"KS","280","Acute myocardial infarction, discharged alive w MCC","10035 - 11591","617"
"IA","280","Acute myocardial infarction, discharged alive w MCC","10069 - 11468","806"
"FL","280","Acute myocardial infarction, discharged alive w MCC","9145 - 11385","7129"
"AR","470","Major joint replacement or reattachment of lower extremity w/o MCC","10529 - 11821","5650"
"WI","470","Major joint replacement or reattachment of lower extremity w/o MCC","10792 - 13046","11255"
"VA","470","Major joint replacement or reattachment of lower extremity w/o MCC","10551 - 12267","11966"
"SD","470","Major joint replacement or reattachment of lower extremity w/o MCC","10690 - 12076","2753"
"PA","470","Major joint replacement or reattachment of lower extremity w/o MCC","1682 - 12351","24302"
"NY","470","Major joint replacement or reattachment of lower extremity w/o MCC","4129 - 16108","25073"
"NH","470","Major joint replacement or reattachment of lower extremity w/o MCC","11915 - 12815","1980"
"MT","470","Major joint replacement or reattachment of lower extremity w/o MCC","10438 - 11610","2001"
"MN","470","Major joint replacement or reattachment of lower extremity w/o MCC","11889 - 13110","10532"
"MA","470","Major joint replacement or reattachment of lower extremity w/o MCC","12684 - 15202","10152"
"IN","470","Major joint replacement or reattachment of lower extremity w/o MCC","10708 - 11843","11500"
"HI","470","Major joint replacement or reattachment of lower extremity w/o MCC","13097 - 16540","980"
"DE","470","Major joint replacement or reattachment of lower extremity w/o MCC","12159 - 14060","1717"
"CA","470","Major joint replacement or reattachment of lower extremity w/o MCC","1553 - 16203","39273"
"AL","470","Major joint replacement or reattachment of lower extremity w/o MCC","10278 - 11303","8463"
"AK","478","Biopsies of musculoskeletal system and connective tissue w CC","16982 - 26005","*"
"AZ","478","Biopsies of musculoskeletal system and connective tissue w CC","10714 - 13534","166"
"IL","478","Biopsies of musculoskeletal system and connective tissue w CC","12028 - 14063","448"
"DC","478","Biopsies of musculoskeletal system and connective tissue w CC","16902 - 18846","17"
"LA","478","Biopsies of musculoskeletal system and connective tissue w CC","11399 - 13313","126"
"MI","478","Biopsies of musculoskeletal system and connective tissue w CC","11714 - 14440","377"
"MS","478","Biopsies of musculoskeletal system and connective tissue w CC","11748 - 12866","132"
"NE","478","Biopsies of musculoskeletal system and connective tissue w CC","11676 - 12908","49"
"NV","478","Biopsies of musculoskeletal system and connective tissue w CC","12278 - 15305","38"
"OR","478","Biopsies of musculoskeletal system and connective tissue w CC","1035 - 13761","78"
"SC","478","Biopsies of musculoskeletal system and connective tissue w CC","11825 - 13139","114"
"UT","478","Biopsies of musculoskeletal system and connective tissue w CC","11850 - 13816","20"
"WA","478","Biopsies of musculoskeletal system and connective tissue w CC","12732 - 14580","155"
"CT","478","Biopsies of musculoskeletal system and connective tissue w CC","13995 - 16092","111"
"GA","478","Biopsies of musculoskeletal system and connective tissue w CC","11680 - 13542","216"
"ID","478","Biopsies of musculoskeletal system and connective tissue w CC","12017 - 13236","12"
"KY","478","Biopsies of musculoskeletal system and connective tissue w CC","11215 - 13547","213"
"ME","478","Biopsies of musculoskeletal system and connective tissue w CC","12789 - 14283","40"
"ND","478","Biopsies of musculoskeletal system and connective tissue w CC","10888 - 11683","20"
"NM","478","Biopsies of musculoskeletal system and connective tissue w CC","11884 - 13364","44"
"OK","478","Biopsies of musculoskeletal system and connective tissue w CC","10927 - 12828","107"
"RI","478","Biopsies of musculoskeletal system and connective tissue w CC","3487 - 14325","22"
"TX","478","Biopsies of musculoskeletal system and connective tissue w CC","11611 - 13331","657"
"WY","478","Biopsies of musculoskeletal system and connective tissue w CC","12134 - 13211","11"
"VT","478","Biopsies of musculoskeletal system and connective tissue w CC","14218 - 18205","16"
"AR","478","Biopsies of musculoskeletal system and connective tissue w CC","11754 - 12669","116"
"CO","478","Biopsies of musculoskeletal system and connective tissue w CC","12114 - 13598","124"
"FL","478","Biopsies of musculoskeletal system and connective tissue w CC","11049 - 12424","1147"
"IA","478","Biopsies of musculoskeletal system and connective tissue w CC","11126 - 12592","49"
"KS","478","Biopsies of musculoskeletal system and connective tissue w CC","11009 - 12562","65"
"MD","478","Biopsies of musculoskeletal system and connective tissue w CC","12120 - 21101","114"
"MO","478","Biopsies of musculoskeletal system and connective tissue w CC","11076 - 12483","200"
