"Measure Name","Condition","Measure Code","Percentile","Score"
"all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Surgical Infection Prevention","SCIP-INF-4     ","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","Surgical Infection Prevention","SCIP-VTE-2     ","National Average of Hospitals submitting data:","84%"
"patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","Surgical Infection Prevention","SCIP-VTE-2     ","Top 10% of Hospitals submitting data scored equal to or higher than:","98%"
"surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Surgical Infection Prevention","SCIP-VTE-1     ","National Average of Hospitals submitting data:","87%"
"surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Surgical Infection Prevention","SCIP-VTE-1     ","Top 10% of Hospitals submitting data scored equal to or higher than:","99%"
"surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method (electric clippers or hair removal cream – not a razor)","Surgical Infection Prevention","SCIP-INF-6     ","National Average of Hospitals submitting data:","96%"
"surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method (electric clippers or hair removal cream – not a razor)","Surgical Infection Prevention","SCIP-INF-6     ","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Surgical Infection Prevention","SCIP-INF-1     ","National Average of Hospitals submitting data:","89%"
"surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Surgical Infection Prevention","SCIP-INF-1     ","Top 10% of Hospitals submitting data scored equal to or higher than:","99%"
"surgery patients who were given the  right kind  of antibiotic to help prevent infection","Surgical Infection Prevention","SCIP-INF-2     ","National Average of Hospitals submitting data:","94%"
"surgery patients who were given the  right kind  of antibiotic to help prevent infection","Surgical Infection Prevention","SCIP-INF-2     ","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Surgical Infection Prevention","SCIP-INF-3     ","National Average of Hospitals submitting data:","87%"
"surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Surgical Infection Prevention","SCIP-INF-3     ","Top 10% of Hospitals submitting data scored equal to or higher than:","98%"
