"State","MS-DRG ID","MS-DRG Name","Medicare Payment Range","Number Of Cases"
"AZ","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9403 - 11717","158"
"CA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10936 - 14804","829"
"CO","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9719 - 11110","113"
"CT","328","Stomach, esophageal & duodenal proc w/o CC/MCC","11431 - 14077","130"
"DC","328","Stomach, esophageal & duodenal proc w/o CC/MCC","14012 - 15125","28"
"DE","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10983 - 12333","31"
"FL","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9006 - 11056","545"
"GA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9807 - 11702","272"
"GU","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10893 - 10893","*"
"HI","328","Stomach, esophageal & duodenal proc w/o CC/MCC","121 - 13586","32"
"IA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9370 - 10150","89"
"ID","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10107 - 10698","38"
"IL","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10167 - 12605","256"
"IN","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9591 - 10720","191"
"KS","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9349 - 11320","71"
"KY","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9492 - 11223","174"
"LA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9364 - 10817","148"
"MA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","11715 - 15056","236"
"MD","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9841 - 19228","140"
"ME","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10892 - 11896","49"
"MI","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9764 - 12373","350"
"MN","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10730 - 12269","210"
"MO","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9688 - 12580","240"
"MS","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9146 - 10383","159"
"MT","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9005 - 10235","55"
"NC","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9927 - 12024","329"
"ND","328","Stomach, esophageal & duodenal proc w/o CC/MCC","8893 - 9318","40"
"NE","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9835 - 13228","99"
"NH","328","Stomach, esophageal & duodenal proc w/o CC/MCC","11255 - 15307","55"
"NJ","328","Stomach, esophageal & duodenal proc w/o CC/MCC","11275 - 13384","161"
"NM","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10104 - 11460","33"
"NV","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9846 - 11177","48"
"NY","328","Stomach, esophageal & duodenal proc w/o CC/MCC","3954 - 18117","540"
"OH","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9494 - 12185","357"
"OK","328","Stomach, esophageal & duodenal proc w/o CC/MCC","8975 - 10462","132"
"OR","328","Stomach, esophageal & duodenal proc w/o CC/MCC","2620 - 11506","208"
"PA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","2052 - 12059","459"
"PR","328","Stomach, esophageal & duodenal proc w/o CC/MCC","1648 - 6154","30"
"RI","328","Stomach, esophageal & duodenal proc w/o CC/MCC","2808 - 14381","43"
"SC","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9684 - 11752","167"
"SD","328","Stomach, esophageal & duodenal proc w/o CC/MCC","10303 - 10464","55"
"TN","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9316 - 11760","280"
"TX","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9802 - 11305","557"
"UT","328","Stomach, esophageal & duodenal proc w/o CC/MCC","7550 - 10793","68"
"VA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9531 - 14367","189"
"VI","328","Stomach, esophageal & duodenal proc w/o CC/MCC","5095 - 9060","*"
"VT","328","Stomach, esophageal & duodenal proc w/o CC/MCC","11762 - 15174","13"
"WA","328","Stomach, esophageal & duodenal proc w/o CC/MCC","11351 - 12661","216"
"WI","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9950 - 11857","208"
"WV","328","Stomach, esophageal & duodenal proc w/o CC/MCC","8846 - 10386","84"
"WY","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9763 - 10620","21"
"AK","329","Major small & large bowel procedures w MCC","36108 - 50044","79"
"AL","329","Major small & large bowel procedures w MCC","22349 - 26249","1158"
"AR","329","Major small & large bowel procedures w MCC","23381 - 26484","650"
"AZ","329","Major small & large bowel procedures w MCC","2873 - 28868","1134"
"CA","329","Major small & large bowel procedures w MCC","20065 - 39618","4260"
"CO","329","Major small & large bowel procedures w MCC","20733 - 28473","654"
"CT","329","Major small & large bowel procedures w MCC","25078 - 35796","854"
"DC","329","Major small & large bowel procedures w MCC","34206 - 38247","178"
"DE","329","Major small & large bowel procedures w MCC","26507 - 30935","217"
"FL","329","Major small & large bowel procedures w MCC","20304 - 28055","4263"
"GA","329","Major small & large bowel procedures w MCC","24146 - 30769","1550"
"GU","329","Major small & large bowel procedures w MCC","10172 - 14196","*"
"HI","329","Major small & large bowel procedures w MCC","30028 - 37035","113"
"IA","329","Major small & large bowel procedures w MCC","22451 - 25345","598"
"ID","329","Major small & large bowel procedures w MCC","20243 - 26828","223"
"IL","329","Major small & large bowel procedures w MCC","23973 - 32387","2581"
"IN","329","Major small & large bowel procedures w MCC","23375 - 27881","1474"
"KS","329","Major small & large bowel procedures w MCC","22448 - 27840","591"
"KY","329","Major small & large bowel procedures w MCC","22947 - 28068","1119"
"LA","329","Major small & large bowel procedures w MCC","21196 - 27421","927"
"MA","329","Major small & large bowel procedures w MCC","24487 - 36516","1228"
"MD","329","Major small & large bowel procedures w MCC","20643 - 46404","1062"
"ME","329","Major small & large bowel procedures w MCC","24539 - 29751","306"
"MI","329","Major small & large bowel procedures w MCC","22625 - 30759","2410"
"MN","329","Major small & large bowel procedures w MCC","21871 - 30952","894"
"MO","329","Major small & large bowel procedures w MCC","20939 - 28336","1441"
"MS","329","Major small & large bowel procedures w MCC","23213 - 27256","560"
"MT","329","Major small & large bowel procedures w MCC","22522 - 26012","180"
"NC","329","Major small & large bowel procedures w MCC","24183 - 30458","1807"
"ND","329","Major small & large bowel procedures w MCC","21485 - 25565","158"
"NE","329","Major small & large bowel procedures w MCC","23604 - 31543","420"
"NH","329","Major small & large bowel procedures w MCC","26545 - 35369","226"
"NJ","329","Major small & large bowel procedures w MCC","27175 - 33247","1897"
"NM","329","Major small & large bowel procedures w MCC","25053 - 31290","223"
"NV","329","Major small & large bowel procedures w MCC","18350 - 32004","395"
"NY","329","Major small & large bowel procedures w MCC","18584 - 39642","3537"
"OH","329","Major small & large bowel procedures w MCC","18487 - 27728","2813"
"OK","329","Major small & large bowel procedures w MCC","22335 - 27586","801"
"OR","329","Major small & large bowel procedures w MCC","1337 - 29045","607"
"PA","329","Major small & large bowel procedures w MCC","6657 - 27729","3332"
"PR","329","Major small & large bowel procedures w MCC","13553 - 16838","178"
"RI","329","Major small & large bowel procedures w MCC","6848 - 32613","210"
"SC","329","Major small & large bowel procedures w MCC","24205 - 31224","916"
"SD","329","Major small & large bowel procedures w MCC","24771 - 27921","178"
"TN","329","Major small & large bowel procedures w MCC","22532 - 29411","1382"
"TX","329","Major small & large bowel procedures w MCC","23271 - 28958","3631"
"UT","329","Major small & large bowel procedures w MCC","21471 - 27806","276"
"VA","329","Major small & large bowel procedures w MCC","23021 - 29350","1298"
"VI","329","Major small & large bowel procedures w MCC","6890 - 16733","*"
"VT","329","Major small & large bowel procedures w MCC","27430 - 37667","95"
"WA","329","Major small & large bowel procedures w MCC","25915 - 31665","924"
"WI","329","Major small & large bowel procedures w MCC","22816 - 29313","1104"
"WV","329","Major small & large bowel procedures w MCC","21763 - 26218","469"
"WY","329","Major small & large bowel procedures w MCC","24416 - 36100","77"
"AK","330","Major small & large bowel procedures w CC","23187 - 34570","81"
"AL","330","Major small & large bowel procedures w CC","14521 - 16122","1240"
"AR","330","Major small & large bowel procedures w CC","15160 - 16849","833"
"AZ","330","Major small & large bowel procedures w CC","11343 - 18222","1319"
"CA","330","Major small & large bowel procedures w CC","2673 - 22900","5257"
"CO","330","Major small & large bowel procedures w CC","15389 - 17399","810"
"CT","330","Major small & large bowel procedures w CC","18283 - 22129","935"
"DC","330","Major small & large bowel procedures w CC","20983 - 22524","197"
"DE","330","Major small & large bowel procedures w CC","16802 - 19807","240"
"FL","330","Major small & large bowel procedures w CC","14458 - 16650","4925"
"GA","330","Major small & large bowel procedures w CC","15506 - 18145","1843"
"GU","330","Major small & large bowel procedures w CC","9791 - 9792","*"
"HI","330","Major small & large bowel procedures w CC","18274 - 22691","157"
"IA","330","Major small & large bowel procedures w CC","15048 - 16169","847"
"ID","330","Major small & large bowel procedures w CC","15027 - 17158","279"
"IL","330","Major small & large bowel procedures w CC","15920 - 19774","2754"
"IN","330","Major small & large bowel procedures w CC","15397 - 17000","1582"
"KS","330","Major small & large bowel procedures w CC","14444 - 16624","714"
"KY","330","Major small & large bowel procedures w CC","14739 - 17815","1201"
"LA","330","Major small & large bowel procedures w CC","14483 - 17327","1022"
"MA","330","Major small & large bowel procedures w CC","17003 - 21348","1719"
"MD","330","Major small & large bowel procedures w CC","13414 - 25529","1249"
"ME","330","Major small & large bowel procedures w CC","15863 - 18882","383"
"MI","330","Major small & large bowel procedures w CC","15680 - 19081","2434"
"MN","330","Major small & large bowel procedures w CC","16651 - 19890","1293"
"MO","330","Major small & large bowel procedures w CC","14699 - 17074","1728"
"MS","330","Major small & large bowel procedures w CC","14955 - 16879","736"
"MT","330","Major small & large bowel procedures w CC","14462 - 16169","237"
"NC","330","Major small & large bowel procedures w CC","15886 - 18002","2162"
"ND","330","Major small & large bowel procedures w CC","14282 - 15771","203"
"NE","330","Major small & large bowel procedures w CC","15494 - 16811","599"
"NH","330","Major small & large bowel procedures w CC","17046 - 20178","295"
"NJ","330","Major small & large bowel procedures w CC","17459 - 21211","1899"
"NM","330","Major small & large bowel procedures w CC","16088 - 18405","284"
"NV","330","Major small & large bowel procedures w CC","10977 - 18348","435"
"NY","330","Major small & large bowel procedures w CC","10853 - 24126","4391"
"OH","330","Major small & large bowel procedures w CC","14286 - 17512","3064"
"OK","330","Major small & large bowel procedures w CC","14450 - 16430","1059"
"OR","330","Major small & large bowel procedures w CC","1024 - 18134","873"
"PA","330","Major small & large bowel procedures w CC","3295 - 17586","3829"
"PR","330","Major small & large bowel procedures w CC","891 - 10214","266"
"RI","330","Major small & large bowel procedures w CC","4620 - 20014","353"
"SC","330","Major small & large bowel procedures w CC","15395 - 17621","1096"
"SD","330","Major small & large bowel procedures w CC","15611 - 16994","248"
"TN","330","Major small & large bowel procedures w CC","14535 - 16823","1604"
"TX","330","Major small & large bowel procedures w CC","15464 - 17752","4281"
"UT","330","Major small & large bowel procedures w CC","15158 - 17390","398"
"VA","330","Major small & large bowel procedures w CC","14850 - 17297","1629"
"VI","330","Major small & large bowel procedures w CC","6720 - 18020","17"
"VT","330","Major small & large bowel procedures w CC","17876 - 24188","138"
"WA","330","Major small & large bowel procedures w CC","17201 - 19928","1395"
"WI","330","Major small & large bowel procedures w CC","15594 - 17859","1563"
"WV","330","Major small & large bowel procedures w CC","14096 - 16663","474"
"WY","330","Major small & large bowel procedures w CC","15679 - 17867","78"
"AK","331","Major small & large bowel procedures w/o CC/MCC","14757 - 15255","36"
"AL","331","Major small & large bowel procedures w/o CC/MCC","9358 - 10261","542"
"AR","331","Major small & large bowel procedures w/o CC/MCC","9752 - 10482","291"
"AZ","331","Major small & large bowel procedures w/o CC/MCC","9261 - 11623","428"
"CA","331","Major small & large bowel procedures w/o CC/MCC","1024 - 14350","2675"
"CO","331","Major small & large bowel procedures w/o CC/MCC","9965 - 11314","335"
"CT","331","Major small & large bowel procedures w/o CC/MCC","11817 - 14099","451"
"DC","331","Major small & large bowel procedures w/o CC/MCC","10532 - 14335","116"
"DE","331","Major small & large bowel procedures w/o CC/MCC","11382 - 12606","144"
"FL","331","Major small & large bowel procedures w/o CC/MCC","9205 - 10585","2223"
"GA","331","Major small & large bowel procedures w/o CC/MCC","9976 - 11636","811"
"GU","331","Major small & large bowel procedures w/o CC/MCC","9090 - 9090","*"
"HI","331","Major small & large bowel procedures w/o CC/MCC","11766 - 14584","65"
"IA","331","Major small & large bowel procedures w/o CC/MCC","9643 - 10291","333"
"ID","331","Major small & large bowel procedures w/o CC/MCC","9588 - 10786","138"
"IL","331","Major small & large bowel procedures w/o CC/MCC","10181 - 12626","1061"
"IN","331","Major small & large bowel procedures w/o CC/MCC","9810 - 10725","681"
"KS","331","Major small & large bowel procedures w/o CC/MCC","9312 - 10580","285"
"KY","331","Major small & large bowel procedures w/o CC/MCC","9702 - 11338","432"
"LA","331","Major small & large bowel procedures w/o CC/MCC","9103 - 10807","476"
"MA","331","Major small & large bowel procedures w/o CC/MCC","11268 - 14787","770"
"MD","331","Major small & large bowel procedures w/o CC/MCC","10123 - 17086","495"
"ME","331","Major small & large bowel procedures w/o CC/MCC","10232 - 12017","153"
"MI","331","Major small & large bowel procedures w/o CC/MCC","9973 - 12100","1203"
"MN","331","Major small & large bowel procedures w/o CC/MCC","10559 - 12540","466"
"MO","331","Major small & large bowel procedures w/o CC/MCC","9355 - 10851","724"
"MS","331","Major small & large bowel procedures w/o CC/MCC","9693 - 10706","395"
"MT","331","Major small & large bowel procedures w/o CC/MCC","9453 - 10633","77"
"NC","331","Major small & large bowel procedures w/o CC/MCC","10146 - 11720","991"
"ND","331","Major small & large bowel procedures w/o CC/MCC","9448 - 10468","105"
"NE","331","Major small & large bowel procedures w/o CC/MCC","9861 - 10699","188"
"NH","331","Major small & large bowel procedures w/o CC/MCC","10857 - 11719","127"
"NJ","331","Major small & large bowel procedures w/o CC/MCC","11392 - 13622","812"
"NM","331","Major small & large bowel procedures w/o CC/MCC","10239 - 11713","174"
"NV","331","Major small & large bowel procedures w/o CC/MCC","8911 - 11677","190"
"NY","331","Major small & large bowel procedures w/o CC/MCC","3391 - 16141","2050"
"OH","331","Major small & large bowel procedures w/o CC/MCC","9528 - 11080","1204"
"OK","331","Major small & large bowel procedures w/o CC/MCC","9467 - 11136","472"
"OR","331","Major small & large bowel procedures w/o CC/MCC","1024 - 11482","422"
"PA","331","Major small & large bowel procedures w/o CC/MCC","2097 - 11463","1627"
"PR","331","Major small & large bowel procedures w/o CC/MCC","567 - 6505","237"
"RI","331","Major small & large bowel procedures w/o CC/MCC","2219 - 12737","150"
"SC","331","Major small & large bowel procedures w/o CC/MCC","9798 - 11183","507"
"SD","331","Major small & large bowel procedures w/o CC/MCC","9935 - 10795","125"
"TN","331","Major small & large bowel procedures w/o CC/MCC","9340 - 10841","750"
"TX","331","Major small & large bowel procedures w/o CC/MCC","9878 - 11461","2053"
"UT","331","Major small & large bowel procedures w/o CC/MCC","9647 - 10781","176"
"VA","331","Major small & large bowel procedures w/o CC/MCC","9509 - 10977","740"
"VI","331","Major small & large bowel procedures w/o CC/MCC","6360 - 8480","17"
"VT","331","Major small & large bowel procedures w/o CC/MCC","11377 - 14360","37"
"WA","331","Major small & large bowel procedures w/o CC/MCC","11415 - 12691","524"
"WI","331","Major small & large bowel procedures w/o CC/MCC","9838 - 11444","547"
"WV","331","Major small & large bowel procedures w/o CC/MCC","8990 - 10605","235"
"WY","331","Major small & large bowel procedures w/o CC/MCC","9979 - 10854","32"
"AK","353","Hernia procedures except inguinal & femoral w MCC","25590 - 49165","*"
"AL","353","Hernia procedures except inguinal & femoral w MCC","10498 - 11795","77"
"AR","353","Hernia procedures except inguinal & femoral w MCC","10980 - 11374","50"
"AZ","353","Hernia procedures except inguinal & femoral w MCC","11109 - 12747","79"
"CA","353","Hernia procedures except inguinal & femoral w MCC","12909 - 17159","291"
"CO","353","Hernia procedures except inguinal & femoral w MCC","11654 - 13848","40"
"CT","353","Hernia procedures except inguinal & femoral w MCC","13159 - 16375","52"
"DC","353","Hernia procedures except inguinal & femoral w MCC","15432 - 15756","*"
"DE","353","Hernia procedures except inguinal & femoral w MCC","12468 - 13856","24"
"FL","353","Hernia procedures except inguinal & femoral w MCC","10807 - 12869","309"
"GA","353","Hernia procedures except inguinal & femoral w MCC","10919 - 13155","108"
"HI","353","Hernia procedures except inguinal & femoral w MCC","12979 - 19536","13"
"IA","353","Hernia procedures except inguinal & femoral w MCC","10830 - 11385","38"
"ID","353","Hernia procedures except inguinal & femoral w MCC","10690 - 11855","13"
"IL","353","Hernia procedures except inguinal & femoral w MCC","11428 - 15612","184"
"IN","353","Hernia procedures except inguinal & femoral w MCC","10973 - 12284","108"
"KS","353","Hernia procedures except inguinal & femoral w MCC","10518 - 11629","43"
"KY","353","Hernia procedures except inguinal & femoral w MCC","10664 - 12562","93"
"LA","353","Hernia procedures except inguinal & femoral w MCC","10680 - 12224","72"
"MA","353","Hernia procedures except inguinal & femoral w MCC","12486 - 16874","84"
"MD","353","Hernia procedures except inguinal & femoral w MCC","10613 - 30476","100"
"ME","353","Hernia procedures except inguinal & femoral w MCC","12066 - 13209","28"
"MI","353","Hernia procedures except inguinal & femoral w MCC","11915 - 14199","167"
"MN","353","Hernia procedures except inguinal & femoral w MCC","11760 - 14856","67"
"MO","353","Hernia procedures except inguinal & femoral w MCC","10760 - 14167","110"
"MS","353","Hernia procedures except inguinal & femoral w MCC","10734 - 12077","40"
"MT","353","Hernia procedures except inguinal & femoral w MCC","10115 - 11311","21"
"NC","353","Hernia procedures except inguinal & femoral w MCC","11259 - 13682","142"
"ND","353","Hernia procedures except inguinal & femoral w MCC","10194 - 10524","11"
"NE","353","Hernia procedures except inguinal & femoral w MCC","10780 - 14170","28"
"NH","353","Hernia procedures except inguinal & femoral w MCC","11950 - 15554","14"
"NJ","353","Hernia procedures except inguinal & femoral w MCC","12665 - 15410","113"
"NM","353","Hernia procedures except inguinal & femoral w MCC","12384 - 23076","20"
"NV","353","Hernia procedures except inguinal & femoral w MCC","11313 - 12835","31"
"NY","353","Hernia procedures except inguinal & femoral w MCC","11076 - 19034","213"
"OH","353","Hernia procedures except inguinal & femoral w MCC","10538 - 13505","213"
"OK","353","Hernia procedures except inguinal & femoral w MCC","10629 - 13684","65"
"OR","353","Hernia procedures except inguinal & femoral w MCC","1024 - 13748","33"
"PA","353","Hernia procedures except inguinal & femoral w MCC","9843 - 12999","235"
"PR","353","Hernia procedures except inguinal & femoral w MCC","6623 - 7809","12"
"RI","353","Hernia procedures except inguinal & femoral w MCC","2590 - 14751","11"
"SC","353","Hernia procedures except inguinal & femoral w MCC","11314 - 12899","59"
"SD","353","Hernia procedures except inguinal & femoral w MCC","10268 - 12011","*"
"TN","353","Hernia procedures except inguinal & femoral w MCC","10588 - 11991","83"
"TX","353","Hernia procedures except inguinal & femoral w MCC","11103 - 12990","299"
"UT","353","Hernia procedures except inguinal & femoral w MCC","10624 - 16237","17"
"VA","353","Hernia procedures except inguinal & femoral w MCC","10708 - 12669","69"
"VT","353","Hernia procedures except inguinal & femoral w MCC","13557 - 17016","*"
"WA","353","Hernia procedures except inguinal & femoral w MCC","12548 - 14283","59"
"WI","353","Hernia procedures except inguinal & femoral w MCC","11199 - 15518","89"
"WV","353","Hernia procedures except inguinal & femoral w MCC","10623 - 11699","41"
"WY","353","Hernia procedures except inguinal & femoral w MCC","11184 - 11189","*"
"AK","354","Hernia procedures except inguinal & femoral w CC","11292 - 12664","*"
"AL","354","Hernia procedures except inguinal & femoral w CC","7232 - 8056","214"
"AR","354","Hernia procedures except inguinal & femoral w CC","7615 - 8160","181"
"AZ","354","Hernia procedures except inguinal & femoral w CC","6779 - 8900","173"
"CA","354","Hernia procedures except inguinal & femoral w CC","8561 - 11343","741"
"CO","354","Hernia procedures except inguinal & femoral w CC","7706 - 8666","112"
"CT","354","Hernia procedures except inguinal & femoral w CC","9411 - 11125","113"
"DC","354","Hernia procedures except inguinal & femoral w CC","10785 - 11658","25"
"DE","354","Hernia procedures except inguinal & femoral w CC","8631 - 9647","34"
"FL","354","Hernia procedures except inguinal & femoral w CC","7306 - 8150","705"
"GA","354","Hernia procedures except inguinal & femoral w CC","7798 - 8904","229"
"HI","354","Hernia procedures except inguinal & femoral w CC","9024 - 11160","14"
"IA","354","Hernia procedures except inguinal & femoral w CC","7507 - 7875","95"
"ID","354","Hernia procedures except inguinal & femoral w CC","7318 - 8013","29"
"IL","354","Hernia procedures except inguinal & femoral w CC","7952 - 9669","415"
